MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	1.18E-03	6.32E-04	3.89E-03	7.92E-04	6.82E-03	1.23E-03	3.26E-03
1:Del:C:1	8.22E-04	4.91E-04	1.57E-03	5.58E-04	2.77E-03	6.41E-04	1.53E-03
1:Del:C:2	4.59E-04	3.44E-04	5.36E-04	3.05E-04	1.03E-03	3.51E-04	7.67E-04
1:Del:C:3	2.18E-04	2.19E-04	4.32E-04	2.62E-04	6.05E-04	2.73E-04	4.36E-04
1:Del:C:4	1.94E-04	1.45E-04	2.86E-04	1.49E-04	5.94E-04	1.98E-04	3.68E-04
1:Del:C:5	3.35E-04	1.04E-04	2.34E-04	2.04E-04	3.86E-04	1.66E-04	1.62E-04
1:Del:T:0	7.85E-04	5.09E-04	1.28E-03	5.32E-04	1.80E-03	9.68E-04	1.17E-03
1:Del:T:1	3.00E-03	0.00E+00	1.05E-03	3.47E-04	2.95E-03	8.20E-04	7.18E-04
1:Del:T:2	6.80E-04	4.32E-04	1.42E-03	3.36E-04	2.10E-03	5.68E-04	1.01E-03
1:Del:T:3	6.07E-04	4.05E-04	1.67E-03	3.94E-04	2.86E-03	6.74E-04	1.27E-03
1:Del:T:4	3.33E-04	3.55E-04	1.30E-03	1.03E-04	2.45E-03	6.22E-04	1.17E-03
1:Del:T:5	1.11E-03	2.73E-03	4.73E-03	3.58E-04	1.61E-03	2.54E-03	1.18E-03
1:Ins:C:0	1.62E-03	1.49E-04	2.92E-04	1.16E-03	2.31E-03	8.12E-04	1.31E-03
1:Ins:C:1	5.60E-04	1.62E-04	1.51E-04	4.21E-04	7.21E-04	1.91E-04	6.01E-04
1:Ins:C:2	1.63E-04	9.55E-05	9.29E-06	1.94E-04	3.65E-04	1.53E-04	3.17E-04
1:Ins:C:3	1.58E-04	1.36E-04	5.67E-05	1.62E-04	2.77E-04	1.16E-04	2.94E-04
1:Ins:C:4	1.67E-04	1.26E-04	1.42E-04	1.66E-04	2.76E-04	6.55E-05	2.99E-04
1:Ins:C:5	2.65E-04	2.60E-04	3.15E-04	2.91E-04	3.95E-04	1.63E-04	4.61E-04
1:Ins:T:0	1.77E-03	2.96E-04	4.85E-04	1.08E-03	2.35E-03	6.58E-04	9.76E-04
1:Ins:T:1	9.90E-04	3.95E-04	8.86E-05	6.10E-04	1.41E-03	6.06E-04	9.79E-04
1:Ins:T:2	6.23E-04	2.55E-04	2.34E-04	4.06E-04	8.60E-04	2.01E-04	2.97E-04
1:Ins:T:3	5.13E-04	1.96E-04	2.31E-04	3.28E-04	7.74E-04	1.60E-04	4.61E-04
1:Ins:T:4	2.62E-04	1.90E-04	2.25E-04	1.19E-04	2.96E-04	1.50E-04	2.65E-04
1:Ins:T:5	1.07E-03	2.56E-03	5.97E-03	5.95E-04	1.50E-03	1.58E-03	1.35E-03
2:Del:R:0	6.18E-04	3.13E-04	2.17E-04	3.52E-04	5.41E-04	5.33E-04	1.17E-03
2:Del:R:1	3.89E-04	3.62E-04	4.32E-04	2.25E-04	4.61E-04	3.83E-04	1.54E-03
2:Del:R:2	1.21E-04	7.55E-05	1.86E-04	1.87E-04	2.23E-04	1.17E-04	5.46E-04
2:Del:R:3	1.09E-04	8.37E-05	7.06E-05	1.30E-04	1.70E-04	1.22E-04	3.09E-04
2:Del:R:4	2.96E-05	9.99E-05	7.51E-05	1.04E-04	9.89E-05	7.53E-05	2.12E-04
2:Del:R:5	2.19E-04	2.02E-04	1.09E-04	2.71E-04	4.23E-04	2.62E-04	6.14E-04
3:Del:R:0	4.94E-04	1.96E-04	1.53E-04	1.67E-04	1.95E-04	4.64E-04	3.51E-04
3:Del:R:1	1.85E-04	2.33E-04	3.25E-04	2.45E-04	3.33E-04	2.05E-04	9.43E-04
3:Del:R:2	4.99E-05	9.49E-05	1.74E-04	1.41E-05	8.67E-05	9.45E-05	2.70E-04
3:Del:R:3	5.05E-05	4.28E-05	4.66E-05	2.16E-05	5.37E-05	6.05E-05	1.38E-04
3:Del:R:4	1.83E-09	1.79E-09	7.41E-05	5.36E-10	1.74E-04	2.52E-05	1.70E-04
3:Del:R:5	1.13E-05	2.00E-06	6.49E-05	2.01E-05	2.21E-04	5.68E-10	2.64E-04
4:Del:R:0	3.36E-04	1.60E-04	6.21E-05	1.92E-04	3.04E-04	3.84E-04	3.72E-04
4:Del:R:1	1.37E-04	1.44E-04	1.97E-04	2.70E-04	3.73E-04	2.34E-04	9.60E-04
4:Del:R:2	4.33E-05	9.89E-05	1.01E-04	1.15E-04	1.27E-04	5.43E-05	3.54E-04
4:Del:R:3	3.48E-05	3.95E-05	4.82E-05	1.16E-05	2.56E-04	4.84E-05	3.45E-04
4:Del:R:4	1.19E-05	4.72E-05	3.77E-05	1.25E-05	2.01E-04	3.28E-05	2.75E-04
4:Del:R:5	1.11E-06	2.88E-05	1.39E-05	3.32E-05	1.79E-05	4.48E-06	8.92E-05
5:Del:R:0	4.11E-03	3.93E-04	1.26E-04	2.41E-03	5.12E-04	2.90E-03	3.22E-04
5:Del:R:1	1.55E-04	1.73E-04	1.97E-04	2.15E-04	1.95E-04	4.46E-04	6.30E-04
5:Del:R:2	2.58E-05	6.13E-05	8.70E-05	9.73E-05	1.27E-04	1.11E-04	2.12E-04
5:Del:R:3	1.36E-05	4.32E-05	2.06E-05	4.01E-05	2.27E-05	5.66E-05	8.00E-05
5:Del:R:4	1.54E-05	3.66E-06	1.12E-05	1.05E-05	5.04E-06	2.38E-09	3.76E-05
5:Del:R:5	1.09E-05	3.32E-06	2.18E-06	1.10E-05	5.76E-06	1.24E-06	8.59E-07
2:Ins:R:0	1.63E-03	3.60E-04	1.13E-04	1.12E-03	2.69E-03	9.74E-04	1.29E-03
2:Ins:R:1	3.58E-04	2.05E-04	1.37E-04	3.37E-04	7.31E-04	2.01E-04	4.33E-04
2:Ins:R:2	1.55E-04	1.58E-04	5.67E-05	1.38E-04	3.04E-04	1.40E-04	2.64E-04
2:Ins:R:3	4.56E-05	8.90E-05	5.79E-05	1.04E-04	7.45E-05	9.04E-05	1.66E-04
2:Ins:R:4	6.55E-05	1.38E-04	1.37E-04	1.09E-04	1.14E-04	8.20E-05	1.97E-04
2:Ins:R:5	2.80E-04	3.57E-04	5.29E-04	2.51E-04	3.89E-04	1.19E-04	2.36E-04
3:Ins:R:0	5.21E-04	1.62E-04	1.49E-04	4.81E-04	1.03E-03	3.18E-04	5.26E-04
3:Ins:R:1	2.37E-04	1.30E-04	1.47E-04	1.85E-04	4.21E-04	1.43E-04	3.23E-04
3:Ins:R:2	8.20E-05	4.47E-05	5.90E-05	7.12E-05	1.46E-04	6.64E-05	7.74E-05
3:Ins:R:3	5.03E-06	2.59E-06	1.57E-07	2.51E-05	5.94E-06	9.71E-06	2.55E-05
3:Ins:R:4	2.04E-05	8.35E-06	2.15E-05	2.03E-05	3.12E-05	1.88E-05	2.91E-05
