Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
SP23435	7	35	14	25	0	1	8	0	2	13	6	34	34	0	13	0	1	9	13	0
SP112829	4	35	0	20	0	0	11	27	2	45	22	0	47	14	148	0	0	14	7	15
SP112947	0	47	0	0	25	0	6	0	1	2	12	20	32	18	5	30	0	9	0	118
SP112985	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	23
SP112925	3	36	6	21	0	0	8	0	5	19	21	12	0	12	8	8	7	15	42	113
SP112937	6	5	1	0	8	3	5	13	0	21	8	4	2	11	0	16	0	10	0	9
SP112989	0	19	0	0	0	0	2	0	0	18	6	11	4	5	7	28	1	4	8	9
SP111145	25	31	4	16	0	0	11	30	0	21	1	43	27	21	4	24	3	7	0	1
SP111143	8	30	7	28	0	6	7	2	1	25	16	5	42	14	9	10	0	8	0	1
SP125584	2	2	0	0	0	0	3	0	1	0	0	0	0	1	4	1	0	0	0	0
SP111144	13	86	3	25	0	0	11	0	1	34	23	47	29	21	0	5	1	16	0	0
SP116296	0	11	1	0	2	0	0	0	0	0	0	7	35	0	3	0	0	9	1	1
SP116254	15	78	6	4	0	10	43	0	2	5	25	2	24	0	11	23	0	6	0	0
SP116256	15	68	4	2	0	4	43	9	1	6	27	0	11	4	7	27	0	13	0	0
SP116274	10	27	0	0	0	0	9	0	0	16	7	23	0	12	1	12	1	0	1	0
SP116259	4	68	0	0	0	5	0	0	0	9	11	31	11	1	5	23	3	10	10	0
SP116290	2	0	1	14	0	0	7	0	0	5	4	0	31	8	3	5	0	2	1	0
SP116258	4	70	5	13	0	6	24	4	0	21	19	2	17	5	7	17	0	11	0	1
SP116261	0	0	0	0	0	0	2	10	0	0	4	8	19	2	0	0	0	2	0	0
SP23463	0	4	0	6	0	0	5	17	2	0	4	5	0	7	8	2	0	0	0	0
SP116268	4	4	0	7	0	0	0	0	0	2	6	14	8	8	5	4	0	0	0	0
SP23471	3	19	0	13	0	0	1	0	0	9	8	8	1	6	3	14	0	3	0	0
SP116266	4	10	0	27	0	0	0	0	0	11	10	14	9	19	7	9	0	7	0	1
SP116264	3	23	8	35	0	0	0	0	4	10	20	20	1	11	8	21	2	0	13	0
SP116269	0	33	6	14	0	0	1	0	1	18	10	21	10	17	8	7	0	4	15	0
SP116275	13	33	0	5	0	2	6	0	1	18	3	28	6	8	5	6	0	0	7	0
SP23447	4	18	0	4	0	2	2	3	0	14	1	10	0	7	4	10	0	4	1	0
SP116255	21	71	0	3	0	0	47	37	1	8	18	1	9	3	6	29	0	10	0	1
SP23455	5	1	0	1	1	4	0	22	0	3	6	1	7	23	8	9	0	3	0	1
SP23475	8	3	1	11	0	0	0	0	1	10	4	6	19	11	2	6	0	0	0	0
SP116227	6	82	14	23	0	12	11	0	0	14	3	0	19	9	9	0	0	10	0	2
SP116226	2	8	1	6	0	0	1	0	0	8	5	5	11	3	0	3	3	0	11	0
SP23443	14	61	9	8	0	1	0	0	4	4	17	10	33	5	2	19	7	5	0	0
SP116260	12	35	1	18	0	1	5	0	0	10	4	20	21	1	4	22	0	4	11	0
SP116280	16	130	13	25	0	17	17	17	4	39	25	30	0	42	10	44	6	15	0	0
SP116224	3	24	4	0	0	0	10	0	0	1	3	11	16	0	0	9	0	0	0	0
SP116249	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
SP116232	1	0	0	0	0	0	0	0	0	0	2	5	4	1	3	0	0	0	1	0
