Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
SP18310	95995	11013	7977	18997	0	0	0	0	0	0	0	0
SP17172	33181	166	3828	2394	0	0	227	0	0	75	0	9
SP96133	59848	0	2446	10874	274	3848	75	0	0	23	0	0
SP110242	85589	4774	15764	17039	1329	0	0	0	0	0	0	0
SP114330	237	0	580	53	26	7	19	164	67	92	35	8
SP21017	82223	5287	9745	15084	0	0	40	0	0	0	0	0
SP22383	62086	0	1003	10755	0	5102	0	0	0	342	0	0
SP81312	2984	0	3912	114	0	3896	550	0	126	2	0	5
SP22031	413	0	2094	0	0	817	150	0	1	0	7	12
SP96112	70	71	236	0	3	127	2	141	44	21	33	5
SP19215	54830	0	0	12298	0	6344	0	0	0	259	0	0
SP96120	410	0	711	28	54	123	174	271	107	71	63	3
SP16886	197	0	3728	0	0	2942	691	0	69	0	0	36
SP96124	470	137	666	0	67	55	10	153	43	11	25	0
SP19295	723	8	2050	0	0	1264	100	53	40	0	30	10
SP19670	270	0	533	35	16	47	11	174	17	16	31	0
SP17905	1467	0	0	945	0	20689	681	0	235	1649	0	0
SP16934	423	0	440	14	0	111	230	200	40	54	18	4
SP20993	530	0	912	37	0	7	144	229	70	60	15	0
SP19983	763	0	621	36	0	138	231	369	23	56	31	4
SP18121	66299	0	18597	12266	0	2772	96	0	0	0	0	0
SP96122	890	0	855	46	44	154	48	363	29	7	38	0
SP119755	915	0	532	34	46	274	110	278	70	97	52	3
SP96126	960	0	1659	72	104	176	32	209	28	6	54	0
SP19606	180	0	247	21	42	30	129	88	113	114	36	0
SP96118	4963	0	89	2576	0	1837	0	0	0	0	0	0
SP21528	263	0	614	39	0	66	39	182	35	31	33	0
SP21400	1354	0	5298	0	0	3473	388	0	26	0	0	12
SP23078	65	12	93	0	0	193	296	252	52	18	61	11
SP17430	85	0	211	5	0	9	19	125	71	72	29	0
SP96110	352	0	267	9	0	193	65	251	53	19	33	3
SP18946	4456	0	2679	324	74	8856	255	0	31	97	11	18
SP21057	830	0	470	55	0	226	100	267	84	38	62	0
SP22750	259	0	497	26	0	84	50	220	34	19	35	2
SP19750	283	0	664	16	4	57	17	111	15	31	30	4
SP17016	549	30	379	13	1	104	14	312	51	40	19	0
SP16958	329	205	642	0	41	206	14	616	11	40	164	13
SP17329	171	0	246	24	0	98	32	141	42	95	11	3
SP96116	342	0	562	0	98	67	28	124	36	18	44	0
SP96129	581	0	494	14	0	79	25	377	40	34	58	5
SP21193	306	0	318	14	0	90	18	146	42	59	46	2
SP18787	589	0	1135	22	46	75	18	218	53	29	74	0
SP96114	197	0	485	26	17	206	93	238	81	45	34	5
SP19582	46	0	100	8	0	144	37	61	45	119	21	1
SP17294	715	0	852	71	0	66	212	161	51	114	23	0
SP80367	0	36	229	17	0	107	473	67	43	86	27	8
SP82087	168	0	390	35	0	37	107	187	50	56	16	0
SP80615	649	458	5630	0	0	10577	1667	0	189	0	102	67
SP80271	396	0	498	25	2	102	39	148	52	62	46	3
SP81172	245	0	125	13	60	201	199	8	145	269	38	0
SP81840	811	0	921	61	43	141	18	186	22	86	75	0
SP80657	79	0	211	1	33	160	21	87	34	26	30	0
SP81494	146	0	309	45	0	99	76	78	93	317	22	0
SP81711	374	77	870	17	0	296	117	230	37	283	118	10
SP80423	305	9	242	11	0	71	37	206	84	146	34	2
SP80754	195	0	170	20	0	355	9	178	2	321	62	8
SP81440	41	0	156	10	15	60	26	90	32	30	17	0
SP80950	263	0	200	11	0	79	6	180	19	17	14	0
SP82103	223	0	894	20	19	52	4	133	48	64	21	0
SP81137	44	72	479	0	50	297	1258	308	0	37	95	14
DRUP01010006T	394	102	630	0	175	43	57	196	45	52	64	60
CPCT02020319T	392	191	490	0	278	18	145	184	26	3	47	37
CPCT02040021T	332	115	456	21	400	118	134	148	30	67	43	5
CPCT02110003T	81	181	573	0	102	59	26	66	22	21	33	32
CPCT02140012T	421	109	149	0	212	380	60	0	20	1122	55	67
CPCT02040027T	954	30	519	37	256	113	122	245	68	15	51	75
CPCT02100013T	753	105	418	40	120	266	62	195	106	553	467	127
CPCT02050048T	241	191	429	54	193	101	74	60	48	28	84	112
CPCT02060015T	690	91	547	1	218	12	178	252	42	47	21	73
CPCT02010397T	523	234	675	19	381	64	38	209	41	18	89	6
CPCT02040040T	440	0	623	39	348	49	176	106	70	61	40	59
CPCT02110008T	373	216	461	0	403	0	33	277	116	163	49	86
CPCT02050057T	619	66	1046	31	334	26	50	198	76	38	47	42
CPCT02050061T	219	0	408	31	128	0	51	61	61	163	30	44
CPCT02110011T	432	39	463	27	136	86	47	158	34	23	16	12
CPCT02020383T	269	45	323	55	187	110	166	203	54	96	109	32
CPCT02010414T	528	258	326	0	64	0	411	193	97	159	30	95
CPCT02210001T	627	0	497	56	338	154	74	124	27	38	29	6
CPCT02210003T	494	171	835	38	220	160	81	278	104	8	106	47
CPCT02330007T	248	0	529	49	212	5	337	84	81	93	42	94
CPCT02050068T	165	33	33	10	15	181	13	118	49	286	53	26
CPCT02050075T	508	167	415	0	292	98	464	161	164	179	27	86
