Samples	ID83A	ID83B
SP116788	3.30E-01	3.30E-01
SP116789	1.71E-01	1.71E-01
SP116919	0.00E+00	0.00E+00
SP109002	9.06E-01	9.06E-01
SP109001	2.53E-01	2.53E-01
SP109006	8.01E-01	8.01E-01
SP108998	1.13E+00	1.13E+00
SP127706	1.22E+00	1.22E+00
SP108999	1.02E+00	1.02E+00
SP109007	7.38E-01	7.39E-01
SP109003	7.20E-01	7.18E-01
SP116868	6.74E-01	6.75E-01
SP116794	2.87E-01	2.89E-01
SP116791	2.60E-01	2.60E-01
SP116866	7.04E-01	7.04E-01
SP116815	7.51E-01	7.50E-01
SP116853	6.03E-01	6.04E-01
SP116901	4.29E-01	4.30E-01
SP116830	6.88E-01	6.88E-01
SP116802	2.50E-01	2.50E-01
SP116885	9.00E-01	9.01E-01
SP116834	7.40E-01	7.40E-01
SP116913	3.18E-01	3.18E-01
SP116799	3.13E-01	3.13E-01
SP116920	4.20E-01	4.20E-01
SP116835	9.90E-01	9.92E-01
SP116852	5.93E-01	5.92E-01
SP116902	4.55E-01	4.55E-01
SP116871	1.97E-01	1.97E-01
SP116820	7.89E-01	7.91E-01
SP116889	7.04E-01	7.05E-01
SP116923	8.65E-01	8.65E-01
SP116829	7.07E-01	7.07E-01
SP116872	2.65E-01	2.65E-01
SP116904	5.37E-02	5.37E-02
SP116806	5.88E-01	5.89E-01
SP116857	7.41E-01	7.40E-01
SP116888	2.64E-01	2.63E-01
SP116818	4.99E-01	5.00E-01
SP116837	7.19E-01	7.19E-01
SP116905	9.28E-02	9.28E-02
SP116804	7.67E-01	7.67E-01
SP116819	6.36E-01	6.36E-01
SP116856	4.12E-01	4.12E-01
SP116839	9.74E-01	9.74E-01
SP116925	5.89E-01	5.86E-01
SP116878	1.41E-02	1.00E-02
SP116893	6.85E-01	6.85E-01
SP116876	5.00E-02	5.00E-02
SP116927	8.00E-01	8.00E-01
SP116909	4.70E-01	4.70E-01
SP116795	2.26E-01	2.25E-01
SP116826	5.93E-01	5.93E-01
SP116891	4.01E-01	4.01E-01
SP116860	4.74E-01	4.74E-01
SP116848	3.82E-01	3.82E-01
SP116910	8.05E-01	8.05E-01
SP116797	1.09E-01	1.09E-01
SP116862	7.94E-01	7.94E-01
SP116823	4.24E-01	4.24E-01
SP116897	4.23E-01	4.23E-01
SP116846	1.51E-01	1.51E-01
SP116784	4.99E-02	4.99E-02
SP116896	2.69E-01	2.69E-01
SP116824	4.46E-01	4.46E-01
SP116881	1.83E-01	1.83E-01
SP116812	6.00E-01	6.00E-01
SP116915	7.52E-01	7.51E-01
SP116786	9.62E-01	9.63E-01
SP116851	3.30E-01	3.30E-01
CPCT02220038T	8.70E-01	8.70E-01
CPCT02290013T	3.79E+00	3.79E+00
