Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
SP18310	72528	34071	17746	8844	0	793	0	0	0	0	0	0	0	0
SP17172	30867	2516	2220	2825	0	1262	0	190	0	0	0	0	0	0
SP96133	54767	6161	11090	1229	0	3545	521	75	0	0	0	0	0	0
SP110242	66416	22553	14967	11500	4296	4763	0	0	0	0	0	0	0	0
SP114330	208	0	60	511	48	195	97	16	60	4	14	26	49	0
SP21017	62502	24121	13273	7963	0	4520	0	0	0	0	0	0	0	0
SP22383	58434	5170	11296	180	0	3467	280	0	0	461	0	0	0	0
SP81312	2542	0	0	2505	0	6081	0	461	0	0	0	0	0	0
SP22031	242	0	0	1437	199	1503	0	113	0	0	0	0	0	0
SP96112	60	31	0	131	32	261	119	0	41	0	0	28	50	0
SP19215	54387	2532	13543	0	0	2797	0	0	0	472	0	0	0	0
SP96120	357	0	8	483	132	447	211	158	93	0	0	47	79	0
SP16886	0	0	0	2639	322	4124	0	578	0	0	0	0	0	0
SP96124	483	40	0	459	221	237	126	7	27	0	0	7	30	0
SP19295	546	0	0	1462	102	2094	0	74	0	0	0	0	0	0
SP19670	235	0	14	396	94	226	123	8	2	0	0	15	37	0
SP17905	1741	0	1831	0	0	18280	0	610	393	2811	0	0	0	0
SP16934	382	11	4	326	0	340	152	213	34	0	0	11	61	0
SP20993	457	0	0	654	132	379	204	128	50	0	0	0	0	0
SP19983	720	0	28	437	49	412	331	213	11	0	0	24	47	0
SP18121	55886	9101	10463	14502	0	10078	0	0	0	0	0	0	0	0
SP96122	820	0	8	554	210	472	296	41	2	0	0	16	55	0
SP119755	871	0	32	329	83	541	255	100	68	40	0	47	45	0
SP96126	834	0	0	1123	453	719	148	21	0	0	0	2	0	0
SP19606	159	0	17	234	4	107	86	120	69	79	91	34	0	0
SP96118	5174	0	2938	140	0	1055	158	0	0	0	0	0	0	0
SP21528	214	0	11	448	71	320	155	33	22	0	0	19	9	0
SP21400	906	0	0	3883	0	5463	0	299	0	0	0	0	0	0
SP23078	69	0	8	23	0	265	57	272	46	0	0	38	275	0
SP17430	64	0	0	179	0	88	115	16	47	44	40	26	7	0
SP96110	326	0	7	164	7	336	246	59	55	0	0	33	12	0
SP18946	3958	0	484	652	0	11524	0	183	0	0	0	0	0	0
SP21057	804	0	62	359	0	415	245	92	85	0	0	54	16	0
SP22750	222	0	3	375	36	287	210	44	23	0	0	26	0	0
SP19750	230	0	0	466	125	299	86	12	0	0	0	14	0	0
