Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
SP124389	2.01E+00	7.26E-01	1.12E+00	1.22E+00	4.14E-01	1.63E+00	1.58E+00	2.25E-01	8.41E-01	1.94E-01	1.16E+00	3.50E-01	2.38E+00	4.66E-01
SP124362	5.09E+00	7.18E-01	2.28E+00	2.73E+00	1.40E+00	4.45E+00	2.10E+00	3.35E-01	1.65E+00	1.16E+00	2.55E+00	6.67E-01	5.96E+00	3.64E-01
SP124394	2.64E+00	6.31E-01	9.79E-01	2.29E+00	4.31E-01	3.43E+00	1.67E+00	4.69E-01	8.93E-01	1.55E+00	9.00E-01	5.37E-01	2.28E+00	3.78E-01
SP124334	2.63E+00	8.45E-01	1.26E+00	1.88E+00	4.79E-01	3.48E+00	1.42E+00	1.09E-01	6.52E-01	4.05E-01	1.30E+00	4.52E-01	2.87E+00	7.35E-01
SP124339	2.26E-01	2.94E-01	8.69E-01	9.06E-01	2.27E-01	9.03E-01	1.74E-01	0.00E+00	3.62E-01	6.19E-01	9.69E-01	4.68E-01	5.26E-01	5.53E-01
SP124454	2.05E+00	7.57E-01	1.57E+00	1.64E+00	5.63E-01	2.41E+00	1.45E+00	2.43E-01	5.80E-01	5.93E-01	1.64E+00	4.00E-01	1.94E+00	5.95E-01
SP124380	3.58E+00	8.94E-01	1.73E+00	2.18E+00	1.47E+00	5.16E+00	1.58E+00	2.64E-01	1.20E+00	9.34E-01	2.40E+00	5.14E-01	5.70E+00	7.95E-01
SP124273	5.94E-01	9.10E-01	2.77E+00	9.46E-01	6.50E-01	1.89E+00	1.24E+00	2.87E-01	6.85E-01	0.00E+00	3.44E+00	3.97E-01	1.82E+00	7.04E-01
SP124357	7.73E-01	8.46E-01	1.23E+00	1.16E+00	6.32E-01	2.26E+00	9.30E-01	1.39E-01	6.13E-01	4.44E-01	2.01E+00	4.68E-01	1.94E+00	5.46E-01
SP124399	3.94E+00	9.14E-01	1.85E+00	2.75E+00	3.80E-01	3.83E+00	1.73E+00	2.79E-01	1.77E+00	1.56E+00	2.50E+00	5.14E-01	4.30E+00	5.23E-01
SP124311	4.30E+00	7.16E-01	1.53E+00	3.12E+00	1.24E+00	3.49E+00	1.92E+00	2.35E-01	1.37E+00	1.51E+00	1.35E+00	8.68E-01	4.80E+00	6.17E-01
SP124355	4.99E-01	5.13E-01	9.19E-01	1.01E+00	4.16E-01	1.61E+00	4.82E-01	2.18E-01	6.08E-01	3.51E-01	1.09E+00	2.86E-01	1.40E+00	5.50E-01
SP124434	2.88E+00	8.65E-01	1.27E+00	2.11E+00	6.26E-01	2.42E+00	1.79E+00	3.86E-01	1.14E+00	1.87E+00	1.23E+00	5.32E-01	3.05E+00	3.66E-01
SP124428	7.45E+00	1.20E+00	2.59E+00	5.91E+00	1.58E+00	7.47E+00	3.05E+00	8.07E-01	2.16E+00	5.22E+00	2.45E+00	9.39E-01	7.55E+00	7.84E-01
SP124449	3.12E+00	1.08E+00	2.43E+00	1.92E+00	1.34E+00	3.59E+00	1.64E+00	4.13E-01	1.42E+00	3.56E-01	2.55E+00	5.41E-01	3.86E+00	3.58E-01
SP124298	7.80E+00	1.23E+00	2.73E+00	5.12E+00	1.73E+00	6.39E+00	3.42E+00	8.74E-01	3.03E+00	2.95E+00	2.95E+00	1.01E+00	9.50E+00	5.35E-01
SP124431	3.06E+00	6.51E-01	1.29E+00	2.87E+00	1.01E+00	3.62E+00	1.42E+00	3.02E-01	1.10E+00	1.40E+00	9.29E-01	5.13E-01	3.77E+00	5.88E-01
SP124396	2.22E+00	1.12E+00	1.59E+00	1.92E+00	5.40E-01	2.55E+00	1.46E+00	0.00E+00	1.06E+00	1.04E+00	1.84E+00	6.93E-01	2.45E+00	9.65E-01
SP124409	5.00E+00	1.01E+00	2.34E+00	2.50E+00	9.00E-01	4.88E+00	2.56E+00	4.59E-01	2.07E+00	1.08E+00	1.94E+00	8.12E-01	6.14E+00	7.44E-01
SP124341	6.35E-01	7.70E-01	1.57E+00	8.46E-01	7.36E-01	2.84E+00	1.93E+00	0.00E+00	6.58E-01	6.29E-01	2.24E+00	4.54E-01	2.49E+00	4.16E-01
SP124353	2.72E-01	1.98E-01	7.48E-01	8.38E-01	1.13E-01	1.57E+00	9.26E-01	1.79E-01	4.82E-01	2.91E-01	8.40E-01	2.34E-01	8.21E-01	5.76E-01
SP124278	3.68E-01	9.26E-01	1.98E+00	8.69E-01	3.76E-01	1.56E+00	1.01E+00	1.88E-01	1.94E-01	6.97E-01	2.44E+00	4.91E-01	1.41E+00	5.00E-01
SP124376	1.86E+00	7.84E-01	1.20E+00	2.00E+00	5.79E-01	2.47E+00	1.16E+00	3.40E-01	2.99E-01	1.71E+00	1.48E+00	6.61E-01	1.89E+00	6.77E-01
