Sample Names	MutationType	ID83A	ID83B	ID83C	ID83D
SP127630	1:Del:C:0	0.5391851830292597	0.09436590945692525	0.30969963940483675	0.05674926810897837
SP127630	1:Del:C:1	0.500216648381343	0.07268729453528187	0.3573715349005932	0.06972452218278194
SP127630	1:Del:C:2	0.5136786700406213	0.11515167421374121	0.3057609810834974	0.06540867466214013
SP127630	1:Del:C:3	0.32544001069656936	0.5117868942548253	0.15615715597900895	0.0066159390695965485
SP127630	1:Del:C:4	0.345897036646784	0.516661977829602	0.1077632539998573	0.029677731523756676
SP127630	1:Del:C:5	0.20331689571445286	0.7489384379902145	0.027647206862424223	0.020097459432908384
SP127630	1:Del:T:0	0.2530768327087655	0.18270085916275078	0.45419467147782544	0.1100276366506582
SP127630	1:Del:T:1	0.019617074424723477	0.15782130728835952	0.5784732837931952	0.24408833449372183
SP127630	1:Del:T:2	0.43617826924756026	0.23680068810950264	0.2848286323423215	0.042192410300615615
SP127630	1:Del:T:3	0.49738767452231764	0.30729404557230594	0.1842770673306724	0.011041212574703925
SP127630	1:Del:T:4	0.4952758351210967	0.41292776961890454	0.09172404846246562	7.234679753304232e-05
SP127630	1:Del:T:5	0.40914942973811963	0.5848519341609347	0.004733765702433241	0.0012648703985123659
SP127630	1:Ins:C:0	0.5676733505366065	0.2374540899513271	0.10701178817992932	0.08786077133213704
SP127630	1:Ins:C:1	0.542035774089679	0.14345185125255255	0.18012893474526823	0.1343834399125002
SP127630	1:Ins:C:2	0.33122678705463937	0.17887548497009903	0.32996663167370716	0.15993109630155442
SP127630	1:Ins:C:3	0.479332876265535	0.19191845680556788	0.06391385425743772	0.2648348126714594
SP127630	1:Ins:C:4	0.46388778297784783	0.4444233268213398	0.035177069453817635	0.05651182074699463
SP127630	1:Ins:C:5	0.7234704216634114	0.2585842470562896	0.001818416330772888	0.016126914949526068
SP127630	1:Ins:T:0	0.6995086469467416	0.07376603807828125	0.10194789257255887	0.1247774224024182
SP127630	1:Ins:T:1	0.5515668555873147	0.06385307864887091	0.29409724132976983	0.09048282443404451
