hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12	hdp.13
1	0.0265114155457786	0.0150901487363438	0.00340508810804592	0.0488899202594555	0.0191661910686305	0.0785413602577838	0.0141048695838993	0.00555706834333544	0.0202974572302028	0.30052442257403	0.0465341870886031	0.00590845606484972	0.0932057147548861
2	0.026150207649726	0.00736263779795523	0.000782842752051955	0.0235392435927848	0.0073828821154215	0.11217564827185	0.0168787355563445	0.00224776648347136	0.00760013973359552	0.122739544731929	0.0214389948239842	0.00513677919474281	0.0670111313896959
3	0.0154744891082865	0.00429718467749243	0.000725589411916218	0.011307292809405	0.0066360316929082	0.0931936734983239	0.00583002639426765	0.00106436466524613	0.00717145459536676	0.0328611359505599	0.00739533602020995	0.00559356097541654	0.0423033961843939
4	0.00776547509397846	0.00316565946215764	0.00199327246044946	0.00661230008747176	0.00103226709701419	0.061960967367986	0.00499878992320048	0.000917793701230133	0.00313304788331754	0.0158569314254789	0.00532425098450182	0.0248334246000967	0.0208752238976991
5	0.00483377957079255	0.00233232303654051	0.00728488437129584	0.0032346979009495	0.00229513536248091	0.0401343606731828	0.00173429365705658	0.00252420870656369	0.00754251568460488	0.00942940884205556	0.00183773672500601	0.0670897709880901	0.0124070240785723
6	0.00275262456595912	0.00645257459162006	0.0288099346916557	0.00518717485701839	0.00191868734363479	0.022480195418091	0.00173023476419428	0.00261377985124013	0.00558084191191682	0.00486641980241808	0.00362388976294581	0.239186303167016	0.00501793098050196
7	0.0304114322989681	0.0107234789436098	0.00147980308607205	0.0240801711083759	0.0173960696559004	0.0450119546671202	0.0109755561388105	0.104626273714789	0.0220460164872795	0.00947413370517226	0.034417993476021	0.00777802187884291	0.0390388018066343
8	0.0206520798233109	0.00679007761490642	0.000473316430475329	0.0187743662467903	0.0064480969473693	0.0523542038674748	0.00721544116865626	0.144339000145881	0.00712516642486608	0.00554616013219051	0.0098519412434655	0.00706646648807522	0.0310262750342289
9	0.0254923048122893	0.00929765549472756	0.00135771174681212	0.016484298710867	0.00706295625954028	0.0303374398785731	0.0032562235608444	0.124700837207274	0.00311245437072744	0.0119238591072596	0.00490112900401402	0.00588341723698373	0.0302842630807799
10	0.0145264836796771	0.0140882651350168	0.00851258783956103	0.0133372131569602	0.0133908929894294	0.0272441876766935	0.00921892307905382	0.256948491899332	0.00253829212521082	0.0149097286553085	0.0109896330363651	0.0117579223487948	0.0306448798411479
11	0.0119267173975933	0.0103138753051355	0.0326689802910445	0.0138632480731235	0.0113056475012952	0.0309923364986506	0.00827289120298799	0.0865311083069715	0.00505240104297639	0.00938085992001066	0.017405150495407	0.0116273526419005	0.0286439772905852
12	0.0196900081021258	0.0671555275820571	0.778545057933239	0.117012461141234	0.0118503892479457	0.0550303895813639	0.0143319816806983	0.0195676377384073	0.00584874650689628	0.0172170771387504	0.0226908494611541	0.0118511460073467	0.0600940920056897
13	0.00328382302006181	0.00310669628524193	0.00068786837454695	0.0136660171968754	0.00733223200930504	0.00596842351319846	0.00371964997719119	0.00285254422765038	0.00781060921089249	0.00986335639868973	0.349925678766661	0.00394099833626184	0.00682166032588248
14	0.00274319152992119	0.00172464976671184	0.000101933001148385	0.00588577741758952	0.000775198283160995	0.00450388428452907	0.000662405118344458	0.00148296140146132	0.00539247739767528	0.00225891040368484	0.0376851413189406	0.0016156409777252	0.00453308743503966
15	0.00278179547075762	0.000934311070421197	9.21716654216509e-05	0.00319659477761806	0.000466727277092528	0.00167611333270097	0.00108301176418973	0.000655014873088453	0.000261480930501807	0.00748163274015159	0.00279217068227571	0.000868720010875622	0.00219985100048154
16	0.00193221490830516	0.00165138852342272	0.000195872012505759	0.00350334577382425	0.000366873384280417	0.00616453173769053	0.00165624517522349	0.000402656108772769	0.00113415464292077	0.00543160462777636	0.00418425150033869	0.00200791594762556	0.00264910895826823
17	0.00177807341807373	0.0033492294156844	0.00176087850904308	0.00200128794273969	0.000408932353037314	0.00429561261989177	0.00241984375989065	0.000351935930546893	0.000645200417387046	0.00422558511565423	0.00635307404838278	0.00375242908459318	0.00195797390511277
18	0.00348044745660321	0.023664950882355	0.0104011631120308	0.0107676821032662	0.00207584441189904	0.00816963560872824	0.00411097682338093	0.00181826663411374	0.0019875573619068	0.00472625972952819	0.0210071850646221	0.00593066564662914	0.005509472040198
19	0.00471444137967095	0.00778371694244416	0.000910910321029143	0.0125512513016966	0.00663632095679236	0.00959141751151077	0.00792066605750224	0.0047543093864625	0.00905264363077608	0.00636650390400393	0.072592501089366	0.00396037867195472	0.00973729807347617
20	0.00699001684066308	0.00465962758255895	0.000292180326861433	0.0203445185908658	0.00563951761197622	0.0170138516842207	0.00746139148576269	0.00319475016482333	0.0163047718947297	0.0317654599359165	0.0195568689787923	0.00236510826605268	0.0256432891815174
21	0.00450460285630176	0.00492689353436916	0.00136300415330629	0.0120014435230735	0.00208952659361982	0.0105461603697921	0.00318018903348497	0.00208794616677595	0.00340265286007048	0.00772731467100208	0.0123859219973204	0.00537938704666459	0.0136456204006284
22	0.00281937088741546	0.00645273261140849	0.000850146367304462	0.00894791704644045	0.00266898000636959	0.00716987930259761	0.0024714939461613	0.00294363352732134	0.00578828848828314	0.0117660196894698	0.00291339234688129	0.00321161869514888	0.00910079214244402
23	0.0010239301039261	0.0127139343413285	0.00101787086756416	0.00586917905787485	0.000561200861659258	0.0068579023216683	0.00196503087190813	0.00517242307336125	0.00183338941444331	0.00701216023028594	0.00197864163862369	0.00839706092258037	0.00716904344366816
24	0.0109220353890093	0.589499708205563	0.062905249834646	0.216842564604968	0.0194006105203539	0.0893118794227279	0.120037697509677	0.0213360812858828	0.0218145756347761	0.0165287465316755	0.0184098106742938	0.00865749302484743	0.161715717552914
25	0.016141609481457	0.00457205192602174	0.00171853444143323	0.0112733556775435	0.00556364369516099	0.00632705971210423	0.00364736450354427	0.00578672378977859	0.07468020069795	0.0220612730624699	0.00606339092154257	0.0189377001426364	0.0183754775761373
26	0.0150427146581142	0.0126479256614323	0.00157675188274231	0.0148494024543641	0.00487094347176249	0.0122499466187375	0.00325275336236671	0.0169001013989522	0.197613079638892	0.011291226749791	0.00707918231711207	0.00584140293259845	0.0177416345122102
27	0.00310647606526772	0.00296112191739424	0.00119325707731633	0.00551369205347202	0.000702535195459945	0.0167191498400568	0.00197804411619947	0.00235803974170939	0.0543604495733837	0.00695125239315427	0.00322588089326656	0.0100831501278607	0.00555078682679643
28	0.000495689881270401	0.00132161212289456	0.00336677474492708	0.00200040225951381	0.000659087760059079	0.0148288684080244	0.00240044782911355	0.00107257650362556	0.0146332966113847	0.00218885807781184	0.00273244220251484	0.0733322195534573	0.00283171708731561
29	0.000378222624607002	0.000307152325992164	0.0020212562403745	0.00143110007761209	0.000215299108980458	0.00759141443795332	0.00108115272929096	0.000182316613432332	0.0119451819587982	0.00105405473558434	0.00161103999500453	0.0532575868709401	0.000888146872452499
30	0.000405747890719757	0.00116267146052934	0.00556516046270696	0.00480714177464114	0.00138103256214618	0.00667648613778176	0.00282306842943248	0.00189631360224091	0.00871483445177519	0.00151427191442089	0.0027981435302518	0.170134308555598	0.000835938538606429
31	0.0139824727529497	0.000857851288656006	0.000511981336518717	0.004628055689137	0.00807997914985923	0.00148263180092843	0.00114829487305131	0.00351411477003333	0.00588369879890699	0.0100899734560431	0.00334004373753677	0.00666853302600176	0.00696666554368988
