MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	4.75E-04	1.14E-04	4.96E-04	9.48E-04	6.25E-04	7.94E-04	1.26E-03	1.87E-03	2.82E-04	1.41E-03
1:Del:C:1	4.97E-04	4.61E-05	2.36E-04	5.07E-04	7.01E-04	7.01E-04	1.12E-03	1.50E-03	1.68E-04	1.02E-03
1:Del:C:2	2.82E-04	3.23E-05	1.23E-05	3.77E-04	5.71E-05	6.03E-04	1.56E-04	6.98E-04	1.19E-04	3.60E-04
1:Del:C:3	1.39E-04	3.88E-05	1.25E-04	2.08E-04	1.07E-04	3.23E-04	2.19E-04	4.91E-04	8.01E-05	3.00E-04
1:Del:C:4	7.85E-05	5.76E-05	3.81E-05	5.81E-05	6.57E-05	2.22E-04	1.88E-04	2.62E-04	7.79E-05	1.34E-04
1:Del:C:5	6.36E-05	1.43E-04	1.66E-06	8.20E-05	9.86E-05	1.97E-04	2.55E-04	9.42E-04	1.00E-04	2.84E-04
1:Del:T:0	3.03E-04	9.81E-05	9.06E-04	6.31E-04	5.82E-04	5.81E-04	1.84E-03	3.23E-03	2.30E-04	3.19E-03
1:Del:T:1	2.10E-03	9.46E-05	1.81E-05	1.01E-03	7.16E-04	4.85E-04	1.98E-03	4.53E-03	1.17E-03	1.59E-03
1:Del:T:2	2.30E-04	5.90E-05	5.11E-04	4.67E-04	3.55E-04	3.54E-04	9.33E-04	1.71E-03	1.80E-04	1.59E-03
1:Del:T:3	3.45E-04	1.06E-04	5.78E-04	4.38E-04	1.91E-04	3.30E-04	8.82E-04	2.05E-03	2.69E-04	1.68E-03
1:Del:T:4	1.96E-04	1.50E-04	4.78E-04	3.74E-04	7.67E-05	3.21E-04	6.82E-04	1.52E-03	1.63E-04	1.28E-03
1:Del:T:5	6.63E-04	1.76E-03	1.58E-03	4.32E-04	1.09E-04	2.65E-46	1.13E-03	2.97E-03	8.50E-04	6.48E-03
1:Ins:C:0	3.95E-04	4.27E-05	1.30E-04	7.62E-04	0.00E+00	3.51E-04	2.48E-03	9.20E-04	8.53E-05	4.01E-04
