Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,1.0,1.0,NO,N/A,593300.0%,27.32%,143.97%,25.74%,96.59,0.1311,2.3521,0.06,0.605,0.929,0.295
3,1.0,1.0,NO,N/A,88800.0%,23.54%,144.08%,17.88%,94.53,0.103,2.3214,0.031,0.59,0.963,0.314
4,1.0,1.0,NO,N/A,34500.0%,18.81%,141.5%,13.31%,96.32,0.0783,2.4125,0.019,0.588,0.976,0.324
5,0.9,0.72,NO,N/A,34800.0%,17.97%,142.72%,12.6%,95.3,0.0689,2.3076,0.015,0.583,0.981,0.328
6,0.95,0.74,NO,N/A,34100.0%,16.89%,142.69%,11.94%,92.31,0.0643,2.0992,0.013,0.561,0.983,0.348
7,0.98,0.89,NO,N/A,31700.0%,15.77%,143.85%,10.64%,91.72,0.061,2.0756,0.012,0.555,0.985,0.354
8,0.97,0.89,NO,N/A,30600.0%,14.95%,141.73%,10.04%,92.48,0.0575,2.0998,0.01,0.553,0.987,0.36
9,0.98,0.92,YES,9.76e-03,30100.0%,14.28%,142.8%,9.56%,92.26,0.0538,2.1018,0.009,0.554,0.989,0.357
10*,0.87,0.4,YES,Most Stab Sigs,28900.0%,13.52%,143.23%,8.91%,92.68,0.052,2.1001,0.008,0.556,0.99,0.357
11,0.84,0.06,NO,N/A,23300.0%,12.94%,145.94%,8.32%,90.6,0.0507,1.9736,0.007,0.557,0.991,0.343
12,0.8,0.04,NO,N/A,23100.0%,12.41%,143.16%,8.01%,90.23,0.0495,2.1063,0.007,0.548,0.991,0.357
13,0.73,-0.04,NO,N/A,22000.0%,12.26%,141.88%,7.83%,89.73,0.0479,2.0812,0.007,0.541,0.992,0.365
14,0.7,-0.07,NO,N/A,23200.0%,12.15%,140.93%,7.65%,86.76,0.0467,1.9093,0.006,0.5,0.992,0.414
15,0.67,-0.2,NO,N/A,21500.0%,11.77%,141.99%,7.52%,87.16,0.0459,2.0013,0.006,0.502,0.992,0.413
16,0.65,-0.41,NO,N/A,19600.0%,11.51%,137.66%,7.37%,87.07,0.0456,2.0703,0.006,0.497,0.993,0.42
17,0.65,-0.5,NO,N/A,18500.0%,11.13%,138.58%,7.17%,86.54,0.0442,1.9946,0.006,0.492,0.993,0.425
18,0.63,-0.39,NO,N/A,17800.0%,11.06%,140.82%,7.11%,85.89,0.0432,1.7985,0.006,0.486,0.993,0.431
19,0.59,-0.4,NO,N/A,16500.0%,10.81%,138.38%,7.02%,85.04,0.0423,1.8426,0.005,0.472,0.993,0.449
20,0.56,-0.45,NO,N/A,15700.0%,10.51%,134.3%,6.68%,82.46,0.0412,1.7252,0.005,0.434,0.994,0.497
