De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-ID83A, Signature ID1 (15.82%) & Signature ID2 (84.18%), 17.03,  4.35, 0.575, 1.00, 1.00
Signature 83-ID83B, Signature ID1 (100.00%), 50.74,  9.51, 3.402, 1.00, 1.00
Signature 83-ID83C, Signature ID1 (7.06%) & Signature ID3 (24.58%) & Signature ID5 (35.40%) & Signature ID8 (13.74%) & Signature ID9 (19.22%), 25.55,  19.50, 0.124, 0.98, 0.97
Signature 83-ID83D, Signature ID1 (8.94%) & Signature ID8 (20.34%) & Signature ID19 (70.72%), 52.18,  30.24, 0.362, 0.95, 0.95
Signature 83-ID83E, Signature ID6 (66.34%) & Signature ID8 (33.66%), 17.28,  10.22, 0.052, 0.99, 0.99
