Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
SP97749	49	68	1	102	31	94	11	7
SP49235	108	88	19	71	24	60	44	13
SP50177	57	78	6	166	44	150	0	0
SP97775	165	164	59	312	207	0	73	26
SP97685	11	86	13	240	64	0	80	7
SP97747	160	81	20	94	59	89	68	14
SP97771	166	89	25	219	39	89	41	8
SP97681	163	77	49	211	95	79	21	0
SP98082	103	124	28	98	27	185	64	12
SP49334	78	107	13	146	40	82	16	2
SP49124	0	65	36	555	0	0	591	33
SP115501	68	319	40	17	20	68	36	12
SP98305	218	482	63	61	129	121	77	10
SP49247	263	202	49	140	44	137	62	6
SP49328	217	128	31	47	0	57	73	15
SP98092	71	97	31	59	27	182	66	18
SP120755	14	0	3	52	0	64	5	1
SP49417	91	140	38	134	53	156	62	0
SP49175	106	379	18	98	22	14	5	0
SP49223	11	102	8	15	17	49	83	0
SP49187	188	43	27	52	62	0	40	5
SP49157	360	68	28	37	51	102	59	5
SP49379	135	267	20	157	47	11	9	5
SP49541	224	163	65	0	61	154	159	8
SP98164	325	127	33	116	71	146	61	3
SP49481	9	0	12	125	24	0	12	0
SP98078	208	65	17	267	57	85	71	15
SP106677	52	105	32	59	57	151	42	0
SP106743	28	57	17	0	20	98	34	13
SP98359	60	255	54	137	67	51	60	18
SP98192	24	341	8	44	11	0	14	0
SP98053	196	179	39	117	48	126	40	16
SP106631	52	43	15	71	199	2	38	5
SP49551	209	97	22	21	45	61	24	3
SP49651	23	52	1	0	0	114	608	0
SP98265	74	265	44	177	45	186	53	4
SP98297	314	52	37	221	47	42	32	9
SP98060	20	0	3	37	8	22	0	0
SP98289	149	130	25	169	113	85	77	10
SP115498	336	217	82	33	45	158	18	33
SP98096	203	202	44	46	78	80	63	19
SP49114	303	46	30	297	89	181	131	19
SP98090	677	843	119	95	59	47	39	0
SP49286	166	87	21	167	55	60	34	13
SP49469	24	178	64	126	46	145	96	3
SP49205	15	126	33	16	20	78	76	6
SP98327	129	112	20	151	56	109	20	13
SP49449	21	279	22	8	11	28	25	1
SP49391	16	74	7	149	18	45	17	6
SP49531	325	375	100	191	32	17	35	20
SP49322	59	291	52	81	26	106	11	7
SP49433	26	130	20	97	49	53	5	0
SP109384	60	74	18	62	6	69	51	4
SP98065	74	98	47	255	38	88	0	15
SP49591	59	84	52	43	31	88	42	0
SP49385	98	65	16	191	60	116	81	4
SP98313	50	408	36	43	27	31	24	11
SP49119	104	183	34	132	51	106	0	8
SP109301	300	145	54	102	65	57	27	1
SP115830	80	244	37	45	35	88	43	2
SP49229	5	783	2	37	56	0	16	0
SP98853	129	192	32	74	300	106	88	9
SP98855	76	188	10	127	18	38	23	3
