Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
CPCT02030386T	63	0	97	4	11	139	4	40	38	44	6	32	45	13	11	18	0	0	12	3
CPCT02030400T	38	72	85	0	7	88	6	54	138	44	64	61	30	32	8	22	23	14	40	9
CPCT02030396T	54	63	61	4	15	196	3	18	44	29	39	44	48	17	8	0	14	7	30	14
CPCT02050176T	103	19	34	4	369	31	2	0	6	109	72	19	263	84	17	62	9	41	0	20
CPCT02100081T	150	0	40	14	9	33	12	13	40	94	23	37	48	20	28	83	14	12	0	16
CPCT02100084T	10	76	74	0	25	53	6	34	107	56	23	52	47	44	0	70	27	6	36	7
DRUP01050008T	33	0	6	6	188	30	4	0	0	33	39	0	102	33	0	53	17	17	30	23
CPCT02100085T	123	0	63	19	14	19	7	1	72	24	62	26	49	7	12	40	16	9	3	4
CPCT02100092T	26	33	53	1	1	35	6	59	41	38	32	80	38	0	0	39	26	26	8	13
CPCT02100090T	77	0	56	10	10	38	6	85	93	35	0	58	38	46	11	12	16	14	24	9
CPCT02100094T	32	0	16	9	27	23	11	5	15	19	5	0	14	14	3	33	10	2	0	8
CPCT02100089T	39	2	97	0	1	44	5	417	235	2	148	64	0	0	3	30	2	0	0	3
CPCT02100101T	5752	4216	2272	0	0	279	1117	0	0	5	0	325	0	0	893	130	137	0	0	3
CPCT02100095T	18	36	13	0	27	48	16	5	31	5	0	5	37	15	7	39	5	29	4	1
CPCT02030368T	59	56	83	0	50	206	7	69	69	26	0	58	57	4	0	6	18	8	18	9
CPCT02030369T	18	51	47	8	24	125	3	29	58	45	47	29	20	8	0	45	16	11	11	17
CPCT02100108T	30	33	29	0	33	111	23	40	31	3	56	27	22	0	0	1	6	25	0	11
CPCT02030375T	107	19	56	5	58	133	3	8	55	5	46	40	24	29	6	0	22	18	0	15
CPCT02030377T	24	0	7	4	32	68	0	6	21	8	26	1	19	13	1	17	2	11	19	2
CPCT02030374T	45	10	44	0	35	73	6	34	62	44	0	24	37	0	5	12	17	6	8	6
DRUP01050003T	51327	38873	278	12186	0	491	1786	0	0	0	0	0	0	0	0	0	0	0	0	0
CPCT02330058T	103	41	77	0	224	132	0	17	28	62	45	43	55	37	31	14	24	12	7	17
CPCT02030417T	57	0	92	1	28	165	3	5	44	32	72	23	22	37	1	4	10	11	0	8
CPCT02100129T	59	0	20	6	14	126	5	24	38	23	8	26	26	5	0	9	12	0	7	6
CPCT02100134T	21	0	30	24	58	165	8	11	9	36	0	44	31	30	17	21	0	22	25	0
CPCT02030410T	37	0	64	20	31	127	3	49	90	49	35	26	45	18	14	0	12	0	15	1
CPCT02030421T	96	0	72	5	44	164	9	47	75	53	0	37	45	44	10	32	15	10	0	16
CPCT02030430T	2872	1702	7738	0	0	358	546	29	0	54	119	407	0	0	378	636	125	82	0	15
CPCT02030416T	31	65	69	5	4	64	7	0	28	52	83	31	20	7	13	15	7	7	1	14
