Samples	ID83A	ID83B	ID83C
SP123975	41	2170	0
SP124044	47	0	20
SP123972	198	64	151
SP123850	108	7	26
SP123902	116	8	35
SP123884	178	9	32
SP123964	109	7	21
SP123995	111	4	23
SP123846	129	3	44
SP124003	58	8	27
SP123876	105	7	21
SP123878	62	7	22
SP123842	89	3	7
SP123900	130	3	10
SP123978	50	5	10
SP123897	55	4	33
SP124013	98	3	24
SP124021	70	2	17
SP123852	87	14	20
SP123998	91	1	78
SP123967	91	5	0
SP123988	255	15	21
SP123984	81	10	12
SP123858	43	0	45
SP123890	79	0	19
SP123950	113	7	21
SP123886	35	6	21
SP124033	54	4	29
SP123892	125	14	41
SP123840	91	0	31
SP123969	101	5	37
SP123953	79	14	24
SP123955	77	2	16
SP123882	164	6	42
SP123894	139	17	42
SP124017	26	5	16
SP123856	52	1	20
SP123854	91	10	16
SP123888	72	0	36
SP123870	66	5	20
SP123958	51	0	13
SP123844	91	1	24
SP123872	88	6	64
SP123874	77	8	30
SP123836	104	7	67
SP43633	56	7	14
SP36498	668	19	2
SP37516	528	13	15
SP39997	669	29	40
SP35617	597	16	58
SP37636	226	13	74
SP39907	457	17	15
SP40736	767	35	47
SP42154	557	21	102
SP39594	671	31	22
SP41453	486	16	72
SP34452	1255	32	15
SP42829	652	37	100
SP37970	937	29	50
SP34186	867	39	124
SP37903	1107	34	44
SP35849	204	5	70
SP36586	62	70	212
SP34431	460	11	0
SP37432	427	16	34
SP35989	360	18	24
SP39102	395	12	45
SP34493	269	11	70
SP36036	354	14	54
SP35951	742	53	29
SP39248	375	11	38
SP34246	735	7	23
SP35412	652	11	46
SP39298	1575	54	18
SP38044	803	27	61
SP38271	697	42	47
SP43201	508	15	37
SP34191	437	9	32
SP40047	882	99	34
SP39349	536	4	37
SP37369	460	13	1
SP38759	669	18	61
SP36218	262	12	45
SP43510	824	20	9
SP43770	546	21	44
SP43651	1181	72	108
SP106656	1227	55	25
SP97249	724	69	365
SP106638	1474	48	19
SP97161	1174	46	64
SP43696	1280	57	20
SP97113	757	39	32
SP97124	1584	42	27
SP43808	581	38	62
SP43822	0	28	430
SP43514	597	28	24
SP97258	929	26	8
SP97194	1954	58	164
SP109470	1274	66	188
SP97278	878	22	44
SP109544	885	59	101
SP97104	330	21	153
SP106577	1382	66	56
SP109457	31	43	360
SP109478	166	7	24
SP43688	838	32	30
SP97243	663	28	36
SP97269	1216	40	45
SP113926	287	6	23
SP106560	605	15	27
SP43792	1208	49	36
SP106602	676	36	22
SP97145	325	11	24
SP43664	1425	69	229
SP43532	1059	49	5
SP102816	651	25	34
SP102795	1203	62	228
SP103197	805	26	52
SP102827	1325	46	3
SP103233	777	22	60
SP103507	755	21	48
SP103100	450	24	35
SP103416	427	18	41
SP103005	394	31	33
SP102759	1185	21	96
SP102741	608	19	96
SP102945	525	16	80
SP103826	577	5	21
SP103706	1009	19	18
SP102897	599	11115	1760
SP102881	388	25	104
SP103715	582	20	15
SP102929	682	12	28
SP103619	208	2	8
SP103844	427	0	12
SP103128	592	31	80
SP103300	1026	11	59
SP103057	917	19	0
SP103340	660	35	43
SP102913	665	34	76
SP102783	1063	39	97
SP103080	953	45	139
SP103436	463	5	49
SP102804	1009	0	21
SP102957	1295	0	0
SP102873	428	14	53
SP103213	552	13	3
SP103467	184	4	6
SP103261	1507	47	44
SP103156	839	38	20
SP103288	382	7	23
SP103444	542	11	11
SP103685	675	13	0
SP103140	1211	31	11
SP103673	1092	35	61
SP102839	620	14	52
SP103245	826	32	33
SP103037	295	0	7
SP103408	689	23	0
SP103021	642	23	16
SP103679	360	13	35
SP103065	1084	44	35
SP102965	562	14	0
SP103221	1215	54	51
SP103547	744	28	38
SP102973	1115	23	79
SP103515	813	2	28
SP102747	198	7	4
SP103730	550	20	146
SP103535	1268	16	101
SP102718	705	31	44
SP103483	389	14	18
SP103428	1075	18	29
SP102755	1867	47	2
SP103694	1491	48	13
SP103595	496	10	45
SP103396	307	0	9
SP102716	320	10	6
SP102733	369	15	74
SP102989	754	28	92
SP103603	582	43	77
SP102921	518	14	53
SP103742	790	38	134
SP103555	67	7	13
SP103523	391	3	23
SP103575	483	20	145
SP103045	746	14	17
SP103455	896	39	57
SP103856	161	2	6
CPCT02020340T	836	4	119
CPCT02140010T	664	35	117
CPCT02110007T	925	36	184
CPCT02140015T	543	41	212
CPCT02020376T	192	32	289
CPCT02050051T	531	32	188
CPCT02140017T	1250	97	448
CPCT02040048T	1468	56	321
CPCT02060029T	304	62	548
CPCT02060039T	623	34	78
CPCT02050077T	589	61	307
CPCT02060050T	919	45	294
CPCT02020866T	522	27	87
CPCT02120177T	715	39	40
CPCT02140095T	1427	54	99
CPCT02120176T	654	187	604
CPCT02120085T	456	32	349
CPCT02100138T	292	64	473
CPCT02080177T	364	53	527
CPCT02230079T	868	93	375
CPCT02340107T	560	167	464
CPCT02120096T	802	27	184
CPCT02120102T	147	8	36
CPCT02440023T	1022	51	282
CPCT02160060T	733	31	114
CPCT02180055T	287	26	214
CPCT02140104T	140	55	254
CPCT02140105T	824	41	197
CPCT02190055T	862	82	336
CPCT02030551TII	270	55	931
CPCT02050317T	160	0	159
CPCT02180078T	697	19	77
CPCT02220075T	597	30	149
CPCT02230085T	898	65	555
CPCT02120195T	698	22	198
CPCT02080302T	1052	45	234
CPCT02070470T	237	23	49
CPCT02300034T	833	23	272
CPCT02020955T	480	26	114
CPCT02020965T	692	34	135
CPCT02140094TII	1189	59	273
CPCT02210083T	160	2	147
CPCT02100200T	995	56	158
CPCT02140106T	367	19	103
CPCT02140059T	1084	48	141
WIDE01010156T	159	10	99
