Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
SP116536	47	19	24	0	0	10
SP116539	11	0	9	0	2	1
SP116542	4	4	4	0	0	18
SP116545	5	0	12	0	0	12
SP116548	12	10	7	0	0	11
SP116550	2	1	0	0	0	3
SP116553	8	15	1	0	1	10
SP116557	0	0	0	2	4	3
SP116559	11	7	8	0	0	14
SP116562	20	23	0	2	0	1
SP116564	0	6	14	2	9	15
SP116571	1	1	17	0	3	4
SP116393	0	0	0	0	2	0
SP116442	1	0	0	0	0	3
SP116446	0	2	3	0	0	5
SP116419	54	1	29	0	0	47
SP116383	131	55	183	12	116	6
SP116385	24	77	16	3	39	67
SP116440	46	46	25	0	13	49
SP116450	194	129	64	9	29	19
SP116493	16	34	4	0	0	29
SP116391	9	17	36	0	3	9
SP116401	40	16	1	1	0	8
SP116409	13	49	20	0	9	53
SP116416	8	1	8	0	2	12
SP116424	11	4	2	0	3	14
SP116515	43	0	18	2	15	16
SP116499	24	4	78	6	22	24
SP116505	0	169	98	2	9	0
SP116509	34	14	78	3	26	27
SP116437	38	8	8	0	0	11
SP116512	0	41	32	0	17	296
SP116465	0	7	72	0	13	100
SP116496	263	61	61	0	102	65
SP116525	103	21	67	0	10	53
SP116481	4	12	9	2	4	10
SP116586	23	2	13	0	8	29
SP116528	66	245	4	0	12	48
SP116589	115	82	80	9	70	39
SP116406	14	6	50	1	10	36
SP116484	5	2	11	3	0	22
SP116453	30	12	19	1	0	37
SP116469	258	29	13	1	81	50
SP116578	392	26	0	14	287	0
SP116531	16	45	8	0	0	29
SP116593	19	1	15	0	0	27
SP116487	2	8	2	0	9	9
SP116456	15	4	7	1	0	22
SP116472	0	48	94	6	62	29
SP116518	24	147	268	6	24	98
SP116412	15	23	49	0	0	16
SP116534	20	11	29	0	23	6
SP116596	212	28	28	0	32	98
SP116490	0	22	88	0	23	24
SP116459	43	35	58	0	14	51
SP116475	14	37	39	0	0	23
SP116520	82	17	78	0	5	70
SP116431	79	57	59	3	0	86
SP116582	80	129	82	0	61	41
SP116599	1	42	99	0	2	15
SP116478	24	18	70	1	2	54
SP116462	14	36	25	0	7	20
SP116523	20	54	40	0	10	3
SP116434	13	9	0	1	4	0
SP122725	30	86	73	1	33	72
SP122476	106	16	44	6	29	78
SP122372	257	0	0	2	28	0
SP122489	48	35	44	0	0	54
SP122560	38	54	34	3	29	25
SP122590	62	11	51	0	9	60
SP122714	38	18	18	3	12	59
SP121870	20	56	98	0	8	44
SP123010	47	98	19	3	22	89
SP121865	83	20	60	4	8	39
SP122676	60	158	66	1	12	74
SP122412	52	33	7	7	33	56
SP122392	53	152	114	0	236	205
SP122634	63	35	40	0	22	57
SP122702	104	34	55	4	0	79
SP121828	94	36	18	0	11	50
SP121783	110	7	31	0	34	60
SP121774	156	41	92	0	28	132
SP121790	76	11	57	0	14	73
SP121859	81	29	48	0	2	70
SP121808	70	18	6	4	0	34
SP121781	182	41	141	0	23	167
SP121763	63	16	13	0	30	39
SP121811	66	20	9	0	62	44
SP121852	103	35	48	6	27	36
SP122361	18	75	356	6	66	168
SP121837	68	8	16	3	23	36
SP121824	57	0	3	0	19	38
SP121841	42	1	42	0	0	31
SP121831	60	38	59	4	27	32
SP121761	133	68	60	0	5	118
SP121816	107	21	53	0	1	86
SP121861	9	2	0	2	2	1
SP121847	95	34	46	0	14	56
DRUP01010001T	151	81	56	34	75	161
CPCT02010424T	325	133	40	43	49	61
CPCT02010349T	50	14	8	13	13	46
CPCT02020325T	12	87	31	109	21	81
CPCT02030246T	72	50	52	78	35	73
CPCT02070010T	32	102	49	62	13	39
CPCT02010370T	64	5	61	38	49	36
CPCT02010369T	299	194	91	128	148	106
CPCT02070013T	417	108	112	108	150	0
CPCT02060018T	40	82	14	71	5	67
CPCT02060022T	73	85	39	65	10	52
CPCT02070009T	84	131	88	144	38	96
CPCT02010398T	278	41	61	175	136	0
CPCT02010408T	16	82	11	110	53	112
CPCT02030246TII	78	78	63	31	23	112
CPCT02010386T	117	197	150	70	24	57
CPCT02020309T	58	180	67	215	21	36
CPCT02080045T	654	83	166	65	292	0
CPCT02020398T	0	43	50	56	70	47
CPCT02010392T	97	9	4	142	12	0
CPCT02090003T	33	137	25	104	28	35
CPCT02060274T	53	153	151	71	71	41
CPCT02020650T	418	118	4	113	54	23
CPCT02080181T	100	75	43	65	0	100
DRUP01340015T	24	101	55	226	24	230
CPCT02070436T	0	136	297	134	2232	0
CPCT02050225TII	8	99	60	106	23	86
DRUP01070031T	35	228	0	73	0	39
CPCT02070278T	26	52	21	77	14	34
CPCT02010732T	36	162	47	122	63	70
CPCT02060181T	52	45	112	90	13	36
CPCT02080175T	138	125	41	118	32	61
CPCT02020903T	0	25	69	65	45	111
CPCT02070441T	37	144	52	53	15	52
CPCT02080181TII	115	98	70	85	0	169
CPCT02070290T	128	108	85	101	12	72
DRUP01090011T	36	119	0	166	32	52
CPCT02080297T	128	48	72	20	1	77
CPCT02010680T	69	36	43	105	2	48
CPCT02090064T	22	84	56	26	25	47
CPCT02020937T	13	153	40	74	0	59
CPCT02090065T	60	126	71	65	36	71
CPCT02060191T	360	134	132	110	172	0
CPCT02060192T	67	18	14	135	27	50
CPCT02011090T	15	35	17	35	8	73
CPCT02070463T	57	68	19	39	124	32
CPCT02011094T	1	24	6	33	17	81
CPCT02030458T	84	42	2	94	24	32
CPCT02060282T	16	52	18	23	1	36
DRUP01090012T	15	193	16	132	16	63
CPCT02090042T	63	76	1	77	23	70
CPCT02340078T	17	19	3	79	9	26
WIDE01010040T	540	59	28	46	219	0
CPCT02020683T	684	93	13	246	334	0
CPCT02020691T	207	139	164	198	87	29
DRUP01010077T	48	156	17	83	40	85
DRUP01050021T	552	527	1956	382	413	0
CPCT02080206T	19	35	17	75	15	34
CPCT02060292T	296	145	7	42	153	0
CPCT02060290T	13	18	27	29	17	62
CPCT02090044T	977	82	112	136	0	0
WIDE01010138T	84	106	36	111	121	10
CPCT02130062T	119	72	90	120	54	32
WIDE01010160T	98	172	165	79	65	12
CPCT02020706T	30	6	0	132	41	0
CPCT02070313T	8	55	65	99	27	48
WIDE01010187T	524	73	50	51	129	68
WIDE01010169T	143	360	264	67	47	119
CPCT02100161T	747	480	216	133	223	27
CPCT02070317T	0	137	122	76	14	69
WIDE01010239T	0	203	34	83	26	63
WIDE01010233T	0	232	258	90	42	14
