Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
CPCT02070441T	1.67E+00	1.65E+00	1.64E+00	1.12E+00	8.52E-01	1.69E+00
CPCT02080181TII	6.13E+00	1.50E+00	2.88E+00	2.95E+00	9.83E-01	5.06E+00
CPCT02070290T	2.75E+00	1.38E+00	2.55E+00	1.34E+00	1.66E+00	2.97E+00
DRUP01090011T	1.94E+00	1.47E+00	6.82E-01	1.64E+00	1.09E+00	1.82E+00
CPCT02080297T	4.42E+00	1.20E+00	3.69E+00	9.79E-01	1.38E+00	3.82E+00
CPCT02010680T	1.96E+00	9.00E-01	1.38E+00	1.31E+00	9.01E-01	1.69E+00
CPCT02090064T	1.54E+00	1.23E+00	1.34E+00	9.59E-01	8.81E-01	1.62E+00
CPCT02020937T	1.48E+00	1.59E+00	1.41E+00	1.32E+00	3.36E-01	1.51E+00
CPCT02090065T	1.81E+00	1.49E+00	1.51E+00	1.10E+00	1.40E+00	2.04E+00
CPCT02060191T	1.28E+01	2.51E+00	2.95E+00	1.47E+00	1.25E+01	1.23E+00
CPCT02060192T	1.89E+00	7.41E-01	8.44E-01	1.45E+00	1.70E+00	1.62E+00
CPCT02011090T	1.44E+00	8.10E-01	7.71E-01	1.00E+00	5.87E-01	1.48E+00
CPCT02070463T	2.12E+00	1.15E+00	1.45E+00	9.81E-01	1.95E+00	1.73E+00
CPCT02011094T	9.27E-01	7.56E-01	4.40E-01	8.40E-01	6.22E-01	1.15E+00
CPCT02030458T	2.47E+00	8.81E-01	8.03E-01	1.31E+00	2.32E+00	1.29E+00
CPCT02060282T	1.17E+00	8.99E-01	7.90E-01	8.90E-01	4.67E-01	1.25E+00
DRUP01090012T	1.81E+00	1.68E+00	1.63E+00	1.44E+00	9.55E-01	2.02E+00
CPCT02090042T	1.51E+00	1.18E+00	7.65E-01	1.16E+00	1.47E+00	1.96E+00
CPCT02340078T	1.06E+00	6.64E-01	4.15E-01	9.59E-01	8.31E-01	1.14E+00
WIDE01010040T	1.72E+01	1.56E+00	2.17E+00	1.13E+00	1.71E+01	2.36E+00
CPCT02020683T	3.28E+01	2.34E+00	3.69E+00	2.07E+00	2.89E+01	2.51E+00
CPCT02020691T	4.29E+00	2.34E+00	2.72E+00	1.94E+00	4.91E+00	2.60E+00
DRUP01010077T	1.97E+00	1.75E+00	1.63E+00	1.34E+00	1.44E+00	1.86E+00
DRUP01050021T	2.00E+01	2.73E+01	2.37E+01	4.73E+00	2.04E+01	5.57E+00
CPCT02080206T	1.22E+00	7.57E-01	8.30E-01	1.09E+00	8.45E-01	1.20E+00
CPCT02060292T	1.19E+01	1.61E+00	1.92E+00	8.13E-01	1.11E+01	1.41E+00
CPCT02060290T	1.08E+00	8.86E-01	8.64E-01	8.96E-01	8.39E-01	1.23E+00
CPCT02090044T	1.11E+01	3.01E+00	1.41E+01	3.06E+00	8.62E+00	4.35E+00
WIDE01010138T	2.11E+00	1.51E+00	1.78E+00	1.40E+00	2.08E+00	1.59E+00
CPCT02130062T	2.49E+00	1.52E+00	2.65E+00	1.69E+00	2.50E+00	2.05E+00
WIDE01010160T	2.50E+00	2.88E+00	2.41E+00	1.32E+00	2.61E+00	1.85E+00
CPCT02020706T	2.00E+00	5.02E-01	4.02E-01	1.10E+00	1.46E+00	6.56E-01
CPCT02070313T	1.73E+00	1.39E+00	1.42E+00	1.20E+00	1.15E+00	1.76E+00
WIDE01010187T	1.16E+01	1.39E+00	2.58E+00	1.25E+00	1.36E+01	3.55E+00
WIDE01010169T	5.35E+00	4.10E+00	4.07E+00	1.38E+00	1.93E+00	4.40E+00
CPCT02100161T	2.26E+01	4.22E+00	4.02E+00	1.71E+00	2.27E+01	3.52E+00
CPCT02070317T	1.82E+00	2.11E+00	2.04E+00	1.00E+00	8.76E-01	1.74E+00
WIDE01010239T	1.36E+00	1.67E+00	2.00E+00	1.27E+00	1.01E+00	2.04E+00
