Samples	ID83A	ID83B	ID83C	ID83D	ID83E
CPCT02010466T	5.77E-01	1.13E+00	8.91E-01	1.31E+00	1.13E+00
CPCT02010454T	5.62E-01	9.92E-01	7.60E-01	1.13E+00	7.50E-01
CPCT02140036T	1.96E+00	3.39E+00	1.43E+00	2.14E+00	1.83E+00
CPCT02010350T	4.57E-01	1.32E+00	8.09E-01	1.07E+00	1.08E+00
CPCT02100039T	3.48E+00	1.66E+01	1.70E+00	3.90E+00	1.71E+01
CPCT02050106T	1.91E+00	2.52E+00	1.80E+00	2.67E+00	1.66E+00
CPCT02020415T	4.67E-01	1.26E+00	6.80E-01	1.22E+00	3.71E-01
CPCT02180014T	1.09E+00	2.07E+00	1.22E+00	1.49E+00	1.03E+00
CPCT02090006T	4.83E-01	1.28E+00	1.18E+00	1.26E+00	8.75E-01
CPCT02020444T	6.80E-01	1.79E+00	2.06E+00	2.47E+00	1.16E+00
CPCT02030314T	6.82E-01	1.03E+00	1.08E+00	1.06E+00	8.35E-01
CPCT02190010T	9.85E-01	1.70E+00	9.44E-01	1.33E+00	1.17E+00
DRUP01010013T	6.26E-01	1.71E+00	1.15E+00	1.37E+00	6.89E-01
CPCT02080086T	3.15E+00	2.94E+00	5.01E+00	3.08E+00	3.41E+00
CPCT02010438T	3.06E-01	6.57E-01	9.90E-01	1.19E+00	7.73E-01
CPCT02190012T	1.04E+00	2.56E+00	1.95E+00	2.05E+00	1.27E+00
CPCT02010486T	2.83E-01	1.18E+00	6.78E-01	1.30E+00	8.77E-01
CPCT02060077T	1.02E+00	1.84E+00	1.24E+00	1.92E+00	1.41E+00
CPCT02020491T	5.75E+00	7.02E+00	7.70E+00	1.80E+00	4.41E+00
CPCT02010538T	5.65E-01	8.32E-01	1.14E+00	1.15E+00	6.53E-01
CPCT02170001T	7.19E-01	1.88E+00	1.26E+00	1.72E+00	1.76E+00
CPCT02170002T	1.00E+00	1.61E+00	1.09E+00	1.35E+00	7.57E-01
CPCT02050142T	5.10E-01	1.55E+00	8.84E-01	1.36E+00	1.01E+00
CPCT02080071T	2.94E+00	1.72E+01	2.63E+00	3.22E+00	1.74E+01
CPCT02020499T	5.15E-01	1.63E+00	8.71E-01	1.47E+00	7.10E-01
CPCT02340008T	1.00E+00	2.04E+00	1.04E+00	1.47E+00	9.90E-01
CPCT02020505T	8.45E-01	1.71E+00	1.95E+00	2.27E+00	1.62E+00
CPCT02080158T	6.99E-01	1.81E+00	1.24E+00	1.72E+00	9.55E-01
CPCT02010571T	4.54E-01	9.16E-01	9.60E-01	1.45E+00	8.47E-01
CPCT02380010T	2.41E+00	3.30E+00	9.48E-01	2.31E+00	1.78E+00
CPCT02110047T	3.66E+00	4.36E+00	1.03E+00	2.79E+00	1.72E+00
CPCT02030425T	1.57E+00	2.54E+00	1.91E+00	2.03E+00	1.52E+00
CPCT02080168T	1.85E-01	1.10E+00	8.60E-01	1.04E+00	5.89E-01
CPCT02020641T	5.09E-01	1.25E+00	1.00E+00	1.60E+00	7.46E-01
CPCT02230065T	8.60E-01	1.60E+00	1.40E+00	1.51E+00	1.17E+00
CPCT02330074T	2.96E+00	5.21E+00	1.84E+00	3.69E+00	2.57E+00
CPCT02010697T	6.77E-01	1.01E+00	7.08E-01	1.23E+00	6.50E-01
CPCT02090028T	3.25E+00	2.64E+01	2.24E+00	5.63E+00	2.86E+01
CPCT02450008T	1.79E+00	2.48E+00	1.33E+00	2.20E+00	1.74E+00
CPCT02010688T	3.22E-01	9.47E-01	7.02E-01	1.04E+00	5.82E-01
CPCT02020646T	5.56E-01	1.24E+00	9.64E-01	1.34E+00	8.55E-01
CPCT02010704T	4.55E-01	9.38E-01	8.12E-01	1.24E+00	6.95E-01
CPCT02010705T	5.60E-01	1.48E+00	9.27E-01	1.41E+00	6.69E-01
CPCT02250003T	1.30E+00	2.54E+00	4.96E+00	1.25E+02	1.24E+02
CPCT02010698T	5.19E-01	1.56E+00	8.50E-01	1.48E+00	7.21E-01
WIDE01010622T	1.15E+00	2.39E+00	1.68E+00	2.22E+00	1.46E+00
WIDE01010631T	1.92E+00	2.88E+00	1.19E+00	2.87E+00	2.25E+00
WIDE01010635T	1.43E+00	2.73E+00	1.13E+00	3.62E+00	2.64E+00
WIDE01010636T	1.48E+00	2.73E+00	2.17E+00	2.01E+00	1.66E+00
WIDE01010658T	1.01E+00	1.57E+00	2.30E+00	1.96E+00	1.16E+00
WIDE01010504T	6.43E-01	1.24E+00	8.15E-01	1.36E+00	9.19E-01
WIDE01010493T	5.36E-01	1.53E+00	7.31E-01	1.48E+00	6.71E-01
WIDE01010304T	3.04E-01	1.03E+00	9.88E-01	1.04E+00	7.29E-01
WIDE01010568T	6.66E-01	1.19E+00	1.20E+00	1.66E+00	1.10E+00
WIDE01010464T	1.36E+00	3.37E+00	2.14E+00	2.43E+00	1.45E+00
WIDE01010467T	3.73E-01	8.69E-01	8.60E-01	9.93E-01	6.82E-01
WIDE01010486T	5.45E-01	9.08E-01	8.44E-01	9.61E-01	6.08E-01
WIDE01010516T	1.92E+00	2.86E+00	1.00E+00	1.86E+00	1.20E+00
WIDE01010510T	1.99E+00	3.65E+00	1.90E+00	2.78E+00	1.27E+00
WIDE01010583T	6.38E-01	1.51E+00	1.23E+00	1.59E+00	8.96E-01
WIDE01010566T	2.47E+00	3.59E+00	1.02E+00	4.08E+00	4.96E+00
WIDE01010578T	1.58E+01	1.67E+01	2.92E+00	3.86E+00	2.14E+01
WIDE01010599T	1.54E+00	2.87E+00	1.13E+00	2.01E+00	1.27E+00
WIDE01010604T	1.37E+00	2.99E+00	1.59E+00	2.47E+00	1.98E+00
WIDE01010614T	2.69E+00	5.79E+00	8.59E-01	2.27E+00	4.84E+00
WIDE01010662T	1.27E+00	2.41E+00	1.29E+00	1.86E+00	1.04E+00
WIDE01010672T	1.34E+00	1.93E+00	4.08E-01	1.47E+00	1.09E+00
WIDE01010686T	2.85E-01	8.63E-01	8.43E-01	8.83E-01	5.65E-01
WIDE01010532T	1.79E+00	2.82E+00	1.51E+00	2.22E+00	1.33E+00
WIDE01010703T	4.21E-01	8.26E-01	9.27E-01	1.29E+00	7.54E-01
WIDE01010712T	8.82E-01	1.38E+00	1.23E+00	1.54E+00	1.07E+00
WIDE01010721T	8.86E-01	2.20E+00	1.50E+00	1.76E+00	1.46E+00
WIDE01010663T	7.73E-01	1.65E+00	8.87E-01	1.64E+00	8.27E-01
