MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
1:Del:C:0	1.29E-04	5.39E-03	5.37E-03	3.41E-03	3.43E-03	4.34E-03	2.97E-03	6.27E-04	3.88E-03	7.11E-03	3.92E-03	1.07E-03	4.05E-03	2.12E-03	5.56E-03	1.40E-03	2.16E-03
1:Del:C:1	6.23E-05	3.17E-03	3.44E-03	3.10E-03	3.71E-03	4.98E-03	3.78E-03	1.89E-04	3.61E-03	7.58E-03	5.75E-03	6.53E-04	1.05E-03	1.45E-03	4.22E-03	1.93E-03	1.70E-03
1:Del:C:2	8.51E-05	2.74E-03	2.11E-03	2.39E-03	2.33E-03	3.62E-03	2.08E-03	2.20E-04	1.90E-03	3.07E-03	3.29E-03	5.52E-04	1.35E-03	1.44E-03	2.17E-03	1.43E-03	1.41E-03
1:Del:C:3	1.79E-04	1.96E-03	1.35E-03	1.89E-03	1.83E-03	2.25E-03	1.51E-03	2.11E-04	2.26E-03	2.59E-03	2.14E-03	4.43E-04	7.74E-04	1.14E-03	1.77E-03	2.49E-04	8.18E-04
1:Del:C:4	4.76E-04	1.24E-03	6.73E-04	8.81E-04	9.65E-04	1.19E-03	7.21E-04	2.52E-04	3.70E-03	2.34E-03	1.36E-03	0.00E+00	6.93E-04	1.09E-03	1.03E-03	1.70E-04	5.26E-04
1:Del:C:5	1.36E-03	4.23E-03	1.55E-04	3.24E-04	2.21E-04	5.28E-04	3.76E-04	9.61E-05	5.04E-03	2.58E-03	3.74E-04	7.30E-05	3.15E-05	1.14E-03	4.68E-04	1.75E-04	5.83E-04
1:Del:T:0	1.19E-04	3.83E-03	4.72E-03	5.83E-03	3.62E-03	4.16E-03	3.73E-03	6.72E-04	3.72E-03	4.33E-03	4.13E-03	6.22E-04	1.86E-03	1.93E-03	5.44E-03	2.14E-03	2.92E-03
1:Del:T:1	1.03E-04	3.73E-03	4.41E-03	5.05E-03	4.18E-03	4.31E-03	3.00E-03	4.02E-04	1.95E-03	4.24E-03	4.33E-03	6.74E-04	6.58E-04	1.44E-03	2.84E-03	5.07E-04	1.88E-03
1:Del:T:2	1.40E-04	4.79E-03	4.40E-03	4.64E-03	4.63E-03	5.05E-03	2.56E-03	4.83E-04	2.59E-03	3.77E-03	4.30E-03	6.77E-04	1.54E-03	1.21E-03	3.43E-03	9.07E-04	2.48E-03
1:Del:T:3	3.52E-04	5.11E-03	4.39E-03	3.87E-03	4.99E-03	3.70E-03	1.84E-03	1.84E-04	3.26E-03	6.45E-03	4.24E-03	3.85E-09	1.59E-03	1.08E-03	3.74E-03	3.67E-04	1.97E-03
