hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10
A[Del(C):R1]A	0.000922635855372393	0.00246678113888021	0.00449807532626662	0.00155050452056477	0.0111921361341178	0.0117682854172671	0.00286083861017219	0.0310984664150701	0.00211252477491309	0.00126719948912902
A[Del(C):R1]G	0.000218306932136085	0.000189145647779618	0.00015979871079844	0.000423633161564122	0.000406567007192657	0.00164675327581423	0.00049468609127499	0.00448721738989325	0.000222168108762065	0.000453996667365123
A[Del(C):R1]T	0.00296998060539993	0.00767199094453528	0.00392802019146801	0.00150029709306522	0.00191013874058763	0.0147464820395747	0.00214030718559982	0.00496210850161409	0.000167169803582016	0.000702613889969833
A[Del(C):R2]A	0.000620247162027904	0.00126616107307795	0.00106768236634884	0.000894646022741878	0.00126436166353625	0.003982657397819	0.00193215428701735	0.020856784890181	0.00041442052266536	0.000714254830158683
A[Del(C):R2]G	0.000190957292044806	0.000189350819628481	0.000107233978340585	0.000108409797870785	0.000110316797189336	0.000282530658816503	0.000256849218893049	0.00499885380758778	1.87007418751812e-05	3.82488034776477e-05
A[Del(C):R2]T	0.00241593773820553	0.0029113657384943	0.00148428497205635	0.000572625068580757	0.00105524018327478	0.00532107077346025	0.000598200875972101	0.00925133024535979	0.00011742198569497	0.00034257623984328
A[Del(C):R3]A	0.000541052869449413	0.00167251531818723	0.000586515006736341	0.000952203217788681	0.000827190455105241	0.00293786249214907	0.00113419739814493	0.0135540750078014	0.000410004840883378	0.000877227992802573
A[Del(C):R3]G	0.000286025044686818	0.000145785997053231	4.70259967176153e-05	0.000150296788641276	0.000173178048197719	0.000447237145400306	0.000353820611068612	0.00221646939535692	0.00010582807494651	0.00025859517133801
A[Del(C):R3]T	0.000519873838719792	0.00150137919936337	0.00040425555429153	0.000545757294371835	0.000537951599660541	0.0022534813701691	0.00154401596924774	0.00931409570454834	0.000274931112343523	0.000629442265925638
A[Del(C):R4]A	0.00092771074905301	0.000719560470834742	0.000841858627024066	0.00114665382942143	0.000904459919261578	0.00153042952938847	0.000926606164156588	0.00864055611129463	0.00104731294284991	0.00195235196881558
A[Del(C):R4]G	0.000497253076830906	0.00086669148334163	4.83196282351094e-05	9.81625537538938e-05	0.000171014406825333	0.000384923934331798	0.000482750718649848	0.00124383793342907	0.000167241201421775	0.0004215683339819
A[Del(C):R4]T	0.000936505309124533	0.000154198042856615	0.000515576583601728	0.000429224681042539	0.000317650502508359	0.00182317554729314	0.000478819066490978	0.00313043893480394	0.000554750230639737	0.00111836175385731
A[Del(C):R5]A	0.000966204971005417	0.00130115427174514	0.000620510199921165	0.00103326862544511	0.000274030721433014	0.00151054049848431	0.00120687679662462	0.00494858548291819	0.00218859093496339	0.00624619590704543
A[Del(C):R5]G	0.000459277878095835	0.000398443730492004	0.000128907889661574	8.88365735011702e-05	8.79768386094314e-05	9.88075933951908e-05	0.000394120045697031	0.0014916355932567	0.000548890115638028	0.00152080568610038
A[Del(C):R5]T	0.000332982228544117	0.000596730923982075	0.000761148389717466	0.000449169898392007	0.000403270947730048	0.000599595079656048	0.000460143718736345	0.00283227968810883	0.0018119343773887	0.00431047385278534
A[Del(C):R6]A	0.000659390163001981	0.000343662846845575	0.00140721854942253	0.000312299731367304	0.000161593652074748	0.000615955952752195	0.000481290390705125	0.0020295719507598	0.00321012376551899	0.00620378962492891
A[Del(C):R6]G	6.49067367901635e-05	0.000309421944957545	7.72141680660951e-05	3.81932167283557e-05	6.58103568433481e-05	5.71504040586777e-05	0.000155019427978311	0.000381255865026471	0.000917418303763296	0.00283041145734593
A[Del(C):R6]T	0.000599904335370658	0.000271419559173693	0.00093750317878163	0.000280619297981533	0.000165477605184197	0.000215764107253907	0.000591545150531728	0.000532340625628937	0.00148831543047147	0.00224586996072014
A[Del(C):R7]A	0.00020067456005826	0.000128072827434722	0.00109999910270419	0.000319015948370746	0.000498042294880823	0.000431312498337487	0.000204951410395962	4.47658549933234e-05	0.00357913526209801	0.00838397142315483
A[Del(C):R7]G	0.000142443038535499	0.000311222897853121	5.08295826136735e-05	7.46804969006664e-05	7.47926007589958e-05	3.08378249714371e-05	0.000105536777235959	2.40616470589113e-05	0.000745223190690592	0.00240135966181406
A[Del(C):R7]T	0.000250356615806572	0.000272285840313337	8.31222673870273e-05	0.000251824716384778	9.08343872371026e-05	6.71979839032498e-05	0.000191752292434041	8.61742708621475e-05	0.000701741906277725	0.00189830474651021
A[Del(C):R8]A	0.000471316333275707	0.00085914571867789	0.000858693016452916	0.000171180707025842	0.00124744285538826	0.000237024134262818	0.000348681380032374	7.68480510718718e-05	0.00271842331952744	0.00547124188875918
A[Del(C):R8]G	8.47449575416661e-05	0.000105025189745775	3.69449479199327e-05	3.12677536737467e-05	0.000242867539350131	1.21759793918001e-05	0.00012935135602683	8.02987523942738e-05	0.000294483136154285	0.00084479965941935
A[Del(C):R8]T	0.000101656464039858	0.000136256904517148	0.000152761905093718	6.88274198582901e-05	0.00089018181372399	6.76677657852956e-05	0.000270385335611445	2.0331159142801e-05	0.000489481620817519	0.000894689403085847
A[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0
G[Del(C):R1]A	0.000902912973113631	0.00223268005932749	0.00124478790836539	0.000502318395388519	0.0011045654240047	0.00478764782747523	0.00237497065302496	0.0162919733516326	0.000115323987634377	0.000297675470543432
G[Del(C):R1]G	0.000175934453365252	0.000935971177641047	9.04803335084443e-05	0.000360350762061767	0.000772097110315756	0.000984892922016414	0.000342166070740532	0.00279805246147852	0.000404551144354141	0.00121315226682365
G[Del(C):R1]T	0.000778188810525514	0.00513214583058774	0.00267712833518542	0.00130384701916576	0.00185102651627795	0.0119469751053808	0.00111052323550259	0.00692182706614472	0.000144333479142368	0.000599508419725739
G[Del(C):R2]A	0.000637807447547766	0.00198392059101712	0.000947986232592717	0.00127832771950881	0.000513303435696733	0.00702394380940826	0.00113694955465614	0.0290767284889342	0.000300233408325597	0.000663533590764411
G[Del(C):R2]G	0.000292065898244143	0.000190581850721659	0.000105296108019558	0.0001146552112591	0.000570825455879719	0.000557118168872292	0.000372215126526183	0.00647230327225343	3.527602498217e-05	7.73291026830704e-05
G[Del(C):R2]T	0.000653363726756248	0.00217618941027387	0.000970067302837539	0.00045280554853104	0.000746436998271323	0.00561820781385424	0.000902482669838948	0.0181586162426563	6.23028534014848e-05	0.000205379444760413
G[Del(C):R3]A	0.00064887994285093	0.00107247884775125	0.000904554229413744	0.000605311045490193	0.00161894345218705	0.00298709850960308	0.000898270185383016	0.0164966838760292	0.000188204705603145	0.000351722692848804
G[Del(C):R3]G	0.000134888367260944	0.000370973499616454	3.2445584116059e-05	0.000100295700997739	0.000200158511547349	0.000692161285189773	0.000877151596643942	0.00306291710352235	1.83602291009488e-05	4.24062821165225e-05
G[Del(C):R3]T	0.000581882695879831	0.000553143304534729	0.000315549883940551	0.000416725135680443	0.000483417235715591	0.0019708212816504	0.00122133965992332	0.00905426722119126	5.93700498298705e-05	0.000140522777993967
G[Del(C):R4]A	0.00137242714244026	0.00038581426335088	0.000374739109268868	0.000439826480968352	0.000311781203640731	0.00136950526632441	0.000541444668735839	0.00681457553855655	0.000859981487748422	0.0021377755161094
G[Del(C):R4]G	0.000196363783892054	0.000444903755823433	0.000130397369775342	5.11490347298022e-05	0.000203093160981163	0.000234914909486286	0.000161759403107803	0.00144640342727386	0.000386042627432155	0.000996963377602166
G[Del(C):R4]T	0.000752771090187651	0.000210050379491551	0.00030002458776048	0.000359368468099342	0.000119959216757583	0.00128580739223747	0.000244661097200551	0.00566026931511413	0.000611198461181033	0.0016696434213721
G[Del(C):R5]A	0.000644295237764464	0.000333769004355958	0.000516439004613391	0.00063600918491354	0.000243999957440355	0.000575300645184535	0.000716487439494682	0.0048103709056263	0.00210676351845874	0.00579136774395253
G[Del(C):R5]G	0.000391011907704581	4.51606036219625e-05	3.37495234544096e-05	0.000128965316202824	4.84674942615798e-05	0.000170089803456635	0.000159203829204537	0.00117780829731392	0.000737221140496131	0.00243212500374173
G[Del(C):R5]T	0.000334539298196125	6.23038514380734e-05	0.000142531392893616	0.000652650058371656	0.000225534314369131	0.000603501939185307	0.000282152208858349	0.00274424017328862	0.00171532211591255	0.00565417094886966
G[Del(C):R6]A	0.000384913384900885	0.000417821071773513	0.0004479847663052	0.000841375465548851	0.000169780793927047	0.000508447807153809	0.000206945319705104	0.00244412242043755	0.00337481112113403	0.0100926951437324
G[Del(C):R6]G	0.000123354517986814	8.15672083591024e-05	7.74151705727973e-05	9.00077701486764e-05	0.000109762635145184	6.90291745046937e-05	0.000837526159528471	0.000412125652532283	0.00113104064032043	0.00363114184319321
G[Del(C):R6]T	0.000190337347646321	0.000330577442262533	0.000561126843966717	0.000178530474573096	0.000338780942191897	0.000134793844298436	0.000879791420236326	0.000827981792980677	0.00183022320864989	0.00423979671592447
G[Del(C):R7]A	0.000651648066676721	0.000383716951118058	0.000422864606877846	0.000113716510224002	0.000374507528238363	0.000220725579171432	0.000639061975194645	0.000508465502965831	0.00186453810886609	0.00463309419516203
G[Del(C):R7]G	0.000193855171674931	7.82844587772939e-05	5.68991711280247e-05	3.38746107278736e-05	8.50518267763852e-05	5.92116919084706e-05	0.000126177951070027	7.2931038759956e-05	0.000635078292509458	0.00205961491769855
G[Del(C):R7]T	0.0002383181606267	0.0002208788937371	0.000107110284490307	0.000138610977922609	0.000216079828015858	0.000181225551538191	0.000264796772899908	0.000372675742819417	0.000550966145132542	0.00149004034417271
G[Del(C):R8]A	0.00028397778644066	0.000245567906216951	0.000597893122991804	0.0001640372793346	0.00136055455680028	9.33715459029462e-05	0.000846456626575048	0.000440011049705208	0.00180586556100924	0.00358042060379894
G[Del(C):R8]G	5.40937530956671e-05	5.23188214600726e-05	1.5547629791927e-05	3.23430458811346e-05	4.99854163825181e-05	3.45577304864123e-05	0.000262493948063998	1.76265554036211e-05	0.000246020479382891	0.000805719360213927
G[Del(C):R8]T	0.000349879317730717	0.00014179654443645	0.000330174963765819	8.90225699910967e-05	0.000211762182871855	9.97471571592825e-05	0.00017914292229595	8.15111609670096e-05	0.000679097806791272	0.00117074598470713
G[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0
G[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0
T[Del(C):R1]A	0.0031425269905409	0.00231101011184898	0.00186132616131651	0.00136724276027916	0.00146222642610084	0.00803538420145294	0.0060429774514132	0.0167709680000612	0.000459186968193877	0.00101193030070211
T[Del(C):R1]G	0.000234353399938718	0.000466765956163393	0.000105184439960279	0.00015480429732684	0.00058067026506409	0.00142775342600542	0.000405718419565698	0.00187298472048107	0.000221206983996086	0.000554607650425892
T[Del(C):R1]T	0.00442385114102713	0.00780482831823804	0.00566990104266924	0.0014112047743904	0.00862034236921371	0.0212532055842359	0.00276105889502601	0.0137331384277747	0.00138165255001394	0.0017062292333942
T[Del(C):R2]A	0.00233831493259063	0.00177129416497873	0.000813809328503315	0.00221048690931275	0.0006242707709379	0.00659417967380446	0.00419074803613975	0.0369607416508416	0.000265863586694206	0.000684320983958784
T[Del(C):R2]G	0.000135753405956504	0.000158643432915314	9.94172141910525e-05	0.000222972010884921	0.000205907340405379	0.000614580162954775	0.000450202255420344	0.0087883766949705	0.00010314241774329	0.000213694402038162
T[Del(C):R2]T	0.0019888537168961	0.00404359518800888	0.00204407179931172	0.00160360942463395	0.00234400425195526	0.0137084893838091	0.003062841281449	0.0231741639836687	0.000444511966052766	0.00130711128406222
T[Del(C):R3]A	0.00069318434137518	0.000995471013811325	0.000602499000944528	0.000757831073425122	0.000895482494146314	0.00496330310812631	0.000899983262395095	0.0535979716591103	0.000341072972667402	0.000763313078097405
