hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12	hdp.13	hdp.14	hdp.15	hdp.16	hdp.17	hdp.18	hdp.19
A[Del(C):R1]A	0.000779817724420609	0.00439670834378856	0.000583750902267651	0.000774316968725808	0.000217353253956117	0.00193788020222197	0.00198942765776048	0.000372570510748458	0.0288095737777911	0.000815009522923003	0.00695452124083728	0.00201966880688075	0.0129816714095396	0.00555186726349784	0.00303516951931071	0.00100569693191513	0.0107117841213423	0.00020692088949485	0.00579720456904062
A[Del(C):R1]G	7.47196259068267e-05	0.000604274579536091	3.63076086224629e-06	0.000157984066666978	3.73016006317309e-05	0.000125183580133327	0.000450701512171772	6.3263963715116e-05	0.00266815619286767	0.000534040918410677	0.000168802295098521	0.000194913924685383	0.000890203128042979	0.00136206013308879	0.000266915272475892	0.000454010448842611	0.000634469234442698	2.2747996759772e-05	0.00155373065429189
A[Del(C):R1]T	0.000112104644752183	0.00372350552838971	0.000197852890623188	3.64701929647261e-05	0.00102659119504162	0.00328363321308452	0.00201470997230599	0.000256811746751456	0.0075866877539272	0.000323923450731035	0.00913474002858094	0.000331189453666247	0.00086598142236533	0.00706838534439813	0.00432538648127611	0.00044281750776117	0.00611410307926404	0.000115070092265016	0.00119328180262605
A[Del(C):R2]A	7.91403792694192e-05	0.00180286867514118	7.45013267837551e-06	0.000128353704763769	0.000512072206048548	0.00383720149980853	0.00183876639644056	0.000104892171461541	0.025813844537318	0.000336286651425004	0.00214250703319258	0.000475228695974746	0.00228472242797419	0.00230019272968484	0.00175595617222251	0.00076419762249896	0.00217616425904732	6.17191274886447e-05	0.00129706052833437
A[Del(C):R2]G	3.09240285720812e-06	5.99308183220293e-05	6.78999433978527e-06	2.29508393821976e-05	3.61492447933406e-05	8.80344669958842e-05	0.00027221608780625	9.26225998539583e-06	0.00450135926546336	6.84341753868832e-05	0.000104568923018098	2.53805245894909e-05	0.000100806890890051	0.000185846624981595	0.000235732614642058	9.16411305131833e-06	2.7506732666507e-05	1.12797387248041e-05	0.000725756907879894
A[Del(C):R2]T	0.000121486637817455	0.00181534034301942	0.000395847239461787	0.000236081043982652	0.000468377398368214	0.000723975911401971	0.00110827998865201	0.00010876335445684	0.0115860740451791	0.000169838994999085	0.00348299751576122	0.000245565006253491	0.000749008745726054	0.00236369166281056	0.00135779088530222	0.000568690812918208	0.00303694355319768	0.000102030839978683	0.00222551568308268
A[Del(C):R3]A	0.000164460162990695	0.000662713251879831	0.000392075020384129	0.000127578880151331	0.000538544818938694	0.00105865746057564	0.00123637099699571	9.23449269126009e-05	0.0145978340315081	0.000930650371993461	0.00283910369980819	0.000665300380194687	0.00114287369996468	0.00104576809876938	0.00162339538233819	0.00093681993963824	0.00107840256678383	3.2802359968511e-05	0.00281903281004328
A[Del(C):R3]G	6.52108832134995e-05	6.19797351877397e-05	6.88429981672674e-06	6.06500644907899e-06	0.000100397029207706	1.08797521884743e-05	0.000382820540173899	1.94273629847959e-05	0.0021368488387458	0.000142132518111219	0.000272874824205642	0.000152118196120636	0.000296810299862858	0.000173780224179295	0.000198375514604401	0.000337559158605127	9.58798774308893e-05	1.27774199111058e-05	0.000723153762586208
A[Del(C):R3]T	0.000192634948920161	0.00118995301143231	7.63874363225843e-06	0.000112696903974516	0.000239768942867271	0.000527129160306705	0.000496863296539433	7.99584403823416e-05	0.0064846026612038	0.000214027630437509	0.00144409498313112	0.000188183906899954	0.000354622314527773	0.000311361245951692	0.00120556846381913	0.000638702573415334	0.000943847230448163	3.68136319569975e-05	0.000443055328985502
A[Del(C):R4]A	0.000820761815208286	0.00083259518504982	6.31846695507796e-06	9.90706780316516e-05	0.00111715373538197	0.000332474598085236	0.00202991567315473	0.000202957810493453	0.00652038703957471	0.0013925367659855	0.000819532164339856	0.000824944026486066	0.000799430173135206	0.000993854513922281	0.0033457888044807	0.000915912694853243	0.00119060333382113	5.25549943556795e-05	0.00216564334132788
A[Del(C):R4]G	0.000191943227228417	0.000153579681586293	5.13964849330969e-06	0.000126670465088474	9.77923892990153e-05	1.37952895795512e-05	0.000329203423375177	3.26046490614942e-05	0.00169886361927379	0.000492174337554999	0.000376068026956175	0.000144750366192144	0.000584473773973652	0.000475961384470767	0.000315517446024423	0.000992990966540035	6.17147010759745e-05	2.73038800887319e-05	0.000474293072509744
A[Del(C):R4]T	0.000441160722465894	0.000745471676586134	7.26152172449258e-06	0.000119483298855865	0.000410001893020714	0.000274215518014932	0.000369055976644407	8.6046135453388e-05	0.00310515383315991	0.00128097691202641	0.00103330774777289	0.000341669366982445	0.000646415646399493	0.000401839208113785	0.0013706226869772	0.000880408204326091	0.000270428667951552	8.11994562055765e-05	0.00093262018721821
A[Del(C):R5]A	0.00199606538547362	0.00131899023230107	6.60138338590235e-06	0.000165598722340932	0.00127371627243889	0.000333087229992728	0.00112045589686895	0.000255962489743679	0.0069262308594759	0.00395039061355433	0.0011916857707409	0.000211251446074083	0.00174392684486246	0.000720055452527913	0.000771770781387389	0.00199604010594127	0.000655779677609967	7.2003903187584e-05	0.000426915828164644
A[Del(C):R5]G	0.000449306186489288	5.8772734876193e-05	1.06093661559145e-05	2.82677393089232e-05	0.000102022955938585	3.35766571949591e-05	0.000279830285768566	4.65337630437392e-05	0.00096594668811552	0.00105314982370069	0.000101377819304674	0.000114523935550183	0.000757604124578256	4.18515695601348e-05	0.000305134724776653	0.00182398517291211	5.86764652027294e-05	2.79636976743053e-05	0.000300750052930621
