hdp.1	hdp.2	hdp.3
A[Del(C):R1]A	0.0263714809291739	0.00472153932239778	0.00341840533181373
A[Del(C):R1]G	0.00289432395699156	0.000479023886320272	0.000691312749310336
A[Del(C):R1]T	0.00849251169657271	0.00845578176371486	0.00702590763566178
A[Del(C):R2]A	0.0273015370224354	0.00131549259921844	0.00479067394559461
A[Del(C):R2]G	0.0044008330239896	0.00133318552040022	0.000359752728256801
A[Del(C):R2]T	0.0118144773215573	0.00705831993280515	0.00408391900647819
A[Del(C):R3]A	0.0156488973858991	0.00128213905185548	0.00198121991287699
A[Del(C):R3]G	0.00255174562368576	0.000373942280112256	0.000133913030779172
A[Del(C):R3]T	0.00661752012759151	0.00145739460896692	0.00116875396393003
A[Del(C):R4]A	0.00719043607953358	0.00199639112226598	0.00274126810294058
A[Del(C):R4]G	0.00163591919635835	0.000624273205481522	0.000328710014973522
A[Del(C):R4]T	0.00351064854790833	0.00230840817824199	0.000613542975558348
A[Del(C):R5]A	0.00695908455349659	0.00143575664454866	0.00223659349688966
A[Del(C):R5]G	0.000751349086832166	0.000792276258865289	0.000502457934655359
A[Del(C):R5]T	0.00281320553788064	0.00223827407626016	0.00163056671383644
A[Del(C):R6]A	0.00265442705622387	0.00102750444295551	0.00109213909460262
A[Del(C):R6]G	0.000423950229266897	0.000446706410918413	7.09427984034601e-05
A[Del(C):R6]T	0.0013716477285954	0.000341664653631978	0.000935649545071971
A[Del(C):R7]A	0.00072433195083563	0.00027085311998327	0.000541622233892138
A[Del(C):R7]G	4.86675552341353e-05	0.000313889955290307	0.000236541190895717
A[Del(C):R7]T	0.000140446569687589	0.000572987643407303	0.00027622705987263
A[Del(C):R8]A	7.08453228611849e-05	3.43497704024685e-05	0.000475569151802426
A[Del(C):R8]G	1.287196234581e-05	7.30430732572214e-05	1.42500304000649e-05
A[Del(C):R8]T	1.81133974431644e-05	5.2281785113734e-05	5.66927680033953e-05
A[Del(C):R(9,)]A	0	0	0
A[Del(C):R(9,)]G	0	0	0
A[Del(C):R(9,)]T	0	0	0
G[Del(C):R1]A	0.0161743257610475	0.00279456502152519	0.00270459988746015
G[Del(C):R1]G	0.00423116086482922	0.00056135175830577	0.000792636985076549
G[Del(C):R1]T	0.0124865114625	0.0093401488803529	0.00639669894040872
G[Del(C):R2]A	0.0331466024735087	0.00621762723421945	0.00599634759612977
G[Del(C):R2]G	0.00637628883145162	0.000877353706439849	0.000774465867880126
G[Del(C):R2]T	0.0211493421212301	0.00251649924673584	0.00411810045194763
G[Del(C):R3]A	0.0214660075452774	0.00366677821708114	0.00195369779533961
G[Del(C):R3]G	0.00545228996085123	0.00190410101988533	0.000387032688414833
G[Del(C):R3]T	0.00957498312849345	0.0025426401392927	0.000897379365389705
G[Del(C):R4]A	0.00737117381429138	0.00212980531171779	0.000914898520410961
G[Del(C):R4]G	0.00160099183452006	0.000268422335766854	0.000717540256242743
G[Del(C):R4]T	0.00426188109365996	0.000591597089785438	0.000731501560536663
G[Del(C):R5]A	0.00539943566729864	0.00113677018592949	0.00221904640063232
G[Del(C):R5]G	0.00106848650225575	0.000460773080236361	0.000221331844723622
G[Del(C):R5]T	0.00266669300495087	0.000496119073678345	0.0015693288380976
G[Del(C):R6]A	0.002741401664632	0.000388048798351785	0.00126936104130355
G[Del(C):R6]G	0.000493708806552033	0.00043431339630685	0.000133195872386489
G[Del(C):R6]T	0.00125660420093885	0.00017633147799411	0.000474209344979936
G[Del(C):R7]A	0.000537076656148543	0.00026547351556989	0.000320700193964335
G[Del(C):R7]G	8.754274617577e-05	0.000185138089663421	3.0781928413212e-05
G[Del(C):R7]T	0.000150451621452078	0.000111776225033555	0.00020450190685897
G[Del(C):R8]A	7.32635502824213e-05	0.000141782462983739	0.000304885454343871
G[Del(C):R8]G	5.35506265088246e-06	4.37541158954878e-05	7.65589868552504e-06
