hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6
A[Del(C):R1]A	0.00354245253531565	0.0042516226859028	0.000541620489900674	0.0157113855984433	0.000675183377219284	0.000448213582710711
A[Del(C):R1]G	0.000155943421057246	6.47519503961062e-05	5.51501559508535e-07	0.00202621340981078	0.000109697716487028	0.000139994400223991
A[Del(C):R1]T	0.0029673152776216	0.0068897265421562	0.000175515371313591	0.0149962365655863	0.000246431893303007	0.000348812414062923
A[Del(C):R2]A	0.00121154491252963	0.00179245401991098	4.59584632923779e-07	0.00440448059875291	0.000113632565854816	0.000132583121112455
A[Del(C):R2]G	6.54045070229438e-05	9.75964086142328e-05	2.2979231646189e-07	0.000570146630466238	4.17020484399227e-06	2.55295254427765e-05
A[Del(C):R2]T	0.00145491235797422	0.00214966599186541	0.000363577403106002	0.00827768909972657	0.000132358035930308	0.000104288432964289
A[Del(C):R3]A	0.000830811651210115	0.00220585863086774	0.000365691492417451	0.00273212430346566	0.000424139987554402	0.000316160987001034
A[Del(C):R3]G	0.000217693451250283	0.000164234952793878	8.7321080255518e-07	0.000212651207695294	0.000161564179555517	0.000128322841362873
A[Del(C):R3]T	0.00115776878181781	0.00119445443734202	9.19169265847558e-08	0.00246708145700768	0.000108557713399164	0.000101860877333395
A[Del(C):R4]A	0.000871038148217018	0.000830873628655237	2.75750779754267e-07	0.00230665579139421	0.000980152590369442	0.000688991732935184
A[Del(C):R4]G	0.000164350625397487	0.000288927406352903	4.59584632923779e-07	0.000504728266304675	0.000228875845749904	0.000140653537845624
A[Del(C):R4]T	0.000513201914731114	0.000417177798523838	4.59584632923779e-07	0.0014014763369019	0.00051837779119827	0.000447441909397579
A[Del(C):R5]A	0.000563195484786777	0.000485386393905892	1.83833853169512e-07	0.00193200495430016	0.00243038361530488	0.00164816558463063
A[Del(C):R5]G	6.32843109202834e-05	0.000115588688925705	1.37875389877134e-07	0.000221960531189208	0.000629568543987468	0.000514320263202334
A[Del(C):R5]T	0.000318519949201736	0.000165374506085949	2.2979231646189e-07	0.000781927807928456	0.00239823552822712	0.0016295971955334
A[Del(C):R6]A	0.000437804144072623	0.00023258282691163	9.19169265847558e-08	0.00108273680633162	0.00448530169747784	0.00454475390116228
A[Del(C):R6]G	5.84934307808528e-05	0.000179530290314116	1.37875389877134e-07	2.02558856991612e-05	0.000906802585238693	0.000420819180094533
A[Del(C):R6]T	0.000382229389417669	0.00011477833991801	1.37875389877134e-07	0.000125047072590292	0.00185402011865682	0.00170546232813067
A[Del(C):R7]A	0.000351699110576917	8.9075082330193e-05	0.000183558102389757	0.000119399785441053	0.00553559021975612	0.00174898148768583
A[Del(C):R7]G	3.94743451761392e-05	6.2814709799586e-05	4.59584632923779e-08	9.83292350691027e-05	0.00118547817878167	0.000463743508137488
A[Del(C):R7]T	4.91324107131939e-05	2.834955356607e-05	1.83833853169512e-07	0.000134087477648528	0.000797222546489767	0.000669362293032394
A[Del(C):R8]A	0.000295380379654578	7.57549705162111e-05	0.000183512143926465	0.000112668915183347	0.00254775980420307	0.000828552066920539
A[Del(C):R8]G	9.10212722735968e-06	9.2430433690179e-07	1.37875389877134e-07	4.12236143162937e-05	0.000157607265611835	9.42406033662191e-05
A[Del(C):R8]T	8.76120623450259e-05	3.49083158470991e-05	5.51501559508535e-07	6.43031435900744e-05	0.000439541061528511	0.000236614329639033
A[Del(C):R(9,)]A	0	0	0	0	0	0
A[Del(C):R(9,)]G	0	0	0	0	0	0
A[Del(C):R(9,)]T	0	0	0	0	0	0
G[Del(C):R1]A	0.00102676082906306	0.00201486949911669	0.000365921284733913	0.00629208237370317	8.76699148860456e-06	2.59475151540562e-05
G[Del(C):R1]G	0.000162023315022588	0.000432523782857057	1.37875389877134e-07	0.000893552686832111	0.000115419796502241	4.43390624503637e-05
G[Del(C):R1]T	0.001746965283334	0.00754642578097006	1.37875389877134e-07	0.0107112506646636	2.91693693320517e-05	5.17181885071864e-05
G[Del(C):R2]A	0.00130662671461424	0.0023256889903806	2.2979231646189e-07	0.00638977885951185	7.23056152050935e-05	5.45637338493599e-05
G[Del(C):R2]G	0.00018346236738715	0.000519294435196618	6.89376949385669e-07	0.00067950152139814	5.3543370836444e-06	7.95788104167152e-06
G[Del(C):R2]T	0.00121474155781038	0.00180905351286548	1.83833853169512e-07	0.00489478218192003	8.11976392904315e-05	0.000101893030388109
G[Del(C):R3]A	0.000525647847380022	0.00133031451316333	4.13626169631401e-07	0.00426175609369966	0.000175619314400084	8.59129621953386e-05
G[Del(C):R3]G	0.000221391531084872	0.000302589384154506	9.19169265847558e-08	0.00069919584212868	2.74042032605206e-05	2.01760418329248e-05
G[Del(C):R3]T	0.000530803902683664	0.00099974276483687	1.37875389877134e-07	0.0020730526738133	0.000165160705426262	0.000170443343037983
G[Del(C):R4]A	0.000406995896077024	0.000668588578161125	3.67667706339023e-07	0.00179213573028455	0.000685686115344895	0.00066949090525125
G[Del(C):R4]G	0.000101074490040582	0.000173921155776479	1.37875389877134e-07	0.000579993790831507	0.000213489481493057	0.000102262790517318
G[Del(C):R4]T	0.000184508839499517	0.00053842626880016	0	0.00212800694708068	0.000420065395872618	0.000117776639416738
G[Del(C):R5]A	0.000244419367932534	0.000934243773949295	9.19169265847558e-08	0.00125247970480475	0.0015741383282983	0.00128266573517124
G[Del(C):R5]G	8.17747100932282e-05	0.000130770071116735	2.75750779754267e-07	0.000267115100285854	0.000602973375176399	0.000265552078881475
G[Del(C):R5]T	0.000165947585443964	0.000371291785963124	1.83833853169512e-07	0.00100502728778642	0.00164872394967912	0.00127588144062662
G[Del(C):R6]A	0.000210340894585787	0.000651052119166481	2.75750779754267e-07	0.000947897938936343	0.00227795417016954	0.0018214866260655
G[Del(C):R6]G	5.6831066227353e-05	8.7479707721294e-05	0	8.59273495648916e-05	0.000851641145503345	0.000688332595313551
G[Del(C):R6]T	0.000164824808073404	0.000108130945714264	9.19169265847558e-08	0.000284681801628235	0.00142370940471069	0.00124753852289638
G[Del(C):R7]A	0.000153002943429007	2.04992975540274e-05	1.83833853169512e-07	8.86877182134692e-05	0.00219418968521676	0.000675358837736523
G[Del(C):R7]G	3.45826330883816e-05	7.5919572658399e-05	9.19169265847558e-08	2.43371184288633e-05	0.000732382112795524	0.000454660270180833
G[Del(C):R7]T	0.00010825263468635	5.98645329434474e-05	2.2979231646189e-07	7.68078508491036e-05	0.000485229443346642	0.000376174663624387
G[Del(C):R8]A	0.000238579290492943	4.49617082238117e-05	3.21709243046645e-07	0.000184311950194281	0.00111713683237889	0.000878517913945822
G[Del(C):R8]G	6.21370068595893e-05	1.60803631214421e-06	4.59584632923779e-08	1.52808946391173e-05	8.59415231076714e-05	3.41304675787245e-05
G[Del(C):R8]T	6.82986564587091e-05	4.71141977755008e-05	1.83833853169512e-07	3.97841097488406e-05	0.000206134622861678	0.000239315186234994
G[Del(C):R(9,)]A	0	0	0	0	0	0
G[Del(C):R(9,)]G	0	0	0	0	0	0
G[Del(C):R(9,)]T	0	0	0	0	0	0
T[Del(C):R1]A	0.00222907280535129	0.00244516482220259	0.000360084559895781	0.0106953923863243	0.000278300495752775	0.000319922894402552
T[Del(C):R1]G	0.000259639541754331	0.000102028004750063	0.000183144476220126	0.00159213159843188	2.75513004331482e-05	2.05458019621337e-05
T[Del(C):R1]T	0.00489694444831951	0.0103566275077326	0.000171792735786909	0.023505875725451	0.000553306014838692	0.000334263156804918
T[Del(C):R2]A	0.00177608391489817	0.00138911546303418	3.21709243046645e-07	0.00852794143222226	0.000188269671246057	0.000144801281903708
T[Del(C):R2]G	0.000256532827670741	0.000261033674103662	9.19169265847558e-08	0.00141653576929987	6.03098407773132e-06	1.05301254187775e-05
T[Del(C):R2]T	0.00303924115903229	0.00442949429309179	0.000175193662070545	0.0138964392573207	0.000183797917198178	0.000161601252991681
T[Del(C):R3]A	0.000955968625774103	0.00150833806079127	0	0.0055550718538987	0.000194786075993459	8.33085647635188e-05
T[Del(C):R3]G	0.000100752917881052	0.000172427074793542	4.13626169631401e-07	0.000927523412750853	8.9479210109365e-05	3.17350650025446e-05
T[Del(C):R3]T	0.00107574062925987	0.00179821509488756	2.75750779754267e-07	0.00359278193812174	0.000289965301542143	0.000180426866526625
T[Del(C):R4]A	0.000809040125934852	0.00149672727891539	1.83833853169512e-07	0.00278916664929243	0.000852884116612049	0.00106968390074686
T[Del(C):R4]G	0.000128544382990218	7.84139281977093e-05	9.19169265847558e-08	0.000422336403232374	0.000188791866208885	0.000119496827843928
T[Del(C):R4]T	0.000508119439497873	0.000536539675016621	3.67667706339023e-07	0.00221420321508125	0.000637041080356949	0.000377557244977082
T[Del(C):R5]A	0.000390102456950556	0.000890814131818156	5.97460022800913e-07	0.00142087010173374	0.00286786531641661	0.00141196924470288
T[Del(C):R5]G	8.76229630961964e-05	0.000202232724232813	5.51501559508535e-07	0.000224333340915779	0.000702168353537816	0.000377058872629018
T[Del(C):R5]T	0.00021362747106369	0.000719146759219328	3.67667706339023e-07	0.00101795910079623	0.00333087573183785	0.0020239383350711
T[Del(C):R6]A	0.000636775555187589	0.000301829681959793	1.83833853169512e-07	0.000659150723309916	0.00464607155230116	0.00274011547576682
T[Del(C):R6]G	4.25211051282914e-05	7.07915828440809e-05	1.83833853169512e-07	5.69474334377043e-05	0.000967002103136535	0.00048617026380038
T[Del(C):R6]T	0.00049362144044112	0.000234874595199016	9.19169265847558e-08	0.000501390513955965	0.0023373372987593	0.00186778702485341
T[Del(C):R7]A	0.000281160349752672	8.82647333224983e-05	4.59584632923779e-07	6.36387568666345e-05	0.00476175612371414	0.0018743944775971
T[Del(C):R7]G	2.43004995468163e-05	8.22884093907497e-05	0	1.7709069925975e-05	0.00101101357718671	0.000356577376776312
T[Del(C):R7]T	0.000385466912515305	4.48604145978499e-05	2.75750779754267e-07	0.000185419261400014	0.00153501783523799	0.000990699921842355
T[Del(C):R8]A	0.000128985863412623	1.35480224723961e-05	4.59584632923779e-08	8.53816033277802e-05	0.00199279159131369	0.000773650725996684
T[Del(C):R8]G	1.18845439636274e-05	3.56300329320772e-05	4.59584632923779e-08	1.34142843208814e-05	0.000254419269776685	6.08978856279832e-05
T[Del(C):R8]T	5.21546439752125e-05	3.47437137049111e-05	4.59584632923779e-08	1.74006046615207e-05	0.000415909900745889	0.000350580832072183
T[Del(C):R(9,)]A	0	0	0	0	0	0
T[Del(C):R(9,)]G	0	0	0	0	0	0
T[Del(C):R(9,)]T	0	0	0	0	0	0
A[Del(T):R1]A	0.00318018787166673	0.00212800181761282	4.13626169631401e-07	0.0110641507459307	0.000593154638903507	0.000382733886786008
A[Del(T):R1]C	0.00112295995814264	0.00244770982455488	3.21709243046645e-07	0.00510364480341857	9.2869799938431e-05	0.00016238900283217
A[Del(T):R1]G	0.00104812902654502	0.00155051419430113	2.2979231646189e-07	0.00754519482776834	8.60297814112479e-05	0.000135557278673483
A[Del(T):R2]A	0.00176086919145196	0.001175917703791	0.000180432926885876	0.00697034212467774	0.000853803473940971	0.000485993421999454
A[Del(T):R2]C	0.00105732653534512	0.000454010693264212	0.000181949556174524	0.00361157459115618	5.84564164022056e-05	7.09939448081241e-05
A[Del(T):R2]G	0.00102964135255986	0.000337320436156172	0.000181857639247939	0.00373640020150533	0.000278940368453705	0.000283509559939146
A[Del(T):R3]A	0.00230864283852029	0.00292861397551196	0.000178640546817473	0.00596227764044131	0.00127905404514871	0.000777862776164195
A[Del(T):R3]C	0.00123783752435286	0.000710283566947667	2.2979231646189e-07	0.00317695494290593	0.000313133106230989	0.000300132689226193
A[Del(T):R3]G	0.000879786001031336	0.00149993068983644	2.75750779754267e-07	0.00484249336491216	0.000457494271447709	0.000595812180374521
A[Del(T):R4]A	0.00393576526348591	0.00302569125429314	0.000360773936845167	0.00468244734885495	0.00255179026673307	0.00296673020538986
A[Del(T):R4]C	0.00161229467818597	0.00153199012245336	0.000180570802275753	0.00355658077106002	0.00150117813067501	0.00258870674111942
A[Del(T):R4]G	0.00161620532266838	0.00139257210802013	9.19169265847558e-08	0.00374206330738608	0.00130377372500878	0.00192161123844435
A[Del(T):R5]A	0.00469138898349757	0.00283270157342934	0.000541206863731042	0.00584956917842919	0.0124004681691133	0.0172180733349444
A[Del(T):R5]C	0.00311181018476204	0.00143303891159189	0.000545481000817233	0.00199270142710585	0.00397438908779042	0.00709701515476358
A[Del(T):R5]G	0.00205427926033247	0.00285122564527712	1.37875389877134e-07	0.00414311560737111	0.00718461571863912	0.00883466269066279
A[Del(T):R6]A	0.00713257133031206	0.00149522053622921	0.000904830225300336	0.00339390884557207	0.0269181427181486	0.0387965028022673
A[Del(T):R6]C	0.00391092790194395	0.0018577124384369	0.000544699706941263	0.00214619057895197	0.00670916088241358	0.0112959951055334
A[Del(T):R6]G	0.00199092136934179	0.00099039842784189	0.00109854514807771	0.00255645729004185	0.012600895421677	0.0184856271344002
A[Del(T):R7]A	0.00821685269811401	0.00163758872751858	0.000535599931209372	0.00128210818892387	0.0344398536724398	0.0474328132984005
A[Del(T):R7]C	0.00711565608968325	0.00210648958379918	0.00017220636195654	0.00196291475567162	0.0167581262950435	0.0255010539128274
A[Del(T):R7]G	0.00494918902349188	0.000622107465547885	3.21709243046645e-07	0.00108745078832174	0.0272474197390755	0.0334375531731142
A[Del(T):R8]A	0.0102465780164349	0.00117001735007872	0.000715159647292693	0.000678386300826652	0.0492040704376576	0.0504893630621335
A[Del(T):R8]C	0.00787150600028169	0.00116252162175755	0.000721409998300456	0.000648512626369123	0.0257547732444129	0.0361310627960734
A[Del(T):R8]G	0.00385941912747559	0.000318239249365611	0.000727200764675296	0.000625401459632321	0.0319868538668434	0.0272456625850722
A[Del(T):R(9,)]A	0	0	0	0	0	0
A[Del(T):R(9,)]C	0	0	0	0	0	0
A[Del(T):R(9,)]G	0	0	0	0	0	0
C[Del(T):R1]A	0.00206532717164376	0.00197533966158509	0.000179467799156736	0.0077128654724136	7.95427960983711e-05	0.000129030208566577
C[Del(T):R1]C	0.00117697045500463	0.00190896701317359	0.000180662719202338	0.00587180240556716	0.000441004678396156	0.000683397101414979
C[Del(T):R1]G	0.00187538430768576	0.000517319209490362	0.000362474399986985	0.0112073972691238	0.000106946999358892	0.000184445998365853
C[Del(T):R2]A	0.00151914775943412	0.000329368886518168	3.67667706339023e-07	0.00364230247711528	0.000137852115327949	0.000245938715506042
C[Del(T):R2]C	0.000780395677046595	0.000543782169272893	4.59584632923779e-08	0.00444553020702259	0.000148980016437226	0.000294811358671055
C[Del(T):R2]G	0.000965378699222029	0.000787431324820853	3.21709243046645e-07	0.00310197415554628	8.30951928173274e-05	9.19095068994668e-05
C[Del(T):R3]A	0.00116967240209599	0.00219212068284667	0.000181306137688431	0.00466520493150853	0.000183775852622284	0.000135959191857406
C[Del(T):R3]C	0.00072884057438576	0.000885876067552517	3.21709243046645e-07	0.00437933672501701	0.000434517693083279	0.000532020519822294
C[Del(T):R3]G	0.00126749029272438	0.00195630912160751	0.00018070867766563	0.00383234080811635	0.000111249591658249	0.000140235548134345
C[Del(T):R4]A	0.00134485292378136	0.00294936650713089	0.000180019300716244	0.00459874253106728	0.00188324832685792	0.0026998276982104
C[Del(T):R4]C	0.00135695820795619	0.00150643880530448	1.83833853169512e-07	0.00311978604722708	0.00174293968874709	0.00309608194450357
C[Del(T):R4]G	0.000794482172746662	0.00290058096452702	5.05543096216157e-07	0.00550478410642691	0.00172361847512246	0.00223740246531618
C[Del(T):R5]A	0.00130956174186689	0.00137071800821886	0.000180203134569414	0.00259770463245541	0.00485591302391306	0.00623745146657156
C[Del(T):R5]C	0.00148768819155609	0.00173352645300768	0.000180892511518799	0.00154628100514878	0.00498258575412131	0.00815428797639091
C[Del(T):R5]G	0.000807557623775665	0.00139407885070631	1.37875389877134e-07	0.00228253222584074	0.00401984946899097	0.00569311632679387
C[Del(T):R6]A	0.00212484527303464	0.000371177830633917	0.00017992738378966	0.00234390099473562	0.00949625514134038	0.0113210744882102
C[Del(T):R6]C	0.0018642873429942	0.000592213184185897	1.37875389877134e-07	0.00257438782220897	0.004764771615753	0.00702521738358762
C[Del(T):R6]G	0.00091769608841451	0.000806651790347113	1.83833853169512e-07	0.00226741742788248	0.00485661909034167	0.0066373390080474
C[Del(T):R7]A	0.00449033280372125	0.00086927657459802	0.000724994758437262	0.000819505204631585	0.0248924896184699	0.0256923967414294
C[Del(T):R7]C	0.00406327680030273	0.000888357761388582	0.000176020914409807	0.000584225301510559	0.017919105439724	0.02573782900774
C[Del(T):R7]G	0.0029961259629652	0.000506949274532518	1.37875389877134e-07	0.000523354822658257	0.0290128947146691	0.0295441237012899
C[Del(T):R8]A	0.00553808575435088	0.000461924257792481	0.000538127646690453	0.000341890244135862	0.045205623607284	0.0304040410730838
C[Del(T):R8]C	0.00435806581420631	0.000482448878752998	0.000358016429047624	0.000245704447186428	0.0335774082396069	0.0309188597086342
C[Del(T):R8]G	0.00299661377158008	0.000173845185557008	0.000175377495923714	0.000146196716619795	0.0454696409675746	0.0330677769673779
C[Del(T):R(9,)]A	0	0	0	0	0	0
C[Del(T):R(9,)]C	0	0	0	0	0	0
C[Del(T):R(9,)]G	0	0	0	0	0	0
G[Del(T):R1]A	0.000835125623485836	0.000902475560507013	0.000182041473101109	0.00325472773637717	7.50195580400726e-06	1.33113646515233e-05
G[Del(T):R1]C	0.000760420050526671	0.0013151331309723	3.67667706339023e-07	0.00272185794671536	2.91987887665773e-05	3.19601363855414e-05
G[Del(T):R1]G	0.000836237500105226	0.00185676281069351	0.000180938469982092	0.00567939126483951	0.000240680393853268	0.000140332007298486
G[Del(T):R2]A	0.000929550655312419	0.00043408117235622	4.59584632923779e-08	0.00322523371147589	7.91015045804883e-05	0.000163305364891514
G[Del(T):R2]C	0.000803960375889404	0.000613522830747619	1.83833853169512e-07	0.00209352211238785	3.15082143768305e-05	8.3453253509731e-05
G[Del(T):R2]G	0.000638020966008817	0.000816350655032959	1.83833853169512e-07	0.00263583568476141	0.000110131653146279	0.000131522070306898
G[Del(T):R3]A	0.000597181301748574	0.000840977667844931	1.83833853169512e-07	0.00489897414577031	0.00034176557088295	0.000309537457729987
G[Del(T):R3]C	0.000607733228881609	0.000629058740629517	2.2979231646189e-07	0.00354788837809502	0.000356968063674012	0.000505429943573961
G[Del(T):R3]G	0.000876444920797581	0.00177266377773869	2.75750779754267e-07	0.00298520027953597	0.000233715342729352	0.000267754563129372
G[Del(T):R4]A	0.00127334672129073	0.00214116998898786	9.19169265847558e-08	0.0035072342381131	0.00146185170157302	0.00163403431708391
G[Del(T):R4]C	0.000947226223335369	0.00173039901230611	1.37875389877134e-07	0.00199834080488933	0.00132562501000261	0.0024346936090402
G[Del(T):R4]G	0.00117659710427704	0.00189721695256202	2.2979231646189e-07	0.00344036055065257	0.00116005978735162	0.00185309307884919
G[Del(T):R5]A	0.00146540160578802	0.00239294795801926	0.000364174863128803	0.00368323344489863	0.00505328801014476	0.0070928674107055
G[Del(T):R5]C	0.00109074006287046	0.00170529085477082	0.000365507658564282	0.00201942717399279	0.00298895570892364	0.00502732302283471
G[Del(T):R5]G	0.00137455747072094	0.00264039562454079	0.000364082946202218	0.00299341811055566	0.0043873202707906	0.00650160488757299
