Samples	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID9	ID14	ID19	ID21
SP117956	17	0	0	0	46	0	23	0	0	0	41
SP117975	26	0	0	0	44	0	18	0	0	0	0
SP2149	29	35	0	0	0	210	266	68	0	0	0
SP117113	209	0	0	0	0	0	0	0	0	0	0
SP117245	25	0	0	0	63	0	32	0	0	0	39
SP117402	21	11	22	0	38	0	0	0	0	0	28
SP117136	89	19	0	44	0	0	0	0	0	0	0
SP117378	40	0	0	0	0	0	23	35	0	0	43
SP116947	39	0	45	0	70	0	0	0	0	0	0
SP117369	40	0	0	0	0	0	0	117	0	0	0
SP117244	75	0	0	0	0	0	0	29	0	0	0
SP117162	18	13	26	29	0	0	0	40	0	0	0
SP117079	26	0	0	0	0	0	28	29	0	0	45
SP117344	83	0	0	0	0	346	147	0	0	0	0
SP118074	292	188	0	0	0	0	0	0	0	0	0
SP117598	49	0	0	0	294	0	198	0	0	0	0
SP117312	41	0	0	52	0	0	0	27	0	0	0
SP118038	93	0	0	0	0	0	0	47	0	0	0
SP117552	34	12	0	24	0	0	0	21	0	0	0
SP118073	54	0	0	0	0	0	27	27	0	0	44
SP117933	24	0	19	0	0	0	16	0	0	0	25
SP118012	31	0	0	0	0	0	0	52	0	0	70
SP117108	63	0	0	0	61	0	0	0	0	0	0
SP117812	21	16	28	0	0	0	19	25	0	0	0
SP117354	81	33	55	0	0	0	73	0	0	0	0
SP117370	144	0	0	0	0	0	0	0	0	0	0
SP116991	54	20	0	0	52	0	47	0	0	0	0
SP117629	0	0	0	0	0	438	168	0	0	0	0
SP124199	80	28	0	0	78	0	0	0	0	0	0
SP124195	192	0	0	0	0	0	0	0	0	0	0
SP117850	32	13	0	0	56	0	25	0	0	0	0
SP117127	109	28	0	0	0	0	0	0	0	0	0
SP117614	18	14	0	0	81	0	23	43	0	0	0
SP116948	150	0	0	0	142	0	0	0	0	0	0
SP117409	46	0	0	0	161	387	134	0	0	0	0
SP117593	42	0	0	0	61	0	0	0	0	0	44
SP117372	36	16	0	0	0	0	0	91	0	0	0
SP118077	27	17	0	34	54	36	0	0	0	0	0
SP117840	108	0	0	0	93	0	0	0	0	0	0
SP117363	99	34	106	0	0	72	89	104	0	0	0
SP117887	0	0	0	0	0	618	283	0	0	0	0
SP116946	51	15	0	0	125	0	0	0	0	0	0
SP117901	34	0	0	0	0	115	140	75	0	0	0
SP117454	52	19	0	46	0	0	0	41	0	0	0
SP124197	0	0	0	0	0	581	296	218	0	0	0
SP117919	0	0	0	0	0	685	201	0	0	0	0
SP117250	74	0	0	0	0	0	0	79	0	0	0
SP117983	115	36	0	0	0	0	62	0	0	0	0
SP117676	15	0	26	18	0	0	0	0	0	0	25
SP117011	62	0	0	0	0	0	47	77	0	0	0
SP117057	40	18	0	0	0	0	0	42	0	0	0
SP117126	64	0	0	32	69	0	29	0	0	0	0
SP117728	79	0	0	0	50	0	30	0	0	0	0
SP117618	81	20	0	0	0	0	0	0	0	0	0
SP117257	22	0	0	0	0	0	0	26	0	0	42
SP116963	40	16	0	0	0	0	0	0	0	0	45
SP117078	177	0	0	0	144	0	0	0	0	0	0
SP117944	45	0	0	0	0	229	133	65	0	0	0
SP117639	95	81	0	0	153	0	60	0	0	0	0
SP117834	62	32	0	0	126	0	41	0	0	0	0
SP117105	115	46	0	0	0	0	64	0	0	0	0
SP117785	0	15	0	0	0	0	33	47	0	0	57
SP117882	60	0	0	48	0	0	0	0	0	0	0
SP117778	92	19	62	0	88	0	43	0	0	0	0
SP117032	61	0	0	0	0	0	34	0	0	0	71
SP117710	28	0	70	47	157	0	105	0	0	0	0
SP117538	67	0	0	0	197	652	210	0	0	0	0
SP124207	400	449	0	0	0	0	0	0	0	0	0
SP117800	59	22	0	28	0	0	25	38	0	0	0
SP117724	79	25	0	0	0	0	38	0	0	0	72
SP124193	20	10	0	0	0	0	0	23	0	0	29
SP2293	75	0	0	0	0	0	0	258	0	0	0
SP2357	40	52	0	0	0	196	122	118	0	0	0
SP2144	24	0	0	0	0	166	191	0	0	0	0
SP2145	57	0	0	0	0	568	154	0	0	0	0
SP2147	113	0	0	0	190	687	206	0	0	0	0
SP2146	0	0	0	0	0	175	141	0	0	0	0
SP2148	24	0	0	0	0	143	158	0	0	0	0
SP2150	37	11	37	0	0	0	0	0	0	0	56
SP2152	54	0	0	27	0	0	0	22	0	0	0
SP2349	70	61	0	70	0	0	64	49	0	0	0
SP2155	0	0	0	0	220	570	0	0	0	0	0
SP2154	0	0	0	0	252	766	200	0	0	0	0
SP2158	186	63	0	0	0	0	0	0	0	0	0
SP2156	17	0	0	21	29	0	25	0	0	0	0
SP2159	56	25	0	0	0	0	0	79	0	0	0
SP2153	408	164	0	0	0	0	0	131	0	0	0
SP2160	64	23	0	46	0	0	41	0	0	0	0
SP2151	26	9	0	0	0	0	28	26	0	0	0
SP116341	0	0	0	0	0	398	105	87	0	0	0
SP116331	349	73	0	0	0	0	0	0	0	0	0
SP116351	74	57	0	77	0	0	0	57	0	0	0
SP116371	107	0	0	258	0	0	131	0	0	0	0
SP116361	0	0	0	0	0	190	197	0	0	0	0
SP116343	176	105	0	0	0	0	0	125	0	0	0
SP116333	107	60	0	0	0	97	0	99	0	0	0
SP116373	0	0	0	0	0	311	195	77	0	0	0
SP116363	0	0	0	0	0	154	157	0	0	0	0
SP116353	421	113	0	0	310	0	0	0	0	0	0
SP116345	153	28	0	0	0	0	0	0	0	0	132
SP116365	0	0	0	0	0	257	411	0	0	0	0
SP116375	217	163	0	0	0	0	0	117	0	0	0
SP116335	35	71	0	171	0	64	55	0	0	0	113
SP116355	0	0	0	0	0	117	177	79	0	0	0
SP116347	68	0	0	0	88	0	0	0	0	0	0
SP116367	77	70	0	0	0	0	121	126	0	0	0
SP116339	328	65	0	0	0	0	0	0	0	0	0
SP116349	72	0	0	0	128	0	0	0	0	0	0
SP116357	0	0	0	0	0	139	150	43	0	0	0
SP116359	0	0	0	0	0	310	320	0	0	0	0
SP116369	152	0	0	0	0	866	325	0	0	0	0
SP116377	212	81	0	121	0	0	0	153	0	0	0
SP116379	167	52	0	0	0	0	73	0	0	0	0
SP7692	239	197	0	171	0	0	111	123	0	0	0
SP5052	0	0	0	0	0	591	765	160	0	0	0
SP7785	277	71	0	0	0	562	178	160	0	0	0
SP3415	32	0	0	0	0	192	157	80	0	0	0
SP2799	76	18	59	0	0	0	42	0	0	0	0
SP9979	15	0	0	0	91	0	52	0	0	0	0
SP5393	96	111	82	87	0	0	65	0	0	0	144
SP11292	7	0	0	0	0	70	56	24	0	0	0
SP13036	435	330	0	0	0	0	0	190	0	0	0
SP7421	138	86	0	0	0	0	112	108	0	0	0
SP4875	0	0	0	0	0	434	475	0	0	0	229
SP8795	598	208	0	0	0	0	0	0	0	0	0
SP4820	94	0	0	0	257	757	244	0	0	0	0
SP4593	33	19	0	0	73	0	39	0	0	0	0
SP8085	103	72	0	0	0	0	0	0	0	0	147
SP11235	94	47	0	0	101	0	0	0	0	0	0
SP6730	377	123	0	0	0	0	0	0	0	0	0
SP10635	52	0	0	0	93	0	0	0	0	0	0
SP5381	23	9	0	0	0	0	17	0	0	0	60
SP10084	48	104	0	0	0	0	92	228	0	0	206
SP9251	43	19	0	0	85	0	38	47	0	0	0
SP3016	83	117	105	142	0	179	87	0	0	0	0
SP11045	54	0	0	0	0	0	32	32	0	0	0
SP2826	42	29	0	0	0	0	256	0	0	0	0
SP11171	50	0	0	0	0	203	275	0	0	0	0
SP5784	127	100	0	0	0	0	80	148	0	0	0
SP8564	89	36	0	78	0	0	71	59	0	0	103
SP5844	104	115	0	0	0	0	100	0	0	0	264
SP6519	77	0	0	0	68	0	47	0	0	0	0
SP6766	72	0	0	0	0	62	0	52	0	0	0
SP5448	222	79	0	0	0	0	0	128	0	0	0
SP12049	0	0	0	0	0	659	732	0	0	0	0
SP2714	0	0	0	0	0	555	559	0	0	0	0
SP2801	111	34	63	70	124	0	72	0	0	0	0
SP8891	46	42	77	0	0	318	183	0	0	0	0
SP9481	31	11	0	0	34	0	31	0	0	0	37
SP5808	185	80	0	0	0	261	242	107	0	0	0
SP6429	58	74	0	0	182	300	203	0	0	0	0
SP5017	441	91	0	0	0	0	0	0	0	0	0
SP8229	76	26	0	0	105	0	42	0	0	0	0
SP8157	35	0	0	45	72	61	0	0	0	0	0
SP5279	299	300	0	0	0	0	0	0	0	0	268
SP8660	0	0	0	0	0	580	231	0	0	0	0
SP11878	54	0	0	0	0	0	73	99	0	0	104
SP9433	80	40	0	0	0	0	0	94	0	0	0
SP2881	293	178	0	0	0	0	0	313	0	0	0
SP7378	46	35	0	0	56	0	62	0	0	0	0
SP9816	0	0	0	0	147	209	380	0	0	0	0
SP4265	35	17	0	0	0	56	127	38	0	0	0
SP2793	198	172	0	0	0	898	655	0	0	0	0
SP6825	615	364	0	0	0	0	0	0	0	0	0
SP4523	168	42	103	0	0	0	0	0	0	0	0
SP9930	51	47	0	0	0	370	354	0	0	0	0
SP5820	197	0	0	0	144	0	0	0	0	0	0
SP10470	0	0	0	0	0	447	347	0	0	0	0
SP9648	0	0	0	0	0	514	515	0	0	0	0
SP4535	25	0	0	0	109	0	43	0	0	0	0
SP11808	160	68	0	0	112	0	0	0	0	0	0
SP96163	0	0	0	0	0	376	369	0	0	0	0
SP11948	56	0	0	0	0	365	486	0	0	0	0
SP4557	109	0	0	56	86	0	59	0	0	0	0
SP96147	50	18	70	0	118	0	0	0	0	0	0
SP10150	145	134	0	0	0	0	0	75	0	0	104
SP4472	64	0	0	0	0	412	342	0	0	0	0
SP6813	110	48	0	0	0	0	63	95	0	0	124
SP96511	0	0	0	0	0	817	259	135	0	0	0
SP5636	126	60	0	0	0	0	0	0	0	0	80
SP5559	0	0	0	1273	0	0	0	0	0	0	0
SP3631	73	0	0	0	0	0	0	250	0	0	0
SP5473	76	114	0	0	0	0	88	105	0	0	99
SP8394	65	49	0	74	0	0	46	62	0	0	0
SP6115	96	22	0	0	126	0	0	0	0	0	0
SP7291	119	52	0	0	0	0	50	0	0	0	98
SP2997	74	15	0	44	0	0	61	50	0	0	0
SP8831	183	0	0	0	0	1370	493	0	0	0	0
SP2731	79	20	0	0	0	0	41	51	0	0	0
SP6223	43	0	0	0	154	166	188	0	0	0	0
SP7171	121	48	0	0	186	0	0	0	0	0	0
SP10563	175	40	0	0	0	0	0	85	0	0	0
SP8987	108	62	0	0	0	662	288	0	0	0	0
SP5980	0	0	0	0	0	510	601	0	0	0	0
SP12186	80	65	0	54	0	0	0	76	0	0	0
SP10944	121	60	0	0	0	0	81	129	0	0	116
SP2766	0	0	0	0	0	384	402	0	0	0	0
SP6673	195	0	0	0	0	1272	657	274	0	0	0
SP117698	83	26	0	0	0	0	57	45	0	0	0
SP124201	31	0	60	0	171	0	114	0	0	0	0
SP2143	18	0	0	0	44	0	24	0	0	0	26
SP124191	68	0	0	0	104	0	0	0	0	0	0
SP117247	79	0	0	0	86	0	36	0	0	0	0
SP117362	106	0	0	0	0	0	66	0	0	0	0
SP117470	0	0	0	0	0	562	190	0	0	0	0
SP117586	32	0	42	0	0	0	35	0	0	0	0
SP117709	45	15	0	0	96	0	0	0	0	0	0
SP2157	20	10	0	0	0	0	23	0	0	0	0
SP3368	154	59	0	0	0	0	64	0	0	0	0
SP5666	107	29	0	0	0	0	0	76	0	0	0
SP2781	52	14	0	0	111	0	0	0	0	0	0
SP8532	65	25	0	36	0	0	46	68	0	0	0
SP12856	61	0	0	0	0	0	0	165	0	0	0
SP7456	174	0	0	0	0	0	88	0	0	0	0
CPCT02100011T	149	0	0	0	0	0	71	0	0	122	0
CPCT02020314T	147	42	0	0	168	0	0	0	0	97	0
