Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
SP114991	1.34E+00	1.95E+00	1.02E+01	4.15E+00	1.04E+01	1.28E+00
SP114992	1.36E+00	1.90E+00	8.81E+00	4.52E+00	9.67E+00	1.16E+00
SP114920	1.66E+00	2.54E+00	7.68E+00	9.32E-01	7.05E+00	0.00E+00
SP114898	1.37E+00	2.68E+00	9.95E+00	9.75E-01	9.40E+00	1.40E+00
SP114932	1.05E+00	1.96E+00	7.50E+00	8.08E-01	7.07E+00	4.00E-01
SP114934	1.15E+00	1.69E+00	6.62E+00	8.66E-01	5.96E+00	4.31E-01
SP114968	2.25E+00	3.41E+00	1.39E+01	7.07E+00	1.45E+01	2.69E+00
SP114982	1.22E+00	2.32E+00	1.03E+01	1.12E+00	9.53E+00	1.99E-01
SP114973	1.26E+00	2.04E+00	1.04E+01	1.00E+00	9.46E+00	1.87E-01
SP114908	1.24E+00	1.94E+00	6.76E+00	7.92E-01	6.50E+00	0.00E+00
SP114904	1.46E+00	2.13E+00	7.08E+00	9.42E-01	6.69E+00	0.00E+00
SP114918	1.21E+00	2.13E+00	6.85E+00	8.52E-01	6.41E+00	0.00E+00
SP114984	1.40E+00	2.10E+00	9.82E+00	9.20E-01	9.47E+00	0.00E+00
SP114994	1.32E+00	2.01E+00	8.34E+00	4.55E+00	9.36E+00	1.02E+00
SP114978	1.34E+00	1.83E+00	1.02E+01	1.07E+00	9.64E+00	0.00E+00
SP114912	1.60E+00	2.51E+00	7.85E+00	8.66E-01	6.90E+00	0.00E+00
SP114917	1.56E+00	2.43E+00	7.03E+00	8.47E-01	6.44E+00	0.00E+00
SP114980	1.62E+00	2.25E+00	1.08E+01	1.20E+00	9.95E+00	1.93E-01
SP114976	1.31E+00	2.10E+00	9.69E+00	1.14E+00	9.14E+00	1.81E-01
SP114916	1.54E+00	2.14E+00	7.79E+00	8.14E-01	7.52E+00	0.00E+00
SP125579	0.00E+00	0.00E+00	5.02E-02	0.00E+00	5.02E-02	0.00E+00
SP111131	8.68E-01	1.31E+00	5.42E+00	7.44E-01	5.01E+00	1.95E-01
SP111126	4.22E-01	6.39E-01	9.14E+00	6.83E-01	8.73E+00	0.00E+00
SP111146	6.27E-01	9.80E-01	6.68E+00	7.21E-01	6.16E+00	2.49E-01
SP111123	5.60E-01	1.02E+00	7.08E+00	8.27E-01	6.61E+00	4.25E-01
SP111127	1.00E+00	1.33E+00	4.68E+00	6.34E-01	4.57E+00	2.61E-01
SP111121	1.54E-01	2.38E-01	8.98E-01	2.63E-01	6.86E-01	2.57E-01
SP111156	3.67E-01	8.52E-01	6.66E+00	6.23E-01	6.23E+00	4.94E-01
SP111122	6.63E-01	1.05E+00	6.69E+00	6.57E-01	6.31E+00	3.87E-01
SP111129	8.77E-01	1.22E+00	8.71E+00	6.40E-01	8.31E+00	4.38E-01
SP111152	8.88E-01	1.07E+00	4.97E+00	6.14E-01	4.68E+00	6.00E-01
SP111154	6.60E-01	1.49E+00	8.70E+00	7.82E-01	8.37E+00	7.87E-01
SP111124	4.59E-01	8.54E-01	3.04E+00	3.40E-01	3.00E+00	4.16E-01
SP111128	4.92E-01	8.44E-01	3.53E+00	6.64E-01	3.48E+00	3.01E-01
SP111125	7.99E-01	1.68E+00	8.77E+00	6.56E-01	8.33E+00	5.80E-01
SP111130	1.19E-01	7.13E-01	3.21E+00	6.84E-01	2.90E+00	4.15E-01
SP106835	4.19E-01	5.08E-01	1.47E+00	3.77E-01	1.41E+00	4.22E-01
SP106834	2.22E-01	7.00E-01	3.74E+00	5.90E-01	3.70E+00	3.83E-02
SP106825	9.20E-01	1.78E+00	1.04E+01	8.14E-01	1.01E+01	0.00E+00
SP106841	2.34E-01	3.94E-01	2.28E+00	5.22E-01	2.11E+00	0.00E+00
SP106827	7.88E-01	1.37E+00	6.19E+00	6.18E-01	5.97E+00	2.84E-01
SP106833	4.04E-01	6.84E-01	3.22E+00	4.51E-01	3.27E+00	9.46E-02
SP106839	7.92E-01	1.15E+00	5.84E+00	5.02E-01	5.84E+00	0.00E+00
SP106840	4.06E-01	8.08E-01	4.07E+00	3.51E-01	4.06E+00	3.31E-01
SP106828	4.15E-01	5.61E-01	2.85E+00	4.17E-01	2.78E+00	1.31E-01
SP106829	7.90E-01	1.28E+00	5.65E+00	6.35E-01	5.27E+00	4.01E-01
SP106836	1.70E-01	2.03E-01	7.26E-01	0.00E+00	6.95E-01	3.15E-02
SP106837	3.70E-01	5.95E-01	2.62E+00	3.32E-01	2.58E+00	1.64E-01
SP80037	8.21E-01	1.28E+00	4.17E+00	4.94E-01	3.97E+00	0.00E+00
SP102690	5.89E-01	8.72E-01	4.18E+00	6.35E-01	4.32E+00	0.00E+00
SP80213	1.20E-01	8.45E-02	2.92E-01	1.42E-01	3.07E-01	0.00E+00
SP79939	0.00E+00	6.72E-02	5.80E-01	2.59E-01	6.34E-01	1.63E-01
SP109649	2.25E-01	3.66E-01	2.39E+00	3.02E-01	2.32E+00	2.49E-01
SP79988	3.18E-01	3.41E-01	1.25E+00	3.69E-01	1.28E+00	0.00E+00
SP80183	4.22E-01	9.35E-01	5.02E+00	3.61E-01	4.69E+00	0.00E+00
SP79971	3.34E-01	8.61E-01	3.41E+00	5.95E-01	3.42E+00	1.40E-01
SP80217	1.13E-01	7.33E-02	3.84E-01	0.00E+00	3.75E-01	6.31E-02
SP79968	7.37E-01	1.56E+00	4.53E+00	8.03E-01	4.74E+00	8.34E-01
SP80160	0.00E+00	2.66E-01	3.44E-01	1.48E-01	3.94E-01	9.18E-02
SP80244	3.93E-01	5.23E-01	2.37E+00	3.20E-01	2.15E+00	2.20E-01
SP79998	1.72E-01	2.03E-01	1.84E-01	0.00E+00	1.83E-01	5.22E-02
SP80216	3.47E-01	7.73E-02	2.77E+00	5.97E-01	2.76E+00	0.00E+00
SP80042	3.45E-01	5.20E-01	2.90E+00	4.88E-01	2.79E+00	5.72E-01
SP79907	7.53E-01	1.05E+00	7.70E+00	5.86E-01	7.23E+00	4.06E-01
SP79958	7.73E-01	1.24E+00	5.84E+00	6.66E-01	5.51E+00	4.60E-01
SP80205	5.97E-01	1.07E+00	3.51E+00	4.72E-01	3.26E+00	6.92E-02
SP80014	1.17E-01	5.15E-01	1.57E+00	2.34E-01	1.56E+00	4.73E-02
CPCT02070032T	2.05E+00	2.51E+00	5.75E+00	1.40E+00	4.99E+00	1.92E+00
CPCT02060045T	1.03E+00	2.14E+00	1.13E+01	1.74E+00	9.44E+00	2.75E+00
CPCT02020310T	1.55E+00	2.73E+00	9.89E+00	1.17E+00	9.08E+00	2.05E+00
CPCT02020323T	2.16E+01	2.27E+01	1.47E+01	1.09E+00	4.49E+00	2.81E+00
CPCT02140007T	1.12E+00	2.31E+00	6.64E+00	1.11E+00	5.16E+00	2.18E+00
CPCT02140011T	1.49E+00	2.36E+00	6.97E+00	7.31E-01	6.00E+00	2.66E+00
CPCT02020348T	1.65E+00	1.81E+00	5.95E+00	7.68E-01	4.85E+00	1.61E+00
CPCT02020357T	1.60E+00	3.07E+00	1.58E+01	1.53E+00	1.48E+01	2.30E+00
CPCT02020351T	1.08E+00	1.92E+00	6.25E+00	7.52E-01	5.81E+00	1.68E+00
CPCT02140020T	2.31E+00	2.31E+00	9.15E+00	1.28E+00	8.94E+00	1.90E+00
CPCT02010399T	9.45E-01	2.00E+00	1.73E+01	3.23E+00	1.71E+01	2.05E+00
CPCT02020370T	1.57E+00	2.67E+00	3.77E+01	2.15E+00	3.52E+01	2.43E+00
CPCT02140023T	1.26E+00	2.35E+00	5.87E+00	8.57E-01	4.36E+00	2.70E+00
CPCT02140022T	1.78E+01	1.83E+01	1.79E+01	2.34E+00	1.39E+01	7.49E+00
CPCT02020378T	1.50E+00	3.27E+00	8.34E+00	1.10E+00	6.12E+00	2.41E+00
CPCT02010415T	1.55E+00	2.75E+00	1.17E+01	2.02E+00	9.41E+00	3.04E+00
CPCT02070021T	1.65E+00	2.76E+00	9.39E+00	1.14E+00	8.30E+00	1.93E+00
CPCT02070024T	3.62E+01	3.72E+01	1.65E+01	3.96E-01	1.00E+01	5.42E+00
CPCT02020380T	1.69E+00	2.36E+00	8.97E+00	1.25E+00	8.02E+00	1.94E+00
CPCT02070023T	1.64E+02	1.76E+02	8.32E+01	1.04E+00	4.88E+01	3.06E+01
CPCT02020386T	1.94E+00	2.29E+00	8.42E+00	4.08E+00	8.86E+00	2.66E+00
CPCT02020387T	1.40E+02	1.51E+02	1.08E+02	1.09E+00	4.97E+01	8.39E+00
CPCT02020388T	1.76E+00	3.50E+00	7.40E+00	3.74E+00	6.70E+00	3.12E+00
CPCT02040046T	1.18E+00	2.38E+00	5.55E+00	9.43E-01	4.03E+00	2.03E+00
