MutationType	ID1	ID2	ID9	ID11	ID19	ID23
1:Del:C:0	0.00015989	0.00482412	0.33493988	0.00157657	0.05408908	0.05169788
1:Del:C:1	0.00077352	0.00002210	0.09999423	0.00055032	0.01500886	0.10619410
1:Del:C:2	0.00000000	0.00000311	0.00269066	0.00035734	0.00184945	0.05287559
1:Del:C:3	0.00190761	0.00247208	0.01062542	0.00000000	0.00656318	0.03862287
1:Del:C:4	0.00070599	0.00385698	0.01249690	0.00000000	0.00820689	0.01125206
1:Del:C:5	0.00337011	0.01461542	0.00004480	0.00015647	0.00033611	0.00573968
1:Del:T:0	0.00131160	0.00790597	0.10510537	0.00094421	0.01854399	0.21323872
1:Del:T:1	0.00000000	0.00000000	0.04429364	0.00025851	0.00460977	0.11431327
1:Del:T:2	0.00093645	0.00703642	0.08586196	0.00051652	0.00873799	0.05769072
1:Del:T:3	0.00229585	0.02023474	0.11325066	0.00042568	0.02264413	0.03864648
1:Del:T:4	0.00429142	0.04711993	0.09441274	0.00193245	0.02052353	0.01990450
1:Del:T:5	0.00000000	0.81469723	0.00092983	0.00653939	0.00189831	0.00484058
1:Ins:C:0	0.00000000	0.00000000	0.00000000	0.00018624	0.01628628	0.00228553
1:Ins:C:1	0.00000000	0.00022703	0.00000193	0.16348288	0.03305029	0.00057783
1:Ins:C:2	0.00000000	0.00002620	0.00035262	0.09373884	0.01540814	0.00147472
1:Ins:C:3	0.00084599	0.00043005	0.00000000	0.03617564	0.00718753	0.00171284
1:Ins:C:4	0.00178553	0.00291185	0.00000216	0.01118979	0.01028347	0.00010835
1:Ins:C:5	0.02429654	0.00901754	0.00007370	0.00341224	0.02796958	0.00126133
1:Ins:T:0	0.00228382	0.00132856	0.01261448	0.00040694	0.01808925	0.00623642
1:Ins:T:1	0.00004030	0.00000000	0.01038527	0.31427728	0.02808965	0.01262155
1:Ins:T:2	0.00019286	0.00064703	0.00231466	0.16180782	0.01156301	0.01057210
1:Ins:T:3	0.00424327	0.00108288	0.00160089	0.10772533	0.00679258	0.00581943
1:Ins:T:4	0.01664913	0.00348746	0.00158536	0.04903068	0.00670159	0.00330097
1:Ins:T:5	0.89090647	0.00313258	0.00577248	0.02362904	0.01073388	0.00027934
2:Del:R:0	0.00068605	0.00016381	0.01317475	0.00000000	0.00238233	0.02385067
2:Del:R:1	0.00121997	0.00356888	0.00319854	0.00136310	0.00151209	0.05613034
2:Del:R:2	0.00047275	0.00184957	0.00118970	0.00015073	0.00476235	0.02322644
2:Del:R:3	0.00042672	0.00073904	0.00009590	0.00000000	0.00052995	0.00668162
2:Del:R:4	0.00005460	0.00088193	0.00000000	0.00000913	0.00004580	0.00180121
2:Del:R:5	0.00000000	0.00000000	0.00000000	0.00452771	0.00000684	0.00049256
3:Del:R:0	0.00012804	0.00001250	0.00285810	0.00018944	0.00086808	0.00495202
3:Del:R:1	0.00501109	0.00500326	0.00430191	0.00039086	0.00500577	0.00300516
3:Del:R:2	0.00076938	0.00228989	0.00127572	0.00017042	0.00133307	0.00049782
3:Del:R:3	0.00037126	0.00040259	0.00030211	0.00012758	0.00003850	0.00010400
3:Del:R:4	0.00000000	0.00000000	0.00000000	0.00120211	0.00003810	0.00005494
3:Del:R:5	0.00000000	0.00000000	0.00000000	0.00174236	0.00011808	0.00004982
4:Del:R:0	0.00009970	0.00001210	0.00143277	0.00000000	0.00219796	0.00285339
4:Del:R:1	0.00090050	0.00211579	0.00459422	0.00035550	0.00007090	0.00219556
4:Del:R:2	0.00000323	0.00054329	0.00089602	0.00000000	0.00040269	0.00016080
4:Del:R:3	0.00000000	0.00000727	0.00002380	0.00031214	0.00005990	0.00011157
4:Del:R:4	0.00000000	0.00000000	0.00000000	0.00068737	0.00019431	0.00002620
4:Del:R:5	0.00002890	0.00021041	0.00001370	0.00015760	0.00015798	0.00001370
5:Del:R:0	0.00000835	0.00003850	0.00077205	0.00128145	0.00426298	0.01685377
5:Del:R:1	0.00019068	0.00297751	0.00047955	0.00047463	0.00177092	0.00003437
5:Del:R:2	0.00012636	0.00039753	0.00026497	0.00000000	0.00101898	0.00001160
5:Del:R:3	0.00001890	0.00015815	0.00000612	0.00000000	0.00012637	0.00000767
5:Del:R:4	0.00000311	0.00008470	0.00000725	0.00000000	0.00000224	0.00003031
5:Del:R:5	0.00003130	0.00002120	0.00002990	0.00000008	0.00000224	0.00000160
2:Ins:R:0	0.00040204	0.00033185	0.00116234	0.00019047	0.07827026	0.00376734
2:Ins:R:1	0.00000788	0.00027166	0.00210019	0.00000000	0.02359708	0.00326139
2:Ins:R:2	0.00022135	0.00103534	0.00076094	0.00024788	0.00363960	0.00154666
2:Ins:R:3	0.00051427	0.00038133	0.00035163	0.00037236	0.00118317	0.00024006
2:Ins:R:4	0.00291310	0.00197742	0.00003070	0.00044238	0.00380259	0.00022169
