Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,1.0,1.0,NO,N/A,306000.0%,49.04%,114.06%,45.29%,94.98,0.2311,0.8626,0.11,0.566,0.868,0.309
3,1.0,1.0,NO,N/A,110100.0%,35.62%,96.6%,27.56%,97.44,3.3134,1000.0,0.051,0.581,0.938,0.296
4,1.0,1.0,NO,N/A,42700.0%,29.61%,87.21%,21.82%,86.7,0.1371,0.6831,0.035,0.49,0.956,0.388
5,1.0,0.99,NO,N/A,44500.0%,26.28%,82.1%,17.74%,82.3,0.1157,0.5649,0.023,0.429,0.971,0.469
6,0.88,0.51,NO,N/A,43800.0%,25.15%,74.54%,16.39%,72.51,0.1096,0.5186,0.019,0.311,0.976,0.612
7,0.89,0.65,YES,1.11e-02,40700.0%,22.88%,74.94%,14.67%,72.2,0.1021,0.4996,0.016,0.308,0.98,0.617
8*,0.89,0.33,YES,Most Stab Sigs,37600.0%,22.08%,70.62%,13.9%,70.69,0.096,0.4995,0.014,0.291,0.982,0.64
9,0.84,-0.12,NO,N/A,34000.0%,21.26%,64.04%,13.29%,64.39,0.0941,0.4874,0.013,0.23,0.983,0.721
10,0.83,-0.28,NO,N/A,34800.0%,20.32%,61.11%,12.59%,59.39,0.0899,0.4818,0.012,0.186,0.985,0.781
11,0.74,-0.54,NO,N/A,32000.0%,19.84%,61.11%,12.26%,58.8,0.0886,0.464,0.012,0.183,0.985,0.779
12,0.78,-0.42,NO,N/A,29900.0%,19.36%,61.8%,11.94%,55.12,0.0864,0.4654,0.011,0.156,0.987,0.817
13,0.7,-0.45,NO,N/A,25200.0%,19.12%,60.0%,11.67%,54.27,0.0841,0.4626,0.01,0.148,0.987,0.828
14,0.69,-0.35,NO,N/A,24400.0%,18.9%,58.64%,11.45%,54.21,0.0827,0.4667,0.01,0.151,0.988,0.822
15,0.66,-0.4,NO,N/A,21700.0%,18.49%,58.17%,11.12%,54.56,0.0805,0.4618,0.009,0.153,0.988,0.819
16,0.67,-0.44,NO,N/A,17900.0%,17.94%,58.23%,10.87%,52.65,0.078,0.4558,0.009,0.142,0.989,0.833
17,0.64,-0.45,NO,N/A,14600.0%,17.81%,57.21%,10.88%,47.92,0.0779,0.4642,0.009,0.114,0.989,0.865
18,0.6,-0.38,NO,N/A,14900.0%,17.64%,57.52%,10.7%,46.55,0.0767,0.4285,0.008,0.109,0.989,0.868
19,0.61,-0.22,NO,N/A,13500.0%,17.04%,57.39%,10.35%,40.76,0.0753,0.4395,0.008,0.082,0.99,0.884
20,0.57,-0.43,NO,N/A,12900.0%,17.01%,55.64%,10.53%,38.12,0.0738,0.4309,0.008,0.075,0.99,0.883
