MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
1:Del:C:0	0.01506484642624855	0.026175401958571456	0.04262655750451813	0.30808188289403915	0.0353526703568059	0.08584970592040918	0.10752315634163097	0.053684039654999655	0.07636166136117709	0.03877099903888393	0.07780107297210634	0.05566889802271362	0.043989731107485566	0.02248684790452444	0.035817945897615576	0.13331064293959968
1:Del:C:1	0.012783320381713566	0.0323822836712634	0.031180036029309122	0.062471979358815585	0.02533217185196918	0.06437832344975504	0.06339786888333038	0.027016318790847437	0.05554606462392939	0.02576229740103372	0.07282632300906698	0.07774909189599612	0.03529425002472181	0.017644440348218497	0.03452310791150921	0.08420995578459951
1:Del:C:2	0.009917273518132106	0.004166143967381118	0.011385970640856159	0.01994732875243585	0.003205969105870281	0.01766093503650609	0.007470286487205158	0.008996527087615504	0.27664451187476513	0.009736284307720737	0.026695748602396065	0.02318935978706122	0.01880629322902678	0.014135773236628495	0.0150935062049507	0.03461865494942231
1:Del:C:3	0.0037512233449393763	0.0022282349467707264	0.0012018989169988003	0.002267004808619788	0.010456368029648217	0.020948374632331478	0.00736521425780225	0.007002416785299062	0.0020932434902204023	0.0022269402654248437	0.09284148592197447	0.0057349746269190404	0.0025055139214680364	0.003669951195663046	0.0061467888693152875	0.004888669835820565
1:Del:C:4	0.0028784233990563736	0.004205356880872273	0.0019819828243095115	0.006129479230279884	0.00507352843206661	0.003776430272078244	0.0033716134649129435	0.0032671447499968307	0.005387392346461866	0.004207241311445209	0.026703036450473974	0.0004217325623102397	0.008339629972233595	0.002564016104799407	0.009317421421551337	0.005321082591251525
1:Del:C:5	0.006341259495511053	0.01013170819080699	0.0023081770198362505	0.0014955233429549252	0.007150070170465881	0.0032382640966564223	0.0005206146963794823	0.007044152536117565	0.003935789443574791	0.008065987540148568	0.0034498355808034375	0.0059527618493353885	0.00599235357724524	0.017638035371253906	0.015977604706563682	0.008544593924121671
1:Del:T:0	0.008786957614438507	0.01962800855854084	0.03046052312827669	0.09897670875827316	0.02258300674219754	0.0762752750571235	0.060285546667983	0.08502348341419548	0.04661412604004909	0.03070050014532171	0.06750026447463559	0.02227604586633788	0.2002074451558292	0.02916341348858623	0.06321153761799451	0.028041049934927287
1:Del:T:1	0.006436076810308613	0.010607555992337966	0.025670785460805874	0.03649237569413799	0.009011069857925803	0.14539311820431067	0.03743364942070798	0.026173339692808214	0.03158026138639968	0.0073919139148517846	0.037074621182676994	0.04210444127255187	0.015750427277378094	0.010459306038060277	0.019830706311774974	0.026869051205559345
1:Del:T:2	0.010760833835646508	0.011686442010646659	0.014954453432969217	0.033286988828202746	0.023014194382931237	0.05369541444623792	0.031091419477199907	0.025779529147357608	0.043122333531832736	0.04706520544492036	0.03535659530091152	0.02249287480792873	0.02399933091103776	0.025136542146179865	0.05353382431384489	0.025513548188355342
1:Del:T:3	0.012805504016307622	0.015939338279399636	0.008152438910186674	0.012747141276845468	0.014586887172277798	0.03405843959484798	0.01223410928721588	0.03814938062692136	0.04369512551619209	0.0182457336728703	0.025605915997406612	0.23822345659136773	0.00951143536378254	0.009624734180463293	0.03943813319993183	0.031661025598695006
1:Del:T:4	0.012723661854870442	0.026412483723312334	0.007614031101220462	0.01259586381633028	0.029383500870550278	0.0103266855978859	0.02515392922973774	0.045837285902180155	0.022226599650066417	0.05387137369756147	0.013937071057907814	0.023398212360866637	0.09034621935653377	0.06956846599068285	0.03159450970024864	0.011631284401384506
1:Del:T:5	0.18855953611433507	0.07457434001662477	0.04162920174317605	0.03177343439636388	0.15365289880210184	0.021564698352997312	0.05022442061775109	0.05611781699027801	0.028033429162821904	0.3516239058971405	0.03839450911435847	0.024411094302441434	0.04317437279775277	0.11535367226669223	0.028097842865695385	0.02412831712955949
1:Ins:C:0	0.004808614051009954	0.007857169258085434	0.0012295247699404398	0.001828300606317228	0.010204013991044007	0.0010913754523416942	0.0030276344654919284	0.00610535660470589	0.0006473662203201514	0.005672942359510316	0.002001125888162818	0.0047032454387453985	0.006227688940536105	0.008701136771298934	0.011267382932011145	0.004931162206000011
1:Ins:C:1	0.0040006369369499015	0.004969219882423985	0.0028586689755090333	0.003878236760893117	0.005090029848033737	0.0034977644863736757	0.002299949777485324	0.01045341185866505	0.00946688367970296	0.012209581920845257	0.008005575758487567	0.0022843600398590523	0.012219668896747748	0.025890966733604727	0.004636665362836059	0.0030512312460021286
1:Ins:C:2	0.001368743665778993	0.003654728970898482	0.0011159435199119372	0.0032421633053343777	0.0008383157190166912	0.0021943428466087767	0.004217909749810182	0.006111461321190461	0.0101237017403718	0.006511504591265975	0.002909636333461947	0.00048389439324772357	0.027580738477169433	0.0163453320335384	0.003241399980714732	0.0034395428222137527
1:Ins:C:3	0.0005179397085878179	0.002330625356053204	0.0010895996058486901	0.0007696929413045694	0.0010919946969110096	0.0015493829485578204	0.0011876606167184533	0.0012090243825194592	0.005289810751625339	0.00027560233458324035	0.0031808524263352922	0.0006686239638672831	0.005591985762890275	0.003969239572277559	0.00194495341115271	0.004130069224618751
1:Ins:C:4	0.003978305675245082	0.0035008929766669893	0.0015626705733996005	0.0010189263378106261	0.00605488108139852	0.0010528462653785198	0.003745712203478462	0.0008102998945062722	0.0004765413011193687	0.0030084411784661925	0.002119035871903634	0.0010091528508257852	0.0005814968206514948	0.002685756449873651	0.0004922719831272105	0.0021514473120978293
1:Ins:C:5	0.030066597449940672	0.018082099484063294	0.013616530664630097	0.0026547459982717214	0.021819749503177947	0.002481958548369221	0.006091747155294342	0.005641772771007254	0.00859834602496676	0.020356840815475154	0.0073534057658656594	0.00567391837689172	0.005847978264197877	0.08146734405645902	0.033437284549350646	0.00640188183181408
