Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
SP95454	3.77E+02	4.24E+01	1.04E+02	2.70E+02	1.27E+02	5.01E+01	3.40E+02	4.14E-01	1.63E+00	9.32E-01	1.25E+01	1.95E-01
SP94741	7.27E+02	6.81E+01	1.69E+02	4.89E+02	2.09E+02	1.13E+02	6.79E+02	3.00E-01	2.44E+00	1.49E+00	2.02E+01	4.14E+00
SP90209	1.20E+03	8.21E+02	7.39E+02	6.67E+02	6.63E+02	2.04E+02	1.03E+03	1.60E+00	0.00E+00	6.40E-01	4.06E+01	3.09E-01
SP90989	7.20E+02	7.89E+01	7.76E+01	4.18E+02	8.78E+01	9.75E+01	6.91E+02	9.38E-01	3.19E+00	1.61E+00	1.09E+01	3.79E+00
SP93540	1.42E+03	1.27E+02	1.26E+02	9.58E+02	1.58E+02	2.75E+02	1.31E+03	8.10E-01	1.34E+00	9.26E-01	1.39E+01	2.11E+00
SP93227	1.33E+03	1.23E+03	7.79E+02	6.20E+02	4.97E+02	3.01E+02	1.02E+03	8.40E-01	4.97E+00	4.51E-01	1.40E+02	9.77E+00
SP94348	7.09E+02	6.14E+01	1.02E+02	4.84E+02	1.37E+02	1.05E+02	6.53E+02	7.35E-01	6.16E-01	1.11E+00	1.35E+01	3.22E+00
SP94588	1.03E+00	1.99E+00	3.28E+00	2.00E+00	3.12E+00	6.19E-01	4.74E+00	5.76E-01	2.34E+00	1.17E+00	4.20E+00	1.12E+00
SP90725	1.40E+00	1.01E+00	3.54E+00	1.78E+00	3.84E+00	3.15E-01	3.13E+00	3.53E-01	1.96E+00	7.31E-01	2.81E+00	1.15E+00
SP94236	1.42E+00	9.82E-01	1.99E+00	1.66E+00	1.56E+00	9.74E-01	7.66E+00	6.30E-01	2.60E+00	1.31E+00	6.72E+00	8.21E-01
SP93772	1.09E+00	1.60E+00	1.74E+00	1.74E+00	2.22E+00	1.39E-01	4.06E+00	4.36E-01	2.26E+00	1.12E+00	3.65E+00	1.02E+00
SP92195	1.05E+00	2.89E+00	3.11E+00	7.39E-01	2.62E+00	4.86E-01	4.06E+00	4.68E-01	2.66E+00	1.28E+00	3.94E+00	8.87E-01
SP89957	3.21E+00	1.73E+00	2.16E+00	1.49E+00	2.45E+00	7.25E-01	3.56E+00	3.85E-01	1.98E+00	7.61E-01	3.36E+00	5.38E-01
SP92268	2.28E+00	1.44E+00	3.36E+00	2.11E+00	3.55E+00	3.87E-01	3.57E+00	4.34E-01	1.97E+00	8.94E-01	3.75E+00	4.58E-01
SP92707	1.29E+00	1.24E+00	2.46E+00	1.44E+00	2.17E+00	1.46E-01	5.30E+00	3.56E-01	1.83E+00	7.35E-01	4.59E+00	4.76E-01
SP89687	2.37E+00	1.88E+00	1.91E+00	1.85E+00	1.16E+00	2.00E-01	6.53E+00	0.00E+00	3.15E+00	1.63E+00	6.84E+00	9.21E-01
SP90269	1.41E-01	1.20E+00	2.12E+00	1.64E+00	1.53E+00	5.74E-01	3.24E+00	6.06E-01	1.96E+00	8.84E-01	2.67E+00	2.11E+00
SP94933	4.32E+02	6.67E+01	1.09E+03	2.13E+02	1.17E+03	3.52E+01	4.97E+02	3.27E+00	1.13E+00	7.80E-01	1.34E+02	2.45E+01
SP95126	3.27E+00	2.87E+00	9.00E-01	3.25E+00	2.45E+00	6.03E-01	1.25E+01	0.00E+00	3.63E+00	1.70E+00	1.25E+01	5.02E-01
SP95646	1.31E+00	2.13E+00	2.66E+00	6.36E-01	2.50E+00	9.27E-01	6.16E+00	3.98E-01	3.10E+00	1.17E+00	6.68E+00	9.01E-01
SP89443	1.13E+00	1.42E+00	1.79E+00	5.61E-01	1.34E+00	1.26E+00	3.71E+00	2.69E-01	2.16E+00	8.08E-01	3.30E+00	7.58E-01
SP89651	8.40E-01	1.14E+00	1.38E+00	8.29E-01	1.42E+00	4.13E-01	3.26E+00	2.37E-01	2.13E+00	1.31E+00	3.86E+00	9.37E-01
SP94060	9.46E-01	4.89E-01	2.76E+00	1.39E+00	2.08E+00	5.41E-02	4.27E+00	4.27E-01	2.20E+00	4.74E-01	4.14E+00	7.08E-01
SP92787	3.88E-01	1.22E+00	1.36E+00	1.04E+00	1.24E+00	4.51E-01	3.73E+00	2.65E-01	2.28E+00	1.11E+00	3.70E+00	8.77E-01
SP92723	1.41E+00	1.22E+00	2.81E+00	1.69E+00	2.65E+00	6.97E-01	4.67E+00	2.53E-01	1.92E+00	7.63E-01	5.02E+00	6.04E-01
SP92364	6.69E+02	1.07E+02	3.47E+02	3.95E+02	3.70E+02	8.46E+01	6.54E+02	1.35E+00	2.21E+00	4.76E-01	4.30E+01	9.00E+00
