Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
SP95454	18558	1225	3199	3132	1582	626	0	0	0	0	0	0
SP94741	38828	1598	5617	5054	2470	1565	0	0	0	0	0	0
SP90209	58585	36264	25419	6355	0	589	0	0	0	0	0	0
SP90989	42083	2219	1907	1644	920	1114	638	0	0	13	0	90
SP93540	73804	1899	6714	9249	209	3790	375	0	0	0	0	0
SP93227	60597	57135	7390	2735	173	520	0	0	276	0	425	88
SP94348	37106	947	4178	5766	1124	1245	0	0	0	0	0	0
SP94588	0	54	110	10	45	0	142	6	66	45	46	9
SP90725	23	15	126	16	43	0	86	2	49	9	34	4
SP94236	0	7	82	6	0	14	151	12	57	36	139	7
SP93772	4	42	15	9	40	0	113	5	69	36	40	12
SP92195	2	90	73	0	36	5	71	8	61	52	107	9
SP89957	130	32	91	0	8	5	67	6	73	4	54	9
SP92268	72	29	92	7	35	0	123	6	53	12	9	0
SP92707	0	19	64	0	11	0	164	4	58	5	0	8
SP89687	70	26	57	0	0	0	115	0	37	61	126	8
SP90269	0	16	212	25	0	7	32	6	63	23	48	56
SP94933	23849	1139	20319	778	17374	158	0	25	0	0	0	644
SP95126	111	70	0	0	0	4	310	0	0	105	216	0
SP95646	11	68	90	0	4	11	90	7	48	29	133	14
SP89443	18	19	79	0	0	21	35	3	91	12	81	12
SP89651	10	15	40	5	0	3	50	1	30	46	66	17
SP94060	4	0	116	14	0	0	103	5	70	0	60	5
SP92787	0	28	29	0	0	1	67	2	88	24	38	15
SP92723	14	17	140	18	1	5	145	3	33	14	37	7
SP92364	38876	4258	6306	2964	6099	635	204	6	0	0	0	336
SP95406	0	41	25	20	4	0	112	0	73	11	8	10
SP91746	0	37	52	1	20	0	109	0	34	25	27	18
SP92332	14	129	34	7	0	1	124	3	0	141	267	0
SP91730	1	40	22	26	31	3	104	1	0	573	188	0
SP92947	29	21	142	11	60	1	165	0	32	13	15	18
SP91666	74	34	172	0	10	27	60	0	21	15	124	9
SP90245	0	58	54	1	16	14	89	5	109	45	137	2
SP90893	1	44	60	2	4	3	44	3	87	29	155	9
SP89519	19	2	98	15	22	2	203	0	18	9	7	13
SP94917	10514	1067	2874	2330	0	582	276	0	51	0	117	62
SP92659	359	562	2196	0	0	0	24	31	56	5	95	374
SP94332	63	0	4	0	0	0	0	15	186	808	0	0
SP94661	29	10	105	0	22	0	156	2	31	29	80	14
SP93652	0	54	97	0	37	3	109	8	111	22	0	0
SP90125	9	62	62	9	0	2	70	23	86	10	101	18
SP94540	18	25	288	0	0	9	93	11	78	36	0	9
SP95222	120	137	22	0	0	7	147	3	40	70	196	0
SP89389	52	28	41	8	4	0	258	8	41	49	58	0
SP90503	0	48	37	0	0	9	131	0	99	10	0	9
SP92460	8446	755	1625	1832	971	350	145	0	39	23	0	0
SP92931	27	44	60	11	0	1	229	2	71	33	20	17
SP91265	94	98	65	20	0	0	204	7	89	33	145	3
SP89909	8329	1365	390	2006	210	142	175	16	29	0	0	0
SP90629	76	105	7	0	0	16	152	14	56	67	420	19
SP95550	80	65	26	0	21	1	258	3	0	104	78	5
CPCT02020389T	119	8	109	0	7	3	90	28	28	21	31	37
CPCT02080033T	0	38	366	35	76	0	206	102	92	8	0	19
CPCT02060156T	225	2	143	43	85	31	286	140	128	33	0	34
DRUP01340014T	15	11	34	8	8	0	0	16	14	5	0	330
DRUP01010121T	352	37	76	32	78	29	176	60	38	68	103	16
CPCT02130034T	76	73	113	21	29	0	82	143	66	49	193	14
CPCT02260015T	262	88	87	0	18	12	171	254	366	151	0	0
CPCT02220071T	10965	180	797	748	454	757	107	224	38	49	77	144
CPCT02010710T	134	35	88	23	49	17	40	122	55	112	20	15
CPCT02340068T	8	26	57	29	25	2	68	50	85	1	45	19
CPCT02130050T	88	45	195	19	23	13	14	259	153	34	140	0
DRUP01060016T	34	42	35	17	0	0	0	114	438	49	0	0
CPCT02260017T	151	44	320	10	17	8	211	78	103	39	54	82
CPCT02020682T	768	87	411	0	47	8	72	153	124	11	108	49
DRUP01030013T	38063	904	4208	6296	0	2146	0	880	273	24	0	0
CPCT02130059T	121	7	139	1	86	9	71	160	47	34	195	0
WIDE01010296T	142	71	328	14	95	0	165	45	634	47	104	45
CPCT02380044T	24	0	132	55	84	0	0	88	234	37	241	67
CPCT02060117T	47	20	151	7	110	10	76	75	65	10	7	0
CPCT02080220T	32	4	364	24	133	1	80	139	95	32	36	9
CPCT02210056T	47	12	122	17	70	2	121	159	51	9	0	3
CPCT02020734T	60	0	179	16	80	2	74	275	20	25	0	0
CPCT02020716T	16	6	97	0	50	4	81	93	32	18	18	6
CPCT02080226T	0	40	95	15	21	6	176	140	52	57	98	38
DRUP01080014T	17408	733	988	1378	932	947	0	311	50	22	31	52
DRUP01270003T	77	9	111	11	27	5	93	53	36	5	117	15
CPCT02190044T	14	83	6	4	0	13	0	138	84	23	118	6
CPCT02130131T	43	0	145	11	0	0	0	75	0	3	313	37
CPCT02220054T	67	53	107	0	34	9	405	126	8	73	45	26
