Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
CPCT02040234T	1.47E+01	1.69E+00	2.20E+00	1.82E+01	4.06E+00	5.06E+00	2.54E+00	3.10E+00	1.43E+00	1.77E+00	5.53E+00	1.36E+00	2.05E+00	1.17E+00
CPCT02011089TII	1.24E+00	1.08E+00	1.92E+00	2.79E+00	1.04E+00	2.56E+00	2.08E+00	1.75E+00	1.45E+00	1.06E+00	2.36E+00	2.05E+00	2.00E+00	9.35E-01
CPCT02010781T	9.95E+00	1.87E+00	1.73E+00	1.23E+01	4.17E+00	5.57E+00	2.66E+00	3.43E+00	1.56E+00	2.03E+00	3.81E+00	1.88E+00	1.55E+00	1.50E+00
WIDE01010088T	5.72E+00	1.14E+00	1.49E+00	6.59E+00	5.53E+00	6.13E+00	2.72E+00	2.94E+00	1.34E+00	1.11E+00	2.22E+00	1.28E+00	2.29E+00	9.48E-01
WIDE01010081T	1.60E+00	9.21E-01	2.33E+00	2.90E+00	1.14E+00	2.62E+00	1.74E+00	2.26E+00	1.28E+00	9.48E-01	2.92E+00	2.14E+00	2.18E+00	1.15E+00
DRUP01010078T	7.86E+01	4.17E+00	6.55E+00	9.42E+01	2.03E+01	2.02E+01	3.33E+00	1.57E+01	9.77E-01	3.26E+00	4.03E+01	7.50E+00	1.54E+01	4.03E+00
WIDE01010079T	1.04E+00	9.75E-01	1.33E+00	1.31E+00	7.80E-01	1.56E+00	1.31E+00	1.18E+00	6.96E-01	9.06E-01	1.56E+00	1.08E+00	1.72E+00	5.86E-01
WIDE01010089T	1.49E+00	1.13E+00	2.58E+00	1.89E+00	1.13E+00	9.86E-01	1.70E+00	2.07E+00	9.57E-01	1.03E+00	3.60E+00	2.67E+00	2.26E+00	8.19E-01
WIDE01010082T	3.76E+00	2.09E+00	2.04E+00	4.21E+00	1.65E+00	2.38E+00	2.20E+00	1.93E+00	1.15E+00	1.05E+00	2.74E+00	3.24E+00	2.33E+00	9.93E-01
WIDE01010075T	4.78E-01	1.02E+02	1.04E+02	1.51E+01	2.08E+00	9.83E+00	2.03E+00	7.12E+00	1.54E+00	3.04E+00	2.07E+01	5.70E+00	1.83E+00	2.86E+00
CPCT02270049T	3.11E+00	1.73E+00	3.46E+00	3.27E+00	1.84E+00	2.84E+00	2.96E+00	3.84E+00	1.98E+00	1.45E+00	3.61E+00	1.32E+00	2.82E+00	1.12E+00
WIDE01010099T	3.53E-01	7.94E-01	1.26E+00	1.38E+00	8.58E-01	1.17E+00	1.12E+00	7.32E-01	9.34E-01	7.26E-01	2.11E+00	1.87E+00	1.04E+00	3.04E-01
CPCT02040341T	9.28E-01	7.13E-01	1.25E+00	1.87E+00	1.01E+00	1.91E+00	1.27E+00	1.02E+00	8.20E-01	4.98E-01	1.64E+00	1.07E+00	1.28E+00	6.01E-01
WIDE01010104T	1.43E+01	1.30E+00	2.02E+00	1.87E+01	7.69E+00	5.80E+00	2.54E+00	2.89E+00	1.18E+00	1.29E+00	5.65E+00	2.30E+00	2.44E+00	1.54E+00
WIDE01010090T	5.47E-01	8.85E-01	1.97E+00	1.35E+00	1.03E+00	1.27E+00	1.22E+00	1.73E+00	1.24E+00	8.43E-01	1.98E+00	1.51E+00	1.99E+00	6.94E-01
CPCT02040338T	2.52E-01	4.88E-01	7.34E-01	1.12E+00	7.51E-01	1.23E+00	1.06E+00	1.14E+00	8.06E-01	6.47E-01	9.70E-01	8.33E-01	9.12E-01	7.27E-01
WIDE01010105T	6.84E+00	1.24E+00	2.09E+00	9.46E+00	4.89E+00	5.10E+00	1.72E+00	2.12E+00	1.01E+00	1.06E+00	2.41E+00	1.92E+00	1.65E+00	1.22E+00
CPCT02040340T	3.13E+00	1.34E+00	9.55E-01	1.07E+01	2.79E+00	9.86E+00	4.49E+00	1.88E+00	1.42E+00	8.83E-01	2.26E+00	1.72E+00	3.10E+00	1.06E+00
CPCT02100156T	1.02E+01	1.51E+00	2.18E+00	1.14E+01	3.43E+00	3.37E+00	2.19E+00	2.24E+00	1.26E+00	1.63E+00	4.16E+00	1.05E+00	1.93E+00	3.31E-01
WIDE01010115T	3.66E+00	8.52E-01	2.50E+00	4.47E+00	3.45E+00	3.57E+00	2.51E+00	2.46E+00	1.71E+00	1.28E+00	2.50E+00	1.44E+00	2.19E+00	1.05E+00
WIDE01010122T	1.07E+01	2.24E+00	2.84E+00	1.77E+01	9.45E+00	9.81E+00	2.96E+00	4.04E+00	1.74E+00	1.86E+00	3.70E+00	2.63E+00	2.65E+00	1.73E+00
CPCT02100149T	1.17E+01	1.27E+00	1.95E+00	1.55E+01	9.86E+00	8.30E+00	3.03E+00	3.39E+00	1.58E+00	1.88E+00	3.02E+00	1.98E+00	2.02E+00	1.04E+00
WIDE01010121T	4.30E+00	1.18E+00	1.36E+00	4.25E+00	1.44E+00	2.27E+00	2.17E+00	2.24E+00	1.50E+00	1.26E+00	1.86E+00	1.29E+00	1.75E+00	1.31E+00
CPCT02010776T	9.62E-01	6.06E-01	1.16E+00	9.41E-01	5.79E-01	1.09E+00	1.60E+00	1.05E+00	1.08E+00	1.38E+00	1.05E+00	9.91E-01	8.21E-01	5.60E-01
CPCT02050339T	1.06E+01	1.79E+00	2.35E+00	1.02E+01	3.28E+00	5.87E+00	3.02E+00	3.59E+00	1.69E+00	2.36E+00	7.83E+00	3.64E-01	2.82E+00	1.32E+00
CPCT02050439T	1.21E+00	5.93E+00	6.95E+00	4.23E+00	1.80E+00	3.74E+00	1.66E+00	1.34E+00	1.16E+00	1.06E+00	2.05E+00	1.31E+00	1.43E+00	1.43E+00
WIDE01010130T	5.40E-01	8.78E-01	1.38E+00	2.50E+00	1.41E+00	1.83E+00	1.78E+00	1.85E+00	1.22E+00	9.78E-01	1.72E+00	1.23E+00	2.46E+00	5.09E-01
WIDE01010134T	2.42E+00	1.69E+00	3.05E+00	2.77E+00	1.37E+00	2.71E+00	2.40E+00	3.29E+00	1.44E+00	1.67E+00	3.86E+00	3.27E+00	2.27E+00	1.02E+00
WIDE01010139T	3.67E+01	4.68E+00	4.86E+00	5.31E+01	1.95E+01	1.88E+01	8.80E-01	1.03E+01	1.86E+00	3.09E+00	2.05E+01	3.11E+00	8.47E+00	3.38E+00
CPCT02050344T	2.97E+00	6.55E-01	1.55E+00	2.68E+00	1.25E+00	1.95E+00	2.06E+00	2.38E+00	1.20E+00	2.07E+00	2.31E+00	1.82E+00	2.37E+00	6.97E-01
