Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
SP53460	648	13	1	0	188	165	40	0	37	6	12	19	47	14
SP50827	735	43	98	303	295	149	52	0	43	4	77	76	47	4
SP50263	16	34	159	44	1	68	48	1	22	0	60	18	49	0
SP50317	31	117	51	52	14	114	27	0	32	0	47	39	2	4
SP54113	2181	54	46	690	265	158	148	0	110	8	12	29	97	75
SP50406	4	0	0	0	0	0	0	0	0	0	9	0	0	0
SP51824	297	20	88	203	77	26	71	0	35	0	23	5	59	6
SP55387	137	0	6	50	42	7	16	6	0	0	2	0	0	0
SP52779	642	18	60	254	244	135	92	0	0	5	58	32	42	26
SP55235	1563	46	63	523	540	91	189	0	77	0	99	41	1	1
SP50713	182	1	9	50	44	16	68	0	23	0	35	2	8	4
SP50611	1020	13	67	153	322	123	52	0	14	0	22	79	28	0
SP50485	4	7	25	19	19	16	6	0	11	0	41	5	2	0
SP51037	3	18	95	29	0	12	28	0	6	1	24	8	5	2
SP55142	2260	180	296	787	384	882	68	30	504	6	48	220	142	21
SP53387	466	14	0	212	179	137	79	0	11	4	68	37	59	37
SP54745	185	64	139	111	100	170	68	0	19	1	132	18	56	37
SP52284	21	23	156	31	13	26	41	0	22	2	30	25	41	4
SP53618	1076	3	53	277	461	175	126	0	32	4	0	62	47	12
SP52232	508	1	0	113	135	58	28	0	18	6	0	28	26	13
SP50412	11	3	18	9	12	10	12	0	4	1	29	3	7	0
SP50321	163	0	50	45	97	76	106	0	3	4	2	17	30	4
SP53548	0	12	73	27	2	34	41	0	9	1	11	25	9	15
SP55004	0	0	4	0	1	5	6	0	2	0	2	1	0	0
SP56079	858	2	23	206	189	16	59	0	11	0	47	43	26	23
SP56168	71	22	100	0	21	95	71	5	27	3	95	34	43	10
SP54363	564	39	214	133	207	128	84	0	21	4	30	21	45	21
SP53810	3193	0	7	339	908	542	85	4	0	0	184	46	101	33
SP50518	0	7	110	42	6	48	54	0	26	9	79	4	14	3
SP56303	37	29	140	0	4	144	163	0	145	12	47	29	49	5
SP55711	22	6	106	0	11	80	46	0	17	1	74	0	62	1
