MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
3:Ins:R:2	2.40E-06	1.93E-05	7.11E-06	4.31E-05	3.62E-05	4.19E-05	0.00E+00	1.37E-04	2.99E-04
3:Ins:R:3	4.38E-06	5.74E-06	1.90E-06	9.23E-06	1.77E-05	1.81E-05	0.00E+00	2.69E-05	5.61E-05
3:Ins:R:4	4.82E-06	1.45E-05	2.40E-06	7.07E-06	2.05E-05	5.97E-11	4.85E-06	2.78E-05	5.00E-06
3:Ins:R:5	2.00E-05	3.52E-05	2.89E-06	1.96E-05	4.19E-05	2.31E-06	3.54E-05	6.24E-05	3.19E-05
4:Ins:R:0	2.66E-05	1.81E-04	5.78E-05	1.46E-04	1.11E-03	3.17E-04	6.00E-05	3.02E-04	2.69E-04
4:Ins:R:1	4.58E-06	6.80E-06	5.30E-06	1.04E-04	4.30E-05	2.03E-05	4.72E-05	1.30E-03	1.93E-03
4:Ins:R:2	5.97E-06	2.10E-05	4.88E-06	2.46E-05	7.84E-05	7.13E-05	1.74E-05	6.17E-05	1.36E-04
4:Ins:R:3	8.26E-06	1.89E-05	3.65E-06	1.32E-05	4.96E-05	2.93E-05	1.30E-05	5.01E-05	4.60E-06
4:Ins:R:4	1.12E-05	2.69E-05	2.94E-06	1.02E-05	4.78E-05	4.15E-05	3.65E-06	4.57E-05	8.14E-10
4:Ins:R:5	7.91E-06	3.15E-05	5.33E-07	2.58E-05	2.43E-05	2.85E-05	2.80E-47	6.17E-05	1.86E-06
5:Ins:R:0	5.70E-05	2.37E-04	2.36E-04	6.96E-04	5.76E-04	3.52E-03	4.82E-04	7.06E-04	3.88E-04
5:Ins:R:1	4.19E-06	2.23E-04	5.63E-05	2.90E-04	1.36E-03	3.31E-04	1.24E-04	3.07E-04	2.65E-04
5:Ins:R:2	5.56E-06	2.93E-05	6.01E-06	2.54E-05	9.23E-05	6.18E-05	2.70E-05	5.44E-05	4.51E-05
5:Ins:R:3	2.76E-06	1.55E-05	7.06E-07	1.41E-05	4.21E-05	3.49E-05	0.00E+00	1.83E-05	1.02E-09
5:Ins:R:4	2.85E-06	1.33E-05	3.51E-06	1.94E-06	3.14E-05	3.40E-07	8.56E-06	1.40E-05	2.30E-09
5:Ins:R:5	1.99E-06	1.21E-05	1.49E-06	1.32E-06	2.45E-05	4.36E-06	1.48E-05	1.32E-05	1.54E-05
2:Del:M:1	1.00E-04	1.92E-04	1.07E-04	2.37E-04	4.20E-04	1.23E-04	8.84E-04	1.92E-04	3.39E-04
3:Del:M:1	1.28E-05	2.95E-05	1.65E-05	2.94E-04	4.96E-04	1.53E-04	6.89E-05	1.11E-04	2.40E-04
3:Del:M:2	6.81E-05	9.17E-05	1.73E-05	1.83E-04	3.68E-04	1.83E-04	1.78E-04	1.04E-04	1.96E-04
4:Del:M:1	2.32E-05	3.51E-05	1.53E-05	2.04E-04	4.09E-04	1.50E-04	1.15E-04	1.72E-04	3.66E-04
4:Del:M:2	2.81E-05	7.14E-05	1.84E-05	1.35E-04	3.31E-04	1.57E-04	1.42E-04	1.22E-04	2.69E-04
4:Del:M:3	3.20E-05	7.91E-05	1.93E-05	1.03E-04	4.34E-04	2.05E-04	2.11E-04	9.83E-05	1.26E-04
5:Del:M:1	2.78E-05	1.66E-04	1.00E-04	9.48E-04	2.69E-03	7.17E-04	2.97E-04	3.21E-04	5.82E-04
5:Del:M:2	6.29E-06	1.48E-04	8.22E-05	1.87E-03	9.01E-04	4.06E-04	3.51E-04	2.72E-04	9.02E-04
5:Del:M:3	1.28E-05	1.35E-04	4.95E-05	1.72E-03	3.02E-04	4.54E-05	2.76E-04	1.81E-04	6.07E-04
5:Del:M:4	8.88E-06	6.78E-05	3.30E-05	9.64E-04	8.63E-05	1.23E-04	1.78E-04	2.19E-05	2.92E-04
5:Del:M:5	8.02E-06	1.09E-04	3.35E-05	7.75E-04	3.53E-04	2.14E-04	1.40E-04	1.76E-04	2.77E-04
