MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
1:Del:C:0	0.0032142624756670555	0.010405615626368672	0.08257913913577795	0.010135675314522814	0.03695468241348863	0.035054259351454675	0.03186052493460011	0.008112764963880182	0.006876905572717078	0.3103758463263512	0.037608060791390015	0.028280413776386695	0.0066048367619077905	0.016149377186084165	0.05986417281907052
1:Del:C:1	4.127576081373263e-05	0.013803064550447743	0.1714427749812603	0.011501578924071509	0.05717045808210969	0.005866507722821553	0.024667025753296913	0.0018645695617306047	0.004935280508143478	0.05173817646107636	0.01965159516170388	0.019374630535862226	0.000769025252739084	0.004306888784631155	0.024630102608508037
1:Del:C:2	0.000864845512901411	0.002445515226381758	0.15477435782551766	0.0014704026578692719	0.03385708713205531	0.007815509468782693	0.0062514698941959065	0.0025178124906960874	3.171263688386716e-05	0.017816953384317456	0.007136539824832653	0.015719446535777025	0.0020578858225781004	0.005353955024911556	0.002514620698057115
1:Del:C:3	0.002161966288113035	0.0010987709961773361	0.051401004157960416	0.008683469499228522	0.018508631104486993	0.004805667855689535	0.0060488778588478455	0.0020675205357422754	0.002890416657929222	0.009500586546055274	0.0058007794785226	0.008204339407768657	0.006012850523693487	2.529135614167899e-05	0.011667826690245419
1:Del:C:4	0.0060043967206729575	0.0038201725729686588	0.04122005138546228	0.003382671102299355	0.0026015485665629966	0.004208563537831651	0.0055306910242143206	0.0014436978593822404	0.00026187648123595866	0.0075591237672376676	0.004331400720984675	0.007715170100564137	0.006105399976950139	0.0007156812972971238	0.008679581810720266
1:Del:C:5	0.026933302646502854	0.0036919233092964987	0.02357797058299184	0.004485149117572291	0.0006015104576727027	0.002747540507261874	0.002048553078529949	1.7795559159594632e-09	0.003409405832750281	0.00032895233074668794	0.005472527135570999	0.012328999303863384	0.008742799212923274	0.0005834250778934802	0.020065226692822763
1:Del:T:0	0.0019180745441553881	0.0015467588882893324	0.03934371542185545	0.012067310267157154	0.07655637014657259	0.005272646275698207	0.0626288855727762	0.09546418406069279	0.03432453364133835	0.030373054486699403	0.022842851464811246	0.04981427221093327	0.003182653533804114	0.006242821733030724	0.032874460354214534
1:Del:T:1	0.001204548650785	0.0013202014128910378	0.03185821276158094	0.0030909314865857594	0.0508674107119441	0.0036102317074255554	0.0139663782925345	0.15308846332132817	0.007105003018514253	0.008998100957251154	0.010805448964529205	0.02206152954604477	0.001021347922796849	0.003362231263599824	0.03690510101616382
1:Del:T:2	0.0017930239823181183	0.011851488723186776	0.018622545087710024	0.015364122038008646	0.03510111765237525	0.0010739747438492486	0.009531328378070612	0.12706309966742993	0.0020237702918529978	0.02201989466469968	0.015735616245074198	0.016698898348217882	0.0033099164035229477	0.0009926973859546706	0.030678016938036307
1:Del:T:3	0.008263771237398031	0.014356545014306903	0.023824001029133797	0.004068442616480752	0.013479772733990102	0.012398876790539361	0.004118477706215345	0.21697549313306808	0.00020962138194590807	0.011816142254392616	0.01084270225956061	0.006654049031223792	0.006965550184231688	0.002588979592110263	0.0035201639172737485
1:Del:T:4	0.025299823852255942	0.010445637585944497	0.021264133052900435	0.018679358010413125	0.002714029321032285	0.011527855352032929	0.017401376222260297	0.07582516636699438	0.0011429474403848873	0.024084843066520988	0.017209235054906458	0.011646225740114459	0.003216732608270831	0.0038695270159223583	0.012975021515740082
1:Del:T:5	0.6113262623548508	0.013078325558749644	0.030619920463068412	0.023666724853108775	0.004225787416216918	0.04170905946259154	0.08686707396409474	0.07134298320859671	0.0020345783606171607	0.06550784323597326	0.08683248098473996	0.05159099645563401	0.009287134428741411	0.0715249554719776	0.03895361229602838
1:Ins:C:0	0.001021866598328245	0.00021887481423618738	0.013278227703277991	0.0017545010129106232	0.00027601080661952436	0.003425524223548564	0.0009634936129987181	0.005813743472099304	7.826402471437177e-05	0.0002312732901191339	0.005869504894249076	0.0008757812731369086	0.0009528209680863142	0.0	0.19705692887306214
1:Ins:C:1	0.00021195646315391058	0.004160877030226402	0.004166307600680739	0.0034652998147794278	0.004777082576183602	0.002007504162756959	0.0026744905038140134	0.0016430011752527208	0.00464325169350559	0.010559889565920457	0.004303155475645326	0.0076370742725987385	0.0014286660830839537	0.002622239803240518	0.016776762221124956
1:Ins:C:2	0.00019786202978139045	0.0008595774792593147	0.0032922997465357185	0.002431653951643966	0.006361900265328586	0.00010580037022009492	0.0024241080725259947	0.0004345049706645909	0.0029203383067601865	0.005867306496365927	0.004676628698180138	0.010291740999091416	0.0	0.00284026264824206	0.004328437184740324
1:Ins:C:3	0.000751192200841615	0.00031034703148179687	0.010542527688667178	0.0032341011796233944	0.0008341461270174477	2.453142311424017e-05	0.0012169484823243693	3.4135393489620467e-09	0.004507234764013503	0.003027946841757512	0.0041551789727736835	0.015181438268336933	0.0011725790851050987	0.00016927851353102597	0.0012393772372161038
1:Ins:C:4	0.005059407390654087	0.0003407597079058178	0.011708790017291904	0.0062264160646009255	2.1689116256311535e-05	0.0	9.743872855324299e-05	0.0004425072298590038	0.0020156999486150083	0.0015159410062187816	0.007419977765530348	0.006260612182522891	0.0006348626911858446	0.0019268880191884818	0.0037274247862660558
1:Ins:C:5	0.020609479546546936	0.014921293322840938	0.009706644741818309	0.027454257548670286	0.0003184407415392343	0.004848747352516511	0.0025287691672565417	0.0016148113497183659	0.00368848166668613	0.02085881391307339	0.027309447329025717	0.03944198802462779	0.003254733474095701	0.003942280589362781	0.009251026697165798
1:Ins:T:0	0.000704369064696948	0.014747136044315995	0.0178593138884753	0.0031484665583411697	0.0034656779367651324	0.001778020983957873	0.01638195893727243	0.0	0.011295742876827717	0.009055544509901665	0.012919149484660011	0.020202880377742077	0.00607985595241189	0.002559412419068394	0.04086845409590751
1:Ins:T:1	0.0002551674831192941	0.0009441933341440745	0.03602934794384055	0.0020210352854337543	0.0020543477179307957	0.0008382258514757268	0.26626923263072966	0.005028416026616469	0.005524527447705623	0.011028356624301523	0.033667245561955494	0.022526207524351777	0.004756011579884216	0.004170971510975505	0.0032847815197601447
1:Ins:T:2	0.005350397255970165	0.006388570708350016	0.029219139395281674	0.003641063507529907	0.008103853591892403	0.001959284629774629	0.08877052229072432	3.7324532797811115e-09	0.0017180467452234892	0.004238310134613244	0.0291607705532806	0.015777066984280736	0.002424896718293894	0.0001758590672397986	0.006030962868499046
1:Ins:T:3	0.0024526057820185086	0.002876992679812247	0.022393701979890466	0.0059867162426235155	0.004612024378075148	0.003967472188960528	0.04486790388589725	0.001148164165622818	0.0008216529617493507	0.012220981625141576	0.01777107755828183	0.02029185505816713	0.002250412652756495	0.002842929894977715	0.007384599188735592
