Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
SP99325	1.22E+03	1.40E+03	5.47E+02	2.22E+02	5.07E+02	6.73E+01	3.35E+02	8.38E+00	2.00E+02	5.41E+01	1.33E+01
SP18310	1.33E+03	1.41E+03	5.23E+02	1.78E+02	2.41E+02	7.09E+01	9.95E+01	1.36E+00	1.39E+02	2.68E+01	8.71E-01
SP17172	8.08E+02	8.59E+02	2.80E+01	7.14E+01	2.08E+01	3.16E+01	7.54E+00	4.71E+00	2.00E+01	1.97E+00	4.90E+00
SP96133	1.26E+03	1.36E+03	1.95E+02	9.33E+01	1.78E+02	6.98E+01	1.36E+02	4.95E+00	1.09E+02	1.58E+01	3.42E+00
SP110242	1.70E+03	1.90E+03	3.29E+02	2.58E+02	3.32E+02	7.72E+01	2.31E+02	5.80E+00	3.86E+02	2.03E+01	5.12E+00
SP21017	1.20E+03	1.40E+03	4.38E+02	1.56E+02	2.04E+02	6.53E+01	1.28E+02	4.39E+00	1.86E+02	1.05E+01	4.05E+00
SP22383	1.07E+03	1.12E+03	2.03E+02	5.84E+01	1.44E+02	5.30E+01	6.85E+01	4.15E+00	4.43E+01	1.53E+01	2.72E+00
SP81312	8.92E+01	8.65E+01	3.28E+00	1.42E+01	4.25E-01	2.11E+01	2.40E-01	2.91E+00	2.59E+00	1.35E+00	1.07E+01
SP19215	7.65E+02	7.52E+02	2.30E+02	9.13E+01	1.22E+02	5.06E+01	3.45E+01	4.03E+00	4.47E+01	1.62E+01	0.00E+00
SP16886	2.23E+01	2.02E+01	6.69E-01	1.20E+01	3.72E+00	1.20E+01	1.29E+00	2.68E+00	5.02E+00	1.63E+00	1.62E+01
SP17905	2.25E+01	0.00E+00	0.00E+00	6.77E+01	3.85E+00	7.11E+01	3.16E+00	8.54E+00	3.10E+00	1.70E-01	3.93E+01
SP18121	1.06E+03	1.08E+03	2.66E+02	1.28E+02	2.24E+02	5.70E+01	1.30E+02	5.24E+00	5.55E+01	1.30E+01	9.51E+00
SP96118	1.39E+02	1.48E+02	5.93E+01	2.34E+01	5.82E+01	1.47E+01	3.17E+01	7.25E-01	7.02E+00	4.93E+00	8.39E-01
SP21400	6.99E+01	6.70E+01	1.15E+00	1.40E+01	2.55E+00	1.95E+01	9.68E-01	2.78E+00	2.63E+00	9.91E-01	1.15E+01
SP18946	1.66E+02	1.64E+02	2.55E+00	2.74E+01	6.95E+00	3.79E+01	3.49E+00	3.92E+00	1.58E+01	2.16E+00	1.17E+01
SP80615	6.82E+01	5.74E+01	0.00E+00	2.95E+01	3.43E+00	3.97E+01	6.33E+00	6.46E+00	1.21E+01	4.24E+00	3.72E+01
SP102897	2.66E+02	2.92E+02	4.69E+01	2.60E+01	6.87E+01	1.91E+01	5.05E+01	4.34E+00	3.82E+01	1.34E+01	7.88E+00
SP98845	1.68E+02	1.77E+02	3.77E+01	1.73E+01	4.60E+01	1.09E+01	2.81E+01	3.00E+00	1.38E+01	3.13E+00	3.54E+00
SP107012	6.60E+02	7.18E+02	9.49E+01	5.78E+01	1.57E+02	4.05E+01	1.04E+02	4.31E+00	8.10E+01	7.51E+00	3.39E+00
SP55142	1.18E+00	3.07E-01	0.00E+00	4.39E+00	1.10E+01	5.16E+00	9.66E-01	1.09E+01	2.80E+01	1.41E+01	2.67E+01
SP53810	2.42E+00	2.40E+00	0.00E+00	3.25E+00	1.11E+01	5.57E+00	6.76E-01	1.10E+01	2.33E+00	1.59E+00	3.03E+00
SP116697	7.66E+01	7.44E+01	0.00E+00	1.84E+01	8.08E+00	1.39E+01	4.93E+00	3.32E+00	5.08E+01	2.21E+01	4.92E+01
SP102133	1.32E+02	1.20E+02	6.59E+00	2.80E+02	1.78E+02	1.44E+01	9.51E+01	2.95E+00	3.74E+02	2.46E+00	3.01E+00
SP125732	1.40E+02	1.39E+02	6.79E+00	1.64E+01	8.24E+00	1.44E+01	3.26E+00	1.58E+00	1.47E+00	2.00E+00	1.47E+00
SP125746	9.01E+02	9.58E+02	1.55E+02	7.94E+01	1.84E+02	4.06E+01	1.36E+02	2.54E+00	1.26E+02	1.96E+01	2.49E+00
SP125770	2.86E+02	2.89E+02	8.21E+00	1.60E+02	1.09E+02	2.60E+01	5.68E+01	2.28E+00	2.33E+02	2.55E+01	5.72E+01
SP77956	2.48E+00	2.69E+00	0.00E+00	5.13E+00	1.30E+00	0.00E+00	3.98E+00	5.76E+00	1.49E-01	0.00E+00	9.00E-02
SP124384	4.96E+02	5.39E+02	9.63E+01	4.37E+01	1.18E+02	2.98E+01	8.61E+01	4.46E+00	6.27E+01	7.46E+00	1.88E+01
SP135287	8.12E+02	8.76E+02	1.68E+02	6.64E+01	7.85E+01	3.78E+01	2.19E+01	1.57E+00	5.86E+01	1.77E+01	0.00E+00
SP85122	1.17E+03	1.29E+03	3.14E+02	1.63E+02	1.44E+02	5.07E+01	7.45E+01	4.16E+00	2.06E+02	2.30E+01	2.78E+00
SP84384	1.24E+03	1.18E+03	5.31E+02	1.91E+02	3.84E+02	8.57E+01	1.79E+02	7.97E+00	5.85E+00	3.80E+01	0.00E+00
SP84982	7.36E+02	7.73E+02	1.45E+02	3.86E+01	9.40E+01	3.65E+01	5.12E+01	2.94E+00	2.25E+01	1.16E+01	2.56E+00
SP84392	1.04E+03	1.10E+03	4.21E+02	1.67E+02	3.09E+02	5.96E+01	1.84E+02	4.68E+00	1.28E+02	1.89E+01	4.22E+00
SP84439	1.18E+03	1.08E+03	5.56E+02	2.49E+02	4.01E+02	9.85E+01	1.62E+02	1.06E+01	6.67E+00	2.61E+01	1.05E+01
SP95454	5.96E+02	6.69E+02	1.01E+02	7.04E+01	1.67E+02	3.41E+01	1.21E+02	2.18E+00	1.26E+02	1.01E+01	4.44E-01
SP94741	9.99E+02	1.18E+03	1.57E+02	1.25E+02	2.49E+02	5.71E+01	1.74E+02	3.89E+00	2.16E+02	1.55E+01	2.38E+00
