Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
SP1086	15	0	27	83	41	92	10	3	41	62	0	22	17	24	13	5
SP1003	77	15	11	145	55	81	0	0	94	61	0	0	41	31	33	4
SP1677	23	0	9	99	56	232	10	0	67	47	9	0	22	23	25	10
SP1305	80	39	0	131	559	131	107	24	78	95	0	0	477	56	26	23
SP963	15	0	0	95	88	95	5	0	31	91	10	45	11	19	13	12
SP1144	6	34	10	18	12	118	36	1	8	31	0	35	34	18	15	13
SP1132	28	0	0	94	73	385	12	4	0	195	0	0	7	15	25	2
SP1712	2	23	8	166	10	0	0	3	11	51	6	0	2	9	10	7
SP1114	8	1	23	111	2	353	1	0	14	0	22	0	24	11	0	8
SP1431	32	4	10	220	12	0	14	0	6	17	15	11	0	45	10	0
SP975	69	9	4	157	570	0	137	17	35	15	0	0	301	0	35	10
SP1059	56	0	10	120	77	308	42	2	134	141	0	21	0	62	23	107
SP1419	113	27	12	147	23	18	39	0	36	73	0	180	23	9	76	3
SP1009	7	17	22	113	40	72	18	2	44	43	45	0	2	53	19	12
SP1724	11	15	9	51	16	76	6	0	21	32	12	0	11	24	3	6
SP96136	76	4	23	116	255	116	63	0	55	136	11	24	212	22	30	9
SP967	54	4	0	152	14	33	0	0	8	0	0	0	2	21	5	0
SP1781	60	73	6	361	16	58	3	0	11	124	15	8	28	23	24	6
SP1174	337	138	4	267	32	18	30	0	20	17	0	99	2	0	37	17
SP953	83	29	42	159	0	268	0	6	83	83	1	50	52	10	7	19
SP1377	1	62	0	123	22	40	10	1	9	23	0	48	4	23	7	8
SP1365	29	43	0	178	153	85	7	0	57	61	25	58	36	6	18	2
SP1491	59	40	1	76	149	18	52	0	0	5	0	52	166	19	15	4
CPCT02060013T	93	0	19	52	728	58	83	68	86	68	56	211	6	13	111	18
CPCT02100026T	108	68	0	63	23	98	43	56	27	7	9	4	28	18	10	11
CPCT02070020T	234	333	11	7	47	37	94	67	92	159	0	36	64	78	74	31
CPCT02030269T	31	4	7	118	16	0	14	45	14	26	54	42	32	15	14	0
CPCT02010944TIII	58	68	38	54	20	141	26	20	41	44	74	35	17	38	32	13
CPCT02020867T	33	89	2	18	131	8	311	68	43	51	15	33	0	50	12	367
CPCT02070272T	405	457	0	166	492	123	203	137	58	13	68	95	344	64	25	26
CPCT02020648T	51	53	33	80	36	149	29	41	35	136	92	14	67	2	37	9
CPCT02020362T	89	306	24	173	52	45	0	71	24	75	157	0	9	177	18	37
CPCT02440020T	68	579	7	217	58	55	37	28	34	44	63	34	47	35	18	17
CPCT02210077T	163	329	17	33	0	246	22	27	51	54	29	34	34	71	24	42
CPCT02070445T	200	242	18	48	0	0	9	20	30	142	47	38	21	15	19	25
CPCT02020894T	116	130	19	43	18	66	4	2	21	41	95	40	43	37	21	25
CPCT02020896T	151	8	11	57	24	34	2	22	26	60	31	27	0	26	30	18
CPCT02140101T	42	380	72	127	80	249	32	57	82	207	0	0	12	564	49	40
CPCT02210040T	252	250	15	207	0	16	0	25	182	19	0	25	23	10	28	59
DRUP01010020T	51461	12294	9073	116	0	148	0	48	498	0	0	379	0	0	146	0
CPCT02020902T	148	35	0	111	240	27	80	52	10	71	137	115	243	27	34	53
CPCT02070443T	204	179	0	29	0	2	51	13	15	68	126	100	7	15	39	15
CPCT02080295T	234	639	38	166	18	21	31	38	292	27	0	31	37	31	17	27
CPCT02020916T	70	18	55	8	33	222	26	36	27	50	0	131	18	216	27	30
CPCT02020915T	75	58	16	152	3	12	0	16	0	25	104	10	24	14	27	24
CPCT02160036T	49	104	16	78	0	0	24	88	13	28	42	15	63	5	34	7
CPCT02120184T	122	103	0	29	265	128	21	0	77	77	120	0	45	69	57	27
CPCT02050315T	6	22	3	78	5	31	13	51	12	32	143	0	8	36	20	11
CPCT02120182T	54	93	14	89	23	74	20	32	25	48	21	32	35	27	20	23
CPCT02020940T	0	0	0	51	52	39	6	10	44	8	82	38	24	88	48	5
CPCT02010712T	397	507	29	511	0	20	20	117	55	10	104	0	68	20	40	195
CPCT02070294T	35	83	0	0	0	0	8	93	5	38	62	158	54	6	36	23
CPCT02070299T	411	167	35	163	35	417	10	108	67	61	77	11	44	38	22	31
CPCT02050437T	278	658	14	77	17	72	68	43	59	87	6	53	21	96	4	41
CPCT02050436T	34	16	133	69	101	793	24	50	32	270	152	0	27	0	33	28
CPCT02020952T	266	192	22	120	17	0	25	8	24	161	127	0	22	26	48	32
