Samples	ID83A	ID83B	ID83C	ID83D
SP101845	2.53E+00	2.70E+00	1.28E+00	5.72E-01
SP101682	1.09E+00	1.73E+00	1.15E+00	5.46E-01
SP61553	5.00E-01	1.25E+00	1.03E+00	5.93E-01
SP101724	1.74E+00	2.26E+00	1.72E+00	4.23E-01
SP102103	9.24E-01	1.21E+00	7.75E-01	0.00E+00
SP102174	1.25E+00	1.48E+00	1.03E+00	6.37E-01
SP101622	2.66E+00	2.80E+00	7.67E-01	0.00E+00
SP102161	1.46E+00	1.64E+00	8.75E-01	5.53E-01
SP101654	1.17E+00	1.94E+00	1.50E+00	2.94E-01
SP102074	9.32E-01	1.28E+00	7.76E-01	5.18E-01
SP101694	1.34E+00	1.89E+00	1.09E+00	5.13E-01
SP101616	1.38E+00	2.06E+00	1.42E+00	0.00E+00
SP101666	1.85E+00	2.02E+00	1.05E+00	5.29E-01
SP101558	1.82E+00	1.86E+00	8.37E-01	0.00E+00
SP102096	1.26E+00	1.81E+00	1.17E+00	8.99E-01
SP102084	1.35E+00	1.75E+00	1.43E+00	3.92E-01
SP101580	1.95E+00	2.02E+00	1.13E+00	5.96E-01
SP102064	2.25E+00	2.22E+00	9.63E-01	6.72E-01
SP101564	9.56E-01	1.19E+00	8.61E-01	3.86E-01
SP101921	8.73E-01	1.41E+00	1.09E+00	0.00E+00
SP101648	1.95E+00	2.18E+00	7.90E-01	2.45E-01
SP101628	9.77E-01	1.36E+00	1.03E+00	6.05E-01
SP101708	1.05E+00	1.28E+00	9.67E-01	4.46E-01
SP102055	6.74E-01	1.04E+00	7.15E-01	3.59E-01
SP101634	1.92E+00	2.10E+00	6.53E-01	4.53E-01
SP101588	1.01E+00	1.54E+00	1.08E+00	4.24E-01
SP101584	1.32E+00	1.53E+00	8.45E-01	0.00E+00
SP101686	6.49E-01	1.23E+00	9.03E-01	1.13E-01
SP101532	2.02E+00	2.05E+00	7.40E-01	0.00E+00
SP101732	2.19E+00	2.27E+00	9.50E-01	7.66E-01
SP101528	1.04E+00	1.25E+00	6.60E-01	0.00E+00
SP101536	7.85E-01	1.25E+00	7.71E-01	8.06E-01
SP101576	1.39E+00	2.08E+00	1.21E+00	7.33E-01
SP102015	3.04E+00	3.01E+00	3.89E-01	4.87E-01
