MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	1.02E-04	2.10E-04	2.30E-03	4.22E-04	2.03E-03	8.55E-04	1.87E-03	2.94E-03	5.32E-05
1:Del:C:1	4.31E-05	1.36E-04	9.83E-04	2.58E-04	9.41E-04	5.21E-04	1.02E-03	1.70E-03	3.28E-05
1:Del:C:2	4.56E-05	1.55E-04	3.66E-04	1.34E-04	4.89E-04	3.41E-04	6.65E-04	9.02E-04	2.77E-05
1:Del:C:3	7.80E-05	9.79E-05	4.22E-04	1.05E-04	3.35E-04	2.03E-04	6.96E-04	6.79E-04	4.81E-10
1:Del:C:4	3.04E-04	5.10E-05	3.31E-04	6.93E-05	7.37E-04	1.56E-04	3.01E-04	4.12E-04	4.31E-10
1:Del:C:5	8.90E-04	1.24E-04	2.74E-04	6.21E-05	1.99E-03	4.24E-04	8.96E-04	6.24E-04	2.50E-05
1:Del:T:0	8.43E-05	1.61E-04	7.57E-04	2.81E-04	1.64E-03	6.30E-04	1.38E-03	2.00E-03	4.40E-05
1:Del:T:1	8.10E-05	1.53E-04	6.19E-04	1.75E-04	1.04E-03	4.43E-04	7.38E-04	1.18E-03	2.85E-05
1:Del:T:2	1.23E-04	1.27E-04	8.50E-04	2.15E-04	8.57E-04	3.78E-04	9.53E-04	1.37E-03	3.14E-05
1:Del:T:3	6.27E-04	2.54E-04	1.34E-03	2.14E-04	1.80E-03	1.99E-04	1.22E-03	2.24E-03	3.59E-05
1:Del:T:4	1.98E-03	4.70E-04	1.49E-03	2.27E-04	4.25E-03	1.40E-47	1.89E-03	2.84E-03	6.55E-05
1:Del:T:5	3.40E-03	2.26E-03	1.45E-08	5.56E-04	2.48E-02	4.21E-03	4.29E-04	4.70E-03	1.41E-04
1:Ins:C:0	6.96E-05	3.02E-04	9.56E-04	2.44E-04	5.39E-03	7.34E-04	4.48E-04	7.80E-03	3.49E-05
