Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
SP24708	2.18E+00	2.53E+00	1.66E+00	1.36E+00	8.98E-01	1.73E+00	0.00E+00	1.95E+00	2.79E+00	1.78E+00	1.32E+00	9.95E-01
SP24301	3.05E+00	3.20E+00	2.20E+00	1.78E+00	1.31E+00	1.97E+00	3.06E-01	1.84E+00	3.26E+00	2.09E+00	1.59E+00	1.84E+00
SP27201	8.04E-01	1.98E+00	2.43E+00	1.63E+00	8.79E-01	1.55E+00	1.65E-01	2.06E+00	2.86E+00	2.05E+00	1.71E+00	1.30E+00
SP28791	2.81E-01	9.77E-01	7.66E-01	1.11E+00	4.37E-01	6.33E-01	0.00E+00	1.26E+00	1.19E+00	8.09E-01	8.15E-01	9.00E-01
SP23739	1.54E+00	1.60E+00	7.83E-01	7.21E-01	8.71E-01	1.25E+00	0.00E+00	1.37E+00	1.70E+00	8.16E-01	8.58E-01	5.58E-01
SP24702	3.66E+00	3.82E+00	1.58E+00	1.19E+00	1.07E+00	1.61E+00	0.00E+00	1.91E+00	3.04E+00	2.39E+00	2.15E+00	1.24E+00
SP25332	6.41E-01	9.94E-01	7.19E-01	7.57E-01	7.25E-01	9.31E-01	2.09E-01	6.62E-01	1.24E+00	1.17E+00	9.67E-01	7.14E-01
SP28335	1.12E+00	9.77E-01	1.13E+00	8.18E-01	7.53E-01	1.08E+00	5.63E-02	1.86E+00	2.71E+00	1.59E+00	1.20E+00	1.18E+00
SP26709	2.82E+00	3.06E+00	7.74E-01	1.11E+00	7.27E-01	7.71E-01	0.00E+00	8.53E-01	1.24E+00	7.65E-01	6.58E-01	1.02E+00
SP25350	7.50E-01	1.59E+00	1.21E+00	1.79E+00	7.21E-01	2.18E+00	2.36E-01	1.68E+00	2.94E+00	1.50E+00	1.20E+00	1.62E+00
SP25380	1.65E+00	1.99E+00	1.91E+00	2.06E+00	8.89E-01	1.35E+00	3.89E-01	2.12E+00	2.28E+00	1.93E+00	1.66E+00	1.62E+00
SP24565	5.87E-01	7.57E-01	8.75E-01	6.16E-01	8.34E-01	1.39E+00	0.00E+00	1.44E+00	2.29E+00	9.51E-01	5.39E-01	1.12E+00
SP25833	3.53E+00	3.77E+00	1.24E+00	1.13E+00	9.73E-01	1.65E+00	0.00E+00	1.91E+00	2.87E+00	1.62E+00	1.51E+00	1.47E+00
SP25905	8.18E-01	7.57E-01	8.56E-01	6.44E-01	9.09E-01	7.54E-01	0.00E+00	1.20E+00	1.19E+00	1.15E+00	7.91E-01	9.25E-01
SP26439	9.86E-01	1.05E+00	6.02E-01	7.83E-01	8.73E-01	5.13E-01	1.70E-01	9.29E-01	1.08E+00	1.25E+00	1.42E+00	9.75E-01
SP24236	1.81E+00	2.47E+00	2.18E+00	2.30E+00	7.34E-01	1.64E+00	0.00E+00	2.89E+00	2.62E+00	1.85E+00	2.43E+00	1.89E+00
SP23925	1.81E+00	2.40E+00	5.87E+00	1.36E+00	2.00E+00	1.13E+01	0.00E+00	2.22E+00	1.28E+01	2.63E+00	1.76E+00	1.62E+00
SP24815	2.43E+00	2.88E+00	2.03E+00	1.86E+00	1.22E+00	1.90E+00	3.28E-01	2.25E+00	3.41E+00	2.68E+00	1.96E+00	1.51E+00
SP27957	1.92E+00	1.91E+00	1.50E+00	6.23E-01	9.34E-01	1.21E+00	1.73E-01	2.01E+00	2.10E+00	2.34E+00	1.92E+00	1.44E+00
SP27603	5.40E-01	1.19E+00	1.36E+00	1.61E+00	9.83E-01	1.23E+00	0.00E+00	2.23E+00	2.91E+00	2.30E+00	1.84E+00	1.26E+00
SP27825	2.13E+00	2.33E+00	1.88E+00	1.79E+00	1.17E+00	1.48E+00	0.00E+00	2.41E+00	3.00E+00	1.85E+00	1.59E+00	1.27E+00
SP24135	1.51E+00	2.14E+00	1.95E+00	2.35E+00	5.10E+00	2.71E+00	3.95E-01	3.03E+00	4.48E+00	6.06E+00	4.04E+00	3.19E+00
SP26499	6.67E-01	1.23E+00	9.61E-01	1.22E+00	8.08E-01	7.74E-01	1.00E-02	1.09E+00	1.12E+00	1.58E+00	1.41E+00	1.15E+00
SP25518	2.46E+00	2.67E+00	1.92E+00	1.68E+00	1.19E+00	1.51E+00	4.58E-01	2.46E+00	2.03E+00	2.44E+00	2.34E+00	2.18E+00
