Samples	ID83A	ID83B
SP78720	5.00E-01	5.00E-01
SP78947	5.00E-01	5.00E-01
SP78875	3.74E-01	3.74E-01
SP107554	9.05E-01	9.07E-01
SP107407	1.16E+00	1.16E+00
SP78820	5.19E-01	5.19E-01
SP78668	2.67E-01	2.68E-01
SP107547	4.44E-01	4.45E-01
SP79148	6.60E-01	6.60E-01
SP107386	9.80E-01	9.77E-01
SP78921	7.92E-01	7.92E-01
SP107545	5.90E-01	5.90E-01
SP107440	5.13E-01	5.13E-01
SP79066	4.67E-01	4.67E-01
SP107473	5.94E-01	5.94E-01
SP107362	8.67E-01	8.67E-01
SP78722	2.85E-01	2.86E-01
SP78729	4.81E-01	4.81E-01
SP107441	6.12E-01	6.13E-01
SP78873	5.86E-01	5.88E-01
SP47708	8.78E-01	8.78E-01
SP47990	6.04E-01	6.04E-01
SP48414	6.29E-01	6.29E-01
SP48135	1.10E+00	1.10E+00
SP47652	5.63E-01	5.64E-01
SP48888	4.66E-01	4.66E-01
SP48426	2.14E-01	2.15E-01
SP48480	9.32E-01	9.32E-01
SP48263	4.22E-01	4.22E-01
SP47628	2.96E-01	2.96E-01
SP47808	6.65E-01	6.66E-01
SP48850	9.45E-01	9.46E-01
SP48189	9.02E-01	9.01E-01
SP48073	7.28E-01	7.29E-01
SP48008	6.40E-01	6.39E-01
SP48504	7.85E-01	7.85E-01
SP48534	9.82E-01	9.82E-01
SP48010	5.25E-01	5.26E-01
SP79365	1.87E-01	1.87E-01
SP79237	2.54E-01	2.54E-01
SP79462	1.62E-01	1.63E-01
SP79201	1.85E-01	1.85E-01
SP79371	1.90E-01	1.90E-01
SP79439	1.01E-01	9.99E-02
SP79175	0.00E+00	0.00E+00
SP79354	1.23E-01	1.20E-01
SP79184	1.71E-01	1.71E-01
SP79312	2.67E-01	2.67E-01
SP79252	1.90E-01	1.89E-01
SP79294	2.95E-01	2.95E-01
SP79246	2.59E-01	2.59E-01
SP79458	1.63E-01	1.63E-01
SP79222	3.02E-01	2.99E-01
SP79178	1.60E-01	1.60E-01
SP79474	2.01E-01	2.01E-01
SP79387	8.99E-02	8.99E-02
SP79306	1.37E-01	1.37E-01
SP79270	1.08E-01	1.08E-01
SP79210	9.92E-02	9.92E-02
SP79427	1.19E-01	1.19E-01
SP79297	1.96E-01	1.96E-01
SP79368	1.84E-01	1.84E-01
SP79351	2.11E-01	2.11E-01
SP79300	1.18E-01	1.18E-01
SP79435	1.43E-01	1.43E-01
SP79288	9.35E-02	9.35E-02
SP79447	1.07E-01	1.07E-01
SP79403	7.85E-02	7.85E-02
SP79377	1.93E-01	1.93E-01
SP79327	6.58E-02	6.58E-02
SP79324	9.57E-02	9.26E-02
SP79359	7.64E-02	7.64E-02
SP79330	8.65E-02	8.65E-02
SP79391	3.32E-01	3.32E-01
SP79399	1.36E-01	1.36E-01
SP79243	0.00E+00	0.00E+00
SP79192	0.00E+00	0.00E+00
SP79395	2.92E-01	2.92E-01
SP79195	1.39E-01	1.39E-01
SP79318	0.00E+00	0.00E+00
SP79282	2.16E-01	2.16E-01
SP79261	7.10E-02	7.10E-02
SP79228	2.04E-01	2.04E-01
SP79431	2.21E-01	2.20E-01
SP79172	2.21E-01	2.19E-01
SP79234	2.84E-01	2.84E-01
SP79345	1.37E-01	1.37E-01
SP79342	1.81E-01	1.80E-01
SP79415	2.34E-01	2.34E-01
SP79407	2.52E-01	2.52E-01
SP79374	8.09E-02	8.09E-02
SP79291	9.27E-02	9.27E-02
SP79336	2.59E-01	2.60E-01
SP79380	1.81E-01	1.81E-01
SP79455	2.48E-01	2.45E-01
SP79181	1.55E-01	1.55E-01
SP79207	1.10E-01	1.10E-01
SP79190	1.10E-01	1.10E-01
SP79303	1.38E-01	1.37E-01
SP79258	1.18E-01	1.18E-01
SP79249	1.61E-01	1.61E-01
SP79321	1.84E-01	1.83E-01
SP79423	2.09E-01	2.09E-01
