Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
SP29914	2.98E+00	4.72E+00	3.40E+00	3.31E+00	1.77E+00	1.14E+00
SP31046	7.21E-01	1.35E+00	4.58E-01	1.37E+00	6.68E-01	9.05E-01
SP31334	1.04E+00	3.00E+00	1.88E+00	6.77E+00	5.25E+00	2.98E+00
SP30011	9.68E-01	2.28E+00	1.59E+00	1.34E+01	1.18E+01	1.41E+00
SP31174	1.39E+00	2.56E+00	1.24E+00	2.53E+00	1.57E+00	1.10E+00
SP32662	2.01E+00	3.34E+00	1.40E+00	4.85E+00	3.51E+00	1.17E+00
SP31126	2.02E+00	4.16E+00	3.12E+00	2.51E+01	2.36E+01	3.46E+00
SP32958	1.44E+00	2.66E+00	1.27E+00	1.74E+00	4.57E-01	1.14E+00
SP31422	1.76E+00	3.09E+00	2.03E+00	6.43E+00	5.86E+00	2.72E+00
SP33496	2.58E+00	5.28E+00	2.73E+00	3.44E+00	1.00E+00	3.94E+00
SP34005	7.99E-01	1.57E+00	1.07E+00	1.92E+00	1.36E+00	7.73E-01
SP30113	8.77E+00	4.22E+00	1.06E+01	5.49E+00	1.12E+00	3.32E+00
SP31030	2.59E+00	3.74E+00	1.06E+00	2.14E+00	6.96E-01	2.38E+00
SP33544	1.83E+00	5.14E+00	3.09E+00	1.11E+01	9.74E+00	4.50E+00
SP33688	3.23E+00	4.08E+00	2.28E+00	4.49E+01	4.10E+01	1.84E+00
SP30907	1.46E+00	3.13E+00	2.85E+00	7.50E+00	6.09E+00	4.64E+00
SP30185	4.11E-01	9.07E-01	7.56E-01	1.10E+00	7.64E-01	7.05E-01
SP33837	7.26E-01	1.53E+00	1.09E+00	1.14E+00	5.95E-01	1.03E+00
SP31790	1.40E+00	2.33E+00	9.74E-01	3.76E+00	2.78E+00	1.31E+00
SP30143	9.78E-01	2.10E+00	9.85E-01	2.18E+00	1.41E+00	1.19E+00
SP30071	2.02E+00	3.86E+00	3.24E+00	2.38E+00	4.72E-01	3.92E+00
SP30493	5.43E-01	1.25E+00	8.32E-01	1.09E+00	8.23E-01	8.77E-01
SP32014	1.52E+00	2.46E+00	7.44E-01	3.34E+00	2.25E+00	1.16E+00
SP30332	6.04E+00	3.53E+00	6.43E+00	3.30E+00	1.05E+00	1.53E+00
SP31814	1.13E+00	2.06E+00	1.04E+00	4.58E+00	3.17E+00	1.03E+00
SP29987	1.95E+00	7.13E+00	3.73E+00	5.65E+00	3.49E+00	8.19E+00
SP30083	1.09E+00	1.90E+00	9.45E-01	2.22E+00	1.25E+00	8.85E-01
SP32742	1.34E+00	2.80E+00	1.37E+00	2.21E+00	1.04E+00	1.43E+00
SP115162	5.58E-01	1.45E+00	7.64E-01	1.55E+00	9.65E-01	7.76E-01
SP29940	1.32E+00	1.99E+00	9.27E-01	1.26E+00	5.94E-01	1.48E+00
SP30843	5.83E-01	1.16E+00	4.91E-01	1.18E+00	8.33E-01	7.14E-01
SP32222	1.72E-01	1.36E-01	1.06E-01	0.00E+00	1.79E-01	1.48E-01
SP31190	1.61E+00	3.85E+00	2.55E+00	3.10E+00	8.54E-01	3.20E+00
SP30077	2.25E+00	6.23E+00	3.23E+00	8.44E+00	5.71E+00	6.73E+00
SP32694	1.89E+00	4.24E+00	2.55E+00	3.30E+00	1.78E+00	3.88E+00
SP33774	6.98E-01	1.92E+00	8.66E-01	2.85E+00	1.57E+00	7.92E-01
SP30093	1.43E+00	2.31E+00	9.90E-01	1.59E+00	8.89E-01	1.07E+00
SP33094	1.77E+00	3.33E+00	1.87E+00	3.40E+00	2.03E+00	2.42E+00
SP30803	9.68E-01	2.66E+00	2.26E+00	7.98E+00	7.35E+00	3.16E+00
SP30675	6.59E+00	9.59E-01	7.02E+00	9.27E-01	9.40E-01	2.57E+00
SP31854	2.64E+00	6.53E+00	3.67E+00	1.15E+01	8.57E+00	6.51E+00
SP31606	7.33E-01	1.75E+00	6.73E-01	1.39E+00	4.74E-01	7.52E-01
SP30213	9.32E-01	1.76E+00	8.20E-01	1.81E+00	1.04E+00	9.26E-01
SP32894	5.84E-01	1.66E+00	8.25E-01	1.65E+00	7.79E-01	8.23E-01
SP117260	9.48E-01	1.87E+00	1.80E+00	3.14E+00	2.56E+00	1.39E+00
SP117124	1.72E+00	2.52E+00	1.08E+00	3.03E+00	1.83E+00	1.24E+00
SP117932	1.82E+00	2.98E+00	1.20E+00	1.79E+00	4.14E-01	1.30E+00
SP117189	5.29E-01	1.07E+00	6.77E-01	9.61E-01	9.01E-01	6.72E-01
SP117217	2.34E-01	3.67E-01	3.65E-01	4.72E-01	4.19E-01	2.35E-01
SP117779	1.37E+00	1.79E+00	8.73E-01	3.64E+00	3.02E+00	1.05E+00
SP117376	3.35E+00	4.08E+00	1.33E+00	3.09E+00	1.56E+00	1.54E+00
SP117681	7.61E-01	1.10E+00	7.65E-01	8.32E-01	5.27E-01	5.28E-01
SP117408	6.27E-01	1.01E+00	6.83E-01	1.46E+00	1.37E+00	5.23E-01
SP118015	1.36E+00	1.95E+00	8.88E-01	1.64E+00	8.39E-01	1.34E+00
SP117509	2.20E+00	3.12E+00	1.09E+00	2.70E+00	1.36E+00	1.32E+00
SP117482	1.65E+00	2.54E+00	1.07E+00	2.01E+00	1.00E+00	9.83E-01
SP117003	1.35E+00	2.23E+00	6.93E-01	1.17E+01	1.01E+01	1.48E+00
