Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,1.0,1.0,NO,N/A,341000.0%,56.88%,197.6%,36.32%,116.4,0.7801,5.4597,0.145,0.966,0.834,-0.062
3,1.0,1.0,NO,N/A,33300.0%,45.09%,199.15%,29.28%,111.8,0.6608,7.7358,0.119,0.984,0.862,-0.098
4,0.97,0.91,NO,N/A,31300.0%,42.51%,198.85%,25.95%,112.3,0.6288,5.7766,0.109,0.982,0.875,-0.07
5,0.99,0.97,YES,2.28e-02,31900.0%,37.92%,198.75%,21.37%,104.23,0.5951,6.6816,0.098,0.98,0.889,-0.065
6*,0.99,0.97,YES,Most Stab Sigs,31300.0%,35.49%,198.15%,17.42%,106.0,0.5714,5.6294,0.092,0.975,0.897,-0.044
7,0.73,-0.71,NO,N/A,24800.0%,36.18%,195.9%,17.03%,119.86,0.5546,5.6282,0.089,0.946,0.9,-0.012
8,0.6,-0.67,NO,N/A,18100.0%,34.65%,196.9%,16.35%,101.75,0.5342,5.2938,0.086,0.94,0.903,-0.042
9,0.55,-0.43,NO,N/A,31100.0%,34.02%,195.0%,15.98%,100.9,0.5246,6.0472,0.083,0.904,0.907,0.004
10,0.52,-0.44,NO,N/A,39200.0%,33.12%,192.8%,15.33%,101.47,0.5053,6.2939,0.08,0.874,0.911,0.05
11,0.53,-0.36,NO,N/A,33400.0%,32.63%,190.2%,15.16%,100.41,0.4923,5.1107,0.077,0.849,0.915,0.088
12,0.52,-0.51,NO,N/A,19700.0%,31.9%,189.3%,14.88%,100.27,0.4844,5.9404,0.074,0.84,0.917,0.1
13,0.49,-0.4,NO,N/A,18900.0%,31.02%,188.8%,14.59%,100.83,0.4735,5.0686,0.071,0.843,0.921,0.101
14,0.5,-0.49,NO,N/A,15800.0%,30.14%,187.45%,14.12%,101.05,0.4681,5.5048,0.069,0.836,0.923,0.112
15,0.48,-0.57,NO,N/A,14100.0%,30.35%,187.5%,13.77%,101.61,0.4637,5.4391,0.067,0.843,0.925,0.106
16,0.45,-0.53,NO,N/A,18900.0%,29.01%,186.25%,13.89%,101.75,0.459,5.7616,0.064,0.835,0.929,0.117
17,0.43,-0.56,NO,N/A,12400.0%,29.24%,186.25%,13.77%,102.11,0.4453,5.5774,0.062,0.838,0.932,0.115
18,0.39,-0.56,NO,N/A,12700.0%,28.48%,186.3%,13.64%,102.53,0.4325,5.6174,0.061,0.842,0.933,0.111
19,0.39,-0.65,NO,N/A,16900.0%,27.83%,184.25%,13.23%,102.25,0.4182,5.2348,0.056,0.825,0.938,0.131
20,0.36,-0.66,NO,N/A,46600.0%,26.97%,185.0%,13.22%,102.46,0.4145,5.2389,0.055,0.832,0.939,0.123
