MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	5.87E-05	4.37E-04	4.66E-04	7.37E-04	1.61E-03	7.28E-04	3.17E-04	3.29E-04
1:Del:C:1	3.51E-05	3.35E-04	6.70E-04	5.63E-04	8.17E-04	6.34E-04	1.54E-04	2.23E-04
1:Del:C:2	4.12E-05	1.46E-04	7.14E-04	3.54E-04	3.91E-04	1.05E-04	1.30E-04	2.04E-04
1:Del:C:3	3.83E-05	1.74E-04	2.72E-04	2.80E-04	2.84E-04	2.50E-04	1.78E-04	1.92E-04
1:Del:C:4	4.42E-05	1.47E-04	2.63E-04	1.34E-04	2.83E-04	1.13E-04	7.98E-05	1.76E-04
1:Del:C:5	9.14E-05	1.58E-04	1.75E-04	4.68E-05	2.07E-04	2.59E-04	5.28E-10	2.29E-04
1:Del:T:0	4.02E-05	3.37E-04	2.59E-04	7.37E-04	9.68E-04	6.15E-04	1.05E-03	2.10E-04
1:Del:T:1	3.18E-05	1.22E-04	2.87E-04	4.38E-04	5.15E-04	5.43E-04	9.21E-04	1.83E-04
1:Del:T:2	3.38E-05	3.08E-04	2.78E-04	3.84E-04	5.04E-04	4.03E-04	9.61E-04	2.09E-04
1:Del:T:3	5.15E-05	3.29E-04	2.65E-04	3.15E-04	4.00E-04	8.05E-05	1.05E-03	2.42E-04
1:Del:T:4	1.08E-04	2.63E-04	1.92E-04	2.74E-04	4.98E-04	1.25E-04	6.37E-04	2.03E-04
1:Del:T:5	6.70E-04	1.32E-03	1.42E-03	1.07E-03	2.91E-03	5.10E-04	6.12E-04	1.85E-03
1:Ins:C:0	3.36E-05	3.00E-04	1.71E-04	1.44E-04	1.12E-03	7.82E-04	2.08E-04	2.37E-05
1:Ins:C:1	1.93E-05	1.27E-04	8.50E-05	1.50E-04	1.98E-04	2.34E-04	1.41E-04	1.02E-04
1:Ins:C:2	1.36E-05	7.61E-05	7.37E-05	1.59E-04	1.86E-04	2.09E-04	8.26E-05	7.13E-05
1:Ins:C:3	2.29E-05	8.09E-05	1.03E-04	5.26E-05	1.71E-04	1.88E-04	3.90E-10	7.49E-05
1:Ins:C:4	5.79E-05	1.13E-04	1.02E-04	0.00E+00	1.61E-04	1.36E-04	3.50E-05	9.14E-05
1:Ins:C:5	9.92E-05	2.16E-04	1.23E-04	1.96E-04	4.15E-04	3.20E-04	1.05E-04	2.38E-04
1:Ins:T:0	3.31E-05	1.93E-04	1.67E-04	1.41E-04	4.78E-04	4.01E-04	0.00E+00	2.02E-04
1:Ins:T:1	5.58E-05	9.53E-04	7.25E-04	7.63E-04	4.33E-03	4.77E-04	1.93E-04	3.28E-04
1:Ins:T:2	4.74E-05	4.40E-04	3.61E-04	2.77E-04	1.71E-03	3.61E-04	1.58E-09	1.69E-04
1:Ins:T:3	3.75E-05	2.45E-04	2.19E-04	2.23E-04	9.22E-04	2.28E-04	8.29E-05	1.75E-04
1:Ins:T:4	4.25E-05	1.71E-04	1.28E-04	1.61E-04	6.20E-04	1.33E-04	1.22E-04	1.51E-04
1:Ins:T:5	5.19E-04	2.25E-03	7.95E-04	2.12E-03	5.50E-03	1.04E-03	9.48E-04	2.02E-03
2:Del:R:0	3.42E-05	1.43E-04	1.30E-04	3.57E-04	4.13E-04	4.60E-04	2.92E-04	7.80E-04
2:Del:R:1	6.84E-05	3.22E-04	1.60E-04	2.98E-04	2.34E-03	3.84E-04	3.07E-04	1.15E-03
2:Del:R:2	3.05E-05	8.74E-06	1.52E-04	1.46E-04	6.10E-04	1.41E-04	1.11E-04	5.97E-04
2:Del:R:3	3.95E-05	3.00E-05	8.46E-05	9.11E-06	1.47E-04	1.08E-04	1.90E-09	2.43E-04
2:Del:R:4	3.28E-05	2.30E-05	5.95E-05	0.00E+00	9.09E-05	7.56E-05	1.46E-09	1.49E-04
2:Del:R:5	5.78E-05	3.37E-05	6.46E-05	2.39E-05	5.99E-05	2.10E-04	0.00E+00	3.05E-04
3:Del:R:0	1.96E-05	1.38E-04	6.27E-05	2.75E-04	2.46E-04	3.19E-04	2.81E-04	1.88E-04
3:Del:R:1	4.38E-05	2.90E-04	6.80E-05	2.73E-04	3.67E-03	3.82E-04	1.36E-04	1.92E-03
3:Del:R:2	1.79E-05	9.08E-05	2.80E-05	1.10E-04	8.73E-04	1.25E-04	8.18E-05	5.38E-04
3:Del:R:3	1.02E-05	3.46E-05	0.00E+00	2.50E-05	2.22E-04	1.03E-04	8.16E-10	1.94E-04
3:Del:R:4	1.81E-05	3.16E-05	1.69E-05	2.52E-06	1.73E-04	2.02E-06	3.57E-05	1.28E-04
3:Del:R:5	2.88E-05	4.49E-05	6.72E-06	8.40E-07	1.49E-04	6.66E-05	2.39E-09	1.04E-04
4:Del:R:0	1.14E-05	8.82E-05	5.45E-05	2.12E-04	2.35E-04	2.80E-04	1.78E-04	1.66E-04
4:Del:R:1	2.58E-05	2.27E-04	3.67E-05	1.82E-04	2.25E-03	3.11E-04	1.21E-04	1.15E-03
4:Del:R:2	1.84E-05	6.62E-05	0.00E+00	1.59E-05	5.92E-04	1.57E-04	3.07E-05	3.70E-04
4:Del:R:3	1.68E-05	3.59E-05	1.43E-05	1.87E-05	2.66E-04	1.48E-04	8.05E-10	1.97E-04
4:Del:R:4	1.50E-05	1.61E-05	1.62E-05	1.05E-05	8.44E-05	3.09E-05	5.16E-05	8.92E-05
4:Del:R:5	1.56E-05	4.62E-06	0.00E+00	2.72E-05	5.08E-05	2.99E-05	2.53E-09	6.85E-05
5:Del:R:0	2.02E-06	4.37E-04	1.48E-04	8.81E-04	7.03E-04	9.21E-04	4.51E-04	4.79E-04
