Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
SP117956	2	11	3	6	11	6	0	2	0	4	4	22	0	25	6	5	0	0	18	2
SP117975	4	19	3	0	10	4	0	0	0	2	0	16	2	1	2	6	0	8	11	0
SP2149	20	23	8	150	202	37	3	0	0	35	0	20	6	20	6	18	43	6	4	7
SP117113	5	94	0	4	9	6	13	0	0	9	15	11	0	4	2	5	0	28	3	1
SP117245	2	19	0	3	14	12	0	0	19	8	0	18	2	22	10	5	0	8	15	2
SP117402	9	15	1	0	5	7	5	2	0	6	3	19	0	18	14	4	0	10	2	0
SP117136	9	55	1	8	0	0	3	0	4	2	10	12	0	14	9	13	0	6	4	2
SP117378	3	32	0	10	11	12	5	0	1	14	0	2	0	29	9	0	0	9	4	0
SP116947	5	22	0	4	3	12	6	1	17	9	4	8	2	14	21	11	4	0	7	4
SP117369	1	23	0	0	6	2	11	0	0	57	0	11	5	2	8	5	0	12	13	1
SP117244	4	45	2	0	2	4	0	3	3	7	4	12	0	3	2	0	2	7	2	2
SP117162	7	12	5	4	2	4	0	1	10	21	1	6	0	8	13	13	2	1	13	3
SP117079	0	20	0	4	13	1	0	1	0	10	2	27	0	22	7	9	0	5	5	2
SP117344	5	62	2	209	97	22	0	5	28	13	4	21	4	0	3	5	78	0	10	8
SP118074	97	157	19	15	13	29	19	3	20	11	3	6	0	21	28	12	0	8	5	14
SP117598	2	39	0	19	91	16	0	0	121	25	0	125	1	3	62	25	6	0	2	4
SP117312	4	28	0	1	2	7	0	1	6	7	4	9	0	26	2	17	0	0	2	4
SP118038	1	51	0	10	0	9	0	0	11	11	8	1	7	10	2	2	0	15	0	2
SP117552	6	19	0	0	6	1	0	2	0	5	8	8	0	8	6	7	0	5	6	4
SP118073	1	35	1	2	11	3	11	0	4	9	8	25	1	18	3	6	0	10	3	1
SP117933	4	18	0	4	5	5	0	0	5	4	0	3	0	10	7	5	0	0	12	2
SP118012	2	20	2	8	4	13	0	2	6	12	0	14	0	30	16	5	2	10	2	5
SP117108	5	41	0	0	7	1	0	0	16	3	8	11	0	4	9	10	1	8	0	0
SP117812	10	11	2	7	4	6	5	0	9	11	0	10	0	3	15	5	0	0	9	2
SP117354	16	51	1	16	26	14	0	4	0	11	2	7	9	23	15	6	5	9	20	7
SP117370	4	47	2	1	1	5	5	0	8	7	24	2	0	10	3	5	8	10	0	2
SP116991	12	32	5	0	22	5	9	1	12	6	8	10	2	13	4	5	8	4	10	5
SP117629	0	11	3	266	101	19	0	7	90	15	29	0	0	8	0	0	35	15	0	7
SP124199	18	53	0	3	8	14	4	0	19	3	4	7	0	11	19	7	3	11	2	0
SP124195	10	80	2	1	10	4	1	1	0	7	0	10	0	17	10	3	20	7	7	2
SP117850	9	22	6	0	11	9	0	2	11	4	2	17	0	0	6	6	2	16	3	0
SP117127	8	42	0	1	6	4	3	0	6	0	11	2	0	7	10	3	12	12	4	6
SP117614	8	8	8	0	11	23	4	0	1	17	0	31	2	10	17	13	13	0	8	5
SP116948	7	90	6	7	12	18	10	0	20	10	14	25	2	28	13	13	0	6	8	3
SP117409	5	29	16	280	111	56	2	5	63	22	26	17	0	33	25	2	0	0	28	8
SP117593	4	20	7	6	5	8	11	0	5	0	14	12	1	17	15	11	0	7	2	2
SP117372	5	18	0	0	9	14	0	0	0	28	10	17	4	11	3	3	17	4	0	0
SP118077	12	18	2	19	12	10	4	0	0	6	7	19	3	24	9	16	0	3	2	2
SP117840	9	74	0	0	15	12	2	0	5	2	0	12	0	1	20	7	18	19	0	5
SP117363	19	81	7	49	42	43	0	9	49	53	0	26	0	17	66	9	23	0	4	7
SP117887	0	22	0	367	153	41	7	20	114	26	6	0	4	32	6	13	50	0	34	6
SP116946	12	38	0	10	11	9	0	1	1	10	0	50	0	11	20	9	6	3	0	0
SP117901	7	24	0	81	88	15	3	1	42	39	14	11	0	11	5	0	12	1	10	0
SP117454	9	31	1	7	5	4	6	0	9	11	2	14	0	26	13	12	0	0	8	0
SP124197	18	39	6	370	190	74	0	18	110	97	17	0	0	10	24	14	65	10	15	18
SP117919	20	35	9	410	121	26	0	11	122	28	27	0	0	8	11	4	34	2	4	14
SP117250	2	42	0	0	11	7	0	0	0	22	1	16	0	18	8	8	7	0	9	2
SP117983	18	69	0	10	13	5	2	2	21	11	0	14	0	16	7	4	10	0	5	6
SP117676	2	9	0	1	1	5	0	0	8	5	11	0	0	14	10	9	0	1	8	0
SP117011	7	35	0	12	13	7	4	2	7	27	5	8	0	18	6	6	0	20	9	0
SP117057	9	21	0	2	2	7	5	0	6	11	0	8	0	10	10	4	0	1	2	2
SP117126	2	42	10	0	13	17	18	2	15	6	0	12	0	8	3	18	7	18	1	2
SP117728	4	60	3	7	10	8	1	0	15	3	0	8	5	5	8	9	10	3	0	0
SP117618	7	35	0	5	3	5	5	1	0	2	1	1	0	7	10	0	0	7	9	3
SP117257	2	14	5	4	2	5	0	0	0	7	1	17	3	19	0	0	0	1	10	0
SP116963	7	19	6	2	3	3	11	0	11	2	0	7	0	10	4	7	0	9	0	0
SP117078	14	119	0	14	3	17	13	0	29	8	5	16	0	13	35	19	0	6	9	1
SP117944	7	35	0	155	79	22	0	7	47	24	0	15	0	16	11	7	24	11	7	5
SP117639	49	60	14	16	18	31	0	1	25	15	10	20	5	37	15	20	21	19	10	3
SP117834	24	44	0	2	15	18	6	0	29	13	4	28	0	14	9	13	15	11	12	4
SP117105	22	61	0	1	17	10	0	0	18	8	23	5	0	17	11	8	0	17	5	2
SP117785	8	2	0	0	4	11	5	1	34	13	3	1	4	18	16	8	1	8	15	0
SP117882	4	35	6	0	0	2	0	2	10	2	0	0	0	6	0	17	5	7	11	1
SP117778	11	64	6	6	20	24	16	3	13	13	9	21	0	31	37	18	0	7	1	4
SP117032	3	39	0	11	9	5	10	1	3	4	0	18	0	29	7	0	0	0	25	2
SP117710	4	24	3	14	57	23	0	0	52	32	0	79	1	17	45	33	0	6	15	2
SP117538	21	53	0	485	177	60	0	17	110	37	34	36	0	0	3	8	51	13	8	13
SP124207	295	254	27	23	13	40	40	1	1	37	0	38	0	19	12	13	0	9	17	10
SP117800	13	41	4	0	8	12	4	2	13	14	0	0	0	16	11	8	9	0	17	0
SP117724	16	61	5	4	17	10	7	0	9	8	0	0	1	46	13	10	0	0	7	0
SP124193	6	11	0	0	4	2	5	0	0	7	0	12	3	13	8	0	3	1	7	0
SP2293	2	49	15	9	10	0	0	0	6	121	0	1	20	33	30	2	0	9	16	10
SP2357	36	20	5	145	80	37	21	2	43	51	0	34	3	13	23	6	0	0	0	9
SP2144	1	21	0	115	144	14	0	0	0	17	5	0	0	12	7	7	21	0	13	4
SP2145	12	46	10	379	133	15	0	0	0	22	0	41	6	2	16	21	61	0	8	7
SP2147	22	101	1	531	216	75	7	0	6	44	13	46	20	11	22	6	49	11	14	1
SP2146	4	10	1	104	85	13	0	1	8	17	7	25	3	3	0	0	19	15	0	1
SP2148	4	18	2	93	113	0	1	0	0	22	5	9	10	13	0	9	17	0	9	0
SP2150	7	30	0	9	0	3	0	0	6	6	3	16	1	33	16	5	0	0	5	1
SP2152	3	44	0	4	4	7	0	2	2	9	0	1	0	9	0	15	0	0	3	0
SP2349	38	45	18	18	20	11	7	1	35	15	0	19	0	30	10	28	0	15	0	4
SP2155	16	29	0	352	74	85	0	8	40	24	15	0	0	14	64	5	14	0	45	5
SP2154	11	24	0	528	192	106	0	18	26	29	29	17	17	52	55	14	35	0	51	14
SP2158	23	86	13	4	8	13	1	2	21	9	0	0	0	15	17	13	6	0	18	0
SP2156	2	12	0	4	13	0	0	0	0	5	3	15	1	0	1	14	0	20	0	2
SP2159	13	32	1	4	2	3	0	0	14	27	16	13	0	18	13	0	0	0	0	4
SP2153	99	247	7	30	15	18	66	0	12	41	0	22	4	65	22	29	0	15	3	8
SP2160	13	41	1	14	10	5	0	0	16	6	1	0	0	17	10	15	0	13	7	5
SP2151	4	15	0	5	7	4	0	3	10	8	0	5	0	4	0	4	7	7	6	0
SP116341	9	18	3	273	100	36	1	1	0	34	9	32	0	2	30	3	0	7	23	9
SP116331	30	165	11	16	22	11	38	4	23	23	0	25	0	13	4	8	0	17	8	4
SP116351	30	44	12	13	10	18	7	0	9	16	0	2	0	48	7	24	6	5	12	2
SP116371	2	79	9	0	54	6	3	0	59	14	0	15	6	22	15	151	7	44	1	9
SP116361	14	11	6	126	137	7	3	0	0	17	0	16	3	7	17	4	0	0	17	2
SP116343	46	68	0	8	17	29	23	5	12	20	9	18	0	19	15	23	3	52	37	2
SP116333	36	61	4	46	20	22	26	0	0	37	0	15	0	26	11	8	27	15	7	2
SP116373	19	9	0	223	130	31	6	6	57	33	0	8	0	15	32	0	0	0	0	14
SP116363	6	2	0	108	112	4	10	3	0	17	0	7	1	15	3	4	8	11	0	0
SP116353	76	275	13	25	16	58	72	4	41	42	1	58	0	34	25	32	23	12	18	19
SP116345	15	105	4	0	11	11	11	1	34	10	4	7	0	65	0	15	0	20	0	0
SP116365	1	5	11	209	316	7	14	4	0	18	0	27	1	21	0	9	16	3	4	2
SP116375	88	113	10	9	13	44	22	2	18	26	29	9	0	19	11	32	17	27	1	7
SP116335	52	32	10	51	34	17	0	1	25	9	0	7	0	162	0	101	0	0	2	6
SP116355	6	7	0	85	130	25	1	0	15	43	17	11	0	2	9	0	1	9	4	8
SP116347	4	35	1	5	8	9	10	0	0	9	0	14	0	9	12	12	3	13	8	4
SP116367	37	31	4	25	40	30	27	1	24	37	0	20	0	18	24	14	29	17	9	7
SP116339	26	170	11	4	17	10	13	1	9	18	2	17	2	24	23	15	21	5	3	2
SP116349	7	34	2	5	12	10	0	2	0	4	11	22	4	14	9	13	5	30	14	2
SP116357	10	0	0	105	108	16	6	0	0	19	0	30	1	14	15	1	0	0	7	0
SP116359	7	18	4	187	182	40	0	0	71	30	21	0	4	10	19	5	10	13	0	9
SP116369	44	111	14	566	210	66	10	22	108	25	0	28	0	32	62	3	0	0	24	18
SP116377	44	108	0	20	18	28	56	3	33	50	19	12	0	48	27	37	19	16	12	17
SP116379	23	96	3	4	16	15	4	0	25	7	0	8	0	12	0	15	36	11	16	1
