MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
1:Del:C:0	1.33E-04	1.67E-04	1.63E-03	1.22E-03	1.58E-03	2.49E-03	8.13E-04	1.76E-03	1.00E-03	4.86E-03	2.68E-03	1.87E-03	3.13E-03	1.19E-03	1.16E-03	1.54E-03
1:Del:C:1	2.96E-05	1.59E-04	1.47E-03	4.42E-04	6.16E-04	1.11E-03	1.11E-05	1.01E-03	1.26E-03	1.35E-03	1.38E-03	1.35E-03	1.76E-03	7.76E-04	1.34E-03	7.36E-04
1:Del:C:2	5.31E-05	2.39E-05	4.35E-04	3.38E-04	2.76E-04	9.26E-04	3.62E-04	4.71E-04	3.30E-04	6.30E-04	4.42E-04	4.01E-04	1.82E-03	3.09E-04	6.89E-04	5.06E-04
1:Del:C:3	1.04E-04	7.24E-05	5.87E-04	1.31E-04	8.60E-05	1.03E-03	1.46E-04	3.41E-04	2.98E-04	4.43E-04	5.93E-04	4.54E-04	1.03E-03	2.12E-04	2.95E-04	1.59E-04
1:Del:C:4	3.44E-04	1.93E-05	2.03E-03	1.15E-04	1.17E-04	5.76E-04	2.30E-05	5.76E-47	7.71E-04	3.66E-04	4.10E-04	3.13E-04	6.25E-04	1.48E-04	9.28E-05	2.36E-04
1:Del:C:5	1.55E-03	1.96E-04	8.68E-03	5.25E-05	2.48E-05	1.07E-04	5.74E-05	6.05E-05	3.77E-03	2.55E-04	6.41E-04	2.41E-08	9.88E-04	1.14E-04	3.47E-04	3.07E-04
1:Del:T:0	4.81E-05	2.21E-04	2.99E-03	4.59E-04	6.27E-04	5.30E-03	5.79E-04	4.84E-03	2.79E-03	1.19E-03	1.77E-03	2.78E-03	1.27E-03	9.14E-04	2.98E-03	1.25E-03
1:Del:T:1	5.74E-05	1.26E-04	1.85E-03	1.41E-04	4.12E-04	3.01E-03	3.72E-04	2.38E-03	2.07E-03	5.09E-04	1.52E-03	1.70E-03	1.03E-03	1.00E-03	1.78E-03	9.07E-04
1:Del:T:2	1.48E-04	2.39E-05	1.08E-03	4.34E-04	3.88E-04	2.81E-03	1.83E-04	2.79E-03	1.27E-03	6.94E-04	9.22E-04	1.01E-03	9.65E-04	5.67E-04	2.04E-03	5.54E-04
1:Del:T:3	3.77E-04	1.13E-04	5.60E-04	5.86E-04	4.78E-04	4.78E-03	1.08E-04	1.14E-03	5.41E-04	1.03E-03	1.23E-03	8.74E-04	9.97E-04	2.79E-04	9.08E-04	2.91E-04
1:Del:T:4	6.08E-04	2.42E-04	5.68E-04	4.92E-04	1.02E-04	4.77E-03	1.75E-04	8.02E-04	7.29E-04	2.93E-04	3.72E-04	6.41E-04	1.01E-03	4.08E-04	6.21E-04	6.36E-04
1:Del:T:5	3.57E-03	6.32E-04	1.34E-02	9.40E-04	8.72E-04	8.61E-03	5.41E-04	9.05E-04	4.67E-03	5.52E-04	6.04E-03	6.03E-03	5.21E-04	1.27E-03	9.69E-04	2.17E-03
1:Ins:C:0	2.01E-05	2.93E-09	4.03E-08	3.21E-05	7.03E-08	1.14E-07	9.33E-10	2.30E-09	1.37E-09	1.10E-08	2.63E-08	7.67E-06	1.31E-08	5.87E-08	2.04E-13	3.31E-03
