Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
CPCT02120097T	64	388	255	118	69	12	59	66	145	31	86	47	105	39	20	93	16	32
CPCT02170019T	498	109	80	156	199	9	91	120	11	9	28	33	37	30	39	7	15	12
CPCT02010706T	693	13	41	229	219	105	127	0	35	0	64	37	69	79	18	11	41	0
CPCT02040202T	70	61	236	34	46	0	41	12	127	47	102	29	42	0	37	14	12	35
CPCT02040201T	69	140	185	82	7	32	35	47	122	32	36	35	90	46	17	19	7	11
WIDE01010634T	89	7	49	47	66	27	6	23	16	21	67	3	23	14	20	21	4	6
WIDE01010610T	764	180	595	436	323	115	163	0	36	350	71	155	48	54	102	42	76	10
WIDE01010630T	362	453	477	197	31	21	77	93	394	70	20	155	64	34	54	83	41	64
WIDE01010491T	5	13	95	10	7	3	3	0	0	11	17	32	7	4	15	6	7	15
WIDE01010495T	0	24	272	15	19	0	1	51	44	9	44	42	23	3	12	16	14	35
WIDE01010485T	197	63	108	101	51	110	112	29	92	33	31	89	39	35	22	14	148	18
WIDE01010474T	6	118	323	78	2	0	38	136	60	80	63	0	54	0	16	73	23	40
WIDE01010513T	1016	80	317	396	287	188	78	193	128	86	97	74	68	59	59	49	40	0
WIDE01010523T	827	500	346	340	134	101	341	232	153	529	64	221	43	63	100	104	46	5
WIDE01010528T	78	23	62	34	8	8	85	0	1	42	30	20	20	24	7	22	14	8
WIDE01010457T	536	358	272	244	173	92	13	0	106	215	91	82	73	8	68	51	62	6
WIDE01010427T	0	7	11	4	6	3	0	0	5	0	4	55	1	5	3	20	89	12
WIDE01010472T	132	197	181	108	11	1	86	0	17	79	301	95	27	77	42	84	18	49
WIDE01010501T	330	149	295	197	47	9	70	26	124	198	306	29	37	75	63	109	20	29
WIDE01010480T	14	66	284	60	5	5	27	0	136	30	30	26	27	0	13	42	14	6
WIDE01010557T	3568	232	402	837	773	505	15	604	0	67	0	419	152	612	45	0	80	0
WIDE01010589T	37	22	107	45	20	42	68	0	82	39	13	85	30	25	14	27	20	21
WIDE01010549T	9	5	44	1	10	0	33	43	2	4	16	15	12	0	10	14	3	0
WIDE01010593T	42	30	198	21	19	17	44	36	35	21	26	35	22	0	8	32	28	41
WIDE01010558T	0	39	286	9	6	26	4	60	0	31	22	35	20	1	12	38	33	8
WIDE01010657T	759	174	285	133	123	243	217	125	63	78	22	58	53	86	35	0	17	7
WIDE01010667T	215	15	76	79	51	0	35	94	0	2	58	34	9	14	17	14	16	1
WIDE01010675T	21	78	106	23	20	0	39	19	14	18	37	33	27	5	32	55	15	22
WIDE01010646T	841	58	83	310	374	91	74	0	4	25	26	149	40	59	27	45	30	3
WIDE01010666T	3	1	20	31	5	0	17	44	7	14	29	25	17	0	10	28	5	7
WIDE01010648T	1689	359	665	488	818	138	244	0	173	116	0	158	95	183	99	30	61	19
WIDE01010677T	490	35	117	188	254	35	8	0	100	26	75	81	18	60	16	26	21	61
WIDE01010671T	158	19	33	76	42	0	22	14	8	44	38	17	18	27	8	36	12	16
WIDE01010679T	0	18	89	2	21	0	1	47	20	30	14	42	32	1	3	21	12	17
WIDE01010685T	172	74	183	39	39	17	41	0	11	23	22	57	24	40	13	27	11	5
WIDE01010689T	178	19	73	46	63	0	20	112	3	26	90	45	6	20	14	30	8	0
WIDE01010707T	558	20	54	66	99	95	140	0	81	52	40	68	35	72	20	0	19	57
WIDE01010708T	8	13	121	42	22	10	66	43	85	74	37	26	24	0	23	39	10	40
