Samples	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID9	ID11	ID19	ID21	ID83J
SP50592	157	0	0	0	184	0	0	0	0	0	0	0
SP53073	64	0	583	0	242	0	0	0	0	0	0	0
SP56638	195	0	965	0	349	0	0	0	0	0	0	0
SP56537	216	116	1036	0	365	0	0	0	0	0	0	0
SP57586	203	86	713	0	307	0	0	0	0	0	0	0
SP56541	0	0	1306	0	0	0	172	0	0	0	0	0
SP56553	301	155	1863	0	505	0	0	0	0	0	0	0
SP56771	269	51	214	0	159	0	95	0	0	0	0	0
SP57941	179	0	2038	0	0	0	0	614	0	0	0	0
SP57818	0	0	1572	0	477	0	0	0	0	0	0	0
SP56460	565	133	473	0	0	0	216	0	0	0	0	0
SP56474	324	216	0	0	0	0	0	229	0	0	0	0
SP56704	133	0	2047	0	0	0	0	0	0	0	0	0
SP56533	175	76	586	0	268	0	0	0	0	0	0	0
SP56730	245	103	1003	0	345	0	0	0	0	0	0	0
SP59245	175	75	1032	0	289	297	178	0	0	0	0	0
SP57024	173	0	558	0	208	0	0	0	0	0	0	0
SP57933	227	258	1392	0	0	1112	426	0	0	0	0	0
SP56754	157	59	599	0	277	0	0	0	0	0	0	0
SP56827	0	0	1163	0	0	0	0	0	0	0	0	0
SP57084	408	118	1114	0	340	0	0	0	0	0	0	0
SP57538	140	130	922	0	439	0	0	0	0	0	0	0
SP57735	72	97	1102	0	276	0	0	0	0	0	0	0
SP57669	137	79	1311	0	417	0	0	0	0	0	0	0
SP56566	289	64	382	0	0	0	114	0	0	0	0	0
SP56569	126	74	765	0	252	0	0	0	0	0	0	0
SP58342	427	115	1597	0	407	0	0	0	0	0	0	0
SP58349	110	88	980	0	415	241	0	0	0	0	0	0
SP56644	430	163	1554	0	0	0	0	0	0	0	0	0
SP57629	1053	313	676	0	0	0	0	0	0	0	0	0
SP56941	134	0	0	0	86	0	0	0	0	0	0	0
SP57619	0	0	1095	0	378	0	0	0	0	0	0	0
SP58245	99	139	1316	0	436	0	0	0	0	0	0	0
SP57251	275	0	1026	0	579	0	0	0	0	0	0	0
SP56502	209	126	1231	0	305	0	0	0	0	0	0	0
SP58668	216	109	1595	0	374	0	0	0	0	0	0	0
SP58101	127	134	1019	0	392	0	0	0	0	0	0	0
SP58991	385	139	659	0	285	0	0	0	0	0	0	0
SP56607	198	0	530	0	189	0	0	0	0	0	0	0
SP58326	389	228	2516	0	0	0	0	0	0	0	0	0
SP57267	278	162	1793	0	0	0	0	0	0	0	0	0
SP57066	603	0	1722	0	0	0	0	0	0	0	0	0
SP57901	440	80	635	0	0	0	0	202	0	0	0	0
SP57651	117	52	311	0	0	0	106	128	0	0	0	0
SP57450	357	121	364	0	0	0	0	0	0	0	0	0
SP57846	208	0	1119	0	305	0	0	0	0	0	0	0
SP58612	259	107	951	0	0	0	166	0	0	0	0	0
SP56821	323	100	1090	0	0	0	0	0	0	0	0	0
SP58882	240	99	309	0	256	0	123	0	0	0	0	0
SP57189	446	372	3889	0	0	0	0	0	0	0	0	0
CPCT02020306T	0	0	1248	0	0	0	0	0	0	0	0	0
CPCT02110002T	214	0	1875	0	0	0	0	0	0	0	0	0
CPCT02020308T	13590	58326	0	0	0	0	0	0	0	0	0	0
CPCT02020305T	140	64	538	0	0	0	114	0	0	123	0	0
CPCT02010356T	166	83	395	0	138	0	95	0	0	93	0	0
CPCT02020337T	201	0	2089	0	0	0	0	0	0	0	0	0
CPCT02010373T	0	322	5648	0	0	0	0	0	0	0	0	0
CPCT02020343T	125	0	0	0	189	0	103	0	0	101	0	0
CPCT02020353T	267	237	1046	0	0	0	0	0	0	258	0	0
CPCT02020334T	142	0	1434	0	456	0	0	0	0	0	0	0
CPCT02140018T	207	114	0	0	0	0	160	0	0	234	0	0
CPCT02140021T	72	46	69	0	96	0	58	0	0	0	87	0
CPCT02040039T	228	77	667	0	0	0	0	0	0	0	0	0
CPCT02010409T	242	134	663	0	0	0	196	0	0	229	0	0
CPCT02110010T	160	57	217	0	130	0	0	0	0	92	0	0
CPCT02070025T	33	0	0	0	53	0	40	0	0	69	0	0
CPCT02040045T	0	0	3856	0	0	0	0	0	0	0	0	0
CPCT02040051T	185	304	1104	0	0	0	0	271	0	0	0	0
CPCT02040054T	243	0	607	0	0	0	0	0	0	168	0	0
CPCT02140028T	220	88	1071	0	292	0	159	0	0	206	0	0
CPCT02011006T	0	0	3736	0	0	0	0	0	0	0	0	952
CPCT02040302T	376	412	0	0	0	0	0	0	0	0	0	0
CPCT02011015T	555	858	6574	0	1903	0	0	0	0	0	0	0
DRUP01040009T	712	0	833	0	0	0	0	0	0	0	0	609
CPCT02011018T	0	0	1629	0	607	0	0	0	0	0	0	0
CPCT02270045T	236	59	321	0	255	0	0	0	0	0	0	0
CPCT02120088T	52	0	0	0	0	0	126	0	0	260	0	0
CPCT02011022T	84	33	0	0	101	0	64	0	0	77	103	0
CPCT02010722T	166	113	964	0	0	200	256	0	0	175	0	0
CPCT02011021T	853	365	0	0	0	0	0	0	0	0	0	0
CPCT02011019T	118	68	575	0	192	115	112	0	0	137	0	0
CPCT02011008T	106	105	219	0	132	0	0	0	0	0	0	0
CPCT02011017T	368	286	1527	0	0	0	0	0	0	0	0	0
DRUP01010116T	212	331	2010	0	582	0	329	0	0	0	0	532
CPCT02011029T	330	292	0	0	325	0	0	0	0	0	0	0
CPCT02020887T	29	0	0	0	138	0	83	0	0	67	0	0
CPCT02040214T	203	202	1125	0	0	0	0	0	0	228	0	0
CPCT02190052T	188	0	1585	0	0	0	331	0	0	471	0	0
CPCT02010699T	0	0	2346	0	0	0	0	0	0	0	0	0
CPCT02040213T	190	128	892	0	0	0	151	0	0	172	0	0
CPCT02070276T	0	0	1197	0	317	0	257	0	0	244	0	0
CPCT02040208T	71	44	0	0	0	0	80	0	0	192	0	0
DRUP01040010T	212	0	3680	0	0	0	0	0	0	0	0	0
CPCT02040315T	79	0	1332	0	343	0	0	0	0	0	0	0
CPCT02040313T	73	128	388	0	334	0	0	0	0	0	0	0
CPCT02040312T	202	0	176	0	195	0	0	0	0	0	0	0
CPCT02010727T	1815	273	1689	0	0	0	0	0	0	0	0	0
CPCT02010728T	60	0	153	0	322	0	341	0	0	188	0	0
CPCT02011031T	158	150	426	0	0	357	217	0	0	0	0	0
CPCT02011035T	174	0	551	0	236	0	134	0	0	0	0	0
CPCT02011038T	0	0	0	0	0	0	0	28	0	29	25	0
CPCT02010927T	322	105	498	0	307	0	174	0	0	0	0	0
CPCT02070447T	1157	0	0	0	0	0	0	0	0	0	0	0
DRUP01020043T	35	0	0	0	0	0	74	58	0	39	64	0
DRUP01270007T	440	122	0	0	0	0	155	0	0	0	0	0
CPCT02011040T	66	0	0	0	116	0	41	0	0	73	0	0
CPCT02011032T	35	64	78	0	86	0	55	0	0	77	95	0
CPCT02010738T	562	465	1569	0	0	0	0	0	0	0	0	0
CPCT02011044T	276	98	486	0	0	0	0	0	0	0	0	0
CPCT02011036T	593	204	446	0	401	0	267	0	0	0	0	0
CPCT02020906T	749	360	0	0	0	1962	661	0	0	0	0	0
CPCT02011046T	116	0	553	0	256	0	0	0	0	0	0	0
CPCT02011047T	144	162	150	0	0	0	123	0	0	88	0	0
CPCT02011050T	7306	35721	0	0	0	0	0	0	0	0	0	0
CPCT02390011T	60	0	149	0	191	0	413	0	0	147	0	0
CPCT02080188T	482	281	4388	0	1040	0	0	0	0	0	0	0
CPCT02020912T	185	112	336	0	0	0	118	0	0	0	0	0
CPCT02120100T	52	0	0	0	154	0	76	0	0	144	0	0
CPCT02011053T	343	120	629	0	313	0	0	0	0	0	0	0
CPCT02011055T	144	153	1576	0	467	0	0	0	0	0	0	383
DRUP01010119T	153	0	0	0	198	0	152	0	0	0	146	0
DRUP01010116TII	280	537	2361	0	0	0	464	0	0	0	0	821
CPCT02040317T	154	129	2193	0	0	0	0	0	0	0	0	0
CPCT02040320T	500	0	1960	0	0	0	0	0	0	0	0	0
CPCT02010955T	650	1479	0	0	0	0	0	0	0	0	0	0
CPCT02011057T	711	213	397	0	0	0	0	0	0	0	0	0
CPCT02011059T	50	0	66	0	81	0	67	0	0	57	60	0
CPCT02011052T	230	0	3133	0	863	0	0	0	0	0	0	0
CPCT02011056T	503	171	312	0	0	251	0	0	0	0	0	0
CPCT02270046T	333	100	993	0	0	0	0	0	0	0	0	0
CPCT02011042T	68	28	0	0	0	0	76	60	0	55	87	0
CPCT02100145T	216	0	975	0	355	0	198	0	0	0	0	0
CPCT02130173T	434	901	0	0	0	0	0	0	0	0	0	0
CPCT02011067T	363	130	0	0	0	0	210	0	0	342	0	0
CPCT02190029T	402	316	0	0	0	0	208	170	0	241	0	0
CPCT02020925T	374	0	2751	0	0	0	0	0	0	0	0	0
CPCT02011051T	378	148	0	0	0	0	0	165	0	0	0	0
DRUP01010066T	101	135	535	0	0	0	168	0	0	317	0	0
CPCT02011065T	605	160	0	0	0	0	247	0	0	0	0	0
CPCT02011080T	167	59	0	0	0	0	0	0	0	81	0	0
CPCT02010741T	222	96	0	0	187	0	107	0	0	148	0	0
CPCT02011082T	300	592	935	0	0	0	0	0	0	0	0	0
CPCT02011079T	408	886	2980	0	0	0	0	0	0	0	0	0
CPCT02011077T	414	0	0	0	0	0	0	0	0	0	0	0
CPCT02270047T	152	90	1365	0	400	0	0	0	0	0	0	0
CPCT02410018T	0	0	2139	0	511	0	0	0	0	0	0	0
CPCT02011074T	449	97	635	0	0	0	0	0	0	0	0	0
CPCT02011089T	474	142	0	0	0	0	206	167	0	0	0	0
CPCT02011086T	173	70	540	0	0	481	170	0	0	0	0	246
CPCT02011088T	464	199	1871	0	745	0	0	0	0	0	0	0
CPCT02011087T	467	189	1271	0	0	0	0	0	0	0	0	0
CPCT02020671T	0	999	8610	0	0	0	0	0	0	0	0	0
CPCT02011071T	634	0	0	0	0	0	0	0	0	0	0	0
CPCT02040216T	297	123	0	0	0	0	103	0	0	135	0	0
CPCT02140057T	178	262	1368	0	0	0	0	717	0	0	0	0
CPCT02040221T	173	403	689	0	329	0	0	0	0	0	0	0
WIDE01010002T	363	112	869	0	0	0	211	0	0	0	0	390
CPCT02010500T	624	453	0	0	0	0	0	0	0	0	0	0
CPCT02010966TII	246	0	0	0	0	0	112	0	0	120	0	310
CPCT02010942TII	277	243	0	0	346	0	0	0	0	0	0	0
WIDE01010003T	107	152	0	0	132	0	0	0	0	85	0	0
CPCT02190031T	383	292	0	0	0	0	0	277	0	0	0	0
CPCT02011093T	126	49	0	0	127	0	71	0	0	0	0	0
CPCT02011097T	446	0	874	0	429	0	264	0	0	0	0	0
DRUP01060011T	185	97	0	0	0	0	107	0	0	129	0	0
CPCT02011069T	169	172	1281	0	0	0	0	297	0	0	0	0
DRUP01060014T	171	37	0	0	0	0	134	0	0	222	0	0
DRUP01010064T	160	33	191	0	0	0	123	0	0	178	0	0
CPCT02120107T	90	80	818	0	290	0	0	0	0	0	0	0
CPCT02011102T	411	174	0	0	244	0	0	0	0	0	0	0
CPCT02040330T	172	0	1277	0	388	0	0	0	0	0	0	0
CPCT02040299TII	323	386	727	0	0	0	231	0	0	0	0	461
WIDE01010034T	202	0	0	0	130	0	0	0	0	0	0	0
CPCT02040332T	107	0	990	0	486	0	0	0	0	0	0	0
CPCT02230086T	7909	26175	0	0	0	0	0	0	0	0	0	0
CPCT02011070T	358	123	0	0	0	0	145	140	0	137	0	0
WIDE01010026T	1223	322	0	0	0	0	0	0	0	0	0	0
CPCT02390020T	298	167	865	0	0	0	0	0	0	186	0	0
CPCT02011106T	166	129	287	0	0	0	103	0	0	108	0	0
CPCT02410019T	0	302	2280	0	624	0	0	0	0	0	0	0
CPCT02270022T	326	191	415	0	0	0	161	0	0	221	0	0
CPCT02011040TII	74	0	0	0	121	0	50	0	0	71	0	0
CPCT02010760T	378	189	1102	0	0	0	0	0	330	0	0	0
WIDE01010057T	183	36	0	0	158	0	92	0	0	0	0	0
WIDE01010065T	412	0	2516	0	675	0	0	0	0	0	0	0
CPCT02020964T	212	0	1083	0	531	0	427	0	0	0	0	0
CPCT02050321T	275	121	370	0	0	0	175	0	0	211	0	0
CPCT02010779T	167	218	0	0	0	0	264	242	0	234	0	0
CPCT02011105T	264	270	754	0	0	0	0	0	0	0	0	0
CPCT02011107T	266	215	1979	0	0	0	0	0	0	0	0	0
WIDE01010615T	553	144	0	0	0	0	0	0	0	0	0	0
WIDE01010130TII	45	0	0	0	77	0	52	0	0	49	0	0
WIDE01010041T	108	112	1390	0	352	0	0	0	0	0	0	0
CPCT02040225T	301	0	1966	0	671	0	0	0	0	0	0	0
WIDE01010058T	562	196	0	0	0	0	0	204	0	0	0	0
WIDE01010083T	116	113	382	0	216	0	0	0	0	0	0	0
CPCT02040234T	116	109	1305	0	0	0	224	0	0	204	0	0
CPCT02011089TII	295	68	0	0	253	0	155	0	0	0	0	0
CPCT02010781T	112	125	1055	0	352	0	156	0	0	202	0	0
WIDE01010088T	113	94	767	0	0	0	213	194	0	0	0	0
WIDE01010081T	645	0	0	0	0	0	0	233	0	0	0	0
DRUP01010078T	0	0	8602	0	0	0	0	0	0	0	0	0
WIDE01010079T	139	116	0	0	0	0	0	104	0	0	0	0
WIDE01010089T	369	96	0	0	247	0	0	0	0	0	0	0
WIDE01010082T	243	343	588	0	0	0	0	0	0	0	0	0
WIDE01010075T	2676	20279	0	0	0	0	0	0	0	0	0	0
CPCT02270049T	350	215	250	0	299	0	266	0	0	0	0	0
WIDE01010099T	175	101	0	0	0	0	78	0	0	0	0	0
CPCT02040341T	189	43	0	0	0	0	0	150	0	0	0	0
WIDE01010104T	287	0	1722	0	530	0	0	0	0	0	0	0
WIDE01010090T	321	72	0	0	0	121	0	0	0	0	0	0
CPCT02040338T	77	20	0	0	0	0	48	51	0	46	0	0
WIDE01010105T	268	101	1038	0	0	0	0	0	0	0	0	0
CPCT02040340T	61	0	0	0	648	0	188	147	104	0	0	0
CPCT02100156T	364	106	794	0	0	0	162	0	0	211	0	0
WIDE01010115T	463	0	625	0	0	0	223	0	0	0	0	0
WIDE01010122T	395	331	2084	0	0	0	0	0	0	0	0	0
CPCT02100149T	184	0	1650	0	492	0	0	0	0	0	0	0
WIDE01010121T	109	99	286	0	0	0	185	0	0	173	0	0
CPCT02010776T	78	0	0	0	0	0	116	0	0	204	0	0
CPCT02050339T	279	131	858	0	0	0	233	220	0	274	0	0
CPCT02050439T	3558	364	0	0	0	0	0	0	0	0	0	0
WIDE01010130T	139	46	0	0	154	0	81	0	0	89	0	0
WIDE01010134T	408	217	219	0	0	0	170	0	0	182	0	0
WIDE01010139T	582	617	4736	0	0	0	0	0	690	0	0	0
CPCT02050344T	74	0	193	0	0	0	153	0	0	291	0	0
WIDE01010192T	44	36	55	0	69	0	43	0	0	0	0	0
WIDE01010005T	383	166	0	0	0	0	0	169	0	0	0	0
CPCT02011068T	784	181	0	0	0	0	0	0	0	0	0	0
WIDE01010151T	169	48	0	0	0	0	107	107	0	105	0	0
CPCT02050346T	82	0	1435	0	0	0	201	0	0	237	0	0
CPCT02160045T	493	229	1016	0	0	0	366	0	0	475	0	0
WIDE01010189T	433	172	1127	0	0	0	239	0	0	0	0	0
CPCT02040215T	103	35	0	0	0	0	117	0	0	212	0	0
WIDE01010176T	209	65	0	0	0	0	118	160	0	113	0	0
WIDE01010175T	75	23	0	0	0	0	0	0	0	47	0	0
WIDE01010188T	577	350	752	0	0	0	0	0	0	0	0	0
CPCT02370019T	333	156	359	0	0	0	180	0	0	247	0	0
CPCT02010802T	221	62	161	0	0	0	202	0	0	197	0	0
CPCT02010807T	457	263	981	0	0	0	0	0	0	0	0	0
WIDE01010224T	235	384	2303	0	0	0	0	0	0	0	0	0
CPCT02070320T	138	0	1748	0	688	0	0	0	0	0	0	0
WIDE01010217T	0	0	4239	0	0	0	0	0	0	0	0	0
CPCT02070321T	12	0	0	0	0	0	62	44	0	69	48	0
WIDE01010191T	66	0	0	0	81	0	41	0	0	48	0	0
WIDE01010256T	0	0	550	0	187	0	0	0	0	0	0	0
WIDE01010241T	668	972	0	0	0	0	0	0	0	0	0	0
WIDE01010253T	686	424	0	0	0	0	0	0	0	0	0	0
WIDE01010260T	0	0	1373	0	0	0	0	0	0	0	0	396
CPCT02010797T	346	255	2354	0	0	0	0	0	0	426	0	0
WIDE01010276T	257	0	2334	0	847	0	0	0	0	0	0	0
WIDE01010019T	0	0	2669	0	0	0	0	0	0	0	0	0
WIDE01010263T	497	425	1165	0	651	343	0	0	0	0	0	0
CPCT02270029T	470	616	5948	0	0	0	0	0	0	0	0	0
WIDE01010287T	389	178	1448	0	0	0	283	0	0	0	0	0
WIDE01010194T	317	94	0	0	286	0	0	0	0	0	0	0
WIDE01010193T	138	70	0	0	0	0	93	96	0	89	200	0
CPCT02010780T	0	0	5160	0	0	0	0	0	0	0	0	0
WIDE01010307T	777	194	1308	0	0	0	0	0	0	0	0	0
CPCT02270026T	1446	1175	3464	0	0	0	0	0	0	0	0	0
WIDE01010315T	187	118	0	0	0	0	280	368	0	161	0	0
WIDE01010316T	386	258	0	0	0	0	220	0	0	0	0	0
WIDE01010306T	71	0	722	0	235	0	0	0	0	0	0	0
CPCT02010722TII	183	106	892	0	0	0	300	0	0	271	0	0
WIDE01010313T	266	80	0	0	0	0	0	159	0	0	0	0
WIDE01010334T	105	0	586	0	186	0	0	0	0	0	0	0
WIDE01010333T	217	167	969	0	440	0	251	0	0	0	0	0
WIDE01010363T	205	353	1615	0	0	0	343	0	0	0	0	0
WIDE01010343T	1063	483	0	0	0	0	0	0	0	0	0	0
WIDE01010036T	156	0	803	0	252	0	0	0	0	0	0	0
CPCT02010782T	0	0	3101	0	0	0	0	0	0	0	0	0
DRUP01080030T	180	0	222	0	0	0	158	0	0	0	0	0
WIDE01010368T	879	399	0	0	0	0	0	0	0	0	0	0
WIDE01010242T	881	804	0	0	0	0	0	0	0	0	0	0
WIDE01010399T	292	76	0	0	187	0	0	0	0	0	0	0
WIDE01010395T	244	90	0	0	256	0	0	0	0	148	0	0
DRUP01230005T	145	0	2294	0	0	0	0	0	0	0	0	0
DRUP01340010T	257	53	0	0	0	0	172	0	0	301	0	0
WIDE01010419T	313	161	0	0	0	0	0	128	0	0	0	0
WIDE01010403T	439	251	417	0	0	0	0	0	0	0	0	0
WIDE01010398T	135	0	1827	0	0	0	0	0	0	0	0	0
WIDE01010422T	242	518	3564	0	0	0	0	0	0	0	0	0
WIDE01010390T	272	190	2660	0	0	0	0	0	0	0	0	0
DRUP01010149T	195	0	0	0	123	0	72	0	0	0	0	0
WIDE01010449T	116	87	227	0	142	82	0	0	0	0	0	0
WIDE01010238TII	0	0	1633	0	859	0	915	0	0	0	0	0
WIDE01010417T	334	0	0	0	274	0	0	0	0	0	0	0
CPCT02370031T	106	0	396	0	240	0	98	0	0	120	0	0
CPCT02010811T	152	81	629	0	0	0	152	0	0	269	0	0
CPCT02010842T	80	237	0	423	0	0	132	0	0	194	0	0
CPCT02010836T	158	80	448	0	0	0	113	0	0	131	0	0
CPCT02010683T	521	847	1939	0	0	0	0	527	0	0	0	0
CPCT02010852T	445	439	2178	0	0	0	397	0	0	0	0	0
CPCT02040255T	270	138	386	0	588	0	480	0	0	0	0	0
CPCT02010858T	87	0	0	0	103	0	64	0	0	57	0	0
CPCT02010849T	77	103	0	0	0	0	179	0	0	359	0	0
CPCT02390026T	222	0	2968	0	745	0	0	0	0	0	0	0
CPCT02010870T	802	554	2406	0	881	0	0	0	0	0	0	0
CPCT02010847T	0	402	3763	0	0	0	915	0	0	0	0	0
CPCT02190039T	319	245	0	0	335	0	0	0	0	0	0	309
CPCT02120147T	282	0	2559	0	0	0	0	0	0	0	0	0
CPCT02010865T	114	0	0	0	0	0	76	0	0	145	0	0
CPCT02190040T	157	66	102	0	0	0	111	0	0	131	0	0
CPCT02120140T	337	513	329	0	0	0	0	0	0	0	0	0
CPCT02120138T	148	52	127	0	0	0	157	116	0	124	0	0
CPCT02370034T	359	172	1705	0	520	0	0	0	0	0	0	0
CPCT02390028T	158	0	516	0	284	0	0	0	0	0	0	0
CPCT02010874T	212	396	735	0	0	0	0	343	0	0	0	0
CPCT02010867T	0	0	9520	0	0	0	0	0	1383	0	0	0
DRUP01010086T	94	0	1615	0	411	0	0	0	0	229	0	0
CPCT02190043T	308	0	2509	0	777	0	0	0	0	0	0	0
CPCT02270034T	450	0	1335	0	0	0	0	0	0	0	0	627
CPCT02390030T	134	0	1283	0	437	0	0	0	0	0	0	0
DRUP01270004T	508	287	401	0	0	0	0	0	470	0	0	0
WIDE01010591T	246	0	0	0	200	0	123	0	0	0	0	0
CPCT02390032T	0	0	4270	0	0	0	0	0	0	0	0	0
CPCT02010853T	373	134	0	0	0	1032	434	0	0	0	0	0
CPCT02190045T	201	0	1539	0	405	0	0	0	0	0	0	0
CPCT02030508T	0	0	2277	0	794	0	378	0	0	0	0	0
CPCT02010567TII	118	0	0	0	0	0	139	0	0	279	0	0
CPCT02040215TII	199	77	0	0	0	0	117	82	0	102	0	0
DRUP01010090T	482	443	2221	0	638	0	0	0	0	0	0	0
CPCT02020784T	118	0	0	0	156	0	0	0	0	131	0	0
CPCT02010904T	202	85	641	0	0	0	113	0	0	179	0	0
CPCT02330122T	1535	1317	0	0	0	0	0	0	0	0	0	0
CPCT02270036T	931	368	1282	0	0	0	0	0	0	0	0	0
CPCT02010894T	468	123	0	0	0	0	0	0	0	224	0	0
CPCT02010897T	217	61	831	0	281	0	176	0	0	138	0	0
DRUP01010092T	133	78	135	0	0	0	189	0	0	287	0	0
CPCT02010903T	552	225	0	0	0	0	0	0	0	184	0	0
CPCT02410006T	451	206	1066	0	0	0	0	0	0	0	0	0
CPCT02190047T	295	375	991	0	0	0	0	316	0	0	0	0
DRUP01140006T	144	236	1168	0	0	0	243	558	0	270	0	0
CPCT02120152T	80	44	0	0	0	0	138	0	0	251	0	0
CPCT02010895T	702	262	1964	0	0	588	0	0	0	0	0	0
CPCT02040286T	363	167	1839	0	0	0	0	0	0	0	0	556
CPCT02010913T	187	298	1331	0	422	0	0	0	0	0	0	0
CPCT02010911T	0	563	6358	0	0	0	0	0	0	0	0	0
CPCT02100184T	322	161	801	0	344	0	0	0	0	0	0	0
CPCT02330123T	266	136	1689	0	454	0	0	0	0	0	0	0
CPCT02010919T	43	0	0	0	0	0	52	0	0	185	0	0
CPCT02410013T	230	141	1967	0	0	0	0	0	0	0	0	0
CPCT02120161T	142	103	1221	0	436	0	0	0	0	0	0	0
CPCT02010924T	75	0	810	0	0	0	0	197	0	0	0	0
CPCT02030531T	205	89	764	0	278	0	152	0	0	119	0	0
CPCT02060261T	295	239	2242	0	0	600	534	0	0	0	0	0
CPCT02060265T	230	158	573	0	376	0	319	0	0	0	0	0
CPCT02010918T	192	276	1781	0	0	0	0	0	0	0	0	1156
CPCT02010925T	202	215	2211	0	0	0	0	0	0	0	0	0
CPCT02070380T	228	338	1428	0	571	0	297	0	0	511	0	0
CPCT02010931T	138	130	359	0	159	0	107	0	0	137	0	0
DRUP01010096T	0	584	5436	0	0	0	0	0	0	0	0	0
CPCT02010938T	393	71	555	0	0	0	141	0	0	257	0	0
CPCT02010894TII	636	407	0	0	0	0	0	0	0	0	0	0
CPCT02010945T	179	192	1698	0	0	0	0	0	0	332	0	0
CPCT02120167T	490	241	1914	0	0	0	0	0	0	0	0	0
DRUP01190001T	166	118	303	0	0	0	122	0	0	132	0	148
CPCT02010776TII	181	60	0	105	0	0	117	96	0	162	0	0
CPCT02070393T	0	470	2483	0	0	0	0	0	0	0	0	0
CPCT02070396T	233	192	0	0	0	0	140	0	0	159	0	0
DRUP01010101T	215	96	389	0	329	0	288	0	0	196	0	0
CPCT02030546T	30559	72605	0	0	0	0	0	0	0	0	0	0
CPCT02240013T	438	177	0	0	0	0	0	202	0	0	0	0
CPCT02010953T	1036	259	0	0	0	0	0	0	0	0	0	0
DRUP01010102T	354	457	768	0	0	0	0	0	0	0	0	0
CPCT02010967T	0	229	2321	0	0	0	0	0	0	0	0	0
CPCT02390005T	112	0	192	0	0	0	100	0	0	188	0	0
CPCT02010966T	183	0	0	0	138	0	151	0	0	166	0	0
DRUP01010038T	192	65	0	0	136	0	84	0	0	136	0	0
CPCT02050412T	794	434	0	0	0	0	0	0	0	0	0	0
DRUP01020006T	392	0	309	0	0	0	299	0	0	199	0	0
CPCT02010954T	358	399	2448	0	897	570	0	0	0	0	0	0
DRUP01010104T	523	199	523	0	0	0	432	0	0	0	0	0
CPCT02070399T	386	96	0	0	0	162	0	142	0	0	0	0
DRUP01050038T	317	60	0	0	0	0	134	0	0	138	0	0
CPCT02390006T	264	150	503	0	0	207	217	272	0	182	0	0
CPCT02120172T	122	74	0	0	0	0	117	0	0	124	0	0
CPCT02010655T	137	39	0	0	0	0	106	0	0	128	0	0
CPCT02010869T	90	33	0	0	85	0	89	0	0	116	0	0
CPCT02040298T	17	0	0	0	96	0	30	0	0	54	0	0
CPCT02040299T	279	346	570	0	0	0	233	262	0	0	0	0
CPCT02010981T	206	85	0	0	0	0	128	0	0	124	0	0
CPCT02010979T	189	227	765	0	0	0	0	254	0	200	0	0
CPCT02010977T	129	154	807	0	330	0	0	0	0	0	0	0
CPCT02010982T	346	0	0	0	0	0	164	0	0	351	0	0
CPCT02040173T	257	376	1439	0	0	0	0	0	0	0	0	0
CPCT02010926T	795	702	0	0	0	0	0	0	0	0	0	0
CPCT02010965T	653	294	0	0	0	0	0	338	0	0	0	0
CPCT02070404T	103	0	304	0	0	0	0	0	0	0	0	387
