Samples	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID9	ID11	ID19	ID21	ID83J
SP53460	0	0	1009	0	0	0	0	181	0	0	0	0
SP50827	144	0	1324	0	458	0	0	0	0	0	0	0
SP50263	229	57	0	0	234	0	0	0	0	0	0	0
SP50317	116	194	0	0	0	0	0	220	0	0	0	0
SP54113	0	0	3873	0	0	0	0	0	0	0	0	0
SP50406	0	0	13	0	0	0	0	0	0	0	0	0
SP51824	122	0	587	0	201	0	0	0	0	0	0	0
SP55387	0	0	266	0	0	0	0	0	0	0	0	0
SP52779	98	0	1171	0	339	0	0	0	0	0	0	0
SP55235	0	0	3234	0	0	0	0	0	0	0	0	0
SP50713	0	0	360	0	0	0	82	0	0	0	0	0
SP50611	0	0	1893	0	0	0	0	0	0	0	0	0
SP50485	43	14	39	0	59	0	0	0	0	0	0	0
SP51037	127	30	0	0	74	0	0	0	0	0	0	0
SP55142	409	300	3748	0	0	556	0	815	0	0	0	0
SP53387	0	0	946	0	357	0	0	0	0	0	0	0
SP54745	206	87	451	0	356	0	0	0	0	0	0	0
SP52284	252	56	127	0	0	0	0	0	0	0	0	0
SP53618	0	0	2328	0	0	0	0	0	0	0	0	0
SP52232	0	0	934	0	0	0	0	0	0	0	0	0
SP50412	30	0	34	0	55	0	0	0	0	0	0	0
SP50321	63	0	301	0	148	0	85	0	0	0	0	0
SP53548	105	0	0	0	154	0	0	0	0	0	0	0
SP55004	5	0	0	0	0	0	9	7	0	0	0	0
SP56079	0	0	1503	0	0	0	0	0	0	0	0	0
SP56168	144	44	124	82	0	0	91	112	0	0	0	0
SP54363	288	0	1223	0	0	0	0	0	0	0	0	0
SP53810	0	0	5442	0	0	0	0	0	0	0	0	0
SP50518	159	0	0	0	168	0	75	0	0	0	0	0
SP56303	199	70	0	0	0	120	225	190	0	0	0	0
SP55711	147	0	0	0	0	0	72	113	0	0	94	0
SP55509	0	0	2177	0	0	0	0	0	0	0	0	0
SP55309	8	0	23	0	0	0	0	0	0	0	38	0
SP52607	29	0	38	0	57	0	0	0	0	0	0	0
SP52667	0	0	1180	0	0	0	0	0	0	0	0	0
SP51446	173	0	154	0	0	0	82	0	0	0	0	0
