Samples	ID83A	ID83B	ID83C	ID83D
SP123975	42	2169	0	0
SP124044	35	0	10	22
SP123972	160	60	91	102
SP123850	37	7	0	97
SP123902	55	8	5	91
SP123884	98	9	0	112
SP123964	48	7	0	82
SP123995	45	4	0	89
SP123846	23	5	0	148
SP124003	26	8	7	52
SP123876	70	6	6	51
SP123878	44	7	10	30
SP123842	63	3	0	33
SP123900	111	3	3	26
SP123978	35	4	2	24
SP123897	35	4	16	37
SP124013	49	4	2	70
SP124021	43	2	4	40
SP123852	52	13	4	52
SP123998	58	2	39	71
SP123967	67	4	0	25
SP123988	201	15	4	71
SP123984	46	9	0	48
SP123858	4	1	12	71
SP123890	47	0	4	47
SP123950	57	7	0	77
SP123886	18	5	8	31
SP124033	4	4	0	79
SP123892	75	14	13	78
SP123840	41	0	4	77
SP123969	63	6	13	61
SP123953	58	13	10	36
SP123955	40	3	0	52
SP123882	54	7	0	151
SP123894	37	15	0	146
SP124017	14	5	7	21
SP123856	26	1	5	41
SP123854	53	9	1	54
SP123888	22	1	5	80
SP123870	8	4	0	79
SP123958	32	0	3	29
SP123844	59	2	7	48
SP123872	50	6	29	73
SP123874	55	7	14	39
SP123836	25	8	14	131
SP43633	44	7	7	19
SP36498	664	17	8	0
SP37516	528	11	17	0
SP39997	660	26	32	20
SP35617	596	13	46	16
SP37636	205	12	46	50
SP39907	417	17	6	49
SP40736	732	33	30	54
SP42154	543	18	74	45
SP39594	592	31	2	99
SP41453	500	13	60	1
SP34452	1241	28	20	13
SP42829	670	33	86	0
SP37970	849	28	21	118
SP34186	884	34	99	13
SP37903	1110	30	45	0
SP35849	194	4	47	34
SP36586	96	70	178	0
SP34431	444	10	0	17
SP37432	400	15	21	41
SP35989	307	18	6	71
SP39102	384	11	33	24
SP34493	255	9	48	38
SP36036	323	13	32	54
SP35951	706	51	19	48
SP39248	357	9	25	33
SP34246	693	6	13	53
SP35412	598	10	24	77
SP39298	1526	50	16	55
SP38044	718	27	26	120
SP38271	619	41	19	107
SP43201	456	15	16	73
SP34191	414	8	20	36
SP40047	842	95	24	54
SP39349	472	5	15	85
SP37369	418	12	0	44
SP38759	590	18	27	113
SP36218	159	13	4	143
SP43510	779	19	3	52
SP43770	496	20	22	73
SP43651	1193	67	92	9
SP106656	1195	52	22	38
SP97249	785	62	288	23
SP106638	1413	45	13	70
SP97161	1172	42	55	15
SP43696	1279	52	26	0
SP97113	728	37	22	41
SP97124	1511	40	14	88
SP43808	510	37	29	105
SP43822	0	24	434	0
SP43514	593	26	21	9
SP97258	867	24	0	72
SP97194	1898	52	117	109
SP109470	1285	59	149	35
SP97278	860	19	34	31
SP109544	902	53	90	0
SP97104	136	24	31	313
SP106577	1319	62	37	86
SP109457	86	39	309	0
SP109478	146	7	13	31
SP43688	812	30	22	36
SP97243	590	27	12	98
SP97269	1208	36	40	17
SP113926	223	7	1	85
SP106560	514	16	1	116
SP43792	1199	45	35	14
SP106602	614	34	7	79
SP97145	256	12	2	90
SP43664	1373	63	157	130
SP43532	1048	46	11	8
SP102816	527	26	0	157
SP102795	1252	55	186	0
SP103197	757	25	32	69
SP102827	1238	43	0	93
SP103233	701	21	30	107
SP103507	750	18	41	15
SP103100	455	22	30	2
SP103416	401	17	25	43
SP103005	369	29	20	40
SP102759	1197	16	81	8
SP102741	629	15	78	1
SP102945	468	16	43	94
SP103826	576	3	20	4
SP103706	980	17	15	34
SP102897	699	10998	1777	0
SP102881	374	22	71	50
SP103715	545	19	7	46
SP102929	607	12	8	95
SP103619	199	2	6	11
SP103844	417	0	9	13
SP103128	543	29	46	85
SP103300	977	10	36	73
SP103057	915	18	0	3
SP103340	666	32	40	0
SP102913	642	31	53	49
SP102783	1082	34	83	0
SP103080	917	41	98	81
SP103436	471	3	43	0
SP102804	1007	0	23	0
SP102957	1279	0	0	16
SP102873	397	13	32	53
SP103213	510	12	0	46
SP103467	164	4	2	24
SP103261	1508	41	49	0
SP103156	835	35	22	5
SP103288	357	6	13	36
SP103444	504	11	4	45
SP103685	649	12	0	27
SP103140	1205	26	22	0
SP103673	1071	32	48	37
SP102839	595	13	35	43
SP103245	787	30	20	54
SP103037	277	0	2	23
SP103408	690	22	0	0
SP103021	604	22	7	48
SP103679	323	12	19	54
SP103065	1077	40	35	11
SP102965	562	13	1	0
SP103221	1212	50	48	10
SP103547	696	26	20	68
SP102973	1128	18	71	0
SP103515	781	0	19	43
SP102747	197	7	5	0
SP103730	558	16	109	33
SP103535	1233	12	73	67
SP102718	680	29	31	40
SP103483	392	12	17	0
SP103428	1026	16	18	62
SP102755	1798	43	4	71
SP103694	1432	45	10	65
SP103595	448	10	23	70
SP103396	295	0	7	14
SP102716	319	9	8	0
SP102733	289	15	30	124
SP102989	708	26	60	80
SP103603	518	41	42	101
SP102921	491	12	34	48
SP103742	799	34	105	24
SP103555	57	7	7	16
SP103523	352	3	9	53
SP103575	512	16	116	4
SP103045	679	14	2	82
SP103455	826	37	30	99
SP103856	135	2	0	32
CPCT02020340T	707	6	47	199
CPCT02140010T	635	33	75	73
CPCT02110007T	892	34	120	99
CPCT02140015T	422	41	98	235
CPCT02020376T	188	30	198	97
CPCT02050051T	514	30	126	81
CPCT02140017T	1294	89	333	79
CPCT02040048T	1489	49	240	67
CPCT02060029T	406	53	455	0
CPCT02060039T	592	32	49	62
CPCT02050077T	594	58	215	90
CPCT02060050T	908	40	205	105
CPCT02020866T	428	27	34	147
CPCT02120177T	667	38	20	69
CPCT02140095T	1323	53	48	156
CPCT02120176T	767	179	499	0
CPCT02120085T	353	34	185	265
CPCT02100138T	383	59	387	0
CPCT02080177T	466	44	434	0
CPCT02230079T	934	87	292	23
CPCT02340107T	650	162	379	0
CPCT02120096T	679	30	81	223
CPCT02120102T	128	8	17	38
CPCT02440023T	1020	46	199	90
CPCT02160060T	759	28	91	0
CPCT02180055T	233	25	122	147
CPCT02140104T	169	53	199	28
CPCT02140105T	849	37	149	27
CPCT02190055T	816	78	223	163
CPCT02030551TII	326	46	686	198
CPCT02050317T	59	1	50	209
CPCT02180078T	623	19	36	115
CPCT02220075T	564	28	97	87
CPCT02230085T	935	57	405	121
CPCT02120195T	710	18	146	44
CPCT02080302T	1012	41	155	123
CPCT02070470T	196	23	21	69
CPCT02300034T	814	20	181	113
CPCT02020955T	477	24	80	39
CPCT02020965T	642	32	82	105
CPCT02140094TII	861	64	81	515
CPCT02210083T	159	0	101	49
CPCT02100200T	1028	50	131	0
CPCT02140106T	325	18	59	87
CPCT02140059T	1077	44	102	50
WIDE01010156T	119	10	53	86
CPCT02100174T	383	95	50	252
CPCT02120200T	231	16	18	117
CPCT02140070T	174	57	260	83
CPCT02040248T	458	23	112	112
CPCT02060149T	288	23	101	119
CPCT02020718T	452	33	177	70
CPCT02230096T	848	140	497	0
CPCT02180064T	437	23	52	183
CPCT02020764T	424	32	581	148
CPCT02440012T	635	24	143	214
CPCT02020752T	360	20	158	12
CPCT02140071T	501	18	96	184
CPCT02140074T	733	39	128	107
CPCT02140017TII	1254	70	304	125
CPCT02120143T	531	20	132	97
CPCT02030431T	396	25	167	2
CPCT02180067T	309	1	133	82
CPCT02160052T	832	31	56	167
CPCT02140080T	135	14	160	30
CPCT02170036T	0	288	617	0
CPCT02290045T	261	16	76	115
CPCT02060269T	457	37	81	122
CPCT02230113T	70	12	115	63
CPCT02050407T	356	27	184	112
CPCT02030543T	532	33	226	310
CPCT02190050T	728	31	213	36
CPCT02140087T	585	11	65	147
CPCT02100190T	540	39	423	59
CPCT02140094T	211	14	60	401
CPCT02130164T	517	22	35	92
CPCT02140093T	1042	37	138	0
CPCT02020592T	60	8	44	233
CPCT02180076T	226	17	47	97
CPCT02020865T	1297	32	33	123
