MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
1:Del:C:0	0.001196707437699805	0.0004146740969736129	0.010039251715643356	0.025557569067459554	0.015639982728961138	0.008138156241722072	0.0034037055366207248	0.008826952493912268	0.013013490721226074	0.690637018084526	0.012941418855916709	0.01432108564904857	0.030826144606398886	0.0059664812160190196	0.009552243699925522	0.003635125202126801	0.013410407950213993	0.010669826993771494	0.007315415895545309	0.011812246740042973
1:Del:C:1	0.00015024208074464695	0.0018829552307579433	0.0010806409547512886	0.005444101588145713	0.021443421128205954	0.014664707811261906	0.006745698536833516	6.280038243858144e-05	0.018079741429537534	0.12236398853361606	0.010349668942653807	0.012315067449235358	0.006558896205388009	0.010683219461061527	0.24718470975756646	0.0077323444192734314	0.03316819429863244	0.014252168437815271	0.010301881367704482	0.009307039155974053
1:Del:C:2	0.0011617160818877892	0.0001712389976455597	0.0016510746706626378	0.007300181416794658	0.0015585765632567927	0.006647105511365226	0.0015276801423897268	0.0057122594129759814	0.00480928475401015	0.0017370325722731957	0.004325908359605819	0.0014598624579957686	0.0016311076367128408	0.0025800033588893718	0.24882234767079353	0.0011212648305809125	0.004868680170038715	0.004296994695032481	0.007565255596682618	0.004065768784930697
1:Del:C:3	0.0034678014589007945	0.0005994328971428331	0.00765725233242847	0.0017371524208647316	0.0004095994538238301	0.02226133323390968	0.001982635936001316	0.0006409031977818813	0.00466228046163451	0.004332400322455215	0.004140879786864389	0.003222888072923524	0.007181822498227471	0.0011918522267478694	0.08847910776734352	0.0018604515450715553	0.007416345657547936	0.004654819756979123	0.0014388086809776724	0.00048348322277888653
1:Del:C:4	0.003748724821376186	4.086886366405196e-05	0.05886107886756463	0.0022259995356907324	0.0009464742690988714	0.012187655272427947	0.0002593875385746003	1.9638728117570283e-05	0.003375696527946275	0.006245809994657634	0.00709525218003364	8.218969056088099e-05	0.0005247026367578656	2.5852344115264715e-05	0.03457748371671016	0.0015273345132328585	0.005780601204605773	0.005391594234897639	0.00048023301845887543	0.0020049535496218596
1:Del:C:5	0.009565007380922488	0.0022056682064710742	0.26062468691496177	0.00022435384017779113	6.540658608425231e-05	0.0007533863855682909	0.001221783431320489	0.00011479844545462469	5.508804179044091e-08	0.0009398364717823427	0.004860514244094247	0.0005355349589199143	0.0006164823256358432	0.000269992779826653	0.006601379373568364	0.00013214622931002396	7.5609942297205636e-06	0.00044533642306362255	0.000425473765243396	0.001352120154742238
1:Del:T:0	0.00039858786600234454	0.002323659230605699	0.0037615022280078846	0.0090185727221251	0.01611661652685143	0.0401119299153034	0.0130638222033906	0.007472326018492432	0.04665588211035356	0.03098873800598085	0.023114607357711064	0.24350132640451194	0.005395769769093022	0.017609811064903624	0.030351779462071137	0.009826570128207096	0.01985874677367975	0.021647265695501117	0.011734445306938141	0.027672638925723733
1:Del:T:1	0.0009818110362539302	0.0013569044782343553	0.002659482555827708	0.0009582201985176653	0.005610141792203649	0.023106002026247227	0.002910376415529754	0.00395580970638548	0.055381915178149936	0.0041712990072846875	0.0062776810914510865	0.17429560974240302	0.010847764825375633	0.00158973645826336	0.035383947067894043	0.008790418939897791	0.026589393925387412	0.0070988055716497914	0.01789786060806364	0.017614408299444287
1:Del:T:2	0.0009200139752647374	0.00023535723157692702	0.0012359899451257661	0.009254324334033299	0.005078545169089921	0.15628463950008153	0.0050643367852899294	0.0003917605172319202	0.02349905429493617	0.01258605160866864	0.00690724121814128	0.11102849420160055	0.005246656426752452	0.0055705025547649716	0.015096733535174281	0.0018592952943436102	0.014225836981495377	0.009913530210324097	0.02712409303039749	0.005741531884705182
1:Del:T:3	0.00834093357785605	0.0009566407014790457	0.0027216658962424846	0.004408168708323501	0.012452044225065038	0.3044557121396065	0.0007320031968993134	0.00016008633247110993	0.022130269133485855	0.012933232233626768	0.003974390634102747	0.009807260887464508	0.011669095702236518	0.004339451482358072	0.0021606001353939065	0.0007236660245689563	0.009042175358626992	0.014180333422264085	0.005934860256384127	0.0004779674470773898
