Samples	ID1	ID2	ID3	ID5	ID6	ID8	ID9	ID11	ID19	ID23
SP97749	79	0	68	165	0	51	0	0	0	0
SP49235	112	0	114	133	0	68	0	0	0	0
SP50177	106	0	0	175	0	60	0	0	0	160
SP97775	200	0	261	333	0	212	0	0	0	0
SP97685	102	0	0	152	0	176	71	0	0	0
SP97747	118	0	174	181	0	112	0	0	0	0
SP97771	118	0	178	254	0	126	0	0	0	0
SP97681	106	31	180	278	0	100	0	0	0	0
SP98082	167	0	137	234	0	103	0	0	0	0
SP49334	118	0	97	200	0	69	0	0	0	0
SP49124	148	0	0	375	0	757	0	0	0	0
SP115501	401	52	0	0	0	0	127	0	0	0
SP98305	549	0	262	350	0	0	0	0	0	0
SP49247	246	0	243	302	0	112	0	0	0	0
SP49328	193	0	260	0	0	115	0	0	0	0
SP98092	144	0	101	219	0	87	0	0	0	0
SP120755	10	0	0	53	0	30	46	0	0	0
SP49417	178	0	132	256	0	108	0	0	0	0
SP49175	424	0	0	0	0	0	0	0	0	218
SP49223	121	0	0	0	50	51	0	0	0	63
SP49187	72	0	175	101	0	69	0	0	0	0
SP49157	125	0	302	203	0	80	0	0	0	0
SP49379	328	0	0	0	0	0	0	0	0	323
SP49541	271	72	313	0	0	178	0	0	0	0
SP98164	183	0	302	288	0	109	0	0	0	0
SP49481	0	0	31	96	0	55	0	0	0	0
SP98078	102	0	224	288	0	171	0	0	0	0
SP106677	142	0	95	190	0	71	0	0	0	0
SP106743	110	0	96	0	0	61	0	0	0	0
SP98359	268	45	100	178	0	111	0	0	0	0
SP98192	442	0	0	0	0	0	0	0	0	0
SP98053	214	0	205	240	0	102	0	0	0	0
SP106631	54	0	89	136	0	70	0	76	0	0
SP49551	136	0	208	138	0	0	0	0	0	0
SP49651	143	0	0	0	452	203	0	0	0	0
SP98265	320	0	0	383	0	145	0	0	0	0
SP98297	94	0	275	263	0	122	0	0	0	0
SP98060	0	0	27	42	0	0	21	0	0	0
SP98289	201	0	0	0	0	155	0	0	0	402
SP115498	284	67	319	252	0	0	0	0	0	0
SP98096	244	0	209	187	0	95	0	0	0	0
SP49114	118	0	324	411	0	243	0	0	0	0
SP98090	1053	0	826	0	0	0	0	0	0	0
SP49286	112	0	168	217	0	106	0	0	0	0
SP49469	228	57	0	252	0	145	0	0	0	0
SP49205	159	31	0	107	0	73	0	0	0	0
