Samples	ID83A	ID83B	ID83C	ID83D
SP124389	341	53	28	1
SP124362	829	168	23	6
SP124394	462	110	13	20
SP124334	362	149	31	6
SP124339	16	74	10	29
SP124454	237	177	41	5
SP124380	632	75	33	6
SP124273	0	436	55	0
SP124357	57	168	68	20
SP124399	642	311	41	0
SP124311	790	159	16	50
SP124355	26	162	27	8
SP124434	468	117	44	13
SP124428	1181	450	64	23
SP124449	402	299	80	0
SP124298	1559	443	45	60
SP124431	498	157	17	24
SP124396	255	243	140	31
SP124409	846	252	45	11
SP124341	53	243	59	8
SP124353	23	96	10	11
SP124278	0	287	53	0
SP124376	298	142	42	39
SP124346	62	420	57	6
SP124439	1129	53	40	0
SP124351	26	87	15	7
SP124406	416	0	129	183
SP124323	20	162	38	1
SP124391	48	233	27	14
SP124423	51	24	2	2
SP124382	2906	141	7	99
SP124415	1797	365	72	0
SP124436	1649	498	78	59
SP124460	747	192	79	6
SP124425	335	59	9	12
SP124456	300	61	50	33
SP124367	584	108	34	30
SP124281	6	153	20	3
SP124377	395	114	7	42
SP124412	375	65	12	15
SP124333	193	152	21	20
SP124359	14	330	63	10
SP124286	10	66	29	6
SP124329	190	14	0	14
SP124326	183	250	44	21
SP124458	840	172	45	71
SP124401	2326	277	102	16
SP124264	101	370	53	25
SP124384	764	0	21236	0
SP124403	116	22	4	13
SP124462	607	232	67	58
SP124271	78	698	108	0
SP124336	5	413	36	0
SP124452	463	135	25	26
SP124386	595	204	43	30
SP124441	60	253	187	39
SP124418	541	64	15	8
SP124291	8	237	44	12
SP124319	643	0	11	3
SP124305	147	265	20	23
SP124447	2962	598	110	222
SP124344	24	157	26	18
SP124369	632	184	45	42
SP124348	15	182	15	1
SP124295	63	359	153	5
SP124444	73	265	51	0
SP124365	482	170	46	42
SP124420	322	219	47	31
SP124364	385	120	274	1006
SP124307	556	97	52	40
SP82445	1624	91	23	0
SP83242	343	109	37	26
SP103894	271	0	0	4461
SP83382	384	125	37	66
SP82451	236	308	66	62
SP104330	38	28	0	15
SP83312	379	46	40	19
SP82614	406	70	38	29
SP82431	1833	96	60	72
SP82459	291	132	17	4
SP113197	24	128	12	14
SP82532	736	233	26	11
SP82636	49	238	91	16
SP82796	241	141	34	0
SP83482	247	94	65	14
SP104530	227	902	155	0
SP82429	150	159	28	16
SP82644	967	131	32	12
SP82988	280	142	53	4
SP82461	429	248	21	44
SP82900	685	169	42	53
SP82399	473	279	26	27
SP82756	106	72	13	35
SP82836	118	268	37	3
SP82417	751	36	2	0
SP82471	4	420	40	1
SP82435	15	195	39	0
SP104056	2115	205	43	101
SP83083	447	116	28	3
SP82433	168	170	52	9
SP82780	185	166	34	5
SP83019	492	90	28	9
SP83099	117	99	21	8
SP83146	1425	191	19	65
SP103866	489	108	45	31
SP83844	392	88	31	22
SP83027	17	165	39	9
CPCT02060044T	448	305	104	49
CPCT02030247T	176	210	37	27
CPCT02050043T	39	231	32	0
CPCT02020342T	386	228	28	5
CPCT02010371T	297	264	19	40
CPCT02030256T	127	82	24	31
CPCT02050045T	370	390	52	19
CPCT02050047T	0	548	46	5
CPCT02010393T	654	474	95	22
CPCT02020358T	121	124	35	31
CPCT02090002T	504	262	0	53
CPCT02010403T	27	104	1	16
CPCT02030272T	224	292	54	46
CPCT02020373T	150	343	63	34
CPCT02050052T	184	145	99	209
CPCT02030270T	17	238	12	27
CPCT02050056T	355	226	35	20
CPCT02050055T	255	302	258	58
CPCT02030279T	57	203	45	25
CPCT02020320T	377	354	62	18
CPCT02060037T	31	80	8	9
CPCT02100033T	178	83	10	7
CPCT02010436T	389	197	23	42
CPCT02010439T	229	135	23	14
CPCT02060043T	35	426	97	32
CPCT02030284T	358	285	46	17
CPCT02020410T	409	128	20	2
CPCT02020408T	322	159	64	51
CPCT02030291T	998	277	10	23
CPCT02050079T	14	138	0	25
CPCT02050073T	86	244	17	32
CPCT02220001T	39	200	0	41
CPCT02010440T	117	215	39	23
CPCT02011020T	749	257	80	173
CPCT02340050T	13	689	491	10
CPCT02080280T	524	206	21	38
CPCT02080282T	169	240	101	59
CPCT02060163T	21	134	0	31
CPCT02011025T	245	289	114	39
CPCT02010754TII	271	335	45	14
CPCT02010716T	954	337	19	19
CPCT02170039T	133	139	18	23
CPCT02080284T	67	68	1	8
CPCT02030555T	415	207	23	32
CPCT02011037T	843	215	61	10
CPCT02120180T	162	191	27	13
CPCT02050304T	1659	810	11	208
CPCT02020895T	41	328	45	6
CPCT02090032T	342	367	47	77
CPCT02020662T	228	137	4	31
DRUP01080025T	1038	378	153	335
CPCT02020891T	388	98	44	39
CPCT02080266TII	76	382	43	75
CPCT02020901T	280	248	45	39
CPCT02080287T	237	201	38	6
CPCT02011045T	128	232	70	33
CPCT02020897T	166	101	50	11
CPCT02120101T	20	273	45	27
CPCT02020910T	461	174	37	21
CPCT02120095T	452	210	7	40
CPCT02080294T	22	319	47	23
CPCT02080292T	10	128	13	9
CPCT02120098T	371	109	7	25
CPCT02120105T	366	0	4244	0
CPCT02020914T	393	151	38	5
CPCT02160035T	491	271	8	13
CPCT02050310T	97	284	114	49
CPCT02290061T	646	309	37	52
CPCT02050308T	109	697	72	15
CPCT02090035T	233	285	28	0
CPCT02020933T	65	179	58	111
CPCT02020930T	374	229	20	30
CPCT02020934T	654	284	45	19
CPCT02020939T	95	216	19	18
CPCT02020670T	1316	285	60	0
CPCT02020837TII	139	318	23	84
CPCT02030459T	0	514	112	185
CPCT02350019T	14	54	3	14
CPCT02050424T	4681	767	78	0
CPCT02340064T	146	212	47	4
CPCT02011045TII	128	242	73	22
CPCT02120189T	577	262	50	80
CPCT02010754T	165	288	31	20
CPCT02020868T	159	192	22	15
CPCT02060286T	750	312	43	26
CPCT02060288T	162	451	167	34
CPCT02120193T	148	281	33	24
CPCT02120187T	202	196	92	80
CPCT02120191T	205	414	49	8
CPCT02080304T	17	298	34	20
CPCT02080307T	361	253	49	35
CPCT02080303T	148	131	13	9
CPCT02340067T	43	755	292	6
CPCT02030461T	3526	726	95	78
CPCT02020919T	286	0	184	235
CPCT02050432T	63	281	30	4
CPCT02120110T	15	445	48	0
CPCT02080308T	30	172	33	16
CPCT02020951T	22	127	14	12
DRUP01060009T	10	971	182	33
CPCT02020949T	872	154	42	15
CPCT02020960T	354	333	68	52
WIDE01010033T	0	139	13	4
CPCT02340115T	517	227	105	27
CPCT02050322T	455	299	32	69
CPCT02050046T	233	344	38	23
CPCT02050331T	4	145	33	7
WIDE01010071T	151	30	21	851
CPCT02020895TII	46	338	47	11
CPCT02030468T	112	242	62	175
CPCT02020959T	103	223	97	27
CPCT02080313T	174	134	38	35
CPCT02080311T	169	255	16	47
CPCT02011108T	387	139	875	133
CPCT02080314T	448	195	34	111
CPCT02020694T	433	173	56	34
CPCT02020672T	16	267	0	25
WIDE01010123T	193	135	18	12
CPCT02020665T	231	220	28	78
CPCT02080207T	154	279	15	32
CPCT02060291T	1123	119	0	18
CPCT02050441T	16	250	88	7
CPCT02050440T	387	199	201	69
CPCT02050438T	603	174	46	22
DRUP01230001T	1504	7985	29794	0
CPCT02080205T	330	542	164	89
CPCT02020714T	98	290	10	50
WIDE01010172T	574	330	358	336
CPCT02340081T	0	292	0	34
CPCT02010801T	5	448	194	137
CPCT02010794T	809	480	87	723
CPCT02340083T	629	257	60	20
CPCT02050347T	64	178	0	28
CPCT02120198T	409	206	85	30
CPCT02120199T	119	294	113	162
WIDE01010255T	1676	549	29	2
CPCT02040241T	399	294	39	18
WIDE01010305T	747	306	42	10
WIDE01010314T	281	450	20	40
CPCT02060228T	262	508	60	41
WIDE01010328T	158	303	27	23
CPCT02030479T	900	264	0	48
CPCT02040246T	417	140	40	43
WIDE01010376T	98	196	33	4
WIDE01010381T	552	363	1804	253
WIDE01010392T	292	231	61	39
CPCT02080221T	58	182	0	47
CPCT02020723T	26	138	37	43
CPCT02020736T	186	538	30	31
CPCT02020743T	124	264	14	18
CPCT02020739T	736	771	12	52
CPCT02050365T	562	323	43	31
CPCT02020670TII	1334	332	61	0
CPCT02030490T	262	460	63	55
CPCT02300042T	498	491	81	39
CPCT02020700T	269	235	39	19
CPCT02220050T	299	528	152	158
CPCT02050370T	1246	272	146	36
CPCT02050373T	13	190	0	20
CPCT02080234T	1801	928	62	144
CPCT02030499T	269	151	60	38
CPCT02020770T	542	267	21	50
CPCT02050376T	1	431	19	21
CPCT02080239T	145	146	10	16
CPCT02050301T	240	191	6	39
CPCT02080242T	435	242	81	21
CPCT02020789T	389	0	59	1695
CPCT02020796T	164	799	82	26
CPCT02220057T	667	368	54	22
CPCT02340098T	305	271	56	16
CPCT02340097T	397	233	86	2
CPCT02170038T	196	282	47	16
CPCT02010920T	61	140	0	51
CPCT02050399T	16	365	17	38
CPCT02050404T	10	231	41	27
CPCT02050402T	102	291	36	41
CPCT02060256T	174	305	48	22
CPCT02080259T	259	209	61	78
CPCT02020813T	265	261	36	48
CPCT02020785T	2880	1160	165	0
CPCT02020810T	215	168	9	34
CPCT02020821T	383	403	66	66
CPCT02340100T	1754	338	722	203
CPCT02080266T	53	344	31	60
CPCT02010941T	976	226	28	58
CPCT02020822T	825	308	9	122
