Samples	ID83A	ID83B	ID83C	ID83D	ID83E
SP29914	416	536	121	404	0
SP31046	18	129	15	0	24
SP31334	45	182	183	107	13
SP30011	17	283	336	69	1
SP31174	96	255	77	49	15
SP32662	139	364	149	60	27
SP31126	134	303	707	349	59
SP32958	36	511	0	4	5
SP31422	154	234	244	149	18
SP33496	311	587	67	233	0
SP34005	15	161	37	36	10
SP30113	74	32	0	3476	0
SP31030	321	569	0	15	77
SP33544	102	435	405	254	0
SP33688	49	381	915	0	0
SP30907	82	143	185	321	6
SP30185	6	47	10	17	23
SP33837	18	123	28	46	22
SP31790	120	190	95	30	41
SP30143	28	198	42	28	28
SP30071	162	273	60	267	50
SP30493	11	73	29	34	39
SP32014	162	181	59	8	18
SP30332	177	62	0	2064	72
SP31814	53	216	83	25	8
SP29987	191	434	220	245	38
SP30083	75	171	50	21	20
SP32742	41	373	28	61	40
SP115162	11	106	45	22	20
SP29940	85	228	4	18	48
SP30843	11	116	22	4	17
SP32222	0	0	0	5	0
SP31190	98	357	121	127	0
SP30077	206	334	242	257	50
SP32694	157	356	127	147	31
SP33774	13	199	46	36	3
SP30093	178	182	22	22	37
SP33094	130	291	92	80	53
SP30803	20	168	237	219	0
SP30675	83	0	0	2431	0
SP31854	163	585	328	385	10
SP31606	10	298	11	0	0
SP30213	25	213	46	23	14
SP32894	14	172	28	14	4
SP117260	48	61	104	126	41
SP117124	210	191	55	53	57
SP117932	195	307	27	38	46
SP117189	11	46	22	16	16
SP117217	3	7	11	5	0
SP117779	110	80	79	27	36
SP117376	857	185	71	40	102
SP117681	45	34	20	26	17
SP117408	23	13	41	28	4
SP118015	83	183	31	26	47
SP117509	289	313	84	41	18
SP117482	188	190	59	72	9
SP117003	114	191	243	0	0
CPCT02060034T	0	68	159	68	26
CPCT02020356T	60	191	101	44	32
CPCT02050063T	38	112	334	161	47
CPCT02030275T	24	319	380	106	45
CPCT02070033T	30	204	89	37	25
CPCT02030294T	78	147	413	324	81
CPCT02070038T	50	403	58	44	33
CPCT02080179T	67	38	339	89	94
CPCT02010866TII	306	1091	132	912	18
CPCT02330133T	89	390	532	652	27
CPCT02050427T	129	523	173	117	31
DRUP01030028T	39	55	0	0	1581
CPCT02080193T	79	335	293	114	54
CPCT02030556T	159	515	471	518	28
CPCT02120111T	14	28	112	0	42
CPCT02050341T	14	198	127	0	43
WIDE01010210T	34	81	46	40	26
WIDE01010208T	641	0	0	0	895
CPCT02290033T	104	173	283	292	50
CPCT02070323T	8	173	141	16	38
WIDE01010450T	254	553	8	8	124
CPCT02090049T	56	371	21	0	711
CPCT02010866T	232	897	310	851	29
CPCT02070363T	56	231	741	0	52
CPCT02060222T	8	34	105	13	39
CPCT02080251T	172	670	951	312	75
CPCT02070384T	94	407	199	0	37
CPCT02070386T	291	637	550	283	105
DRUP01070051T	55	222	496	82	36
CPCT02080137T	282	35	387	241	154
CPCT02080157T	36996	804	270	364	568
CPCT02330128T	14	171	535	118	42
CPCT02070030T	0	2	79	0	25
DRUP01050009T	101	400	285	405	95
CPCT02070225T	36	163	245	0	122
CPCT02070230T	10	169	477	116	38
DRUP01070022T	413	39	156	100	247
DRUP01050010T	0	0	325	68	38
CPCT02050161T	73	352	143	182	56
CPCT02050174T	16	228	97	40	24
CPCT02050172T	304	742	652	187	73
CPCT02050186T	486	343	205	259	62
DRUP01070016T	1	74	399	184	27
CPCT02080120T	44	263	113	89	47
CPCT02030351T	132	168	699	51	159
CPCT02060119T	25	168	190	4	84
CPCT02080136T	161	517	82	0	58
DRUP01010035T	2	22	101	0	36
CPCT02070039T	15	79	341	83	0
CPCT02030302T	44	281	90	39	14
CPCT02070053T	152	173	841	319	25
CPCT02070065T	18	41	61	23	45
DRUP01070003T	4	100	63	30	31
CPCT02070099T	8	44	54	29	19
CPCT02020473T	11	71	52	30	19
DRUP01070009T	107	745	29	0	27
CPCT02030324T	373	469	273	79	46
CPCT02030330T	105	718	432	230	29
CPCT02050151T	28	169	61	13	25
CPCT02070128T	1	76	403	187	25
CPCT02080099T	170	352	352	63	48
DRUP01030004T	89	180	392	370	75
CPCT02070265T	114	446	235	45	69
CPCT02080040T	144	461	226	104	66
WIDE01010705T	43	43	85	44	38
