Samples	ID83A	ID83B
SP77443	1.51E+01	1.51E+01
SP72118	1.32E+01	1.32E+01
SP76891	9.72E+00	9.72E+00
SP125732	1.87E+00	1.87E+00
SP125716	1.40E+01	1.40E+01
SP125746	2.70E+01	2.70E+01
SP125797	1.08E+01	1.08E+01
SP76057	1.33E+01	1.33E+01
SP69565	1.33E+01	1.33E+01
SP75202	5.32E+00	5.32E+00
SP110736	8.53E+00	8.53E+00
SP107774	1.70E+01	1.70E+01
SP110779	1.09E+01	1.09E+01
SP107805	9.05E+00	9.05E+00
SP110789	1.62E+01	1.62E+01
SP71846	1.04E+01	1.04E+01
SP70122	1.30E+01	1.30E+01
SP71404	2.14E+01	2.14E+01
SP76955	1.66E+01	1.66E+01
SP107781	3.02E+00	3.02E+00
SP70202	1.08E+01	1.08E+01
SP70677	1.70E+00	1.70E+00
SP70082	2.75E+00	2.75E+00
SP70288	1.20E+01	1.20E+01
SP70266	6.06E+00	6.06E+00
SP107956	1.47E+01	1.47E+01
SP70956	5.14E+00	5.14E+00
SP108017	4.88E+00	4.88E+00
SP71536	5.88E+00	5.88E+00
SP70756	6.04E+00	6.04E+00
SP76675	1.42E+01	1.42E+01
SP71480	1.39E+01	1.39E+01
SP70313	4.44E+00	4.44E+00
SP73319	6.87E+00	6.87E+00
SP107813	1.08E+01	1.08E+01
SP77339	1.14E+01	1.14E+01
SP76017	4.90E+00	4.90E+00
SP76915	4.92E+00	4.92E+00
SP71974	2.31E+01	2.31E+01
SP70178	1.56E+01	1.56E+01
SP107920	8.64E+00	8.64E+00
SP110798	9.85E+00	9.85E+00
SP107952	1.05E+01	1.05E+01
SP70465	5.24E+00	5.24E+00
SP70780	1.32E+01	1.32E+01
SP110803	1.84E+00	1.84E+00
SP107915	8.56E+00	8.56E+00
SP71132	1.77E+01	1.77E+01
SP71552	1.14E+01	1.14E+01
SP69573	5.82E+00	5.82E+00
SP75681	1.12E+01	1.12E+01
SP107874	1.84E+01	1.84E+01
SP110816	5.86E+00	5.86E+00
SP77203	2.59E+01	2.59E+01
SP76515	1.05E+01	1.05E+01
SP110770	8.34E+00	8.34E+00
SP69812	4.21E+00	4.22E+00
SP76136	1.05E+01	1.05E+01
SP70106	6.87E+00	6.87E+00
SP108059	5.43E+00	5.43E+00
SP108020	8.43E+00	8.43E+00
SP76867	8.75E+00	8.75E+00
SP108088	8.18E+00	8.18E+00
SP71734	8.01E+00	8.01E+00
SP76001	3.65E+00	3.64E+00
SP108033	9.94E+00	9.94E+00
SP110822	1.06E+01	1.06E+01
SP69762	6.83E+00	6.83E+00
SP107945	1.10E+01	1.10E+01
SP107770	5.85E+00	5.85E+00
SP73263	1.10E+01	1.10E+01
SP77131	1.82E+01	1.82E+01
SP75322	2.59E+01	2.59E+01
SP70046	5.98E+00	5.98E+00
SP70932	1.13E+01	1.13E+01
SP71758	1.44E+00	1.44E+00
SP71228	1.39E+01	1.39E+01
SP76353	3.53E+00	3.53E+00
SP69587	5.95E+00	5.95E+00
SP69898	2.72E+01	2.72E+01
SP75977	5.58E+00	5.58E+00
SP70226	8.09E+00	8.09E+00
SP108068	7.64E+00	7.64E+00
SP107784	3.99E+01	3.99E+01
SP110824	8.10E+00	8.10E+00
SP76843	1.95E+01	1.95E+01
SP71456	9.44E+00	9.44E+00
SP108065	6.71E+00	6.71E+00
SP70860	8.62E+00	8.62E+00
SP71084	8.87E+00	8.87E+00
SP72262	4.70E+00	4.70E+00
SP69705	6.05E+00	6.05E+00
SP107786	1.52E+01	1.52E+01
SP71576	6.24E+00	6.24E+00
SP108123	5.19E+00	5.19E+00
SP74896	9.67E+00	9.67E+00
SP71950	1.42E+01	1.42E+01
SP108049	3.85E+00	3.85E+00
SP116965	2.65E+01	2.65E+01
SP77930	3.94E+00	3.93E+00
SP125807	2.20E+01	2.20E+01
SP125696	9.72E+00	9.72E+00
SP125725	1.08E+01	1.08E+01
SP125752	1.83E+01	1.83E+01
SP118048	1.92E+01	1.92E+01
SP117981	5.88E+00	5.88E+00
SP125749	4.18E+00	4.18E+00
SP125762	1.30E+01	1.30E+01
SP117164	6.53E+00	6.53E+00
SP117002	1.40E+01	1.40E+01
SP117158	2.48E+00	2.48E+00
SP125691	2.50E+01	2.50E+01
SP125721	1.09E+01	1.09E+01
SP125753	9.04E+00	9.04E+00
SP117972	8.53E+00	8.53E+00
SP125726	1.14E+01	1.15E+01
SP125800	1.33E+00	1.33E+00
SP117745	2.41E+01	2.41E+01
SP117351	5.44E+00	5.44E+00
SP117980	1.10E+01	1.10E+01
SP117878	9.56E+00	9.56E+00
SP125805	7.92E+00	7.92E+00
SP78013	1.66E+01	1.66E+01
SP118083	2.49E+00	2.49E+00
SP125772	6.02E+00	6.02E+00
SP117216	7.60E+00	7.60E+00
SP125784	5.15E+00	5.15E+00
SP117323	1.20E+01	1.20E+01
SP118046	1.82E+01	1.82E+01
SP77888	1.39E+00	1.39E+00
SP125766	9.47E+00	9.47E+00
SP125737	5.00E+00	5.00E+00
SP125763	2.88E+01	2.88E+01
SP125802	9.38E+00	9.38E+00
SP117656	4.14E+00	4.14E+00
SP77872	1.74E+00	1.74E+00
SP117309	2.06E+01	2.06E+01
SP117201	1.29E+01	1.29E+01
SP125685	7.57E+00	7.57E+00
SP117463	9.79E+00	9.79E+00
SP117568	1.32E+01	1.32E+01
SP125717	6.93E+00	6.93E+00
SP125707	3.03E-01	3.03E-01
SP125794	1.50E+01	1.50E+01
SP125756	1.22E+01	1.22E+01
SP117441	8.41E+00	8.41E+00
SP125780	1.57E+01	1.57E+01
SP125764	2.17E+01	2.17E+01
SP117690	7.11E+00	7.11E+00
SP125742	3.70E+00	3.70E+00
SP125804	1.66E+01	1.66E+01
SP125695	5.15E+00	5.15E+00
SP77986	9.81E-01	9.81E-01
SP125689	2.00E+01	2.00E+01
SP117523	9.82E+00	9.82E+00
SP125694	1.10E+01	1.10E+01
SP125745	9.10E+00	9.10E+00
SP117001	9.25E+00	9.25E+00
SP117949	1.20E+01	1.20E+01
SP117653	3.80E+00	3.80E+00
SP117522	1.02E+01	1.02E+01
SP125710	9.99E+00	9.99E+00
SP117214	1.33E+01	1.33E+01
SP125768	3.14E+01	3.14E+01
SP117722	8.02E+00	8.02E+00
SP125699	8.11E+00	8.10E+00
SP125771	2.35E+01	2.35E+01
SP125719	4.93E+00	4.93E+00
SP117648	3.08E+00	3.08E+00
SP125760	7.47E+00	7.47E+00
SP125770	2.88E+02	2.88E+02
SP77956	2.45E+02	2.45E+02
SP125785	5.98E+00	5.98E+00
SP125706	1.66E+01	1.66E+01
SP125705	7.95E+00	7.95E+00
SP125715	1.26E+00	1.26E+00
SP116962	4.32E+00	4.32E+00
SP117660	1.12E+01	1.12E+01
SP117643	2.48E+01	2.48E+01
SP125713	2.51E+01	2.51E+01
SP117760	7.14E+00	7.15E+00
SP116968	1.94E+01	1.94E+01
SP125775	7.80E+00	7.80E+00
SP125731	9.42E+00	9.42E+00
SP125733	8.90E+00	8.90E+00
SP78502	8.77E-01	8.77E-01
SP125791	1.13E+01	1.13E+01
SP125755	1.13E+01	1.13E+01
SP117340	6.79E+00	6.79E+00
SP125781	5.62E+00	5.62E+00
SP125783	5.07E+00	5.07E+00
SP116950	1.73E+01	1.73E+01
SP125712	1.16E+01	1.16E+01
SP125786	8.10E+00	8.10E+00
SP125693	2.64E+01	2.64E+01
SP116949	7.89E+00	7.89E+00
SP78533	1.82E+00	1.82E+00
SP117215	7.22E+00	7.22E+00
SP117040	1.31E+01	1.31E+01
SP117476	8.06E+00	8.06E+00
SP116985	7.77E+00	7.77E+00
SP125769	4.57E+00	4.57E+00
SP125778	3.76E+01	3.76E+01
SP117440	1.42E+01	1.42E+01
SP125730	4.50E+00	4.50E+00
SP125686	1.39E+01	1.39E+01
SP125758	6.34E+00	6.34E+00
SP77848	1.95E+00	1.95E+00
SP117974	1.36E+01	1.36E+01
SP117911	1.13E+01	1.13E+01
SP117165	5.64E+00	5.64E+00
