De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-ID83A, Signature ID2 (100.00%), 27.44,  8.87, 0.933, 1.00, 1.00
Signature 83-ID83B, Signature ID1 (87.56%) & Signature ID2 (12.44%), 34.93,  6.78, 0.528, 1.00, 1.00
Signature 83-ID83C, Signature ID1 (11.82%) & Signature ID3 (77.76%) & Signature ID13 (10.42%), 29.33,  19.91, 0.139, 0.98, 0.98
Signature 83-ID83D, Signature ID6 (26.12%) & Signature ID8 (73.88%), 24.01,  16.70, 0.074, 0.99, 0.98
Signature 83-ID83E, Signature ID4 (22.74%) & Signature ID6 (13.44%) & Signature ID9 (21.52%) & Signature ID10 (13.90%) & Signature ID11 (13.22%) & Signature ID14 (15.18%), 37.41,  35.27, 0.180, 0.94, 0.90
Signature 83-ID83F, Signature ID4 (13.30%) & Signature ID5 (27.28%) & Signature ID18 (49.58%) & Signature ID25 (9.84%), 24.47,  17.12, 0.083, 0.99, 0.98
Signature 83-ID83G, Signature ID1 (10.68%) & Signature ID8 (15.46%) & Signature ID19 (73.86%), 65.61,  33.83, 0.321, 0.94, 0.94
