Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
SP127630	288	313	469	0	0	10	19	43	18	14	34	0
SP127634	159	95	201	0	23	127	212	377	147	9	0	99
SP127636	628	329	0	45	101	13	32	26	51	13	0	0
SP127628	324	202	0	0	1	30	0	51	12	1	9	0
SP127640	457	440	0	67	16	101	27	29	20	7	0	0
SP127638	1272	234	0	0	27	36	29	0	13	7	38	0
SP127632	346	819	438	0	0	0	85	193	10	5	210	0
SP59388	214	96	0	0	0	0	0	0	24	0	35	0
SP116649	317	311	0	183	69	32	7	63	38	0	0	0
SP59416	212	157	0	13	60	0	9	0	38	1	0	0
SP124977	312	361	0	15	20	35	7	11	4	6	31	0
SP59356	144	97	33	0	13	49	7	11	15	2	24	10
SP116612	74	273	211	72	0	82	39	47	15	0	55	0
SP116659	448	91	0	31	144	20	4	107	22	2	0	0
SP116668	262	547	0	319	80	152	0	202	211	0	0	0
SP116630	604	817	0	0	0	50	42	0	3	0	0	0
SP59412	468	366	0	2	40	33	10	35	35	1	78	0
SP116686	91	92	18	0	12	68	45	41	0	0	3	0
SP116694	256	319	0	53	5	65	27	189	14	7	0	0
SP116712	28	33	0	24	12	9	7	2	1	0	1	0
SP116726	299	139	269	142	0	94	18	0	21	7	70	0
SP116723	0	83	0	39	0	42	11	61	13	0	0	0
SP59276	108	17	0	0	0	17	5	17	0	0	14	0
SP116703	37	73	0	2	63	0	6	40	5	0	0	0
SP59312	735	364	0	0	76	0	21	37	18	5	27	0
SP116701	326	212	0	40	73	63	35	13	17	5	43	0
SP59296	155	54	0	16	0	34	0	0	1	1	0	0
SP59280	256	120	0	37	0	64	0	0	5	0	0	0
SP59344	75	0	65	8	0	17	1	40	7	1	1	0
SP59460	445	141	0	62	93	0	5	32	29	0	13	0
SP59404	115	8	130	0	0	12	3	0	7	0	0	0
SP116709	115	37	143	10	60	0	21	0	20	5	28	0
SP59448	1538	1327	0	240	16	57	26	118	17	0	19	0
SP116614	688	304	0	64	84	5	10	78	41	0	11	0
SP59464	78	105	0	0	51	8	3	11	22	2	6	0
SP59364	236	88	0	0	16	197	9	1	50	0	0	0
SP116663	1015	687	0	0	0	19	42	40	15	15	67	0
SP59444	10	61	0	75	21	37	11	0	1	0	61	0
SP116690	762	596	0	0	0	0	48	259	54	6	98	0
SP59270	45	45	0	26	0	0	1	34	1	0	13	0
SP59352	298	76	23	0	52	30	15	49	41	0	28	32
SP116652	0	64	38	50	0	15	5	0	1	0	0	12
SP116715	1392	1492	139	0	69	149	36	0	18	23	59	65
SP116718	183	186	0	23	123	0	28	8	25	4	4	0
SP116720	64	58	12	3	4	70	0	28	4	0	7	0
SP59284	202	129	105	12	4	0	3	0	0	1	4	0
SP116618	0	33	189	0	11	57	38	41	11	0	1	0
SP59436	0	5	8	0	29	0	1	0	3	0	0	15
SP116645	872	179	0	33	152	15	3	0	26	1	33	0
SP59320	57	40	100	0	108	0	0	0	23	0	0	0
SP116672	31	34	0	0	0	39	5	0	4	0	10	0
SP116635	186	71	0	0	25	52	11	23	14	0	20	0
SP59328	62	44	80	43	0	37	4	0	2	2	0	0
SP116627	0	25	150	0	30	6	9	0	10	0	23	14
SP116725	60	47	0	23	0	16	0	0	10	0	0	0
SP59292	106	69	0	0	66	0	3	0	26	0	10	0
SP116683	110	26	268	57	103	19	40	0	20	4	20	0
SP59372	2	30	0	10	0	11	41	0	15	5	30	0
SP116610	381	216	0	72	87	47	185	60	60	10	0	0
SP116638	177	42	0	0	17	59	11	0	19	0	0	0
SP59336	58	55	52	0	0	15	0	0	0	3	1	15
SP124971	772	493	0	38	131	35	25	0	35	2	1	0
SP116665	0	35	52	2	10	33	3	0	8	0	0	0
SP116674	278	146	0	71	13	46	16	30	36	0	31	0
SP116657	1019	505	0	0	0	151	53	126	44	0	83	0
SP116670	126	699	92	53	41	0	39	0	37	8	109	0
SP116642	424	392	0	40	1	152	120	36	42	12	0	0
SP116606	32	89	21	7	61	0	183	25	12	0	0	0
SP116604	0	47	122	29	64	6	4	32	49	0	13	0
SP59376	8	1	96	0	0	7	13	0	0	2	18	0
SP59272	126	48	0	51	0	7	5	40	0	2	0	0
SP124969	238	425	429	153	3	13	60	220	46	7	62	89
SP116608	0	50	0	24	26	22	3	0	6	0	0	0
SP59396	93	54	59	12	2	4	3	13	2	4	0	0
SP116688	74	0	166	12	16	26	12	0	0	0	6	0
SP59392	159	30	0	0	0	0	0	18	0	0	6	0
SP59456	301	157	0	0	48	56	22	0	31	1	28	0
SP59348	70	120	0	59	32	47	15	10	14	0	22	0
SP59300	89	157	144	0	0	59	291	0	9	2	28	0
SP59340	86	95	0	38	21	28	0	89	8	0	0	0
SP59380	43	16	0	0	30	19	8	0	14	0	0	0
SP59440	109	269	233	0	2	7	97	0	19	10	12	0
SP59428	40	13	0	15	49	2	11	0	12	2	0	31
SP59400	246	679	0	64	44	0	146	0	26	9	207	0
SP116624	190	195	0	48	19	42	13	7	9	0	0	46
SP59432	41	10	89	0	112	0	8	0	20	0	2	0
SP59452	322	580	0	96	0	0	21	244	27	13	83	0
SP116679	10	27	0	2	0	30	8	24	0	0	2	0
SP116676	365	1028	0	0	0	133	56	93	51	6	140	0
SP59360	377	430	0	1	14	0	0	0	14	0	0	0
SP59384	314	120	28	0	4	37	0	0	0	0	0	0
SP59332	57	67	0	38	0	43	2	0	0	0	11	0
SP116616	234	263	0	74	63	33	3	34	50	1	0	0
SP124981	202	169	0	0	35	57	0	0	12	0	0	0
SP59368	278	380	425	0	69	128	59	0	45	18	31	0
SP116648	653	782	0	507	0	196	19	63	3	0	25	0
SP59420	62	28	19	0	66	0	6	32	13	2	6	0
SP116706	272	147	0	21	18	194	0	0	47	0	0	0
SP116654	170	78	59	0	133	0	1	0	7	3	0	0
SP59308	137	101	7	20	40	13	3	22	12	0	0	0
SP59288	147	465	0	67	0	0	8	69	11	6	0	74
SP116622	22	45	76	0	44	0	15	0	8	2	0	0
SP59316	117	88	0	0	42	0	2	39	27	0	2	0
SP59324	32	6	107	0	55	34	14	0	0	4	7	0
SP116697	1948	4911	0	797	178	14	1136	159	15	16	210	0
SP59304	1664	779	0	0	153	25	526	15	64	26	158	0
SP116620	725	916	0	0	122	178	0	0	68	0	0	0
SP13289	0	7	0	16	11	12	1	0	8	3	8	0
SP116742	5	0	0	7	13	4	6	0	5	0	9	0
SP115134	0	1	0	7	0	0	2	11	14	3	6	0
SP96884	14	0	4	0	15	0	5	0	20	3	8	0
SP13385	0	2	0	20	0	0	0	0	2	0	162	0
SP13291	27	10	0	0	64	17	2	0	0	4	10	0
SP13514	21	16	55	8	23	0	6	0	0	5	0	36
SP115117	15	15	13	0	2	3	3	0	6	5	0	0
SP115114	88	46	31	0	8	25	8	0	8	0	0	0
SP13279	12	0	27	0	28	22	5	0	1	2	0	0
SP13487	9	7	0	18	16	13	2	0	12	0	9	0
SP13361	30	23	57	0	2	34	13	0	5	0	14	0
SP13421	57	72	0	0	0	32	7	0	3	5	0	0
SP116738	0	2	22	0	15	36	3	0	9	2	13	0
SP13293	0	2	0	8	42	13	0	25	12	0	1	0
SP13281	35	27	0	2	14	0	3	0	0	2	10	0
SP13677	0	4	0	0	20	0	12	37	7	2	10	0
SP13399	0	12	0	16	8	51	0	0	11	0	10	0
SP116732	8	40	0	32	0	23	23	0	10	1	0	1
SP115073	24	0	0	3	29	0	5	0	3	3	0	0
SP13307	29	0	1	0	11	61	1	0	10	6	15	0
SP13299	11	0	43	17	17	30	9	0	18	2	40	30
SP13481	0	0	19	1	43	0	18	0	0	0	0	0
SP116780	10	0	12	0	9	60	7	0	19	0	0	0
SP13433	0	26	0	11	13	10	5	0	12	0	42	0
