Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,1.0,1.0,NO,N/A,79200.0%,43.58%,195.8%,30.43%,171.84,0.2836,3.8659,0.079,0.961,0.912,-0.027
3,1.0,1.0,NO,N/A,46400.0%,31.33%,195.2%,19.3%,133.9,0.2425,3.8079,0.052,0.961,0.941,-0.027
4,1.0,0.99,NO,N/A,24100.0%,26.2%,189.8%,14.75%,116.76,1.6194,1000.0,0.036,0.879,0.958,0.013
5,0.96,0.82,YES,3.65e-05,22600.0%,21.87%,189.6%,11.71%,117.61,0.1731,3.525,0.031,0.877,0.964,0.019
6,0.85,0.5,NO,N/A,21600.0%,23.1%,191.9%,11.88%,108.78,0.1694,3.2022,0.03,0.823,0.965,0.079
7*,0.86,0.59,YES,4.02e-01,19100.0%,20.09%,188.8%,10.36%,96.9,0.1557,2.8795,0.027,0.75,0.968,0.223
8,0.86,0.47,YES,Most Stab Sigs,17700.0%,19.42%,188.4%,9.87%,96.7,0.1451,2.8466,0.024,0.746,0.972,0.231
9,0.72,-0.46,NO,N/A,18900.0%,18.95%,188.2%,9.66%,96.6,0.1394,2.8289,0.022,0.74,0.974,0.238
10,0.67,-0.59,NO,N/A,20500.0%,18.69%,187.9%,9.5%,96.6,0.1374,2.8012,0.021,0.742,0.975,0.236
11,0.66,-0.76,NO,N/A,13700.0%,17.64%,187.9%,8.68%,96.9,0.1281,2.8051,0.019,0.754,0.978,0.221
12,0.75,-0.31,NO,N/A,12100.0%,17.04%,187.5%,8.35%,97.2,0.1253,2.7686,0.019,0.762,0.978,0.213
13,0.71,-0.49,NO,N/A,11500.0%,16.77%,186.1%,8.28%,96.9,0.1237,2.668,0.018,0.75,0.979,0.227
14,0.67,-0.5,NO,N/A,16600.0%,16.49%,189.7%,7.96%,96.7,0.1218,2.9649,0.018,0.733,0.98,0.25
15,0.62,-0.44,NO,N/A,17400.0%,16.2%,189.2%,7.89%,96.7,0.1206,2.921,0.017,0.74,0.98,0.239
16,0.55,-0.57,NO,N/A,18600.0%,15.56%,179.8%,7.58%,91.8,0.1166,2.2918,0.016,0.535,0.981,0.433
17,0.54,-0.57,NO,N/A,15700.0%,15.38%,176.0%,7.39%,90.2,0.1139,2.2168,0.016,0.535,0.982,0.433
18,0.5,-0.5,NO,N/A,12300.0%,15.21%,174.1%,7.31%,89.4,0.1125,2.5257,0.015,0.534,0.982,0.435
19,0.48,-0.55,NO,N/A,9000.0%,14.78%,172.3%,7.11%,89.32,0.1095,2.5427,0.014,0.535,0.984,0.434
20,0.47,-0.5,NO,N/A,9900.0%,14.43%,171.6%,7.06%,89.49,0.1064,2.5269,0.014,0.534,0.984,0.436
