MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	8.82E-04	4.22E-04	4.32E-05	1.58E-03	1.51E-03	2.87E-03	7.10E-04	7.62E-04
1:Del:C:1	1.43E-03	3.84E-04	4.95E-05	1.28E-03	1.85E-03	2.33E-03	4.77E-04	7.26E-04
1:Del:C:2	1.02E-03	1.42E-04	3.92E-05	8.20E-04	1.28E-03	1.59E-03	3.11E-04	5.86E-04
1:Del:C:3	4.92E-04	1.22E-04	5.63E-05	4.29E-04	6.40E-04	8.36E-04	1.71E-04	3.95E-04
1:Del:C:4	4.10E-04	4.56E-05	8.46E-05	2.63E-04	5.16E-04	4.03E-04	2.26E-04	4.22E-04
1:Del:C:5	2.50E-04	4.68E-05	1.23E-04	5.35E-05	2.37E-04	5.27E-04	1.05E-04	3.11E-04
1:Del:T:0	7.12E-04	3.69E-04	4.27E-05	1.40E-03	1.06E-03	3.18E-03	6.81E-04	9.02E-04
1:Del:T:1	6.53E-04	2.42E-04	3.58E-05	1.28E-03	1.03E-03	2.72E-03	5.58E-04	6.32E-04
1:Del:T:2	5.95E-04	2.34E-04	4.79E-05	1.23E-03	8.63E-04	2.60E-03	6.97E-04	5.60E-04
1:Del:T:3	5.89E-04	3.50E-04	8.65E-05	1.08E-03	9.02E-04	2.35E-03	5.65E-04	6.52E-04
1:Del:T:4	4.11E-04	3.01E-04	1.50E-04	8.66E-04	6.01E-04	1.38E-03	4.63E-04	1.93E-04
1:Del:T:5	4.53E-04	6.40E-04	4.65E-04	6.90E-04	7.89E-04	1.72E-03	6.32E-04	1.28E-03
1:Ins:C:0	3.19E-04	2.46E-04	2.66E-05	2.41E-04	3.30E-04	2.08E-03	2.42E-04	1.06E-03
1:Ins:C:1	1.34E-04	1.00E-04	1.52E-05	2.50E-04	2.46E-04	5.12E-04	5.40E-05	3.26E-04
1:Ins:C:2	1.04E-04	5.84E-05	1.50E-05	1.71E-04	2.51E-04	4.34E-04	1.31E-04	2.51E-04
1:Ins:C:3	9.58E-05	5.83E-05	3.15E-05	1.61E-04	1.81E-04	2.65E-04	1.31E-04	1.82E-04
1:Ins:C:4	9.77E-05	6.40E-05	4.83E-05	8.18E-05	7.42E-05	2.60E-04	1.30E-04	1.41E-04
1:Ins:C:5	3.06E-04	2.92E-04	7.96E-05	1.27E-04	1.09E-04	1.88E-03	1.74E-04	8.93E-04
1:Ins:T:0	3.30E-04	1.90E-04	2.20E-05	2.28E-04	4.55E-04	1.77E-03	1.77E-04	9.80E-04
1:Ins:T:1	5.03E-04	4.01E-04	3.56E-05	5.34E-04	2.94E-03	1.44E-03	3.98E-04	9.06E-04
1:Ins:T:2	3.94E-04	1.97E-04	6.88E-05	3.97E-04	1.15E-03	6.65E-04	7.61E-05	4.89E-04
1:Ins:T:3	2.64E-04	1.84E-04	5.46E-05	3.17E-04	7.59E-04	4.64E-04	2.03E-04	4.06E-04
1:Ins:T:4	2.42E-04	1.53E-04	4.61E-05	2.15E-04	4.30E-04	5.82E-04	2.33E-04	2.59E-04
1:Ins:T:5	5.11E-03	2.38E-03	4.39E-04	1.07E-03	5.88E-03	1.31E-02	4.21E-03	3.01E-03
2:Del:R:0	2.73E-04	1.60E-04	1.63E-05	6.01E-04	4.20E-04	9.79E-04	2.73E-04	4.58E-04
2:Del:R:1	3.12E-04	2.73E-04	4.54E-05	9.61E-04	4.91E-04	1.98E-03	6.61E-04	6.21E-04
2:Del:R:2	1.68E-04	9.49E-05	3.08E-05	2.39E-04	3.14E-04	4.87E-04	1.81E-04	2.45E-04
2:Del:R:3	8.49E-05	4.82E-05	3.77E-05	9.37E-05	1.45E-04	2.16E-04	8.64E-05	1.84E-04
2:Del:R:4	5.25E-05	1.63E-05	2.88E-05	5.41E-05	4.94E-05	2.04E-04	2.88E-05	1.87E-04
2:Del:R:5	3.92E-05	1.74E-05	3.75E-05	2.81E-05	7.60E-05	4.71E-05	3.39E-06	2.45E-04
3:Del:R:0	1.17E-04	5.04E-05	9.54E-06	3.01E-04	2.52E-04	4.83E-04	2.39E-04	3.01E-04
3:Del:R:1	2.20E-04	3.76E-04	3.59E-05	5.36E-04	3.43E-04	1.97E-03	5.37E-04	4.36E-04
3:Del:R:2	9.82E-05	1.22E-04	2.16E-05	9.89E-05	1.45E-04	5.58E-04	1.65E-04	1.79E-04
3:Del:R:3	4.46E-05	5.67E-05	1.04E-05	3.87E-05	2.04E-05	2.18E-04	3.59E-05	9.95E-05
3:Del:R:4	2.04E-05	1.17E-05	1.14E-05	2.88E-06	3.24E-05	8.53E-05	5.95E-05	7.42E-05
3:Del:R:5	1.10E-05	1.15E-05	1.14E-05	4.00E-06	2.40E-05	3.25E-05	6.51E-06	5.48E-05
4:Del:R:0	1.18E-04	6.65E-05	4.81E-06	2.43E-04	2.05E-04	4.26E-04	2.02E-04	2.59E-04
4:Del:R:1	2.14E-04	2.11E-04	2.58E-05	4.48E-04	3.99E-04	1.26E-03	3.38E-04	4.34E-04
4:Del:R:2	7.83E-05	7.90E-05	1.53E-05	1.08E-04	1.04E-04	4.77E-04	6.18E-05	2.38E-04
4:Del:R:3	3.82E-05	1.95E-05	1.02E-05	4.41E-05	2.83E-05	1.68E-04	6.18E-05	1.55E-04
4:Del:R:4	3.16E-05	2.67E-05	3.77E-06	1.94E-05	5.38E-05	8.47E-05	1.40E-05	2.76E-05
4:Del:R:5	7.39E-06	6.66E-06	4.16E-06	5.86E-06	2.14E-05	6.78E-05	2.74E-05	6.22E-05
5:Del:R:0	7.74E-04	1.16E-04	2.41E-05	4.24E-03	1.50E-03	1.26E-03	3.44E-03	1.76E-03
5:Del:R:1	6.31E-05	1.17E-04	1.48E-05	1.59E-04	1.76E-04	7.61E-04	2.89E-04	3.42E-04
5:Del:R:2	4.66E-05	2.83E-05	7.49E-06	3.07E-05	8.08E-06	1.86E-04	7.75E-05	1.04E-04
5:Del:R:3	1.17E-06	1.83E-05	2.65E-06	6.63E-06	2.63E-09	3.59E-05	1.22E-05	5.27E-05
