MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	2.74E-05	2.03E-04	1.85E-04	7.58E-04	1.15E-03	2.09E-04
1:Del:C:1	1.39E-05	1.39E-04	2.80E-04	4.08E-04	4.28E-04	1.09E-04
1:Del:C:2	2.45E-05	9.13E-05	2.32E-04	1.47E-04	1.55E-04	5.65E-05
1:Del:C:3	2.31E-05	6.48E-05	1.11E-04	1.21E-04	1.36E-04	3.73E-05
1:Del:C:4	3.45E-05	2.23E-07	7.59E-05	2.98E-05	5.01E-05	7.74E-06
1:Del:C:5	6.58E-05	4.82E-05	6.62E-05	5.84E-05	1.25E-04	1.10E-04
1:Del:T:0	1.56E-05	1.37E-04	1.08E-04	6.73E-04	1.20E-03	1.56E-04
1:Del:T:1	1.74E-05	1.53E-04	9.26E-05	5.72E-04	7.53E-04	1.19E-04
1:Del:T:2	1.59E-05	1.29E-04	8.46E-05	6.92E-04	9.41E-04	1.14E-04
1:Del:T:3	3.92E-05	2.32E-04	8.35E-05	5.94E-04	1.11E-03	1.50E-04
1:Del:T:4	6.79E-05	1.29E-04	6.98E-05	3.93E-04	5.47E-04	1.74E-04
1:Del:T:5	5.70E-04	8.72E-04	5.49E-04	3.99E-05	3.53E-03	1.39E-03
1:Ins:C:0	2.68E-05	2.47E-03	3.16E-04	1.69E-04	1.16E-02	9.42E-05
1:Ins:C:1	3.05E-06	1.04E-04	3.70E-05	1.36E-04	3.73E-04	7.87E-05
1:Ins:C:2	4.41E-06	2.93E-05	3.08E-05	1.11E-04	2.82E-04	9.13E-05
1:Ins:C:3	7.69E-06	3.37E-05	3.36E-05	2.34E-04	5.68E-04	2.03E-04
1:Ins:C:4	1.49E-05	4.00E-05	3.55E-05	1.03E-04	1.83E-04	5.88E-05
1:Ins:C:5	4.82E-05	1.91E-04	4.22E-05	2.27E-04	2.98E-04	1.20E-04
1:Ins:T:0	1.44E-05	2.05E-04	5.50E-05	1.89E-04	9.50E-04	9.36E-05
1:Ins:T:1	2.16E-06	1.05E-04	1.02E-04	4.75E-04	9.18E-04	3.34E-04
1:Ins:T:2	1.99E-05	8.10E-05	1.15E-04	4.89E-04	8.48E-04	3.51E-04
1:Ins:T:3	1.70E-05	7.51E-05	6.89E-05	1.06E-04	1.37E-04	5.60E-05
1:Ins:T:4	1.83E-05	6.37E-05	4.30E-05	7.58E-05	1.86E-04	6.17E-05
1:Ins:T:5	4.84E-04	2.44E-03	4.01E-04	1.97E-03	1.19E-02	2.07E-03
2:Del:R:0	3.28E-05	1.57E-04	6.74E-05	2.88E-04	5.25E-04	3.79E-04
2:Del:R:1	7.09E-05	1.62E-04	1.32E-04	9.94E-05	2.36E-04	9.14E-04
2:Del:R:2	2.09E-05	5.31E-05	5.42E-05	8.55E-05	8.58E-05	2.97E-04
2:Del:R:3	2.36E-05	0.00E+00	3.88E-05	9.26E-05	4.91E-05	1.40E-04
2:Del:R:4	1.97E-05	2.06E-05	2.78E-05	7.53E-05	1.67E-05	7.80E-05
2:Del:R:5	4.09E-05	2.21E-05	3.79E-05	2.35E-04	2.11E-05	1.12E-04
3:Del:R:0	8.63E-06	4.41E-05	2.14E-05	3.45E-04	7.83E-04	1.46E-04
3:Del:R:1	3.13E-05	1.47E-04	3.40E-05	1.07E-04	4.63E-04	2.45E-04
3:Del:R:2	1.78E-05	4.40E-05	1.16E-05	7.68E-05	7.93E-05	9.41E-05
3:Del:R:3	9.11E-06	2.32E-05	5.84E-06	2.50E-05	1.91E-05	3.56E-05
3:Del:R:4	4.97E-06	1.93E-05	3.98E-06	2.35E-05	3.41E-05	2.71E-05
3:Del:R:5	5.73E-06	2.05E-05	3.36E-06	1.60E-05	3.06E-05	2.49E-05
4:Del:R:0	4.91E-06	4.20E-05	2.04E-05	3.32E-04	7.64E-04	1.23E-04
4:Del:R:1	2.57E-05	1.17E-04	3.94E-05	2.47E-04	1.40E-04	2.99E-04
4:Del:R:2	1.26E-05	6.43E-05	1.45E-05	1.60E-04	2.31E-05	1.50E-04
4:Del:R:3	8.79E-06	2.78E-05	6.88E-06	8.47E-05	2.22E-05	7.96E-05
4:Del:R:4	4.84E-06	1.53E-05	5.32E-06	2.40E-05	1.64E-05	6.50E-05
4:Del:R:5	6.41E-06	1.64E-05	8.98E-08	2.63E-05	8.28E-06	3.38E-05
5:Del:R:0	6.97E-06	1.83E-04	1.08E-04	5.00E-04	3.72E-03	3.63E-04
5:Del:R:1	1.01E-05	6.60E-05	2.58E-05	1.60E-04	1.26E-04	1.44E-04
5:Del:R:2	5.30E-06	2.31E-05	9.10E-06	4.61E-05	4.71E-05	6.62E-05
5:Del:R:3	2.79E-06	1.58E-05	5.49E-06	2.67E-05	5.12E-06	2.79E-05
