Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
CPCT02070034T	4.84E+00	4.25E+00	5.04E+00	7.22E+00	5.08E+00	1.62E+00	1.83E+00	2.84E+00
CPCT02030363T	3.15E+00	2.90E+00	2.38E+00	2.97E+00	1.68E+00	1.12E+00	1.65E+00	1.21E+00
CPCT02230039T	1.46E+01	1.45E+01	2.23E+01	1.99E+01	7.70E+00	8.75E+00	5.22E+00	3.80E+00
CPCT02080130T	6.66E+00	7.99E+00	7.41E+00	9.12E+00	9.00E+00	2.31E+00	3.42E+00	2.71E+00
CPCT02340019T	7.00E+00	5.60E+00	4.60E+00	9.96E+00	5.65E+00	2.60E+00	1.62E+00	2.13E+00
CPCT02050233T	5.08E+00	2.36E+00	5.39E+00	6.27E+00	5.73E+00	2.91E+00	1.94E+00	3.97E+00
CPCT02100044T	6.81E+00	6.43E+00	3.91E+00	7.09E+00	3.15E+00	2.01E+00	1.54E+00	2.30E+00
CPCT02050100T	4.84E+00	3.64E+00	4.41E+00	6.88E+00	3.97E+00	1.91E+00	1.26E+00	1.48E+00
CPCT02030243T	1.90E-01	3.58E+00	8.10E+00	8.61E+00	2.54E+00	1.02E+00	2.85E+00	4.01E+00
CPCT02050041T	1.26E+01	9.92E+00	9.14E+00	2.26E+01	1.09E+01	4.18E+00	9.67E+00	4.24E+00
CPCT02030310T	5.11E+00	3.87E+00	5.00E+00	6.10E+00	3.77E+00	2.32E+00	3.00E+00	2.94E+00
CPCT02220007T	3.05E+00	3.97E+00	3.47E+00	5.04E+00	2.28E+00	2.38E+00	1.59E+00	2.26E+00
CPCT02030307T	7.19E+00	6.63E+00	6.37E+00	1.21E+01	4.27E+00	2.71E+00	3.15E+00	2.15E+00
CPCT02030304T	3.25E+00	4.35E+00	3.13E+00	6.80E+00	3.58E+00	1.24E+00	2.07E+00	1.89E+00
CPCT02110018T	4.14E+00	4.12E+00	3.28E+00	6.62E+00	3.39E+00	2.58E+00	1.21E+00	1.76E+00
CPCT02100061T	3.73E+00	3.37E+00	3.40E+00	4.66E+00	4.34E+00	3.93E+00	1.59E+00	1.91E+00
CPCT02070120T	6.38E+00	5.46E+00	4.48E+00	1.12E+01	6.10E+00	1.54E+00	1.40E+00	1.97E+00
CPCT02120011T	6.92E+00	5.86E+00	5.68E+00	9.97E+00	6.29E+00	4.16E+00	2.16E+00	2.94E+00
CPCT02120012T	1.20E+01	1.28E+01	7.80E+00	2.79E+01	8.96E+00	2.02E+00	2.04E+00	2.43E+00
CPCT02050147T	9.70E+00	8.46E+00	6.58E+00	1.90E+01	8.25E+00	3.04E+00	2.48E+00	2.47E+00
CPCT02030335T	9.01E+00	8.77E+00	8.71E+00	1.13E+01	5.28E+00	3.66E+00	2.39E+00	6.22E+00
CPCT02040108T	5.62E+00	5.87E+00	6.71E+00	7.50E+00	4.59E+00	1.83E+00	2.16E+00	3.79E+00
CPCT02400002T	4.27E+00	3.55E+00	4.22E+00	6.02E+00	5.63E+00	1.98E+00	1.59E+00	2.38E+00
CPCT02340041T	1.16E+01	8.88E+00	8.65E+00	1.95E+01	1.04E+01	5.07E+00	3.06E+00	3.63E+00
CPCT02380030T	3.09E+00	3.09E+00	3.18E+00	4.85E+00	3.13E+00	1.40E+00	1.71E+00	1.91E+00
CPCT02040196T	1.16E+01	8.57E+00	7.52E+00	1.99E+01	1.10E+01	3.05E+00	2.85E+00	1.99E+00
CPCT02230068T	4.50E+00	4.04E+00	3.19E+00	6.04E+00	3.64E+00	2.60E+00	1.22E+00	1.94E+00
CPCT02100127T	7.07E+00	5.14E+00	5.22E+00	1.04E+01	5.90E+00	2.74E+00	2.19E+00	2.64E+00
CPCT02100133T	0.00E+00	1.21E+01	4.11E+00	8.91E+00	9.11E+00	8.69E-01	1.66E+00	1.88E+00
CPCT02090026T	5.66E+00	4.64E+00	6.82E+00	6.19E+00	4.43E+00	2.72E+00	1.83E+00	1.90E+00
CPCT02050287T	4.77E+00	3.97E+00	4.08E+00	6.54E+00	4.55E+00	2.06E+00	3.81E+00	2.36E+00
CPCT02050292T	6.04E+00	7.12E+00	5.17E+00	1.05E+01	9.17E+00	3.72E+00	1.96E+00	2.48E+00
DRUP01050016T	6.00E+00	9.28E-01	6.76E+00	6.95E+00	6.50E+00	3.31E+00	2.52E+00	4.47E+00
CPCT02250004T	8.63E+00	8.47E+00	6.87E+00	1.56E+01	6.32E+00	4.09E+00	1.60E+00	2.27E+00
WIDE01010644T	2.72E+00	2.60E+00	2.61E+00	4.77E+00	2.88E+00	1.44E+00	1.12E+00	1.84E+00
WIDE01010539T	1.46E+01	1.45E+01	8.43E+00	3.23E+01	1.02E+01	4.15E+00	2.01E+00	2.32E+00
WIDE01010590T	1.26E+01	1.30E+01	9.43E+00	2.89E+01	1.19E+01	8.12E+00	3.18E+00	2.84E+00
WIDE01010691T	4.40E+00	3.62E+00	3.86E+00	6.95E+00	4.05E+00	1.88E+00	1.11E+00	2.11E+00
WIDE01010704T	4.33E+00	4.44E+00	3.00E+00	3.93E+00	2.33E+00	2.14E+00	2.51E+00	2.19E+00
WIDE01010725T	1.87E+01	5.16E+00	9.22E+00	9.98E+00	5.39E+00	4.09E+00	2.13E+01	6.02E+00
