Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
SP109953	46	185	8	10	27	11	0	2	3	6	2	9	7	15	7	0	17	10	13	16
SP107650	42	139	4	0	27	15	0	0	13	16	9	4	7	7	5	0	24	15	2	22
SP13206	128	74	20	1	0	17	0	0	6	12	2	12	22	0	6	0	17	27	8	6
SP13078	60	126	18	19	18	33	0	0	30	15	6	12	11	3	5	0	23	21	7	13
SP107607	33	42	5	1	87	5	23	0	31	10	0	29	13	0	5	0	0	13	7	11
SP109941	32	29	2	2	72	12	9	2	1	11	0	10	11	10	6	0	0	0	1	0
SP109801	129	106	23	0	0	4	10	1	1	23	7	14	18	0	5	0	28	4	11	11
SP13072	13	72	11	2	0	32	4	1	18	11	9	14	15	13	0	0	13	23	15	45
SP107595	106	212	5	3	0	45	0	5	9	19	0	154	18	0	5	0	49	31	10	41
SP107640	45	130	15	0	12	16	0	0	28	2	2	1	7	5	2	0	9	12	2	13
SP13084	48	179	2	3	0	34	16	0	13	19	7	19	4	11	4	0	14	20	0	24
SP107603	23	67	4	0	37	22	10	0	24	10	13	6	17	0	4	0	12	3	10	16
SP109957	35	116	5	12	0	30	18	9	49	21	15	5	10	0	4	0	16	12	44	145
SP114020	106	195	0	6	6	30	5	9	21	20	19	17	31	12	4	0	0	21	23	127
SP96540	39	70	0	11	0	0	23	0	7	2	0	0	12	23	0	0	25	0	3	13
SP114032	19	126	7	23	0	22	24	3	8	5	0	0	8	0	2	0	16	27	10	9
SP107624	15	52	5	0	0	17	0	2	8	11	1	14	22	0	0	0	0	16	0	2
SP107575	67	64	0	9	0	33	0	0	17	18	13	7	12	21	0	0	13	30	10	0
SP13242	35	65	4	16	36	5	0	2	13	24	7	10	6	11	1	0	0	19	3	13
SP114016	17	117	0	1	44	25	12	0	28	8	9	8	10	0	1	0	0	16	11	5
CPCT02070011T	23	171	26	82	508	60	0	39	30	918	122	137	0	39	9	62	0	202	27	29
CPCT02020317T	9	35	20	9	0	18	30	40	20	21	15	2	7	0	6	20	0	53	0	2
CPCT02010352T	0	8	6	6	0	12	19	23	6	5	1	0	3	0	4	3	0	1	6	5
CPCT02010362T	8	6	12	9	0	7	7	11	8	0	7	10	7	1	4	22	0	12	1	10
CPCT02010366T	1	0	0	0	1	6	9	10	4	2	0	2	0	0	4	9	0	0	1	2
CPCT02010383T	5	1	15	2	0	0	0	54	8	16	1	0	3	16	2	11	0	5	0	8
CPCT02050049T	7	12	5	2	25	12	30	33	28	0	1	12	24	9	4	0	10	0	8	0
CPCT02020350T	3	32	22	9	0	37	0	27	16	7	2	21	17	20	2	1	7	6	5	48
CPCT02060023T	36	173	15	0	95	169	108	15	14	27	9	70	49	9	11	12	0	23	22	50
CPCT02080030T	54	160	1362	0	0	109	552	197	145	4	186	29	21	0	38	0	0	0	0	16
CPCT02060010T	174	26	101	37	109	59	64	22	57	38	60	61	5	95	17	36	0	26	27	21
CPCT02040037T	161	363	2	22	103	9	0	105	10	3	44	12	98	90	1053	19	0	0	3	69
CPCT02070018T	28	81	26	0	66	193	0	32	31	30	8	55	32	25	8	0	64	5	15	38
CPCT02080041T	10	34	60	0	0	322	33	40	59	40	29	65	50	151	4	0	0	5	9	0
CPCT02070029T	355	61	17	1	0	32	0	16	42	86	26	47	47	8	17	9	72	111	8	0
CPCT02060033T	84	44	32	0	103	22	0	58	28	54	25	37	18	38	23	60	34	23	34	33
CPCT02020399T	651	130	50	28	569	5	0	59	154	17	11	39	212	53	42	15	9	7	22	0
CPCT02140024T	3473	370	40	879	992	70	0	55	0	60	10	10	34	0	14	0	0	93	0	0
CPCT02080050T	19	0	37	4	50	58	0	58	16	13	13	0	32	47	0	7	12	0	6	10
CPCT02030293T	29	0	9	9	144	16	22	40	34	27	15	8	16	3	8	0	13	0	8	18
CPCT02010441T	61958	1956	0	8951	811	0	544	0	22	34	0	0	1214	0	34	0	1395	0	0	0
CPCT02090030T	274	166	1	9	159	9	81	72	9	31	0	28	0	30	7	11	0	4	3	27
CPCT02010718T	70	282	0	12	60	44	29	82	11	19	10	2	4	18	15	36	5	13	5	0
CPCT02020653T	19	73	22	4	23	98	41	91	11	8	7	15	3	40	6	14	3	0	1	20
CPCT02340008TII	25	43	0	5	83	8	44	108	7	5	4	6	9	5	11	25	0	0	4	1
CPCT02020876T	13	4	17	14	24	20	0	11	9	7	30	27	9	42	8	8	0	3	0	13
CPCT02370016T	36	79	20	13	0	15	58	79	58	8	0	61	32	74	9	3	11	11	10	8
CPCT02070275T	25	166	0	27	208	30	0	77	23	4	12	11	9	10	6	32	2	0	8	0
CPCT02011028T	295	89	12	41	106	123	34	18	47	29	21	47	26	85	16	18	12	13	22	20
CPCT02230072T	20459	4831	279	6564	0	834	0	102	1030	228	808	0	0	590	319	791	2431	0	0	0
CPCT02130028T	134	200	1	13	43	14	0	90	30	19	11	9	1	21	10	56	0	10	1	0
CPCT02060182T	10	10	10	0	0	0	12	38	13	4	10	10	11	6	4	19	11	6	0	2
CPCT02020657T	0	24	6	2	34	32	7	81	19	12	6	0	6	27	7	0	0	7	9	7
DRUP01090026T	10	26	12	0	32	19	28	15	18	14	12	17	26	20	2	19	0	25	8	11
CPCT02130029T	1	0	16	0	4	5	0	41	8	0	1	4	17	0	3	24	2	14	0	10
CPCT02340010TII	205	92	0	29	18	6	44	156	4	1789	9	94	20	8	13	27	0	255	7	0
DRUP01020022T	7	24	16	3	0	55	16	11	11	7	19	1	19	0	4	48	0	14	7	3
CPCT02120103T	25	199	4	12	75	6	0	64	12	16	17	60	22	30	6	2	0	41	7	24
CPCT02300030T	53	180	14	31	111	35	8	75	15	4	16	18	19	46	6	0	0	0	6	4
CPCT02150044T	12	52	6	6	0	25	29	7	12	8	6	8	14	37	9	22	5	8	1	9
CPCT02020920T	8	13	24	2	0	59	0	26	30	9	8	31	35	17	12	10	4	5	18	34
CPCT02080192T	11	143	10	0	25	6	43	107	21	13	8	15	16	3	7	23	51	0	12	18
CPCT02130170T	75	47	61	27	0	26	0	19	59	980	10	33	110	8	18	12	30	5	0	27
CPCT02260014T	823	634	33	26	55	36	0	48	21	32	21	8	83	94	124	65	97	33	19	77
CPCT02020922T	2	22	3	0	0	32	14	12	0	5	60	9	16	30	6	0	0	9	6	17
CPCT02011072T	10	29	12	5	0	31	10	6	6	9	1	5	8	8	9	11	9	3	0	1
CPCT02010758T	0	19	24	0	24	75	0	90	20	16	17	55	52	4	7	27	0	5	7	0
WIDE01010006T	0	10	0	2	0	9	28	16	4	3	5	0	0	0	10	14	1	12	9	10
CPCT02040220T	13	101	7	0	21	74	37	54	1	18	8	44	11	17	12	22	0	0	10	0
CPCT02100157T	206	354	14	21	8	51	0	71	25	42	10	11	4	18	7	44	119	41	13	19
CPCT02230088T	173	65	4640	153	0	54	736	138	888	102	842	23	186	506	141	0	0	0	8	0
CPCT02130178T	10	25	19	0	0	62	0	12	22	23	35	19	13	10	6	12	12	27	1	17
WIDE01010017T	52	59	30	16	102	28	5	19	38	21	22	43	4	6	7	43	1	33	21	23
WIDE01010025T	8	23	7	6	0	0	0	21	25	9	11	8	30	13	6	26	8	13	1	2
WIDE01010028T	177	139	28	50	0	180	44	18	96	67	28	114	78	5	19	59	68	65	52	70
WIDE01010012T	63	122	5	9	0	123	0	65	40	10	23	544	54	10	12	0	0	6	11	15
WIDE01010031T	489	515	86	0	197	16	151	37	0	19	10	27	149	0	418	27	62	0	40	0
CPCT02020956T	3	6	15	0	21	21	1	12	0	0	13	0	0	20	9	5	0	3	10	13
CPCT02010774T	2	32	13	12	0	53	27	20	11	1	6	23	32	12	0	31	1	0	0	3
CPCT02010756T	10	0	3	0	6	9	35	63	14	0	6	12	8	21	6	12	4	32	10	6
WIDE01010045T	13	33	9	0	38	157	0	26	28	11	9	29	19	5	11	2	0	0	13	3
CPCT02080204T	6	12	20	0	0	27	9	40	6	5	26	0	0	31	4	0	3	24	13	10
WIDE01010037T	598	649	35	35	520	0	0	22	52	45	33	17	23	34	54	52	28	28	41	59
WIDE01010056T	161	296	0	36	146	45	34	27	22	28	21	21	8	30	17	56	0	24	45	0
CPCT02070298T	187	282	19	8	35	2	18	17	24	18	13	22	16	17	12	26	62	3	16	5
WIDE01010594T	11	78	7	3	0	43	23	21	19	24	14	3	44	10	8	12	0	7	10	6
WIDE01010078T	4	0	42	2	29	262	10	18	79	24	21	105	41	48	11	0	0	13	17	29
CPCT02130054T	35	111	34	8	23	36	11	70	14	22	16	2	34	0	0	59	0	34	10	18
CPCT02040228T	10	47	2	24	51	29	8	54	9	8	8	10	5	26	12	23	0	15	3	13
WIDE01010051T	12	25	21	4	35	10	6	12	31	43	8	12	14	58	30	70	0	29	9	9
CPCT02050319T	6	0	1	0	0	0	0	91	24	39	22	6	18	0	2	6	29	25	14	6
CPCT02020689T	5	84	17	2	0	106	0	90	2	5	19	47	31	6	4	13	14	10	16	30
WIDE01010043T	18	6	9	17	72	41	0	8	22	9	16	33	29	19	3	18	7	3	4	5
WIDE01010112T	208	115	39	20	198	179	0	21	41	32	8	77	11	84	12	21	0	8	22	30
WIDE01010092T	16	67	9	6	0	12	0	13	6	4	15	13	15	16	10	40	19	1	0	16
WIDE01010119T	95	136	17	0	0	21	30	9	20	48	18	25	13	34	19	12	61	49	2	29
CPCT02170022T	7	56	0	0	11	14	39	95	16	12	11	17	3	14	2	14	0	14	0	8
WIDE01010120T	2	24	12	6	0	25	35	11	7	4	1	16	0	5	2	26	6	6	8	10
WIDE01010127T	254	251	2831	228	16	74	806	20	402	48	537	83	17	57	72	0	0	0	0	0
CPCT02300036T	66	317	56	12	104	68	23	42	39	12	38	57	61	15	6	20	0	31	8	33
WIDE01010146T	9	13	22	0	10	94	19	3	18	0	15	23	16	18	6	0	0	16	0	16
CPCT02070309T	10	14	19	0	39	39	2	61	23	6	9	28	43	24	5	10	0	13	9	0
WIDE01010157T	84	112	1327	79	66	121	46	14	198	30	323	48	125	40	34	52	3	20	29	25
WIDE01010170T	64	77	13	0	0	8	4	8	13	6	22	21	8	11	6	41	14	16	2	17
CPCT02020696T	6	15	40	0	30	80	11	71	0	2	16	0	13	20	4	0	0	5	2	13
CPCT02030471T	6	52	10	0	0	36	0	195	8	14	9	6	12	11	2	33	19	39	8	2
CPCT02130032T	6	13	13	0	6	67	25	106	20	15	9	0	32	14	3	1	0	22	12	3
CPCT02070310T	465	369	0	6	314	76	20	63	47	2	11	31	57	15	535	92	43	4	18	0
WIDE01010164T	57	61	31	35	106	49	17	30	78	0	49	96	65	49	45	8	0	0	15	5
WIDE01010190T	9	34	24	14	0	5	0	15	28	0	13	3	22	45	4	12	0	0	10	10
WIDE01010182T	300	298	71	24	35	265	0	9	80	44	28	65	91	35	52	78	51	17	12	20
DRUP01050040TII	591	424	0	20	139	23	0	0	244	9	40	7	0	18	56	252	0	4	12	0
WIDE01010225T	99	93	15	13	87	0	0	37	57	11	4	10	63	50	6	36	17	0	0	2
CPCT02050348T	34	40	16	2	0	28	24	32	89	0	18	31	43	0	4	13	21	14	4	15
WIDE01010275T	25	38	48	0	117	253	0	13	34	17	8	53	17	20	11	18	14	10	20	22
CPCT02010810T	13	54	15	15	3	3	10	40	6	8	8	11	34	0	5	21	0	15	4	14
CPCT02060206T	59	92	2556	107	28	61	474	167	379	1	403	31	90	56	71	0	0	0	8	5
WIDE01010284T	12	48	11	3	25	0	0	12	15	4	14	1	7	22	2	25	0	3	9	8
WIDE01010330T	7	36	7	4	20	23	0	1	17	5	13	8	8	30	2	20	22	6	0	1
WIDE01010312T	105	69	2456	115	0	136	512	29	220	30	516	38	59	0	64	39	0	0	0	0
WIDE01010317T	210	150	25	28	189	75	75	53	77	13	45	621	37	36	40	46	0	9	2	18
WIDE01010337T	46	272	225	13	22	50	175	43	33	0	50	45	65	46	25	0	0	37	0	19
CPCT02220043T	415	339	36	0	302	25	0	96	123	13	427	52	174	53	156	85	0	0	21	42
CPCT02130094T	61	323	36	16	108	318	21	36	31	30	15	98	45	41	17	24	34	0	20	35
WIDE01010329T	232	199	1351	121	180	52	412	57	93	6	125	207	121	38	46	24	0	12	12	4
WIDE01010331T	11	52	4	0	3	43	0	15	4	5	13	0	2	24	11	12	37	10	4	5
CPCT02010828T	55	139	620	73	60	20	172	63	68	10	43	40	48	65	12	2	0	0	10	14
WIDE01010101T	83	296	1304	55	42	80	286	33	222	39	315	34	57	17	47	0	0	0	4	18
WIDE01010349T	1	25	20	10	3	31	9	22	36	0	16	22	20	32	6	0	0	1	7	18
WIDE01010342T	16	140	29	0	38	44	9	15	4	12	17	10	18	20	11	28	0	8	4	6
WIDE01010359T	3	7	10	12	12	9	26	18	4	6	9	4	11	1	6	12	0	22	4	5
WIDE01010370T	10	0	11	0	0	61	12	14	24	15	22	22	29	29	5	1	3	2	1	6
WIDE01010369T	6	193	13	9	114	23	0	23	1	15	19	21	12	38	4	0	0	3	4	20
CPCT02340084T	89	144	240	51	48	97	17	10	37	4	54	15	50	52	10	60	20	0	0	19
DRUP01030015T	44	130	55	31	166	12	50	25	27	22	398	25	9	0	12	4	0	0	9	14
CPCT02060236T	8	32	14	5	38	23	0	76	17	11	17	5	0	15	4	15	0	21	4	15
CPCT02120125T	42	82	1159	57	7	42	103	29	190	14	281	0	40	77	33	16	0	51	11	10
CPCT02230098T	1979	211	0	121	14	2	0	38	29	31	0	5	0	33	16	166	0	17	20	0
DRUP01090015T	0	0	5	0	0	27	40	43	4	17	7	1	0	0	9	19	15	0	2	12
WIDE01010401T	37	52	19	13	0	66	0	18	50	44	8	29	55	36	2	25	16	32	3	22
CPCT02230105T	9	9	31	1	0	26	0	48	13	1	1	11	0	34	6	25	10	3	0	4
CPCT02080223T	29	19	19	0	97	63	22	88	38	12	6	433	55	0	8	67	0	4	19	10
CPCT02020730T	16	50	49	0	0	230	90	75	67	8	0	15	48	129	4	0	0	2	12	0
CPCT02010831T	212	83	847	69	52	76	307	36	159	8	141	117	150	53	61	53	0	0	6	6
WIDE01010428T	19	38	3	14	28	15	0	18	17	8	9	1	23	15	3	14	0	0	11	19
CPCT02290039T	1097	521	12	17	551	6	0	113	101	13	1	62	71	30	37	93	0	17	69	41
CPCT02010843T	33	25	7	1	0	43	0	85	12	7	9	8	3	30	4	23	10	22	3	10
CPCT02130103T	43	235	32	3	34	141	0	79	25	5	4	51	7	58	0	51	68	1	35	29
CPCT02070337T	46	38	37	15	0	12	0	78	43	8	0	307	45	8	21	61	42	43	10	20
WIDE01010440T	2	40	28	15	0	75	0	15	7	3	10	0	17	36	12	3	11	4	6	6
WIDE01010404T	154	75	19	8	262	13	0	31	50	9	22	15	3	10	11	92	1	0	4	7
CPCT02080229T	32	69	197	0	0	28	67	68	33	30	31	23	29	23	15	10	9	12	4	0
CPCT02050363T	55	99	17	0	182	0	90	79	24	20	0	12	75	0	9	56	0	0	5	8
CPCT02040250T	28	85	1	0	29	24	3	62	11	0	7	24	45	14	6	6	34	0	8	12
CPCT02040251T	30	46	139	6	0	40	7	73	42	18	21	2	16	50	4	2	0	8	3	19
CPCT02260022T	337	246	0	0	290	8	0	10	20	18	19	9	73	47	24	45	0	0	9	0
CPCT02340090T	110	170	10	16	69	17	52	16	8	15	21	17	9	5	13	27	26	25	14	3
CPCT02450013T	22	27	16	0	75	38	11	41	0	19	4	23	0	9	2	51	0	29	0	15
CPCT02070347T	78	248	32	2	75	193	0	58	64	44	10	46	22	104	16	31	20	0	15	30
CPCT02060140T	4	24	32	2	11	11	0	30	10	0	16	5	16	21	2	28	0	63	1	22
CPCT02020720T	0	27	14	3	0	24	1	45	4	7	3	0	17	0	0	6	0	9	9	9
CPCT02230109T	359	361	16	9	401	0	0	88	16	27	19	17	55	35	51	35	0	6	3	20
