Samples	ID83A	ID83B	ID83C
SP111062	444	500	123
SP111006	710	1074	765
SP110846	253	189	233
SP111086	790	408	945
SP111096	538	409	130
SP111021	0	0	2
SP111058	795	522	1019
SP111092	1214	304	989
SP111076	1069	790	39
SP111098	445	566	264
SP111039	10	92	151
SP111052	18	29	73
SP111166	747	1248	283
SP111014	86	71	113
SP111066	990	753	627
SP111094	621	416	680
SP111015	232	135	236
SP110853	452	359	586
SP111051	285	358	198
SP110855	669	364	505
SP111004	478	987	121
SP111078	185	135	98
SP110863	231	359	340
SP111013	332	352	160
SP111042	16	25	48
SP111040	65	294	225
SP111031	2059	1027	173
SP23496	336	436	249
SP111030	94	224	224
SP111019	81	108	282
SP111026	588	543	421
SP110860	1013	533	369
SP110851	456	902	240
SP111059	533	579	303
SP111170	960	1001	341
SP111054	546	707	311
SP111033	998	790	81
SP111113	1641	565	801
SP110865	766	859	1427
SP111061	492	445	220
SP111101	1069	984	110
SP110859	354	832	173
SP111168	108	206	210
SP111067	168	409	160
SP111036	664	555	50
SP111116	1048	1064	86
SP111099	585	527	362
SP23502	951	385	938
SP111069	448	949	471
SP111043	979	1080	533
SP111024	918	466	285
SP111011	568	311	543
SP111082	723	710	394
SP111074	369	356	340
SP110845	377	500	290
SP110857	416	628	85
SP111017	738	694	178
SP111080	86	136	122
SP23506	63	349	205
SP111075	364	619	308
SP111112	481	561	222
SP111001	1105	878	656
SP111027	41	119	119
SP111117	606	1240	124
SP110842	933	855	317
SP111173	1169	448	583
SP111008	544	820	153
SP111070	811	891	118
SP110847	1223	434	69
SP111077	917	496	637
SP111091	103	136	400
SP111072	442	489	93
SP111084	216	366	547
SP23504	68	291	141
SP23500	73	145	171
SP111029	46	127	124
SP111175	2256	787	1524
SP111049	620	1011	110
SP23498	778	777	223
SP111002	119	146	127
SP110866	466	574	188
SP111035	1058	1414	104
SP111009	788	501	271
SP111114	1988	1304	335
SP111000	701	1086	53
SP111045	1032	1127	57
SP110861	242	607	291
SP111047	414	656	311
SP111088	716	670	210
SP111056	512	612	396
SP111089	252	269	222
SP111038	1830	1588	1
SP110849	778	739	91
SP111164	939	798	184
SP111057	454	820	23
SP111119	3116	406	328
SP111095	1135	1108	105
SP111064	710	1212	82
CPCT02030245T	83	209	480
CPCT02030257T	1335	1317	210
CPCT02070015T	1848	1283	243
CPCT02040043T	238	542	333
CPCT02100032T	93	794	291
CPCT02160007T	153	376	438
CPCT02030286T	923	915	247
CPCT02100140T	737	2812	0
CPCT02100141T	1788	1166	260
CPCT02330072TII	1657	1282	469
CPCT02330132T	2033	747	492
CPCT02130030T	255	991	192
CPCT02060183T	1841	1197	514
CPCT02130033T	763	843	185
CPCT02300031T	650	884	260
CPCT02180054T	1203	1616	265
CPCT02090037T	774	884	522
CPCT02130041T	866	530	719
CPCT02060200T	528	353	1019
WIDE01010009T	900	880	26
CPCT02330094T	209	461	403
CPCT02110061T	381	706	531
WIDE01010016T	406	328	415
CPCT02230070T	1726	1380	196
CPCT02340070T	1154	549	210
CPCT02340073T	29	531	143
CPCT02050330T	357	431	492
CPCT02340077T	432	602	230
WIDE01010064T	2108	1925	613
CPCT02050314T	150	200	423
CPCT02220037T	797	778	381
WIDE01010073T	176	657	451
CPCT02210045T	1608	894	410
CPCT02100163T	626	546	351
CPCT02130049T	2344	1132	1377
CPCT02050343T	164	448	493
CPCT02020712T	544	549	957
CPCT02130070T	395	878	625
CPCT02130071T	331	405	435
DRUP01020027T	472	445	1203
CPCT02050349T	47	27	2439
CPCT02040242T	823	703	542
CPCT02300039T	517	659	297
CPCT02010815T	2191	482	553
CPCT02010813T	500	588	255
WIDE01010355T	609	702	530
CPCT02330072T	1216	876	206
CPCT02130091T	689	478	1937
CPCT02230097T	323	255	278
CPCT02050357T	355	460	626
CPCT02010833T	946	860	460
CPCT02060213T	572	348	215
CPCT02130107T	532	792	326
CPCT02070342T	247	385	274
CPCT02050362T	1272	1027	288
CPCT02150012T	1599	1173	1220
DRUP01210002T	1484	849	354
CPCT02130105T	117	177	403
CPCT02100176T	619	677	580
CPCT02230106T	628	757	808
CPCT02060199T	95	128	98
DRUP01330005T	1506	1286	643
CPCT02120150T	1321	609	434
CPCT02060248T	589	616	228
CPCT02060255T	641	405	343
DRUP01010088T	297	596	273
CPCT02440014T	1610	1172	545
CPCT02050384T	518	611	371
CPCT02030519T	1708	1272	271
CPCT02050380T	2618	1345	479
CPCT02130140T	74497	211	0
CPCT02220056T	756	661	255
DRUP01210003T	1019	950	416
DRUP01050030T	207	323	466
CPCT02210067T	1341	374	287
CPCT02150021T	1350	1393	315
CPCT02080255T	1329	1070	534
CPCT02330124T	763	880	335
CPCT02100186T	1076	833	345
CPCT02050403T	228	281	340
DRUP01330013T	1135	1004	557
DRUP01050033T	344	408	491
DRUP01440001T	1669	1189	750
CPCT02040156T	758	1004	206
DRUP01340013T	1912	843	682
CPCT02080141T	1151	642	470
CPCT02010662T	575	819	1142
CPCT02120069T	567	711	502
CPCT02100126T	1556	1283	552
CPCT02380021T	1156	1139	246
CPCT02020622T	1709	1725	882
CPCT02340034T	804	737	316
CPCT02210033T	1170	996	624
CPCT02050163T	850	487	697
CPCT02030277T	2422	463	851
CPCT02100064T	653	628	206
CPCT02010569T	2248	1413	215
CPCT02110032T	69	367	397
CPCT02340011T	594	429	122
CPCT02330033T	372	405	681
CPCT02040119T	302	464	395
CPCT02020536T	516	297	983
CPCT02340012T	646	909	169
CPCT02020527T	87	283	244
CPCT02020526T	541	1424	431
CPCT02100098T	410	725	199
CPCT02230029T	874	709	164
CPCT02230030T	1239	726	405
CPCT02230034T	888	825	195
CPCT02070034T	828	636	397
CPCT02030363T	752	349	68
CPCT02230039T	2069	976	1238
CPCT02080130T	857	647	824
CPCT02340019T	1399	1217	248
CPCT02050233T	970	268	798
CPCT02100044T	995	1801	0
CPCT02050100T	730	447	296
CPCT02030243T	54	230	835
CPCT02050041T	2060	1521	1357
CPCT02030310T	850	662	557
CPCT02220007T	576	537	343
CPCT02030307T	1025	736	456
CPCT02030304T	201	429	256
CPCT02110018T	662	640	182
CPCT02100061T	725	379	448
CPCT02070120T	865	1211	82
CPCT02120011T	1369	1000	491
CPCT02120012T	1439	1450	163
CPCT02050147T	1603	1179	420
CPCT02030335T	1609	753	774
CPCT02040108T	685	639	376
CPCT02400002T	808	541	470
CPCT02340041T	2355	1049	857
CPCT02380030T	460	426	266
CPCT02040196T	1881	1427	588
CPCT02230068T	617	899	170
CPCT02100127T	1579	779	545
CPCT02100133T	0	1107	276
CPCT02090026T	1064	708	417
CPCT02050287T	742	983	511
CPCT02050292T	876	677	609
DRUP01050016T	1050	298	1018
CPCT02250004T	1536	1250	300
WIDE01010644T	238	430	191
WIDE01010539T	1746	2212	147
WIDE01010590T	1666	1249	894
WIDE01010691T	761	551	268
WIDE01010704T	811	1199	165
WIDE01010725T	604	362	2117
