MutationType	ID1	ID2	ID3	ID4	ID5	ID6	ID8	ID14	ID17	ID19
1:Ins:T:1	0.00004030	0.00000000	0.04311903	0.00101004	0.01346270	0.00104119	0.00486870	0.00316588	0.03889364	0.02808965
1:Ins:T:2	0.00019286	0.00064703	0.04015704	0.00001060	0.02972114	0.00073885	0.00142964	0.00177461	0.04392461	0.01156301
1:Ins:T:3	0.00424327	0.00108288	0.02512543	0.00017394	0.01884025	0.00093064	0.00108729	0.00117384	0.00487209	0.00679258
1:Ins:T:4	0.01664913	0.00348746	0.00656331	0.00001600	0.01126875	0.00134985	0.00082262	0.00478500	0.00490349	0.00670159
1:Ins:T:5	0.89090647	0.00313258	0.02618124	0.00083293	0.00143921	0.01439004	0.02016125	0.23274755	0.00487383	0.01073388
2:Del:R:0	0.00068605	0.00016381	0.00689755	0.07172421	0.02805441	0.00178365	0.00876922	0.00066200	0.01468205	0.00238233
2:Del:R:1	0.00121997	0.00356888	0.00847465	0.23051288	0.02456273	0.00245435	0.01030715	0.00660004	0.00853595	0.00151209
2:Del:R:2	0.00047275	0.00184957	0.01180064	0.05505940	0.00456262	0.00208860	0.00053203	0.00270193	0.00000001	0.00476235
2:Del:R:3	0.00042672	0.00073904	0.00667112	0.01281101	0.00039592	0.00052575	0.00002710	0.00039280	0.00000004	0.00052995
2:Del:R:4	0.00005460	0.00088193	0.00282253	0.00321922	0.00086756	0.00023253	0.00027403	0.00000141	0.00000004	0.00004580
2:Del:R:5	0.00000000	0.00000000	0.00010124	0.00238272	0.02142678	0.00021568	0.00083308	0.00004370	0.00000004	0.00000684
3:Del:R:0	0.00012804	0.00001250	0.00058912	0.00506895	0.01713637	0.00105105	0.01096410	0.00114666	0.00855857	0.00086808
3:Del:R:1	0.00501109	0.00500326	0.00037239	0.09711447	0.00590979	0.00541365	0.00134887	0.00484016	0.00244545	0.00500577
3:Del:R:2	0.00076938	0.00228989	0.00009630	0.02148428	0.00084271	0.00053605	0.00037657	0.00105348	0.00000003	0.00133307
3:Del:R:3	0.00037126	0.00040259	0.00002450	0.00383763	0.00062115	0.00004700	0.00025351	0.00024961	0.00000002	0.00003850
3:Del:R:4	0.00000000	0.00000000	0.00000382	0.00078630	0.00586708	0.00007310	0.00000268	0.00000000	0.00000002	0.00003810
3:Del:R:5	0.00000000	0.00000000	0.00000038	0.00113861	0.00837891	0.00015062	0.00009100	0.00000000	0.00000005	0.00011808
4:Del:R:0	0.00009970	0.00001210	0.00017765	0.00725243	0.01079126	0.00231510	0.00669131	0.00019369	0.00610958	0.00219796
4:Del:R:1	0.00090050	0.00211579	0.00063457	0.06352373	0.00284357	0.00280673	0.00162295	0.00061734	0.00000002	0.00007090
4:Del:R:2	0.00000323	0.00054329	0.00011680	0.01454892	0.00016464	0.00047449	0.00027262	0.00052430	0.00000004	0.00040269
4:Del:R:3	0.00000000	0.00000727	0.00000000	0.00455475	0.00387781	0.00029134	0.00002880	0.00005030	0.00000001	0.00005990
4:Del:R:4	0.00000000	0.00000000	0.00000000	0.00084968	0.00455725	0.00011058	0.00009730	0.00000773	0.00000000	0.00019431
4:Del:R:5	0.00002890	0.00021041	0.00000283	0.00061078	0.00158444	0.00005680	0.00000634	0.00000000	0.00000000	0.00015798
5:Del:R:0	0.00000835	0.00003850	0.00177678	0.00413283	0.01844795	0.01933329	0.23797886	0.00608681	0.02339638	0.00426298
5:Del:R:1	0.00019068	0.00297751	0.00007410	0.01571853	0.00041034	0.00750183	0.00057226	0.00031446	0.00000002	0.00177092
5:Del:R:2	0.00012636	0.00039753	0.00000278	0.00234385	0.00047093	0.00037052	0.00051684	0.00002130	0.00000005	0.00101898
5:Del:R:3	0.00001890	0.00015815	0.00000000	0.00118248	0.00025717	0.00016818	0.00000816	0.00002850	0.00000003	0.00012637
5:Del:R:4	0.00000311	0.00008470	0.00004370	0.00014692	0.00009730	0.00005320	0.00011290	0.00001500	0.00000001	0.00000224
5:Del:R:5	0.00003130	0.00002120	0.00000382	0.00010617	0.00058502	0.00001150	0.00004430	0.00009080	0.00000003	0.00000224
