"signature"	"ID"	"cosine"	"euclidean"
"1"	"InsDel1a"	"Biliary..DRUP01010095T"	0.980247231981804	0.0358637726079702
"2"	"InsDel1b"	"Colon..SP21400"	0.987184801324652	0.0327143792500472
"3"	"InsDel1c"	"Prostate..SP112907"	0.923032940882415	0.0833400953539176
"4"	"InsDel1d"	"Lymphoid..SP59448"	0.983675304020195	0.0275155887921506
"5"	"InsDel1e"	"Bone.SoftTissue..CPCT02020428T"	0.99675737544784	0.0215650264601947
"6"	"InsDel2a"	"Esophagus..CPCT02010569T"	0.990263031835388	0.0265228847345216
"7"	"InsDel2b"	"Colon..SP96118"	0.933667457882777	0.0892141802172467
"8"	"InsDel2c"	"Lymphoid..CPCT02120032T"	0.979438082042213	0.0564295783559303
"9"	"InsDel3a"	"Lung..SP58101"	0.955553526939092	0.0509401295790713
"10"	"InsDel3b"	"Lung..SP56079"	0.992284649786582	0.0308657314549777
"11"	"InsDel4a"	"CNS..SP23925"	0.982162017308068	0.0692215497336766
"12"	"InsDel4b"	"Ovary..SP101536"	0.934012903408357	0.0615928261050498
"13"	"InsDel5a"	"Kidney..SP39298"	0.989382343252623	0.0243047871264391
"14"	"InsDel5b"	"Liver..SP112290"	0.978773666030853	0.0318423811165233
"15"	"InsDel6"	"Ovary..SP62616"	0.993735864660899	0.0563700768479969
"16"	"InsDel7"	"Uterus..SP94741"	0.991109179818513	0.0269528646140485
"17"	"InsDel8"	"Breast..SP116365"	0.959781921115764	0.116621161234964
"18"	"InsDel9"	"Pancreas..SP102617"	0.924833526036329	0.0725870128484183
"19"	"InsDel10"	"Other..SP109957"	0.859358364302864	0.0962882814871241
"20"	"InsDel11"	"Pancreas..SP77956"	0.999997101252786	0.00243601969063588
"21"	"InsDel12"	"Prostate..SP112985"	0.981915246549224	0.121735794522821
"22"	"InsDel13"	"Skin..SP124439"	0.987525935953568	0.0637247302140555
"23"	"InsDel14"	"Colon..CPCT02340014T"	0.992422611199075	0.0877162579285243
"24"	"InsDel17"	"Other..CPCT02250003T"	0.999098612037334	0.0129315965151152
"25"	"InsDel18"	"Head..CPCT02070053T"	0.990826011212309	0.0864681132447663
"26"	"InsDel19a"	"Bone.SoftTissue..CPCT02010408T"	0.956199772930876	0.0485979553735899
"27"	"InsDel19b"	"Skin..CPCT02340081T"	0.99171174719966	0.0520847631009021
"28"	"InsDel19c"	"Other..CPCT02010697T"	0.841388768467176	0.173244286465596
"29"	"InsDel23"	"Kidney..SP102957"	0.960618679596976	0.0702072495414112
"30"	"InsDel_Aα"	"Breast..SP2293"	0.857618041212665	0.162276127132194
"31"	"InsDel_Aβ"	"Breast..SP2293"	0.928962481361076	0.120438715215217
"32"	"InsDel_B"	"Bone.SoftTissue..SP116578"	0.985553780843009	0.0445477781536683
"33"	"InsDel_C"	"Breast..CPCT02010772T"	0.969795187946341	0.0737079225869807
"34"	"InsDel_D"	"Colon..CPCT02040258T"	0.975318022177494	0.0475310994282815
"35"	"InsDel_E"	"Uterus..DRUP01340014T"	0.960943721195381	0.178004939926407
"36"	"InsDel_F"	"Skin..SP103894"	0.986810513388783	0.129207243545618
"37"	"InsDel_G"	"Other..DRUP01030015T"	0.928329826661787	0.122098410778184
"38"	"InsDel_H"	"Bone.SoftTissue..CPCT02010648T"	0.850413851972058	0.161105814483893
"39"	"InsDel_I"	"CNS..SP107439"	0.995254467621926	0.0254093470838542
"40"	"InsDel_J"	"Colon..DRUP01230004T"	0.998585593823146	0.02341419892611
"41"	"InsDel_Kα"	"Prostate..SP112817"	0.984695082908958	0.0448337861515592
"42"	"InsDel_Kβ"	"Colon..SP17905"	0.837689830645915	0.123049466252955
"43"	"InsDel_L"	"Pancreas..SP70106"	0.66987386568394	0.44395973165516
"44"	"InsDel_M"	"Prostate..SP112777"	0.99790446163642	0.0364229284036388
"45"	"InsDel_O"	"CNS..DRUP01050003T"	0.957282138940814	0.0662652423865273
