Supplementary Table 9 | Tissue-specific indel signatures (InDs) of Genomics England seven cancer types.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indel subtypes,pgel_Bladder.S1,pgel_Bladder.S2,pgel_Bladder.S3,pgel_Bladder.S4,pgel_Bladder.S5,pgel_Bladder.S6,pgel_Bladder.S7,pgel_Bladder.S8,pgel_Bladder.S9,pgel_Bladder.S10,pgel_Bladder.S11,pgel_Bladder.S12,pgel_Bladder.S13,pgel_Bladder.k.6..Cluster1..U1,pgel_Bladder.k.6..Cluster2..U1,pgel_Bladder.k.6..Cluster3..U1,pgel_Bladder.k.6..Cluster3..U2,pgel_Bladder.k.6..Cluster5..U1,pgel_Bladder.k.6..Cluster6..U1,pgel_CNS.S1,pgel_CNS.S2,pgel_CNS.S3,pgel_CNS.S4,pgel_CNS.S5,pgel_CNS.S6,pgel_CNS.S7,pgel_CNS.k.5..Cluster1..U1,pgel_CNS.k.5..Cluster2..U1,pgel_CNS.k.5..Cluster2..U2,pgel_CNS.k.5..Cluster3..U1,pgel_CNS.k.5..Cluster4..U1,pgel_CNS.k.5..Cluster5..U1,pgel_Colorectal.S1,pgel_Colorectal.S2,pgel_Colorectal.S3,pgel_Colorectal.S4,pgel_Colorectal.S5,pgel_Colorectal.S6,pgel_Colorectal.S7,pgel_Colorectal.S8,pgel_Colorectal.S9,pgel_Colorectal.S10,pgel_Colorectal.S11,pgel_Colorectal.S12,pgel_Colorectal.S13,pgel_Colorectal.S14,pgel_Colorectal.k.17..Cluster1..U1,pgel_Colorectal.k.17..Cluster2..U1,pgel_Colorectal.k.17..Cluster2..U2,pgel_Colorectal.k.17..Cluster3..U1,pgel_Colorectal.k.17..Cluster4..U1,pgel_Colorectal.k.17..Cluster4..U2,pgel_Colorectal.k.17..Cluster5..U1,pgel_Colorectal.k.17..Cluster6..U1,pgel_Colorectal.k.17..Cluster11..U1,pgel_Colorectal.k.17..Cluster12..U1,pgel_Colorectal.k.17..Cluster13..U1,pgel_Lung.S1,pgel_Lung.S2,pgel_Lung.S3,pgel_Lung.S4,pgel_Lung.S5,pgel_Lung.S6,pgel_Lung.S7,pgel_Lung.S8,pgel_Lung.S9,pgel_Lung.S10,pgel_Lung.S11,pgel_Lung.k.7..Cluster1..U1,pgel_Lung.k.7..Cluster2..U1,pgel_Lung.k.7..Cluster3..U1,pgel_Lung.k.7..Cluster3..U2,pgel_Skin.S1,pgel_Skin.S2,pgel_Skin.S3,pgel_Skin.S4,pgel_Skin.S5,pgel_Skin.S6,pgel_Skin.S7,pgel_Skin.k.2..Cluster1..U1,pgel_Stomach.S1,pgel_Stomach.S2,pgel_Stomach.S3,pgel_Stomach.S4,pgel_Stomach.S5,pgel_Stomach.S6,pgel_Stomach.S7,pgel_Stomach.S8,pgel_Stomach.k.6..Cluster1..U1,pgel_Stomach.k.6..Cluster2..U1,pgel_Stomach.k.6..Cluster3..U1,pgel_Uterus.S1,pgel_Uterus.S2,pgel_Uterus.S3,pgel_Uterus.S4,pgel_Uterus.S5,pgel_Uterus.S6,pgel_Uterus.S7,pgel_Uterus.S8,pgel_Uterus.k.9..Cluster1..U1,pgel_Uterus.k.9..Cluster2..U1,pgel_Uterus.k.9..Cluster2..U2,pgel_Uterus.k.9..Cluster3..U1,pgel_Uterus.k.9..Cluster3..U2,pgel_Uterus.k.9..Cluster4..U1,pgel_Uterus.k.9..Cluster4..U2,pgel_Uterus.k.9..Cluster4..U3,pgel_Uterus.k.9..Cluster5..U1,pgel_Uterus.k.9..Cluster6..U1,pgel_Uterus.k.9..Cluster8..U1,pgel_Uterus.k.9..Cluster9..U1
A[Ins(C):R0]A,0.00000316613678183088,2.02219479856081E-146,0.00013302628880001,3.42399999083672E-058,3.7389414352751E-035,1.35717195639849E-137,0.000069722391977975,0.145241336681301,6.85008469038561E-022,7.47304359484964E-069,2.43689182694457E-110,4.97697427716944E-022,1.51883102769351E-062,0.000638305006038991,0.000651789993747682,0.000388505046365076,0.000124467683632901,0.000400323663218546,0.000739989580157265,0.000384875632795664,0.000147166625057391,0.00163374315970888,0.000498155113706146,0.000327210078208862,0.00206240795080527,0.00214615907885197,0.000131508051332035,0.000879738376308071,0,0.0281141217895889,0.00442747454140461,0.000932907110932034,0.360025444453096,0.000000331093411925537,0.0000550193073315175,0.000791551280886304,0.00001520614697533,0.000772706555120038,0.000000000325843433465583,0.0103691529236403,0.0000863881167848328,0.00000397111707476528,0.000487500014184327,0.0111645636388332,0.000010882607130652,0.000381762443511185,5.04362788519967E-120,0.00303911314255825,0.00000000615817184934812,0.0472791521198735,3.86756880297724E-034,0.00131112775341519,0.0131557547572232,0.0249064282169958,0.00326530612244898,0.00315457413249211,0.000241624994519196,0.00645150259982655,0.0000188802172556871,0.00118665975237421,0.00279828262109042,0.00000000000048446233109788,0.00273635175010659,1.32596744043441E-022,0.00448139941491118,0.00000187250330361088,0.00134824478979721,0.0000000000285759025273766,7.84990611146802E-161,0,2.40553869615804E-061,0.000485715327185277,0.00236865719451605,0.00132070609887849,0.00634457393309466,0.00295589815532445,0.00278481387897722,0.00103389751985935,0.00791213782240747,1.45083012005159E-174,0.00240568289875858,0.000493708141957777,0.000973000359004853,1.24810997373747E-075,0.000817867008899392,0.145117986808994,0.000285284475923566,0.000375565500542255,0.00291830605494664,1.59621852344618E-028,0.00232198142415944,0.00142049081256043,0.000333838321597166,0.00147057366224389,0.00444933040746262,0.00416414977179966,0.00140026136627858,0.00000051356141219939,0.000557738036332023,1.41481275300979E-068,0.000405328144851737,0.00512159830125575,6.59067894968949E-128,0.000523101430271249,0.0242809725565244,0.00196684796932213,1.60411382426135E-307,0.00103518634912461,9.58409687632908E-171,0.000113180403657832,0
A[Ins(C):R0]T,3.91918502406355E-210,0.0000598929905565475,3.18201816175634E-025,3.97276923372451E-268,6.73962854346411E-192,7.1234295825271e-310,1.00807739630168E-203,0.0816139494302754,7.0795834162224E-108,4.16040581731465E-177,1.63124968864963E-273,6.91487192769061E-078,1.05535863562424E-162,0.0000766036434376858,0.0000247505076514932,6.22540209193139E-061,0.000149612510877396,0,0.000000515414447267282,0.000022651119866667,0.000093708417767964,0.000521293133028907,0.0000929065959211306,0.000045630784833971,0.000191991684475887,0.00100794461858835,0.000129343204115146,0,0,0.010928043367142,0.000856376921259712,0,0.226340656116502,6.98484939817109E-015,6.41085162373798E-036,1.7365131162245E-030,0.000164382020488108,6.86407609189279E-017,1.02287507363592E-031,1.87505184049389E-043,0.0000000280098478665737,0.000133486043004716,1.48394844742141E-020,9.34913883825322E-034,0.0000213030836877919,6.22231418862126E-043,0.000140187279977574,0.00000000000343757514999592,0.000662145071005334,0.0000000016145589333294,0.000224361427807914,0.000138260949017501,0.00172061739398584,0.0000000228681972659751,0,0,0.0000906543343960934,0.0038035506804316,0.000524002726371474,0.000720288719084888,0.00139132920203898,0.000000958194367577578,0.00522015603518101,0.00000080776874780484,0.000218228720059223,0.000000166032519819941,0.00108500921817878,0.00000952250235977325,0,0,1.79485573951745E-071,1.03752213419564E-132,0.000300352637995257,0.00200065059395774,0.000303751082519151,0.000952232309100678,0.000387040353123354,1.08377436115864e-311,0.00168967056945319,8.81742926159381E-027,9.50526088325052E-024,0.000114582055016073,0.0000000743818202560055,9.99563707434667E-034,1.42030557672811E-025,0.0646685462769666,0.0000000000745826310638603,6.68103051828133E-067,0.00220871436913927,0.0000334645214604249,0,0.000893628932036611,0.000937145022752944,0.000342334580562867,0.000369048680660913,0.000673250426407237,0.0000177302435761236,0.0000325657578110233,0.000208706185655953,0,0.0000417192958110134,0.00100971446376682,5.83160199520052E-108,0.000100314588158993,0.0020367358615199,0.000169353451025486,2.77695120457626E-123,0.0000701813951947628,3.50876122360821E-059,0,0
"Ins(C):R(0,3)",0.00372247967372345,0.0112290297009288,0.00446102125151719,0.00680524108652705,0.0341803390801947,0.072017880503415,0.00822577254321694,0.0398324991233026,0.0381432194374565,0.0654793900913968,0.012159063310582,0.00900947663139603,0.0417245072571623,0.00235497241205742,0.00134703229525556,0.0194922036938391,0.0174210651469123,0.00789920431391075,0.0313688803657681,0.00979422978185762,0.00704857497048301,0.0589038664990697,0.00233716356703336,0.0454541172959098,0.0254254190836171,0.0095158380693844,0.0011865543938416,0.0246911339911422,0.00923726665873587,0.0348037616434433,0.0159787787801748,0.0120671527237041,0.0821988423093793,0.00794960524070567,0.00195481483973989,0.00094047644907925,0.00299546714379229,0.00124278511826525,0.0227648488085343,0.0336648794427484,0.0323258485735914,0.0398671962948368,0.0389926769009303,0.0075633529234302,0.00688174113323544,0.0160014948024734,0.000885408604568427,0.0109122742366863,0.0186369593187807,0.00745958729429928,0.00174810541539042,0.00770987932205623,0.00576662969641713,0.00556191342859785,0.0253061224489796,0.0504731861198738,1.33152825680931E-090,0.00921998540975843,0.0210686722679874,0.000388530558797783,0.000433077021271586,0.0521790212803967,0.0242394195662101,0.0115749641788311,0.0719586045147643,0.0154550487361744,0.0160695576760454,0.0123888847817857,0.00230099693200428,0.292194378855539,0.0117639248206481,0.0232338840470894,0.0144798945461218,0.0293430114880479,0.0423710684852237,0.0552996226544984,0.0179222008634495,0.0112294470815214,0.0166831631706623,0.0116241525138417,0.00314137809794793,0.0044446621753443,0.0051390451195029,0.00801156974283111,0.0324487499202698,0.0328921661007226,0.0181655796872625,0.0334389833111818,0.0181306525612712,0.000566263062830202,0.00696594427230311,0.00422212705540158,0.0602590481173552,0.00117598238623547,0.00208589211957374,0.0591416295201693,0.0201646397839654,0.0255648017456851,0.0047466834843687,0.00251847710562535,0.00634434751034708,0.0100882883454083,0.0109386276766549,0.0174865694345848,0.00556273358548172,0.00504804681731857,0.000342335620275254,0.00719846951036433,0.00311376033132706,0.00136970613725699,0.218855218855257
"Ins(C):R(4,6)",0.00363310122475057,0.000858287769153357,0.00127724488348007,0.000942619680627104,0.000691311568642361,0.000255205361883276,0.000296556047899251,0.00537354888749636,0.00647194411778515,0.00305008720574102,0.00167450987665661,0.000155285529081696,0.30525947627042,0.0144047055660941,0.00706810109912852,0.00622789602506084,0.00349674977490093,0.0022989137787895,0.00571443398647228,0.00267604047603001,0.000522563089133728,0.020475635314336,0.00465197870515081,0.00807193453317911,0.00841769736833485,0.0000779128067821879,0.0149930187948674,0.00262727837078096,0.00167540675793677,0.00912933709043506,0.00126795773106787,0.0502231328019921,0.0000187805816234191,0.000195944063391596,0.000145538511500077,0.00078203032869159,0.00076139832278012,0.000549233056354658,0.00199686533201352,0.00132817898126322,0.000203792738916819,0.00101684322758435,0.00424937377818439,0.000605146718265776,0.00330038221670824,0.28032898809833,0.00760467994232005,0.00604332160875716,0.00842933529850546,0.00574725012495357,0.0166796497369771,0.0283768076056609,0.00879483890320755,0.00633356930279605,0.00326530612244898,0.0157728706624606,0.00643470752265376,0.00910398317350239,0.0183040044481196,0.0000172626406090169,0.00362978618811479,0.0169591568634944,0.00142413011114848,0.020713740038278,0.0048556909991065,0.0125209520932886,0.00145774501789791,0.00589197729218697,0.0101841036274785,0.656105762314611,0.00270277872471716,0.00341909815322264,0.0062641403822503,0.0289548800102238,0.0100366680673703,0.0223012587289195,0.00416140149598546,0.00323834713863386,0.00509531551762742,0.0011005340350166,0.00648554302180251,0.00229262635046696,0.00123595725025529,0.000469522425889294,0.0440980498509292,0.000826275443165574,0.0143278434058069,0.00707352155410175,0.00267335748903268,0.00729496096504853,0.00464396284828447,0.0000852328240867306,0.0128179419150759,0.00412605185373456,0.00471271741140706,0.00376857020925059,0.0124071013775664,0.0280308917888296,0.00183651429401186,0.00790552662606085,0.0137880035807276,0.0336773944313025,0.00137999894133962,0.004868310492086,6.39228357519815E-015,0.00863479940557793,0.00490665541328151,0.0269725648924203,0.0179518772762489,0.00649653481340842,0.503179947624486
"Ins(C):R(7,9)",0.00806869844227711,0.00101753190176271,0.00240445230038612,0.0241482133611723,0.00178184391928166,0.00113258065452353,0.000754172204649122,0.00357979002807459,0.00426201786093422,0.00165683374860967,0.0111506181609419,0.00177157292525584,0.0227533252029997,0.0136172288236267,0.00745818113342694,0.0000329777763901823,0.000127676769401876,0.00793692803647528,0.00404258590801896,7.21773585017846E-015,0.00152526708257019,0.00670471053767955,0.00890950997471528,0.000353208913176161,0.0139430103017799,0.0000323369896988605,0.0074569271692997,0.00202777166973372,0.0054210332183628,0.00181937524585931,0.00172059770227243,0.045369696782242,0.000706862349236462,0.000439365032498761,0.0188435992763054,0.00437949936940555,0.0013152127251946,0.000291061183870885,0.00873237394610111,0.000952291049715099,0.00375383988152904,0.0000771264736585098,0.00260148333120465,0.0216933668782012,0.00265567659731583,0.0303265596350154,0.00818405760446096,0.00363642840677792,0.0044467282286563,9.97926505476591E-106,0.0111504456420434,0.035583579780686,0.00211283388757665,4.50569136932323E-051,0.000816326530612245,0.00315457413249211,0.00454000501730133,0.0268420832003568,0.000661576479812565,1.54912026485723E-046,0.00388893417685265,0.000982884839382826,0.000783201597264457,0.0115665994824024,0.00116342508271779,0.000857748852875878,0.0049931733537531,0.00333732607434344,0.00812551311468087,0.00660725700788426,0.00144941904130636,5.91229411716126E-020,0.00639780384165244,0.0261736271800533,0.00329761960248919,0.00345475598370693,0.00296909890935442,0.0129921048610731,0.00309021056672772,0.000560840463315241,0.00778028780663428,0.0022077625050823,0.0226382252231924,0.00331878173255727,0.00348513727965205,0.00592793458402468,0.00756538000639418,0.00808100657750371,0.000606326973624812,0.00683809563140315,0.0069659442724406,0.000594768717276768,0.00252231625388144,0.00366780050421243,0.0275747267342171,0.000607161341973317,0.00504932812154762,0.0102332552207136,0.00012874219148045,0.00799654593663277,0.0171624930528475,0.00920310539537307,0.00288022162850187,0.00170160650981208,1.12265006565484E-109,0.00051183386434809,0.00441692203138097,0.0286000889530201,0.0118563041704931,0.00686903789860652,0.00860456416012115
"A[Ins(T):R(0,4)]A",0.00436848812447361,0.00261013819282615,0.000789190548359948,0.0146609908684187,0.0125880136863806,0.0095510671726958,0.00792288690863475,0.03500363730721,0.00366052092243991,0.0231492374380425,0.022545079090271,0.0152965836703176,0.0101385784127222,0.00519739079225235,0.00130413510092466,0.0155025087122235,0.029186389650617,0.00734568684100451,0.0132717264138928,0.0035719685314289,0.00526489292351757,0.0103630013390066,0.000765603358740729,0.0188904779874697,0.014708570931996,0.0066532884770424,0.00590005873889095,0.02530498634367,0.0127643475817982,0.0161413650585436,0.0172166997637979,0.00500541609360666,0.0642429722593317,0.00799336472414581,0.0094236425784138,0.00174132580851043,0.000589159527817872,0.00115575315627112,0.0139726036100669,0.0260948129988725,0.0198566547285333,0.0501415681730983,0.00264509891751533,0.0137224276815691,0.00532695292165145,0.00698961093013439,0.000697196823575784,0.00960599842146319,0.0251782124305387,0.0146846333806394,0.00596084620434826,0.00407911104470259,0.0294732804346558,0.0105939869958278,0.0195918367346939,0.00630914826498423,0.00211370459136802,0.0116486305508986,0.0047068044345765,0.00113184706321592,0.00381809229972443,0.00727465694014436,0.00921003922669885,0.0185630911438848,0.0214602901955523,0.00682304455440399,0.0155089990989656,0.0114318939705167,0.00199643016041069,0.000320163991529793,0.0102598684755007,0.0312952327774497,0.00802568597135996,0.0179679306697396,0.0211396641459546,0.0101654099154211,0.0239671701323312,0.00711809336250879,0.0242357495701251,0.0213048590883156,0.0025364581274429,0.00182773705193209,0.0112178619700095,0.00160348607270375,0.0250131124889925,0.0261054533099651,0.0110402168825449,0.0128566712043981,0.024164818791083,0.000795506899563829,0.0100619195046303,0.00156664724017702,0.0056599263986096,0.0074019888158418,0.0155779606821922,0.0238760436210225,0.00803750260904834,0.0102198505458677,0.0158511002402364,3.56074732906582E-076,0.00409595070467181,0.0257016855574539,0.0121919441676331,0.0338165420727445,0.0205752901097976,0.00703336107366948,0.00150423145733941,0.00627034936724467,0.00174196272528853,0.000944201490074826,0.0029928918817809
"A[Ins(T):R(0,4)]C",0.00220009941268025,0.000671630676008499,0.000427938742999838,0.000153011979846351,0.0227141309732086,0.00858494901026977,0.00169487441894468,0.00280643033782988,0.00632663598066666,0.0035661538018493,0.0117904253049652,0.0022082698297287,0.000794181298690066,0.00394382424353584,0.000949394107699241,0.00127003585984536,0.00533718623599812,0.00207774479680601,0.00358054580344309,0.000124372660328988,0.00225653476508851,0.00660112882592729,0.00218025822942264,0.00551588676629796,0.00357968797973007,0.00315119693452897,0.00424659415303116,0.00188881344373189,0.00207121006576163,0.00737900069966725,0.0164446611252468,0.00709855895199472,0.00739137061500669,0.00755122438649554,0.00165812665342646,0.0000658750180940403,0.000562965737748292,0.00144777784351919,0.00910780736438318,0.00278396470883043,0.00683903124659379,0.0109177984037195,0.00242038365411722,0.00172056253722082,0.000848141706174945,0.0041328909203671,0.00076037389340106,0.0023602234511046,0.004553071754227,0.00421512881585489,0.00624313056909338,0.000806423695600832,0.0213260522959119,0.00426293746509166,0.0114285714285714,0.00946372239747634,0.00108788109210937,0.00375007463798471,0.00233578619678252,0.000360409896775042,0.000321423620572204,0.00890702444185183,0.00568067297221701,0.0108776545474754,0.00854467778965048,0.00441672258814999,0.00255488575685072,0.00219431974690134,0.00155816147247741,0.000585402468249635,0.00505670031239526,0.00196117219402203,0.0110117119254146,0.00265083987063925,0.00980446148002813,0.0033519871067153,0.0130461831468998,0.000533441731423285,0.00569667141064893,0.00411510722103176,0.000524110593547975,0.000609259773008913,0.00219960960657416,0.00273996974794642,0.00397041004109663,0.00323601864173736,0.00761527550770214,0.0050857518504758,0.00380263094554927,0.000504167250867043,0.00464396284829552,0.000307180391629871,0.0107756795142803,0.000655991265604653,0.00103364494851181,0.00283447751761408,0.00456908534631883,0.0100014229396427,0.00278679953884761,0.000848595468718213,0.00141500637270978,0.0259793821932835,0.00272745419580091,0.00491970461401815,0.00599465297997422,0.00501848104609936,0.00117681365906977,0.00288731032211436,0.00393086051617784,0.000800275334788335,0.0033670033670036
"A[Ins(T):R(0,4)]G",0.00142780419648101,0.0135558027210942,0.00112526728082461,0.000840642839424675,0.00480240842977689,0.00313732637184457,0.00441793711605639,0.00922386730819609,0.00976325106166867,0.0146158092937547,0.0190767838574887,0.00641237923315682,0.0021606740390242,0.00591785614777945,0.00173130530109431,0.00439237574128029,0.00459233922065137,0.00222419356418187,0.00446743578520045,0.000945658624765044,0.00316350329324293,0.00299235566048403,0.00031386793387473,0.0148138629622077,0.0044808469139512,0.0039207167347216,0.0072562355144915,0.00444369331231899,0.00389495354119517,0.0306398854575008,0.0035543260411429,0.00547387080156013,0.0098116893407852,0.00340901213994827,0.00178962899341885,0.0000621438154356999,0.00357894470370567,0.000055138263786247,0.010872590301844,0.00744251264088269,0.00829503959436823,0.009987058101055,0.0152081930695147,0.00158538680985315,0.00294794316419923,0.00413602427527337,0.00146626656831856,0.0020002696936869,0.00483742023151398,0.010198591503168,0.00199863563606161,0.0057818695718647,0.0409146120400838,0.0132949440231342,0.0130612244897959,0.0126182965299685,0.00145743136965707,0.00436235496264817,0.0333294218868256,0.00123207765864464,0.00196683925785542,0.000527479432609934,0.0123769767150199,0.00609361437740649,0.00607615542171385,0.0844603606838427,0.000899232318398034,0.00282599538637278,0.00279648564294985,1.31647646671631E-127,0.00675940611797371,0.00166888360674749,0.00212940685403774,0.0146025611090433,0.00460582997003855,0.00866259222189501,0.00502798492043002,0.000532191467119545,0.010496862649233,0.00239469039761193,0.000124245546019117,0.0017129086005628,0.00389414175890989,0.000349176637747578,0.011745795638712,0.00177277414765225,0.00783053560462867,0.00958418669845069,0.00723678196999132,0.00084892326793333,0.0139318885449172,0.000169838907281549,0.00571379523059039,0.00161504369093527,0.00162565236423001,0.0191520254222547,0.000099922911152561,0.0119234024782211,0.00696882370579001,0.0014499499734412,0.00780208938459451,0.0488332303563741,0.00455530416441206,0.00405853439435781,0.0158043706131727,0.0110597596090544,0.0016028462016227,0.00488942458234901,0.00730889997546292,0.00193348207297176,0.00112233445566778
"C[Ins(T):R(0,4)]A",0.000174016367657027,0.00129151538619956,0.000346922002837917,0.00345084742482637,0.0117150738893564,0.0119626234334691,0.0122991441167208,0.00125476493136957,0.0058563800009372,0.00593756942790342,0.00875965447512652,0.00940208968407573,0.00559137949753924,0.00106535795901045,0.000527977522874063,0.00466349829851739,0.00675014837451052,0.00113468785266778,0.0228274542373207,0.00224408486861005,0.00301686510867906,0.00954120566357451,0.00127233030550828,0.00927638783908062,0.00298708352679449,0.000996536305538635,0.00761256194331471,0.0062948996308892,0.0021063405576954,0.00603978189891515,0.0113320963462524,0.00303073030790029,0.00224333690315531,0.00149720196823058,0.000693277793036186,0.0000935958399801816,0.000497032401825301,0.00064723051766541,0.00785605289581899,0.00405405097247718,0.00781794502928803,0.0137352483621831,0.00508136807014239,0.00389014359635275,0.00548767154082811,0.0031245712134163,0.000415819880350473,0.00297991935046811,0.00633229302885147,0.0163988733062507,0.00371957549181031,0.000793824279511632,0.00622198069921866,0.0149561439347634,0.0122448979591837,0.0157728706624606,0.00272545126622865,0.000858270895575369,0.00149538769112942,0.000002474411287635,0.00138758624278945,0.0107680117032499,0.00667531346690863,0.00901524344773535,0.0113141819106992,0.0108245443322918,0.00491752077845996,0.00988834257617091,0.00155367609077247,0.000373010227412233,0.00228372693279305,0.00723512074635596,0.0018034849746752,0.0136068537314417,0.00649049580290558,0.00791356248425366,0.00793978301919658,0.00297105946284979,0.00839103794647649,0.0041111580555396,0.000741231399901361,0.0011806693254791,0.00357505835602599,0.00179644224757676,0.00331481103217026,0.00070067571457056,0.00546581878501623,0.0104614148467958,0.00569647819503818,0.00018152149764779,0.00232198142410479,0.00149285198780156,0.00595045503126625,0.000857878536886137,0.00197121096016287,0.00596151480941183,0.00588696411860449,0.00890969666462816,0.00889774969714469,0.000509314678540661,0.00126268810412091,0.0068047870104565,0.00417256835214749,0.00705276175620386,0.0232590683009624,0.0152388122739482,0.00143211814629096,0.00210091317663843,0.00131569106766152,0.00122160189392104,0.000374111485222238
"C[Ins(T):R(0,4)]C",0.000647483663059335,0.00157618691250727,0.00124373981828319,0.00166198795836054,0.0240284678246686,0.00746682992897141,0.000164060088960549,0.0026696876137027,0.00109017161810562,0.00769990289370886,0.010532879492856,0.00672575609865808,0.00231523063202502,0.00285314233918454,0.00149771053953278,0.00913740324240457,0.0116735613345939,0.00286177995872543,0.00195452288256986,0.000274887969608538,0.00166544999657551,0.00932726804213149,0.00532266755511896,0.00599623049586667,0.00174888914298961,0.000370968612145787,0.00867122595825432,0.010940360789954,0.00370184600186836,0.00460600323830621,0.0254569891796523,0.00988356718018506,0.00158414210670274,0.000507453523145117,0.00210023770377892,0.000411810068681093,0.000476204853676518,0.000375446979713159,0.0065349253828173,0.00583344767707515,0.00671617002630586,0.00447677610668904,0.00205351522563006,0.00250570669162063,0.00486094644843024,0.002610829295297,0.000742525721544377,0.00455603936299431,0.0111329570540142,0.0160068317860848,0.0062630510131959,0.00162194437296138,0.00922825062142904,0.0135991052365628,0.00816326530612246,0.00315457413249211,0.00316407799664884,0.00184662876609559,0.00363039012223071,0.000940549509743808,0.000794465371310976,0.00615638149918394,0.00554777836635847,0.00904804916601427,0.006018217686247,0.00727161572676789,0.00972697992123223,0.00303983604024626,0.00243961352317334,0.00264262663475686,0.00450727036714095,0.0130938488616657,0.00153805156445542,0.00692018828970177,0.0203460796686804,0.000681056204078856,0.027181327844012,0.00663537605419682,0.0214037341559083,0.00699599695873136,0.000741476069526017,0.00118375062296984,0.00263902369798186,0.0014768793491734,0.0067648829068918,0.0044883667202988,0.00474277667111976,0.00552423987521566,0.00675602103672599,0.000536379887712569,0.00309597523218534,0.0017448177248638,0.00361552645596321,0.000548697990962996,0.00166045504637442,0.00580012547460996,0.00596483569054076,0.0112152084865372,0.00275182642294855,0.00122211718459294,0.00305901808889123,0.012831939723581,0.00838526055455829,0.0126642411781674,0.0160511592676733,0.0203195782789739,0.00150990830389851,0.00357409690470419,0.00299144709784651,0.00107953711298112,0.00336700336700361
